Distance,10.0
TXDevice,iPhoneXS
TXPower,12
RXDevice,iPhone8
TXCarry,pocket
RXCarry,hand
RXPose,standing
TXPose,sitting
0.000,Bluetooth,-83
0.068,Bluetooth,-78
0.068,Bluetooth,-75
0.142,Bluetooth,-64
0.143,Bluetooth,-64
0.173,Bluetooth,-75
0.174,Bluetooth,-75
0.210,Bluetooth,-78
0.211,Bluetooth,-78
0.249,Bluetooth,-64
0.250,Bluetooth,-64
0.494,Bluetooth,-64
0.495,Bluetooth,-64
0.560,Bluetooth,-77
0.561,Bluetooth,-76
0.596,Bluetooth,-76
0.597,Bluetooth,-76
0.634,Bluetooth,-63
0.635,Bluetooth,-63
0.665,Bluetooth,-75
0.667,Bluetooth,-76
0.705,Bluetooth,-75
0.706,Bluetooth,-76
0.737,Bluetooth,-64
0.738,Bluetooth,-63
0.815,Bluetooth,-79
0.816,Bluetooth,-78
0.847,Bluetooth,-65
0.848,Bluetooth,-64
0.879,Bluetooth,-64
0.880,Bluetooth,-64
0.917,Bluetooth,-75
0.985,Bluetooth,-64
0.986,Bluetooth,-64
1.021,Bluetooth,-74
1.054,Bluetooth,-80
1.055,Bluetooth,-80
1.086,Bluetooth,-65
1.087,Bluetooth,-65
1.157,Bluetooth,-75
1.158,Bluetooth,-74
1.197,Bluetooth,-79
1.198,Bluetooth,-79
1.225,Bluetooth,-65
1.226,Bluetooth,-64
1.256,Bluetooth,-77
1.257,Bluetooth,-78
1.287,Bluetooth,-77
1.322,Bluetooth,-66
1.323,Bluetooth,-66
1.398,Bluetooth,-79
1.437,Bluetooth,-75
1.439,Bluetooth,-75
1.478,Bluetooth,-65
1.479,Bluetooth,-65
1.511,Bluetooth,-78
1.512,Bluetooth,-79
1.547,Bluetooth,-75
1.656,Bluetooth,-73
1.696,Bluetooth,-65
1.697,Bluetooth,-65
1.760,Bluetooth,-82
1.761,Bluetooth,-81
1.870,Bluetooth,-81
1.871,Bluetooth,-81
1.946,Bluetooth,-67
1.947,Bluetooth,-67
1.975,Bluetooth,-77
1.976,Bluetooth,-78
2.007,Bluetooth,-74
2.043,Bluetooth,-64
2.044,Bluetooth,-66
2.109,Bluetooth,-79
2.110,Bluetooth,-76
2.145,Bluetooth,-75
2.146,Bluetooth,-73
2.183,Bluetooth,-65
2.184,Bluetooth,-65
2.219,Bluetooth,-77
2.220,Bluetooth,-77
2.256,Bluetooth,-74
2.294,Bluetooth,-65
2.295,Bluetooth,-66
2.325,Bluetooth,-78
2.326,Bluetooth,-77
2.364,Bluetooth,-74
2.395,Bluetooth,-74
2.396,Bluetooth,-74
2.430,Bluetooth,-66
2.431,Bluetooth,-66
2.496,Bluetooth,-75
2.497,Bluetooth,-74
2.526,Bluetooth,-66
2.527,Bluetooth,-66
2.558,Bluetooth,-65
2.559,Bluetooth,-66
2.586,Bluetooth,-77
2.587,Bluetooth,-77
2.627,Bluetooth,-72
2.738,Bluetooth,-73
2.885,Bluetooth,-65
2.886,Bluetooth,-65
2.917,Bluetooth,-65
2.919,Bluetooth,-66
2.955,Bluetooth,-78
2.956,Bluetooth,-78
2.991,Bluetooth,-72
2.992,Bluetooth,-73
3.067,Bluetooth,-79
3.068,Bluetooth,-79
3.105,Bluetooth,-73
3.105,Bluetooth,-71
3.273,Bluetooth,-64
3.274,Bluetooth,-66
3.311,Bluetooth,-79
3.312,Bluetooth,-78
3.342,Bluetooth,-73
3.383,Bluetooth,-65
3.384,Bluetooth,-65
3.413,Bluetooth,-79
3.414,Bluetooth,-79
3.453,Bluetooth,-72
3.454,Bluetooth,-72
3.488,Bluetooth,-66
3.489,Bluetooth,-67
3.525,Bluetooth,-80
3.526,Bluetooth,-79
3.560,Bluetooth,-80
3.561,Bluetooth,-78
3.592,Bluetooth,-73
3.629,Bluetooth,-66
3.630,Bluetooth,-66
3.696,Bluetooth,-73
3.770,Bluetooth,-78
3.771,Bluetooth,-79
3.874,Bluetooth,-67
3.875,Bluetooth,-66
3.905,Bluetooth,-78
3.907,Bluetooth,-79
