Distance,6.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhoneXR
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-59
0.002,Bluetooth,-59
0.034,Bluetooth,-63
0.036,Bluetooth,-62
0.064,Bluetooth,-58
0.066,Bluetooth,-57
0.101,Bluetooth,-56
0.102,Bluetooth,-58
0.129,Bluetooth,-58
0.130,Bluetooth,-57
0.162,Bluetooth,-53
0.163,Bluetooth,-54
0.223,Bluetooth,-58
0.225,Bluetooth,-57
0.259,Bluetooth,-58
0.260,Bluetooth,-59
0.291,Bluetooth,-54
0.292,Bluetooth,-54
0.323,Bluetooth,-65
0.325,Bluetooth,-66
0.354,Bluetooth,-65
0.355,Bluetooth,-65
0.388,Bluetooth,-65
0.390,Bluetooth,-63
0.418,Bluetooth,-54
0.420,Bluetooth,-55
0.450,Bluetooth,-65
0.452,Bluetooth,-65
0.481,Bluetooth,-68
0.483,Bluetooth,-69
0.547,Bluetooth,-62
0.548,Bluetooth,-62
0.579,Bluetooth,-59
0.581,Bluetooth,-59
0.615,Bluetooth,-60
0.616,Bluetooth,-59
0.647,Bluetooth,-62
0.648,Bluetooth,-62
0.676,Bluetooth,-58
0.677,Bluetooth,-58
0.706,Bluetooth,-56
0.708,Bluetooth,-59
0.739,Bluetooth,-57
0.741,Bluetooth,-58
0.772,Bluetooth,-62
0.774,Bluetooth,-63
0.802,Bluetooth,-57
0.803,Bluetooth,-56
0.835,Bluetooth,-57
0.836,Bluetooth,-57
0.865,Bluetooth,-58
0.869,Bluetooth,-58
0.896,Bluetooth,-62
0.897,Bluetooth,-62
0.924,Bluetooth,-57
0.926,Bluetooth,-57
0.959,Bluetooth,-60
0.960,Bluetooth,-58
0.989,Bluetooth,-57
0.991,Bluetooth,-56
1.021,Bluetooth,-59
1.023,Bluetooth,-59
1.055,Bluetooth,-54
1.056,Bluetooth,-55
1.088,Bluetooth,-53
1.089,Bluetooth,-53
1.121,Bluetooth,-56
1.123,Bluetooth,-57
1.219,Bluetooth,-50
1.221,Bluetooth,-50
1.253,Bluetooth,-51
1.255,Bluetooth,-51
1.282,Bluetooth,-50
1.283,Bluetooth,-49
1.316,Bluetooth,-50
1.318,Bluetooth,-50
1.350,Bluetooth,-50
1.351,Bluetooth,-50
1.410,Bluetooth,-49
1.412,Bluetooth,-50
1.441,Bluetooth,-50
1.443,Bluetooth,-50
1.502,Bluetooth,-49
1.504,Bluetooth,-49
1.535,Bluetooth,-50
1.537,Bluetooth,-50
1.566,Bluetooth,-53
1.568,Bluetooth,-53
1.600,Bluetooth,-48
1.602,Bluetooth,-49
1.627,Bluetooth,-50
1.628,Bluetooth,-51
1.656,Bluetooth,-52
1.657,Bluetooth,-52
1.810,Bluetooth,-53
1.812,Bluetooth,-53
1.909,Bluetooth,-57
1.911,Bluetooth,-57
1.945,Bluetooth,-58
1.946,Bluetooth,-58
1.979,Bluetooth,-61
1.981,Bluetooth,-63
2.010,Bluetooth,-63
2.012,Bluetooth,-62
2.042,Bluetooth,-55
2.043,Bluetooth,-57
2.076,Bluetooth,-54
2.077,Bluetooth,-53
2.142,Bluetooth,-50
2.144,Bluetooth,-51
2.176,Bluetooth,-49
2.178,Bluetooth,-49
2.242,Bluetooth,-49
2.244,Bluetooth,-50
2.277,Bluetooth,-49
2.279,Bluetooth,-49
2.341,Bluetooth,-51
2.342,Bluetooth,-50
2.369,Bluetooth,-50
2.371,Bluetooth,-50
2.400,Bluetooth,-51
2.401,Bluetooth,-51
2.434,Bluetooth,-52
2.436,Bluetooth,-51
2.494,Bluetooth,-55
2.496,Bluetooth,-55
2.525,Bluetooth,-56
2.527,Bluetooth,-55
2.561,Bluetooth,-53
2.562,Bluetooth,-51
2.621,Bluetooth,-50
2.622,Bluetooth,-50
2.651,Bluetooth,-52
2.653,Bluetooth,-51
2.682,Bluetooth,-52
2.683,Bluetooth,-52
2.747,Bluetooth,-48
2.748,Bluetooth,-48
2.780,Bluetooth,-49
2.782,Bluetooth,-49
2.811,Bluetooth,-53
2.812,Bluetooth,-54
2.876,Bluetooth,-50
2.878,Bluetooth,-50
2.906,Bluetooth,-52
2.908,Bluetooth,-52
2.939,Bluetooth,-52
2.941,Bluetooth,-50
2.969,Bluetooth,-48
2.971,Bluetooth,-48
3.000,Bluetooth,-50
3.001,Bluetooth,-51
3.061,Bluetooth,-52
3.062,Bluetooth,-51
3.089,Bluetooth,-48
3.091,Bluetooth,-48
3.122,Bluetooth,-51
3.123,Bluetooth,-50
3.183,Bluetooth,-51
3.185,Bluetooth,-52
3.215,Bluetooth,-46
3.217,Bluetooth,-48
3.251,Bluetooth,-50
3.253,Bluetooth,-50
3.286,Bluetooth,-52
3.288,Bluetooth,-52
3.315,Bluetooth,-47
3.317,Bluetooth,-47
3.351,Bluetooth,-46
3.352,Bluetooth,-47
3.379,Bluetooth,-51
3.380,Bluetooth,-51
3.414,Bluetooth,-55
3.416,Bluetooth,-54
3.445,Bluetooth,-48
3.447,Bluetooth,-48
3.477,Bluetooth,-51
3.479,Bluetooth,-49
3.507,Bluetooth,-51
3.509,Bluetooth,-51
3.540,Bluetooth,-53
3.542,Bluetooth,-54
3.571,Bluetooth,-46
3.573,Bluetooth,-48
3.604,Bluetooth,-50
3.606,Bluetooth,-52
3.639,Bluetooth,-53
3.641,Bluetooth,-54
3.699,Bluetooth,-47
3.701,Bluetooth,-47
3.730,Bluetooth,-51
3.731,Bluetooth,-51
3.823,Bluetooth,-48
3.825,Bluetooth,-48
3.856,Bluetooth,-52
3.858,Bluetooth,-51
3.887,Bluetooth,-53
3.889,Bluetooth,-54
3.919,Bluetooth,-48
3.920,Bluetooth,-48
78.481,Bluetooth,-52
78.513,Bluetooth,-56
78.514,Bluetooth,-57
78.544,Bluetooth,-58
78.634,Bluetooth,-57
78.668,Bluetooth,-51
78.699,Bluetooth,-53
78.729,Bluetooth,-56
78.731,Bluetooth,-56
78.763,Bluetooth,-58
78.798,Bluetooth,-56
78.800,Bluetooth,-54
78.828,Bluetooth,-55
78.859,Bluetooth,-59
78.860,Bluetooth,-58
78.891,Bluetooth,-58
78.893,Bluetooth,-58
78.924,Bluetooth,-53
78.955,Bluetooth,-57
78.957,Bluetooth,-57
79.050,Bluetooth,-55
79.051,Bluetooth,-55
79.080,Bluetooth,-54
79.114,Bluetooth,-58
79.115,Bluetooth,-58
79.146,Bluetooth,-53
79.147,Bluetooth,-53
79.179,Bluetooth,-58
79.181,Bluetooth,-57
79.307,Bluetooth,-57
79.309,Bluetooth,-57
79.369,Bluetooth,-57
79.371,Bluetooth,-58
79.400,Bluetooth,-53
79.428,Bluetooth,-58
79.430,Bluetooth,-57
79.463,Bluetooth,-57
79.465,Bluetooth,-56
79.495,Bluetooth,-57
79.496,Bluetooth,-59
79.527,Bluetooth,-53
79.529,Bluetooth,-54
79.558,Bluetooth,-57
79.560,Bluetooth,-57
79.591,Bluetooth,-58
79.593,Bluetooth,-57
79.624,Bluetooth,-53
79.626,Bluetooth,-55
79.683,Bluetooth,-57
79.685,Bluetooth,-57
80.036,Bluetooth,-57
