Distance,10.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhone11_Pro
TXCarry,hand
RXCarry,pocket
RXPose,standing
TXPose,standing
0.028,Bluetooth,-63
0.029,Bluetooth,-63
0.058,Bluetooth,-60
0.060,Bluetooth,-60
0.095,Bluetooth,-59
0.096,Bluetooth,-59
0.129,Bluetooth,-64
0.130,Bluetooth,-64
0.158,Bluetooth,-59
0.159,Bluetooth,-59
0.222,Bluetooth,-59
0.224,Bluetooth,-59
0.256,Bluetooth,-62
0.257,Bluetooth,-62
0.285,Bluetooth,-60
0.287,Bluetooth,-60
0.319,Bluetooth,-58
0.350,Bluetooth,-58
0.350,Bluetooth,-59
0.381,Bluetooth,-61
0.382,Bluetooth,-61
0.414,Bluetooth,-57
0.415,Bluetooth,-59
0.450,Bluetooth,-58
0.451,Bluetooth,-58
0.483,Bluetooth,-62
0.484,Bluetooth,-62
0.544,Bluetooth,-58
0.545,Bluetooth,-58
0.577,Bluetooth,-57
0.579,Bluetooth,-57
0.615,Bluetooth,-60
0.615,Bluetooth,-59
0.642,Bluetooth,-58
0.643,Bluetooth,-57
0.709,Bluetooth,-57
0.710,Bluetooth,-57
0.773,Bluetooth,-61
0.774,Bluetooth,-62
0.804,Bluetooth,-58
0.805,Bluetooth,-57
0.837,Bluetooth,-58
0.838,Bluetooth,-58
0.930,Bluetooth,-58
0.931,Bluetooth,-58
0.960,Bluetooth,-57
0.961,Bluetooth,-56
0.992,Bluetooth,-61
0.993,Bluetooth,-62
1.057,Bluetooth,-58
1.058,Bluetooth,-58
1.086,Bluetooth,-57
1.088,Bluetooth,-57
1.121,Bluetooth,-61
1.123,Bluetooth,-61
1.157,Bluetooth,-57
1.158,Bluetooth,-56
1.222,Bluetooth,-57
1.224,Bluetooth,-57
1.287,Bluetooth,-58
1.289,Bluetooth,-58
1.319,Bluetooth,-57
1.321,Bluetooth,-56
1.414,Bluetooth,-58
1.415,Bluetooth,-59
1.446,Bluetooth,-56
1.447,Bluetooth,-56
1.478,Bluetooth,-63
1.479,Bluetooth,-63
1.540,Bluetooth,-57
1.541,Bluetooth,-56
1.573,Bluetooth,-57
1.574,Bluetooth,-57
1.607,Bluetooth,-59
1.607,Bluetooth,-60
1.634,Bluetooth,-57
1.635,Bluetooth,-59
1.767,Bluetooth,-57
1.767,Bluetooth,-57
1.797,Bluetooth,-57
1.798,Bluetooth,-57
1.862,Bluetooth,-60
1.863,Bluetooth,-60
1.894,Bluetooth,-57
1.895,Bluetooth,-58
1.923,Bluetooth,-57
1.924,Bluetooth,-57
1.956,Bluetooth,-60
1.958,Bluetooth,-62
2.047,Bluetooth,-57
2.049,Bluetooth,-58
2.079,Bluetooth,-58
2.175,Bluetooth,-59
2.176,Bluetooth,-58
2.210,Bluetooth,-58
2.211,Bluetooth,-58
2.245,Bluetooth,-61
2.246,Bluetooth,-63
2.275,Bluetooth,-58
2.277,Bluetooth,-58
2.308,Bluetooth,-58
2.309,Bluetooth,-58
2.340,Bluetooth,-58
2.341,Bluetooth,-58
2.374,Bluetooth,-62
2.375,Bluetooth,-62
2.403,Bluetooth,-57
2.404,Bluetooth,-59
2.464,Bluetooth,-59
2.466,Bluetooth,-58
2.495,Bluetooth,-59
2.497,Bluetooth,-61
2.529,Bluetooth,-57
2.530,Bluetooth,-58
2.559,Bluetooth,-57
2.561,Bluetooth,-58
2.624,Bluetooth,-61
2.625,Bluetooth,-60
2.658,Bluetooth,-59
2.658,Bluetooth,-59
2.687,Bluetooth,-59
2.688,Bluetooth,-59
2.786,Bluetooth,-58
2.788,Bluetooth,-58
2.819,Bluetooth,-59
2.820,Bluetooth,-59
2.854,Bluetooth,-61
2.855,Bluetooth,-62
2.882,Bluetooth,-58
2.883,Bluetooth,-58
2.947,Bluetooth,-61
2.948,Bluetooth,-61
2.977,Bluetooth,-61
2.979,Bluetooth,-63
3.009,Bluetooth,-60
3.010,Bluetooth,-59
3.040,Bluetooth,-62
3.041,Bluetooth,-63
3.104,Bluetooth,-63
3.105,Bluetooth,-64
3.137,Bluetooth,-62
3.138,Bluetooth,-60
3.169,Bluetooth,-61
3.170,Bluetooth,-61
3.200,Bluetooth,-63
3.201,Bluetooth,-64
3.269,Bluetooth,-60
3.270,Bluetooth,-61
3.333,Bluetooth,-61
3.334,Bluetooth,-61
3.368,Bluetooth,-63
3.369,Bluetooth,-62
3.470,Bluetooth,-59
3.470,Bluetooth,-59
3.503,Bluetooth,-64
3.504,Bluetooth,-64
3.532,Bluetooth,-61
3.533,Bluetooth,-60
3.565,Bluetooth,-60
3.566,Bluetooth,-59
3.602,Bluetooth,-61
3.603,Bluetooth,-64
3.660,Bluetooth,-59
3.661,Bluetooth,-60
3.689,Bluetooth,-60
3.690,Bluetooth,-59
3.724,Bluetooth,-61
3.725,Bluetooth,-61
3.787,Bluetooth,-58
3.788,Bluetooth,-57
3.817,Bluetooth,-61
3.818,Bluetooth,-61
3.851,Bluetooth,-60
3.853,Bluetooth,-61
3.883,Bluetooth,-58
3.884,Bluetooth,-59
63.504,Bluetooth,-78
63.505,Bluetooth,-79
63.536,Bluetooth,-72
63.537,Bluetooth,-71
63.573,Bluetooth,-70
63.574,Bluetooth,-69
63.603,Bluetooth,-79
63.605,Bluetooth,-80
63.641,Bluetooth,-73
63.642,Bluetooth,-72
63.728,Bluetooth,-78
63.729,Bluetooth,-80
63.821,Bluetooth,-70
63.823,Bluetooth,-70
63.857,Bluetooth,-80
63.858,Bluetooth,-81
63.887,Bluetooth,-72
63.888,Bluetooth,-71
63.917,Bluetooth,-70
63.919,Bluetooth,-70
63.983,Bluetooth,-80
63.984,Bluetooth,-80
64.014,Bluetooth,-71
64.015,Bluetooth,-72
64.074,Bluetooth,-79
64.074,Bluetooth,-79
64.105,Bluetooth,-79
64.106,Bluetooth,-77
64.135,Bluetooth,-72
64.137,Bluetooth,-72
64.168,Bluetooth,-69
64.169,Bluetooth,-71
64.198,Bluetooth,-75
64.199,Bluetooth,-75
64.321,Bluetooth,-76
64.322,Bluetooth,-75
64.352,Bluetooth,-73
64.353,Bluetooth,-73
64.384,Bluetooth,-73
64.385,Bluetooth,-73
64.418,Bluetooth,-71
64.419,Bluetooth,-70
64.448,Bluetooth,-77
64.449,Bluetooth,-77
64.484,Bluetooth,-72
64.485,Bluetooth,-72
