Distance,15.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhone11_Pro
TXCarry,pocket
RXCarry,pocket
RXPose,sitting
TXPose,sitting
0.000,Bluetooth,-71
0.001,Bluetooth,-70
0.067,Bluetooth,-69
0.068,Bluetooth,-69
0.097,Bluetooth,-72
0.098,Bluetooth,-71
0.162,Bluetooth,-69
0.163,Bluetooth,-68
0.197,Bluetooth,-70
0.198,Bluetooth,-70
0.263,Bluetooth,-72
0.264,Bluetooth,-73
0.296,Bluetooth,-70
0.297,Bluetooth,-70
0.401,Bluetooth,-73
0.402,Bluetooth,-72
0.463,Bluetooth,-70
0.464,Bluetooth,-68
0.530,Bluetooth,-68
0.531,Bluetooth,-68
0.558,Bluetooth,-69
0.559,Bluetooth,-69
0.619,Bluetooth,-73
0.620,Bluetooth,-73
0.649,Bluetooth,-69
0.650,Bluetooth,-69
0.679,Bluetooth,-71
0.681,Bluetooth,-73
0.744,Bluetooth,-70
0.745,Bluetooth,-70
0.775,Bluetooth,-68
0.776,Bluetooth,-68
0.809,Bluetooth,-72
0.810,Bluetooth,-72
0.841,Bluetooth,-72
0.842,Bluetooth,-72
0.974,Bluetooth,-69
0.975,Bluetooth,-69
1.068,Bluetooth,-69
1.069,Bluetooth,-69
1.102,Bluetooth,-73
1.170,Bluetooth,-68
1.171,Bluetooth,-69
1.199,Bluetooth,-72
1.201,Bluetooth,-72
1.266,Bluetooth,-68
1.267,Bluetooth,-70
1.297,Bluetooth,-71
1.298,Bluetooth,-72
1.360,Bluetooth,-68
1.361,Bluetooth,-69
1.391,Bluetooth,-72
1.392,Bluetooth,-71
1.426,Bluetooth,-68
1.452,Bluetooth,-68
1.453,Bluetooth,-68
1.484,Bluetooth,-71
1.485,Bluetooth,-71
1.550,Bluetooth,-68
1.551,Bluetooth,-68
1.583,Bluetooth,-71
1.584,Bluetooth,-71
1.645,Bluetooth,-67
1.645,Bluetooth,-69
1.705,Bluetooth,-70
1.706,Bluetooth,-72
1.767,Bluetooth,-68
1.768,Bluetooth,-68
1.797,Bluetooth,-71
1.798,Bluetooth,-71
1.863,Bluetooth,-68
1.864,Bluetooth,-68
1.893,Bluetooth,-70
1.894,Bluetooth,-72
1.926,Bluetooth,-69
1.985,Bluetooth,-71
1.987,Bluetooth,-70
2.019,Bluetooth,-68
2.020,Bluetooth,-68
2.047,Bluetooth,-68
2.048,Bluetooth,-68
2.077,Bluetooth,-69
2.078,Bluetooth,-68
2.112,Bluetooth,-69
2.113,Bluetooth,-69
2.139,Bluetooth,-68
2.140,Bluetooth,-68
2.200,Bluetooth,-69
2.202,Bluetooth,-69
2.300,Bluetooth,-71
2.301,Bluetooth,-71
2.362,Bluetooth,-68
2.363,Bluetooth,-67
2.456,Bluetooth,-72
2.457,Bluetooth,-72
2.488,Bluetooth,-69
2.489,Bluetooth,-70
2.553,Bluetooth,-71
2.554,Bluetooth,-72
2.589,Bluetooth,-68
2.590,Bluetooth,-70
2.630,Bluetooth,-70
2.631,Bluetooth,-71
2.652,Bluetooth,-73
2.653,Bluetooth,-72
2.714,Bluetooth,-71
2.715,Bluetooth,-72
2.744,Bluetooth,-72
2.745,Bluetooth,-72
2.966,Bluetooth,-69
2.967,Bluetooth,-70
2.999,Bluetooth,-73
3.000,Bluetooth,-73
3.060,Bluetooth,-69
3.061,Bluetooth,-72
3.090,Bluetooth,-74
3.091,Bluetooth,-74
3.150,Bluetooth,-69
3.151,Bluetooth,-69
3.180,Bluetooth,-74
3.182,Bluetooth,-74
3.246,Bluetooth,-70
3.247,Bluetooth,-69
3.276,Bluetooth,-69
3.277,Bluetooth,-69
3.306,Bluetooth,-75
3.307,Bluetooth,-73
3.370,Bluetooth,-71
3.371,Bluetooth,-68
3.398,Bluetooth,-70
3.400,Bluetooth,-69
3.495,Bluetooth,-73
3.496,Bluetooth,-74
3.525,Bluetooth,-72
3.526,Bluetooth,-71
3.557,Bluetooth,-73
3.557,Bluetooth,-73
3.590,Bluetooth,-71
3.591,Bluetooth,-70
3.653,Bluetooth,-70
3.654,Bluetooth,-72
3.685,Bluetooth,-75
3.686,Bluetooth,-75
3.778,Bluetooth,-72
3.779,Bluetooth,-71
3.847,Bluetooth,-73
3.848,Bluetooth,-74
3.909,Bluetooth,-72
3.911,Bluetooth,-71
3.943,Bluetooth,-73
3.944,Bluetooth,-74
143.106,Bluetooth,-73
143.107,Bluetooth,-73
143.164,Bluetooth,-68
143.165,Bluetooth,-68
143.199,Bluetooth,-74
143.200,Bluetooth,-74
143.267,Bluetooth,-68
143.268,Bluetooth,-67
143.297,Bluetooth,-75
143.298,Bluetooth,-73
143.393,Bluetooth,-74
143.394,Bluetooth,-74
143.431,Bluetooth,-78
143.432,Bluetooth,-76
143.475,Bluetooth,-67
143.477,Bluetooth,-68
143.509,Bluetooth,-73
143.510,Bluetooth,-74
143.568,Bluetooth,-68
143.569,Bluetooth,-68
143.598,Bluetooth,-74
143.599,Bluetooth,-73
143.664,Bluetooth,-68
143.665,Bluetooth,-68
143.696,Bluetooth,-74
143.697,Bluetooth,-73
143.760,Bluetooth,-68
143.761,Bluetooth,-68
143.791,Bluetooth,-74
143.792,Bluetooth,-74
143.834,Bluetooth,-77
143.835,Bluetooth,-77
143.893,Bluetooth,-74
143.894,Bluetooth,-73
144.052,Bluetooth,-67
144.053,Bluetooth,-68
144.113,Bluetooth,-75
144.115,Bluetooth,-74
144.144,Bluetooth,-68
144.145,Bluetooth,-68
144.203,Bluetooth,-74
144.205,Bluetooth,-74
144.304,Bluetooth,-67
144.305,Bluetooth,-68
144.367,Bluetooth,-68
144.368,Bluetooth,-68
144.402,Bluetooth,-75
144.402,Bluetooth,-75
144.493,Bluetooth,-75
144.495,Bluetooth,-75
144.559,Bluetooth,-69
144.560,Bluetooth,-69
144.632,Bluetooth,-82
144.652,Bluetooth,-67
144.653,Bluetooth,-68
144.714,Bluetooth,-75
144.715,Bluetooth,-75
144.784,Bluetooth,-76
144.785,Bluetooth,-75
144.818,Bluetooth,-82
144.819,Bluetooth,-82
144.847,Bluetooth,-68
144.848,Bluetooth,-67
144.915,Bluetooth,-75
144.917,Bluetooth,-75
144.948,Bluetooth,-69
144.949,Bluetooth,-69
145.007,Bluetooth,-75
145.008,Bluetooth,-75
145.070,Bluetooth,-68
145.071,Bluetooth,-68
145.102,Bluetooth,-75
145.103,Bluetooth,-75
145.203,Bluetooth,-74
145.204,Bluetooth,-76
145.268,Bluetooth,-69
145.269,Bluetooth,-67
145.368,Bluetooth,-67
145.369,Bluetooth,-68
