Distance,15.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhoneXR
TXCarry,pocket
RXCarry,pocket
RXPose,standing
TXPose,sitting
0.000,Bluetooth,-66
0.002,Bluetooth,-64
0.062,Bluetooth,-64
0.063,Bluetooth,-63
0.095,Bluetooth,-62
0.097,Bluetooth,-62
0.126,Bluetooth,-67
0.128,Bluetooth,-66
0.159,Bluetooth,-65
0.161,Bluetooth,-66
0.194,Bluetooth,-65
0.196,Bluetooth,-64
0.224,Bluetooth,-64
0.225,Bluetooth,-64
0.256,Bluetooth,-66
0.258,Bluetooth,-66
0.284,Bluetooth,-68
0.286,Bluetooth,-69
0.319,Bluetooth,-67
0.320,Bluetooth,-67
0.349,Bluetooth,-68
0.350,Bluetooth,-68
0.380,Bluetooth,-73
0.381,Bluetooth,-73
0.417,Bluetooth,-68
0.418,Bluetooth,-67
0.443,Bluetooth,-66
0.570,Bluetooth,-73
0.571,Bluetooth,-71
0.603,Bluetooth,-83
0.605,Bluetooth,-85
0.667,Bluetooth,-78
0.669,Bluetooth,-79
0.697,Bluetooth,-71
0.699,Bluetooth,-72
0.729,Bluetooth,-65
0.731,Bluetooth,-66
0.825,Bluetooth,-65
0.827,Bluetooth,-66
0.855,Bluetooth,-63
0.857,Bluetooth,-63
0.918,Bluetooth,-71
0.920,Bluetooth,-70
0.953,Bluetooth,-66
0.983,Bluetooth,-67
0.985,Bluetooth,-68
1.015,Bluetooth,-73
1.016,Bluetooth,-73
1.048,Bluetooth,-71
1.050,Bluetooth,-71
1.081,Bluetooth,-69
1.082,Bluetooth,-70
1.139,Bluetooth,-68
1.141,Bluetooth,-68
1.172,Bluetooth,-66
1.174,Bluetooth,-66
1.205,Bluetooth,-67
1.207,Bluetooth,-65
1.235,Bluetooth,-66
1.237,Bluetooth,-66
1.265,Bluetooth,-67
1.267,Bluetooth,-66
1.335,Bluetooth,-62
1.337,Bluetooth,-63
1.365,Bluetooth,-65
1.367,Bluetooth,-65
1.400,Bluetooth,-63
1.401,Bluetooth,-62
1.435,Bluetooth,-60
1.437,Bluetooth,-61
1.498,Bluetooth,-65
1.499,Bluetooth,-65
1.529,Bluetooth,-62
1.530,Bluetooth,-63
1.559,Bluetooth,-59
1.561,Bluetooth,-58
1.589,Bluetooth,-58
1.592,Bluetooth,-59
1.623,Bluetooth,-67
1.625,Bluetooth,-67
1.656,Bluetooth,-64
1.658,Bluetooth,-64
1.686,Bluetooth,-68
1.686,Bluetooth,-67
1.719,Bluetooth,-71
1.720,Bluetooth,-71
1.781,Bluetooth,-65
1.783,Bluetooth,-65
1.815,Bluetooth,-66
1.817,Bluetooth,-67
1.847,Bluetooth,-72
1.848,Bluetooth,-72
1.879,Bluetooth,-66
1.880,Bluetooth,-67
1.909,Bluetooth,-66
1.911,Bluetooth,-67
1.943,Bluetooth,-68
1.945,Bluetooth,-67
1.972,Bluetooth,-72
1.973,Bluetooth,-70
2.004,Bluetooth,-68
2.005,Bluetooth,-68
2.035,Bluetooth,-67
2.037,Bluetooth,-66
2.099,Bluetooth,-71
2.101,Bluetooth,-71
2.131,Bluetooth,-66
2.133,Bluetooth,-67
2.164,Bluetooth,-65
2.165,Bluetooth,-67
2.222,Bluetooth,-73
2.223,Bluetooth,-73
2.256,Bluetooth,-67
2.258,Bluetooth,-67
2.287,Bluetooth,-67
2.288,Bluetooth,-69
2.315,Bluetooth,-77
2.317,Bluetooth,-77
2.346,Bluetooth,-76
2.347,Bluetooth,-76
2.376,Bluetooth,-65
2.378,Bluetooth,-66
2.473,Bluetooth,-66
2.475,Bluetooth,-66
2.506,Bluetooth,-67
2.508,Bluetooth,-66
2.538,Bluetooth,-67
2.540,Bluetooth,-66
2.568,Bluetooth,-76
2.569,Bluetooth,-76
2.599,Bluetooth,-65
2.600,Bluetooth,-67
2.629,Bluetooth,-65
2.630,Bluetooth,-66
2.689,Bluetooth,-70
2.691,Bluetooth,-71
2.720,Bluetooth,-65
2.721,Bluetooth,-64
2.783,Bluetooth,-65
2.785,Bluetooth,-65
2.815,Bluetooth,-69
2.817,Bluetooth,-69
2.884,Bluetooth,-64
2.886,Bluetooth,-63
2.918,Bluetooth,-69
2.919,Bluetooth,-69
2.947,Bluetooth,-69
2.948,Bluetooth,-69
2.980,Bluetooth,-66
2.982,Bluetooth,-66
3.012,Bluetooth,-65
3.014,Bluetooth,-67
3.043,Bluetooth,-69
3.045,Bluetooth,-69
3.074,Bluetooth,-66
3.076,Bluetooth,-67
3.108,Bluetooth,-67
3.110,Bluetooth,-67
3.138,Bluetooth,-67
3.141,Bluetooth,-66
3.203,Bluetooth,-67
3.204,Bluetooth,-67
3.238,Bluetooth,-66
3.240,Bluetooth,-65
3.368,Bluetooth,-65
3.370,Bluetooth,-66
3.400,Bluetooth,-70
3.402,Bluetooth,-70
3.434,Bluetooth,-68
3.435,Bluetooth,-68
3.467,Bluetooth,-69
3.469,Bluetooth,-69
3.498,Bluetooth,-67
3.500,Bluetooth,-67
3.532,Bluetooth,-72
3.533,Bluetooth,-71
3.563,Bluetooth,-70
3.564,Bluetooth,-69
3.594,Bluetooth,-66
3.596,Bluetooth,-68
3.627,Bluetooth,-68
3.629,Bluetooth,-67
3.689,Bluetooth,-69
3.690,Bluetooth,-69
3.721,Bluetooth,-69
3.851,Bluetooth,-68
3.852,Bluetooth,-66
3.914,Bluetooth,-66
3.915,Bluetooth,-66
94.833,Bluetooth,-70
94.834,Bluetooth,-71
94.894,Bluetooth,-73
94.896,Bluetooth,-72
94.924,Bluetooth,-69
94.926,Bluetooth,-70
94.989,Bluetooth,-75
94.989,Bluetooth,-75
95.023,Bluetooth,-73
95.024,Bluetooth,-72
95.118,Bluetooth,-73
95.120,Bluetooth,-73
95.147,Bluetooth,-74
95.148,Bluetooth,-74
95.182,Bluetooth,-78
95.183,Bluetooth,-78
95.217,Bluetooth,-76
95.219,Bluetooth,-75
95.277,Bluetooth,-77
95.278,Bluetooth,-77
95.308,Bluetooth,-76
95.309,Bluetooth,-71
95.340,Bluetooth,-74
95.341,Bluetooth,-75
95.592,Bluetooth,-72
95.593,Bluetooth,-72
95.625,Bluetooth,-80
95.626,Bluetooth,-79
95.655,Bluetooth,-73
95.657,Bluetooth,-73
95.721,Bluetooth,-71
95.750,Bluetooth,-79
95.783,Bluetooth,-73
95.784,Bluetooth,-74
95.819,Bluetooth,-71
95.820,Bluetooth,-72
95.881,Bluetooth,-69
95.882,Bluetooth,-69
95.915,Bluetooth,-72
95.916,Bluetooth,-72
95.949,Bluetooth,-70
95.951,Bluetooth,-70
96.078,Bluetooth,-71
96.080,Bluetooth,-71
96.178,Bluetooth,-71
96.180,Bluetooth,-70
96.208,Bluetooth,-70
96.210,Bluetooth,-71
96.240,Bluetooth,-79
96.241,Bluetooth,-79
96.275,Bluetooth,-71
96.276,Bluetooth,-70
96.621,Bluetooth,-71
96.623,Bluetooth,-71
96.656,Bluetooth,-69
96.657,Bluetooth,-70
96.750,Bluetooth,-72
96.752,Bluetooth,-71
96.782,Bluetooth,-70
96.783,Bluetooth,-71
96.813,Bluetooth,-79
96.815,Bluetooth,-79
96.844,Bluetooth,-78
96.846,Bluetooth,-78
96.875,Bluetooth,-72
96.876,Bluetooth,-72
96.906,Bluetooth,-74
97.002,Bluetooth,-74
97.003,Bluetooth,-74
97.032,Bluetooth,-73
97.033,Bluetooth,-74
97.061,Bluetooth,-76
97.062,Bluetooth,-76
97.091,Bluetooth,-68
97.093,Bluetooth,-67
97.157,Bluetooth,-78
97.158,Bluetooth,-79
97.188,Bluetooth,-80
97.190,Bluetooth,-79
97.221,Bluetooth,-78
97.223,Bluetooth,-77
97.254,Bluetooth,-71
97.256,Bluetooth,-72
97.285,Bluetooth,-70
97.286,Bluetooth,-69
97.315,Bluetooth,-69
97.317,Bluetooth,-69
97.350,Bluetooth,-71
97.352,Bluetooth,-71
97.413,Bluetooth,-66
97.415,Bluetooth,-67
97.479,Bluetooth,-65
97.480,Bluetooth,-65
97.513,Bluetooth,-68
97.515,Bluetooth,-68
97.542,Bluetooth,-65
97.543,Bluetooth,-66
97.576,Bluetooth,-65
97.578,Bluetooth,-65
97.611,Bluetooth,-67
97.612,Bluetooth,-67
97.642,Bluetooth,-67
97.643,Bluetooth,-67
97.703,Bluetooth,-66
97.704,Bluetooth,-66
97.736,Bluetooth,-66
97.737,Bluetooth,-68
97.799,Bluetooth,-67
97.801,Bluetooth,-66
97.832,Bluetooth,-65
97.833,Bluetooth,-65
97.866,Bluetooth,-65
97.868,Bluetooth,-65
97.897,Bluetooth,-68
97.898,Bluetooth,-66
97.959,Bluetooth,-66
97.961,Bluetooth,-66
98.026,Bluetooth,-67
98.027,Bluetooth,-67
98.057,Bluetooth,-66
98.059,Bluetooth,-66
98.121,Bluetooth,-66
98.123,Bluetooth,-65
98.154,Bluetooth,-67
98.157,Bluetooth,-68
98.182,Bluetooth,-66
98.183,Bluetooth,-66
98.214,Bluetooth,-65
98.215,Bluetooth,-66
98.244,Bluetooth,-64
98.245,Bluetooth,-64
98.278,Bluetooth,-67
98.279,Bluetooth,-68
98.307,Bluetooth,-66
98.309,Bluetooth,-66
98.339,Bluetooth,-66
98.340,Bluetooth,-66
98.399,Bluetooth,-67
98.401,Bluetooth,-67
98.429,Bluetooth,-66
98.431,Bluetooth,-65
98.461,Bluetooth,-64
98.463,Bluetooth,-65
98.558,Bluetooth,-66
98.559,Bluetooth,-66
98.590,Bluetooth,-66
98.592,Bluetooth,-66
98.621,Bluetooth,-68
98.622,Bluetooth,-68
98.682,Bluetooth,-66
98.683,Bluetooth,-66
98.716,Bluetooth,-65
98.718,Bluetooth,-65
98.747,Bluetooth,-68
98.748,Bluetooth,-69
98.775,Bluetooth,-66
98.777,Bluetooth,-66
185.428,Bluetooth,-69
185.430,Bluetooth,-68
185.461,Bluetooth,-67
185.463,Bluetooth,-68
185.493,Bluetooth,-67
185.495,Bluetooth,-66
185.556,Bluetooth,-69
185.557,Bluetooth,-69
185.588,Bluetooth,-68
185.589,Bluetooth,-66
185.619,Bluetooth,-66
185.620,Bluetooth,-66
185.679,Bluetooth,-69
185.681,Bluetooth,-70
185.714,Bluetooth,-67
185.722,Bluetooth,-67
185.745,Bluetooth,-66
185.746,Bluetooth,-66
185.775,Bluetooth,-70
185.776,Bluetooth,-69
185.804,Bluetooth,-68
185.805,Bluetooth,-68
185.835,Bluetooth,-67
185.836,Bluetooth,-67
185.866,Bluetooth,-66
185.866,Bluetooth,-66
185.933,Bluetooth,-66
185.934,Bluetooth,-67
185.964,Bluetooth,-67
185.967,Bluetooth,-68
185.998,Bluetooth,-66
186.000,Bluetooth,-67
186.027,Bluetooth,-69
186.028,Bluetooth,-68
186.058,Bluetooth,-66
186.059,Bluetooth,-67
186.091,Bluetooth,-67
186.092,Bluetooth,-67
186.121,Bluetooth,-67
186.122,Bluetooth,-65
186.153,Bluetooth,-68
186.154,Bluetooth,-69
186.184,Bluetooth,-68
186.186,Bluetooth,-68
186.244,Bluetooth,-66
186.246,Bluetooth,-66
186.276,Bluetooth,-69
186.277,Bluetooth,-69
186.306,Bluetooth,-67
186.308,Bluetooth,-66
186.339,Bluetooth,-66
186.341,Bluetooth,-66
186.373,Bluetooth,-70
186.375,Bluetooth,-69
186.438,Bluetooth,-67
186.439,Bluetooth,-67
186.501,Bluetooth,-68
186.503,Bluetooth,-68
186.535,Bluetooth,-67
186.600,Bluetooth,-66
186.601,Bluetooth,-67
186.630,Bluetooth,-69
186.631,Bluetooth,-69
186.660,Bluetooth,-67
186.662,Bluetooth,-66
186.756,Bluetooth,-70
186.757,Bluetooth,-69
186.789,Bluetooth,-68
186.790,Bluetooth,-68
186.819,Bluetooth,-67
186.821,Bluetooth,-65
186.853,Bluetooth,-69
186.855,Bluetooth,-69
186.883,Bluetooth,-70
186.885,Bluetooth,-70
186.925,Bluetooth,-68
186.926,Bluetooth,-68
186.952,Bluetooth,-67
186.954,Bluetooth,-67
186.981,Bluetooth,-69
186.983,Bluetooth,-69
187.078,Bluetooth,-65
187.080,Bluetooth,-67
187.111,Bluetooth,-70
187.112,Bluetooth,-69
187.144,Bluetooth,-68
187.145,Bluetooth,-68
187.177,Bluetooth,-66
187.179,Bluetooth,-66
187.239,Bluetooth,-69
187.241,Bluetooth,-68
187.270,Bluetooth,-67
187.272,Bluetooth,-68
187.303,Bluetooth,-66
187.305,Bluetooth,-66
187.336,Bluetooth,-67
187.337,Bluetooth,-69
187.401,Bluetooth,-67
187.403,Bluetooth,-68
187.434,Bluetooth,-65
187.435,Bluetooth,-66
187.466,Bluetooth,-69
187.468,Bluetooth,-69
187.501,Bluetooth,-68
187.503,Bluetooth,-67
187.534,Bluetooth,-67
187.563,Bluetooth,-65
187.565,Bluetooth,-66
187.594,Bluetooth,-70
187.596,Bluetooth,-70
187.625,Bluetooth,-66
187.627,Bluetooth,-68
187.657,Bluetooth,-66
187.659,Bluetooth,-65
187.721,Bluetooth,-69
187.722,Bluetooth,-69
187.756,Bluetooth,-69
187.758,Bluetooth,-67
187.789,Bluetooth,-66
187.791,Bluetooth,-66
187.819,Bluetooth,-69
187.821,Bluetooth,-69
187.851,Bluetooth,-69
187.852,Bluetooth,-66
187.883,Bluetooth,-67
187.885,Bluetooth,-68
187.914,Bluetooth,-66
187.916,Bluetooth,-66
187.943,Bluetooth,-67
187.945,Bluetooth,-68
187.978,Bluetooth,-68
187.979,Bluetooth,-68
188.011,Bluetooth,-66
188.012,Bluetooth,-66
188.041,Bluetooth,-67
188.042,Bluetooth,-68
188.071,Bluetooth,-68
188.072,Bluetooth,-68
188.102,Bluetooth,-69
188.103,Bluetooth,-67
188.132,Bluetooth,-67
188.134,Bluetooth,-67
188.163,Bluetooth,-66
188.164,Bluetooth,-66
188.192,Bluetooth,-69
188.193,Bluetooth,-69
188.225,Bluetooth,-68
188.227,Bluetooth,-68
188.256,Bluetooth,-67
188.257,Bluetooth,-67
188.320,Bluetooth,-69
188.321,Bluetooth,-69
188.352,Bluetooth,-69
188.353,Bluetooth,-69
188.382,Bluetooth,-68
188.411,Bluetooth,-69
188.412,Bluetooth,-69
188.442,Bluetooth,-69
188.473,Bluetooth,-67
188.507,Bluetooth,-67
188.509,Bluetooth,-67
188.540,Bluetooth,-69
188.574,Bluetooth,-68
188.575,Bluetooth,-68
188.642,Bluetooth,-66
188.643,Bluetooth,-66
188.676,Bluetooth,-68
188.677,Bluetooth,-68
188.702,Bluetooth,-67
188.703,Bluetooth,-67
188.736,Bluetooth,-65
188.737,Bluetooth,-66
188.802,Bluetooth,-69
188.803,Bluetooth,-69
188.833,Bluetooth,-67
188.835,Bluetooth,-67
188.863,Bluetooth,-68
188.865,Bluetooth,-67
188.896,Bluetooth,-69
188.898,Bluetooth,-69
188.992,Bluetooth,-66
188.993,Bluetooth,-65
189.022,Bluetooth,-69
189.023,Bluetooth,-69
189.055,Bluetooth,-68
189.057,Bluetooth,-68
189.117,Bluetooth,-66
189.119,Bluetooth,-67
189.146,Bluetooth,-69
189.148,Bluetooth,-69
189.180,Bluetooth,-68
189.182,Bluetooth,-68
189.211,Bluetooth,-67
189.212,Bluetooth,-67
189.243,Bluetooth,-67
189.245,Bluetooth,-66
189.276,Bluetooth,-70
189.277,Bluetooth,-68
189.310,Bluetooth,-67
189.312,Bluetooth,-68
189.345,Bluetooth,-67
189.347,Bluetooth,-66
189.373,Bluetooth,-68
189.375,Bluetooth,-68
278.196,Bluetooth,-72
278.197,Bluetooth,-72
278.257,Bluetooth,-70
278.259,Bluetooth,-71
278.323,Bluetooth,-73
278.324,Bluetooth,-72
278.353,Bluetooth,-72
278.354,Bluetooth,-72
278.415,Bluetooth,-74
278.416,Bluetooth,-73
278.449,Bluetooth,-72
278.450,Bluetooth,-72
278.478,Bluetooth,-72
278.479,Bluetooth,-72
278.513,Bluetooth,-74
278.514,Bluetooth,-73
278.574,Bluetooth,-72
278.576,Bluetooth,-72
278.605,Bluetooth,-72
278.606,Bluetooth,-73
278.637,Bluetooth,-73
278.638,Bluetooth,-74
278.669,Bluetooth,-72
278.670,Bluetooth,-71
278.700,Bluetooth,-72
278.702,Bluetooth,-72
278.729,Bluetooth,-72
278.731,Bluetooth,-72
278.762,Bluetooth,-73
278.764,Bluetooth,-73
278.793,Bluetooth,-72
278.794,Bluetooth,-73
278.856,Bluetooth,-71
278.858,Bluetooth,-72
278.888,Bluetooth,-73
278.890,Bluetooth,-73
278.921,Bluetooth,-70
278.923,Bluetooth,-69
278.950,Bluetooth,-72
278.952,Bluetooth,-72
279.048,Bluetooth,-72
279.049,Bluetooth,-72
279.079,Bluetooth,-72
279.112,Bluetooth,-73
279.114,Bluetooth,-73
279.142,Bluetooth,-73
279.144,Bluetooth,-73
279.175,Bluetooth,-74
279.204,Bluetooth,-72
279.235,Bluetooth,-72
279.236,Bluetooth,-72
279.295,Bluetooth,-73
279.297,Bluetooth,-73
279.324,Bluetooth,-71
279.326,Bluetooth,-72
279.354,Bluetooth,-73
279.356,Bluetooth,-74
279.387,Bluetooth,-72
279.388,Bluetooth,-73
279.420,Bluetooth,-71
279.422,Bluetooth,-72
279.454,Bluetooth,-71
279.455,Bluetooth,-73
279.524,Bluetooth,-72
279.525,Bluetooth,-72
279.546,Bluetooth,-73
279.548,Bluetooth,-72
279.612,Bluetooth,-73
279.614,Bluetooth,-73
279.643,Bluetooth,-72
279.644,Bluetooth,-72
279.671,Bluetooth,-72
279.673,Bluetooth,-72
279.735,Bluetooth,-74
279.773,Bluetooth,-72
279.774,Bluetooth,-72
279.799,Bluetooth,-71
279.800,Bluetooth,-71
279.832,Bluetooth,-73
279.834,Bluetooth,-73
279.894,Bluetooth,-72
279.896,Bluetooth,-72
279.928,Bluetooth,-72
279.930,Bluetooth,-72
279.958,Bluetooth,-73
279.961,Bluetooth,-73
279.989,Bluetooth,-72
279.990,Bluetooth,-71
280.024,Bluetooth,-72
280.025,Bluetooth,-72
280.050,Bluetooth,-72
280.052,Bluetooth,-72
280.081,Bluetooth,-73
280.083,Bluetooth,-72
280.114,Bluetooth,-72
280.116,Bluetooth,-72
280.173,Bluetooth,-72
280.174,Bluetooth,-73
280.207,Bluetooth,-75
280.239,Bluetooth,-72
280.241,Bluetooth,-72
280.273,Bluetooth,-71
280.274,Bluetooth,-72
280.300,Bluetooth,-72
280.302,Bluetooth,-70
280.335,Bluetooth,-73
280.336,Bluetooth,-73
