Distance,15.0
TXDevice,iPhoneXS
TXPower,12
RXDevice,iPhone8
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-61
0.001,Bluetooth,-62
0.063,Bluetooth,-58
0.065,Bluetooth,-57
0.137,Bluetooth,-61
0.138,Bluetooth,-60
0.208,Bluetooth,-58
0.209,Bluetooth,-58
0.245,Bluetooth,-61
0.246,Bluetooth,-61
0.314,Bluetooth,-59
0.347,Bluetooth,-62
0.349,Bluetooth,-62
0.381,Bluetooth,-56
0.382,Bluetooth,-57
0.413,Bluetooth,-58
0.414,Bluetooth,-57
0.442,Bluetooth,-60
0.443,Bluetooth,-60
0.478,Bluetooth,-60
0.479,Bluetooth,-60
0.510,Bluetooth,-56
0.511,Bluetooth,-56
0.544,Bluetooth,-61
0.581,Bluetooth,-61
0.582,Bluetooth,-61
0.607,Bluetooth,-61
0.608,Bluetooth,-59
0.647,Bluetooth,-56
0.648,Bluetooth,-55
0.686,Bluetooth,-61
0.687,Bluetooth,-61
0.724,Bluetooth,-60
0.725,Bluetooth,-60
0.756,Bluetooth,-54
0.757,Bluetooth,-55
0.789,Bluetooth,-61
0.790,Bluetooth,-61
0.820,Bluetooth,-61
0.821,Bluetooth,-60
1.068,Bluetooth,-59
1.069,Bluetooth,-60
1.102,Bluetooth,-54
1.104,Bluetooth,-53
1.136,Bluetooth,-54
1.137,Bluetooth,-55
1.166,Bluetooth,-59
1.168,Bluetooth,-59
1.198,Bluetooth,-57
1.200,Bluetooth,-58
1.229,Bluetooth,-53
1.230,Bluetooth,-55
1.264,Bluetooth,-59
1.265,Bluetooth,-59
1.302,Bluetooth,-59
1.303,Bluetooth,-59
1.342,Bluetooth,-54
1.344,Bluetooth,-54
1.381,Bluetooth,-59
1.383,Bluetooth,-60
1.415,Bluetooth,-59
1.416,Bluetooth,-59
1.449,Bluetooth,-59
1.451,Bluetooth,-60
1.516,Bluetooth,-59
1.518,Bluetooth,-57
1.553,Bluetooth,-60
1.555,Bluetooth,-61
1.592,Bluetooth,-54
1.593,Bluetooth,-55
1.832,Bluetooth,-54
1.833,Bluetooth,-54
1.862,Bluetooth,-59
1.863,Bluetooth,-59
1.892,Bluetooth,-59
1.893,Bluetooth,-60
1.931,Bluetooth,-61
1.932,Bluetooth,-61
1.999,Bluetooth,-58
2.001,Bluetooth,-60
2.036,Bluetooth,-62
2.066,Bluetooth,-54
2.067,Bluetooth,-54
2.138,Bluetooth,-58
2.139,Bluetooth,-60
2.213,Bluetooth,-54
2.214,Bluetooth,-54
2.242,Bluetooth,-60
2.243,Bluetooth,-59
2.279,Bluetooth,-61
2.280,Bluetooth,-61
2.314,Bluetooth,-54
2.315,Bluetooth,-55
2.346,Bluetooth,-60
2.347,Bluetooth,-59
2.381,Bluetooth,-61
2.382,Bluetooth,-61
2.458,Bluetooth,-55
2.459,Bluetooth,-55
2.525,Bluetooth,-61
2.526,Bluetooth,-61
2.596,Bluetooth,-58
2.597,Bluetooth,-60
2.629,Bluetooth,-60
2.630,Bluetooth,-62
2.661,Bluetooth,-55
2.662,Bluetooth,-54
2.733,Bluetooth,-59
2.735,Bluetooth,-59
2.765,Bluetooth,-60
2.766,Bluetooth,-62
2.802,Bluetooth,-55
2.803,Bluetooth,-55
2.833,Bluetooth,-59
2.834,Bluetooth,-59
2.898,Bluetooth,-62
2.899,Bluetooth,-61
2.938,Bluetooth,-54
2.939,Bluetooth,-55
2.976,Bluetooth,-58
2.977,Bluetooth,-58
3.013,Bluetooth,-61
3.055,Bluetooth,-54
3.056,Bluetooth,-55
3.087,Bluetooth,-59
3.088,Bluetooth,-59
3.128,Bluetooth,-61
3.129,Bluetooth,-61
3.197,Bluetooth,-58
3.238,Bluetooth,-61
3.239,Bluetooth,-60
3.272,Bluetooth,-54
3.272,Bluetooth,-53
3.310,Bluetooth,-57
3.311,Bluetooth,-58
3.349,Bluetooth,-61
3.351,Bluetooth,-62
3.456,Bluetooth,-58
3.556,Bluetooth,-59
3.587,Bluetooth,-63
3.588,Bluetooth,-63
3.692,Bluetooth,-59
3.693,Bluetooth,-58
3.761,Bluetooth,-54
3.762,Bluetooth,-54
3.797,Bluetooth,-59
3.799,Bluetooth,-60
3.834,Bluetooth,-62
3.835,Bluetooth,-63
3.903,Bluetooth,-59
3.904,Bluetooth,-60
3.937,Bluetooth,-59
3.938,Bluetooth,-59
3.978,Bluetooth,-63
3.979,Bluetooth,-63
31.397,Bluetooth,-71
31.399,Bluetooth,-71
31.429,Bluetooth,-68
31.430,Bluetooth,-69
31.467,Bluetooth,-71
31.468,Bluetooth,-71
31.500,Bluetooth,-72
31.611,Bluetooth,-71
31.612,Bluetooth,-71
31.646,Bluetooth,-71
31.647,Bluetooth,-72
31.680,Bluetooth,-69
31.681,Bluetooth,-69
31.711,Bluetooth,-71
31.712,Bluetooth,-70
31.775,Bluetooth,-72
31.776,Bluetooth,-71
31.811,Bluetooth,-70
31.812,Bluetooth,-68
31.883,Bluetooth,-71
31.884,Bluetooth,-70
31.951,Bluetooth,-71
31.953,Bluetooth,-70
31.988,Bluetooth,-71
31.990,Bluetooth,-72
32.089,Bluetooth,-71
32.090,Bluetooth,-70
32.119,Bluetooth,-71
32.158,Bluetooth,-70
32.159,Bluetooth,-70
32.187,Bluetooth,-71
32.189,Bluetooth,-71
32.260,Bluetooth,-69
32.262,Bluetooth,-68
32.331,Bluetooth,-71
32.333,Bluetooth,-71
32.370,Bluetooth,-70
32.404,Bluetooth,-70
32.406,Bluetooth,-70
32.441,Bluetooth,-72
32.442,Bluetooth,-71
32.477,Bluetooth,-71
32.542,Bluetooth,-71
32.543,Bluetooth,-70
32.622,Bluetooth,-68
32.623,Bluetooth,-69
32.653,Bluetooth,-69
32.683,Bluetooth,-73
32.717,Bluetooth,-68
32.718,Bluetooth,-67
32.748,Bluetooth,-69
32.749,Bluetooth,-69
32.778,Bluetooth,-67
32.779,Bluetooth,-67
32.810,Bluetooth,-73
32.811,Bluetooth,-73
32.879,Bluetooth,-68
32.880,Bluetooth,-69
32.988,Bluetooth,-68
32.989,Bluetooth,-68
33.026,Bluetooth,-72
33.127,Bluetooth,-67
33.128,Bluetooth,-67
33.156,Bluetooth,-74
33.158,Bluetooth,-74
33.189,Bluetooth,-71
33.224,Bluetooth,-66
33.258,Bluetooth,-67
33.330,Bluetooth,-70
33.395,Bluetooth,-74
33.396,Bluetooth,-75
33.430,Bluetooth,-70
33.531,Bluetooth,-75
33.563,Bluetooth,-70
33.597,Bluetooth,-66
33.598,Bluetooth,-67
33.628,Bluetooth,-75
33.629,Bluetooth,-76
33.775,Bluetooth,-75
33.776,Bluetooth,-75
33.812,Bluetooth,-70
33.813,Bluetooth,-71
33.847,Bluetooth,-66
33.848,Bluetooth,-66
33.878,Bluetooth,-74
33.948,Bluetooth,-66
33.949,Bluetooth,-66
33.980,Bluetooth,-73
33.981,Bluetooth,-74
34.010,Bluetooth,-74
34.011,Bluetooth,-73
34.042,Bluetooth,-69
34.043,Bluetooth,-69
34.077,Bluetooth,-66
34.078,Bluetooth,-67
34.108,Bluetooth,-72
34.144,Bluetooth,-70
34.145,Bluetooth,-70
34.205,Bluetooth,-67
34.206,Bluetooth,-66
34.240,Bluetooth,-71
34.241,Bluetooth,-71
34.345,Bluetooth,-72
34.346,Bluetooth,-72
34.379,Bluetooth,-70
34.381,Bluetooth,-69
34.415,Bluetooth,-69
34.416,Bluetooth,-69
34.453,Bluetooth,-65
34.454,Bluetooth,-65
34.524,Bluetooth,-69
34.525,Bluetooth,-70
34.589,Bluetooth,-73
34.590,Bluetooth,-73
34.619,Bluetooth,-69
34.620,Bluetooth,-68
34.650,Bluetooth,-69
34.652,Bluetooth,-69
34.683,Bluetooth,-65
34.684,Bluetooth,-67
34.713,Bluetooth,-73
34.747,Bluetooth,-70
34.748,Bluetooth,-70
34.840,Bluetooth,-74
34.841,Bluetooth,-75
34.950,Bluetooth,-75
34.951,Bluetooth,-76
34.982,Bluetooth,-70
35.012,Bluetooth,-70
35.087,Bluetooth,-76
35.088,Bluetooth,-75
35.160,Bluetooth,-67
35.161,Bluetooth,-67
35.196,Bluetooth,-75
35.198,Bluetooth,-75
35.227,Bluetooth,-70
35.262,Bluetooth,-67
35.264,Bluetooth,-67
35.334,Bluetooth,-75
35.335,Bluetooth,-75
35.366,Bluetooth,-71
60.346,Bluetooth,-58
60.385,Bluetooth,-63
60.386,Bluetooth,-64
60.421,Bluetooth,-67
60.422,Bluetooth,-67
60.534,Bluetooth,-63
60.535,Bluetooth,-64
60.576,Bluetooth,-70
60.577,Bluetooth,-71
60.600,Bluetooth,-57
