Distance,15.0
TXDevice,iPhone11
TXPower,8
RXDevice,iPhone11_Pro_max
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-63
0.064,Bluetooth,-60
0.065,Bluetooth,-60
0.231,Bluetooth,-58
0.232,Bluetooth,-58
0.330,Bluetooth,-57
0.331,Bluetooth,-57
0.368,Bluetooth,-59
0.369,Bluetooth,-60
0.404,Bluetooth,-61
0.405,Bluetooth,-62
0.437,Bluetooth,-57
0.438,Bluetooth,-58
0.479,Bluetooth,-63
0.480,Bluetooth,-63
0.618,Bluetooth,-60
0.619,Bluetooth,-60
0.662,Bluetooth,-59
0.663,Bluetooth,-59
0.692,Bluetooth,-67
0.693,Bluetooth,-67
0.757,Bluetooth,-64
0.757,Bluetooth,-64
0.793,Bluetooth,-59
0.794,Bluetooth,-59
0.833,Bluetooth,-61
0.834,Bluetooth,-61
0.868,Bluetooth,-63
0.869,Bluetooth,-63
0.902,Bluetooth,-59
0.979,Bluetooth,-61
0.981,Bluetooth,-61
1.013,Bluetooth,-62
1.014,Bluetooth,-62
1.041,Bluetooth,-61
1.042,Bluetooth,-61
1.082,Bluetooth,-58
1.083,Bluetooth,-58
1.151,Bluetooth,-62
1.152,Bluetooth,-61
1.193,Bluetooth,-59
1.230,Bluetooth,-61
1.231,Bluetooth,-61
1.299,Bluetooth,-54
1.300,Bluetooth,-53
1.339,Bluetooth,-59
1.339,Bluetooth,-60
1.369,Bluetooth,-58
1.370,Bluetooth,-59
1.400,Bluetooth,-53
1.401,Bluetooth,-53
1.506,Bluetooth,-59
1.540,Bluetooth,-59
1.541,Bluetooth,-61
1.581,Bluetooth,-57
1.582,Bluetooth,-58
1.645,Bluetooth,-61
1.646,Bluetooth,-62
1.753,Bluetooth,-61
1.754,Bluetooth,-60
1.784,Bluetooth,-56
1.861,Bluetooth,-57
1.862,Bluetooth,-57
1.899,Bluetooth,-58
1.900,Bluetooth,-58
1.937,Bluetooth,-62
1.938,Bluetooth,-62
2.083,Bluetooth,-57
2.115,Bluetooth,-59
2.116,Bluetooth,-60
2.180,Bluetooth,-55
2.181,Bluetooth,-56
2.243,Bluetooth,-61
2.244,Bluetooth,-60
2.273,Bluetooth,-55
2.274,Bluetooth,-55
2.377,Bluetooth,-60
2.413,Bluetooth,-61
2.414,Bluetooth,-61
2.452,Bluetooth,-55
2.453,Bluetooth,-55
2.525,Bluetooth,-56
2.526,Bluetooth,-57
2.696,Bluetooth,-56
2.733,Bluetooth,-62
2.733,Bluetooth,-60
2.770,Bluetooth,-55
2.771,Bluetooth,-55
2.809,Bluetooth,-57
2.810,Bluetooth,-57
2.843,Bluetooth,-61
2.844,Bluetooth,-61
2.878,Bluetooth,-55
2.879,Bluetooth,-55
2.982,Bluetooth,-57
3.016,Bluetooth,-61
3.095,Bluetooth,-59
3.097,Bluetooth,-57
3.228,Bluetooth,-58
3.229,Bluetooth,-58
3.266,Bluetooth,-61
3.267,Bluetooth,-61
3.295,Bluetooth,-60
3.327,Bluetooth,-61
3.328,Bluetooth,-62
3.403,Bluetooth,-57
3.404,Bluetooth,-58
3.432,Bluetooth,-61
3.433,Bluetooth,-62
3.605,Bluetooth,-55
3.675,Bluetooth,-56
3.675,Bluetooth,-55
3.705,Bluetooth,-58
3.705,Bluetooth,-58
3.778,Bluetooth,-55
3.779,Bluetooth,-56
3.843,Bluetooth,-57
3.844,Bluetooth,-57
3.904,Bluetooth,-58
3.938,Bluetooth,-63
3.939,Bluetooth,-63
26.891,Bluetooth,-69
26.929,Bluetooth,-77
26.930,Bluetooth,-77
27.002,Bluetooth,-70
27.033,Bluetooth,-68
27.034,Bluetooth,-68
27.067,Bluetooth,-60
27.100,Bluetooth,-63
27.101,Bluetooth,-63
27.140,Bluetooth,-66
27.141,Bluetooth,-65
27.216,Bluetooth,-63
27.217,Bluetooth,-62
27.359,Bluetooth,-61
27.360,Bluetooth,-61
27.396,Bluetooth,-65
27.397,Bluetooth,-65
27.534,Bluetooth,-66
27.535,Bluetooth,-65
27.572,Bluetooth,-65
27.573,Bluetooth,-65
27.602,Bluetooth,-65
27.632,Bluetooth,-65
27.633,Bluetooth,-65
27.708,Bluetooth,-63
27.709,Bluetooth,-63
27.782,Bluetooth,-65
27.783,Bluetooth,-64
27.815,Bluetooth,-61
27.816,Bluetooth,-61
