Distance,10.0
TXDevice,iPhone11
TXPower,8
RXDevice,iPhone11_Pro_max
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-59
0.001,Bluetooth,-59
0.036,Bluetooth,-54
0.037,Bluetooth,-54
0.067,Bluetooth,-56
0.068,Bluetooth,-57
0.103,Bluetooth,-59
0.104,Bluetooth,-59
0.135,Bluetooth,-55
0.136,Bluetooth,-55
0.208,Bluetooth,-55
0.243,Bluetooth,-56
0.243,Bluetooth,-56
0.279,Bluetooth,-61
0.280,Bluetooth,-60
0.405,Bluetooth,-59
0.406,Bluetooth,-59
0.438,Bluetooth,-54
0.439,Bluetooth,-55
0.477,Bluetooth,-57
0.478,Bluetooth,-57
0.511,Bluetooth,-57
0.546,Bluetooth,-58
0.547,Bluetooth,-57
0.585,Bluetooth,-59
0.586,Bluetooth,-58
0.615,Bluetooth,-58
0.616,Bluetooth,-57
0.681,Bluetooth,-60
0.682,Bluetooth,-60
0.720,Bluetooth,-58
0.721,Bluetooth,-60
0.757,Bluetooth,-63
0.758,Bluetooth,-63
0.793,Bluetooth,-57
0.794,Bluetooth,-58
0.829,Bluetooth,-61
0.942,Bluetooth,-57
0.942,Bluetooth,-57
0.982,Bluetooth,-63
0.983,Bluetooth,-62
1.057,Bluetooth,-61
1.058,Bluetooth,-61
1.123,Bluetooth,-64
1.187,Bluetooth,-60
1.188,Bluetooth,-60
1.354,Bluetooth,-58
1.355,Bluetooth,-58
1.453,Bluetooth,-57
1.454,Bluetooth,-56
1.491,Bluetooth,-59
1.492,Bluetooth,-60
1.527,Bluetooth,-60
1.528,Bluetooth,-62
1.560,Bluetooth,-58
1.561,Bluetooth,-57
1.602,Bluetooth,-63
1.603,Bluetooth,-63
1.741,Bluetooth,-59
1.742,Bluetooth,-60
1.785,Bluetooth,-58
1.786,Bluetooth,-59
1.815,Bluetooth,-68
1.816,Bluetooth,-67
1.880,Bluetooth,-64
1.880,Bluetooth,-65
1.916,Bluetooth,-58
1.917,Bluetooth,-59
1.956,Bluetooth,-61
1.957,Bluetooth,-62
1.991,Bluetooth,-63
1.992,Bluetooth,-63
2.025,Bluetooth,-60
2.102,Bluetooth,-60
2.104,Bluetooth,-60
2.136,Bluetooth,-61
2.137,Bluetooth,-62
2.164,Bluetooth,-61
2.165,Bluetooth,-61
2.205,Bluetooth,-59
2.206,Bluetooth,-58
2.274,Bluetooth,-61
2.275,Bluetooth,-61
2.316,Bluetooth,-60
2.353,Bluetooth,-61
2.354,Bluetooth,-61
2.422,Bluetooth,-54
2.423,Bluetooth,-54
2.462,Bluetooth,-60
2.462,Bluetooth,-60
2.492,Bluetooth,-59
2.493,Bluetooth,-58
2.523,Bluetooth,-53
2.524,Bluetooth,-53
2.629,Bluetooth,-61
2.663,Bluetooth,-58
2.664,Bluetooth,-60
2.704,Bluetooth,-57
2.705,Bluetooth,-58
2.768,Bluetooth,-60
2.769,Bluetooth,-61
2.876,Bluetooth,-60
2.877,Bluetooth,-61
2.907,Bluetooth,-57
2.984,Bluetooth,-57
2.985,Bluetooth,-57
3.022,Bluetooth,-58
3.023,Bluetooth,-58
3.060,Bluetooth,-62
