Distance,6.0
TXDevice,iPhone11
TXPower,8
RXDevice,iPhone11_Pro_max
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-48
0.002,Bluetooth,-48
0.037,Bluetooth,-48
0.039,Bluetooth,-48
0.071,Bluetooth,-48
0.145,Bluetooth,-48
0.146,Bluetooth,-48
0.180,Bluetooth,-48
0.181,Bluetooth,-48
0.211,Bluetooth,-49
0.248,Bluetooth,-48
0.249,Bluetooth,-48
0.288,Bluetooth,-48
0.289,Bluetooth,-49
0.327,Bluetooth,-49
0.327,Bluetooth,-48
0.363,Bluetooth,-48
0.394,Bluetooth,-48
0.395,Bluetooth,-48
0.432,Bluetooth,-48
0.433,Bluetooth,-48
0.510,Bluetooth,-48
0.510,Bluetooth,-48
0.539,Bluetooth,-48
0.541,Bluetooth,-48
0.579,Bluetooth,-49
0.580,Bluetooth,-48
0.608,Bluetooth,-48
0.609,Bluetooth,-49
0.639,Bluetooth,-47
0.640,Bluetooth,-47
0.821,Bluetooth,-48
0.822,Bluetooth,-48
0.887,Bluetooth,-48
0.887,Bluetooth,-48
0.917,Bluetooth,-47
0.918,Bluetooth,-48
0.947,Bluetooth,-49
1.123,Bluetooth,-48
1.124,Bluetooth,-48
1.153,Bluetooth,-49
1.153,Bluetooth,-48
1.196,Bluetooth,-50
1.197,Bluetooth,-48
1.332,Bluetooth,-48
1.333,Bluetooth,-50
1.367,Bluetooth,-49
1.368,Bluetooth,-48
1.396,Bluetooth,-48
1.397,Bluetooth,-49
1.533,Bluetooth,-49
1.535,Bluetooth,-49
1.569,Bluetooth,-50
1.604,Bluetooth,-50
1.606,Bluetooth,-49
1.682,Bluetooth,-49
1.683,Bluetooth,-49
1.713,Bluetooth,-49
1.714,Bluetooth,-49
1.751,Bluetooth,-48
1.753,Bluetooth,-49
1.786,Bluetooth,-49
1.786,Bluetooth,-49
1.820,Bluetooth,-48
1.821,Bluetooth,-48
1.860,Bluetooth,-50
1.891,Bluetooth,-49
1.931,Bluetooth,-49
1.933,Bluetooth,-49
1.966,Bluetooth,-49
1.967,Bluetooth,-49
2.102,Bluetooth,-49
2.103,Bluetooth,-49
2.133,Bluetooth,-49
2.134,Bluetooth,-50
2.171,Bluetooth,-48
2.275,Bluetooth,-49
2.276,Bluetooth,-48
2.304,Bluetooth,-48
2.306,Bluetooth,-49
2.340,Bluetooth,-48
2.445,Bluetooth,-50
2.446,Bluetooth,-49
2.447,Bluetooth,-48
2.482,Bluetooth,-49
2.483,Bluetooth,-49
2.519,Bluetooth,-49
2.520,Bluetooth,-50
2.585,Bluetooth,-50
2.585,Bluetooth,-49
2.615,Bluetooth,-49
2.616,Bluetooth,-49
2.652,Bluetooth,-49
2.654,Bluetooth,-50
2.689,Bluetooth,-49
2.689,Bluetooth,-49
2.724,Bluetooth,-49
2.726,Bluetooth,-50
2.759,Bluetooth,-50
2.790,Bluetooth,-48
2.792,Bluetooth,-49
2.826,Bluetooth,-49
2.827,Bluetooth,-50
2.904,Bluetooth,-49
2.905,Bluetooth,-48
2.945,Bluetooth,-49
2.946,Bluetooth,-50
2.981,Bluetooth,-50
2.982,Bluetooth,-49
3.019,Bluetooth,-49
3.020,Bluetooth,-49
3.057,Bluetooth,-48
3.094,Bluetooth,-50
3.096,Bluetooth,-49
3.174,Bluetooth,-48
3.176,Bluetooth,-48
3.212,Bluetooth,-50
3.213,Bluetooth,-49
3.246,Bluetooth,-48
3.247,Bluetooth,-47
3.347,Bluetooth,-50
3.458,Bluetooth,-48
3.459,Bluetooth,-47
3.524,Bluetooth,-49
3.525,Bluetooth,-48
3.626,Bluetooth,-49
3.628,Bluetooth,-49
3.659,Bluetooth,-49
3.738,Bluetooth,-49
3.739,Bluetooth,-48
3.809,Bluetooth,-48
3.811,Bluetooth,-48
3.850,Bluetooth,-48
3.851,Bluetooth,-49
3.883,Bluetooth,-49
3.885,Bluetooth,-49
3.954,Bluetooth,-48
41.885,Bluetooth,-48
41.886,Bluetooth,-47
41.986,Bluetooth,-49
41.987,Bluetooth,-49
42.059,Bluetooth,-48
42.086,Bluetooth,-50
42.087,Bluetooth,-50
42.122,Bluetooth,-47
42.123,Bluetooth,-47
42.161,Bluetooth,-50
42.161,Bluetooth,-48
42.229,Bluetooth,-48
42.230,Bluetooth,-48
42.267,Bluetooth,-45
42.268,Bluetooth,-46
42.338,Bluetooth,-46
42.339,Bluetooth,-48
42.487,Bluetooth,-51
42.488,Bluetooth,-50
42.556,Bluetooth,-45
42.557,Bluetooth,-45
42.592,Bluetooth,-52
42.593,Bluetooth,-52
42.623,Bluetooth,-45
42.624,Bluetooth,-47
42.655,Bluetooth,-44
42.687,Bluetooth,-45
42.689,Bluetooth,-46
42.724,Bluetooth,-48
42.725,Bluetooth,-47
42.826,Bluetooth,-49
42.827,Bluetooth,-49
42.862,Bluetooth,-49
42.863,Bluetooth,-50
42.903,Bluetooth,-50
42.904,Bluetooth,-51
42.931,Bluetooth,-50
42.933,Bluetooth,-50
42.973,Bluetooth,-52
43.011,Bluetooth,-52
43.012,Bluetooth,-52
43.073,Bluetooth,-52
43.073,Bluetooth,-52
43.106,Bluetooth,-56
43.107,Bluetooth,-56
43.284,Bluetooth,-55
43.285,Bluetooth,-54
43.322,Bluetooth,-52
43.323,Bluetooth,-52
43.391,Bluetooth,-51
43.392,Bluetooth,-50
43.495,Bluetooth,-50
43.496,Bluetooth,-51
43.562,Bluetooth,-51
43.595,Bluetooth,-55
43.596,Bluetooth,-55
43.665,Bluetooth,-52
43.666,Bluetooth,-51
43.847,Bluetooth,-55
43.916,Bluetooth,-49
43.917,Bluetooth,-49
43.987,Bluetooth,-52
43.988,Bluetooth,-51
44.058,Bluetooth,-49
44.058,Bluetooth,-49
44.158,Bluetooth,-49
44.366,Bluetooth,-52
44.368,Bluetooth,-52
44.474,Bluetooth,-51
44.622,Bluetooth,-54
44.623,Bluetooth,-53
44.653,Bluetooth,-51
44.654,Bluetooth,-50
44.683,Bluetooth,-50
44.724,Bluetooth,-49
44.725,Bluetooth,-49
44.755,Bluetooth,-53
44.792,Bluetooth,-50
44.794,Bluetooth,-50
44.824,Bluetooth,-54
44.825,Bluetooth,-53
44.930,Bluetooth,-53
44.932,Bluetooth,-53
45.001,Bluetooth,-55
45.002,Bluetooth,-55
45.034,Bluetooth,-53
45.035,Bluetooth,-54
45.067,Bluetooth,-54
45.098,Bluetooth,-55
45.099,Bluetooth,-54
45.201,Bluetooth,-54
45.202,Bluetooth,-53
45.304,Bluetooth,-52
45.305,Bluetooth,-52
45.343,Bluetooth,-52
45.344,Bluetooth,-52
45.376,Bluetooth,-52
45.448,Bluetooth,-55
45.449,Bluetooth,-56
45.479,Bluetooth,-52
45.480,Bluetooth,-52
45.543,Bluetooth,-57
45.544,Bluetooth,-58
45.636,Bluetooth,-53
45.637,Bluetooth,-53
45.673,Bluetooth,-57
45.700,Bluetooth,-55
45.700,Bluetooth,-53
45.771,Bluetooth,-57
45.772,Bluetooth,-57
45.812,Bluetooth,-54
45.813,Bluetooth,-54
45.848,Bluetooth,-51
45.849,Bluetooth,-53
91.202,Bluetooth,-49
91.203,Bluetooth,-49
91.239,Bluetooth,-51
91.241,Bluetooth,-51
91.274,Bluetooth,-52
91.313,Bluetooth,-52
91.314,Bluetooth,-51
91.346,Bluetooth,-50
91.347,Bluetooth,-48
91.449,Bluetooth,-49
91.450,Bluetooth,-47
91.480,Bluetooth,-49
91.551,Bluetooth,-48
91.584,Bluetooth,-51
91.585,Bluetooth,-51
91.623,Bluetooth,-48
91.624,Bluetooth,-48
91.733,Bluetooth,-50
91.734,Bluetooth,-50
91.772,Bluetooth,-51
91.773,Bluetooth,-51
91.811,Bluetooth,-49
91.812,Bluetooth,-50
91.845,Bluetooth,-50
91.882,Bluetooth,-49
91.883,Bluetooth,-50
91.946,Bluetooth,-51
91.947,Bluetooth,-51
92.014,Bluetooth,-50
92.015,Bluetooth,-50
92.050,Bluetooth,-52
92.051,Bluetooth,-52
92.091,Bluetooth,-51
92.092,Bluetooth,-50
92.188,Bluetooth,-52
92.189,Bluetooth,-52
92.220,Bluetooth,-53
92.221,Bluetooth,-53
92.326,Bluetooth,-51
92.327,Bluetooth,-50
92.361,Bluetooth,-51
92.361,Bluetooth,-50
92.435,Bluetooth,-51
92.436,Bluetooth,-51
92.473,Bluetooth,-50
92.540,Bluetooth,-50
92.580,Bluetooth,-48
92.581,Bluetooth,-48
92.645,Bluetooth,-49
92.646,Bluetooth,-50
92.818,Bluetooth,-51
92.819,Bluetooth,-51
92.860,Bluetooth,-51
92.861,Bluetooth,-50
92.929,Bluetooth,-51
92.929,Bluetooth,-50
93.037,Bluetooth,-50
93.038,Bluetooth,-51
93.203,Bluetooth,-50
93.203,Bluetooth,-50
93.268,Bluetooth,-49
93.269,Bluetooth,-49
93.306,Bluetooth,-49
93.307,Bluetooth,-51
93.336,Bluetooth,-49
93.336,Bluetooth,-49
93.371,Bluetooth,-49
93.439,Bluetooth,-50
93.440,Bluetooth,-50
93.507,Bluetooth,-49
93.508,Bluetooth,-49
93.578,Bluetooth,-48
93.579,Bluetooth,-50
93.610,Bluetooth,-48
93.611,Bluetooth,-49
93.744,Bluetooth,-48
93.745,Bluetooth,-50
93.781,Bluetooth,-49
93.782,Bluetooth,-49
93.817,Bluetooth,-50
93.818,Bluetooth,-49
93.848,Bluetooth,-49
93.849,Bluetooth,-49
93.878,Bluetooth,-49
93.880,Bluetooth,-50
93.908,Bluetooth,-49
93.909,Bluetooth,-48
93.971,Bluetooth,-49
94.038,Bluetooth,-49
94.039,Bluetooth,-49
94.072,Bluetooth,-50
94.073,Bluetooth,-50
94.250,Bluetooth,-48
94.319,Bluetooth,-48
94.321,Bluetooth,-47
94.426,Bluetooth,-47
94.426,Bluetooth,-48
94.489,Bluetooth,-49
94.490,Bluetooth,-49
94.557,Bluetooth,-49
94.594,Bluetooth,-49
94.595,Bluetooth,-48
94.626,Bluetooth,-51
94.627,Bluetooth,-51
94.666,Bluetooth,-48
94.667,Bluetooth,-47
94.772,Bluetooth,-50
94.773,Bluetooth,-50
94.841,Bluetooth,-50
94.842,Bluetooth,-49
94.911,Bluetooth,-48
94.912,Bluetooth,-49
94.988,Bluetooth,-49
94.988,Bluetooth,-49
95.015,Bluetooth,-50
95.087,Bluetooth,-48
95.088,Bluetooth,-49
95.122,Bluetooth,-49
95.122,Bluetooth,-49
95.154,Bluetooth,-49
151.798,Bluetooth,-50
151.799,Bluetooth,-50
151.835,Bluetooth,-53
151.835,Bluetooth,-52
151.874,Bluetooth,-52
151.912,Bluetooth,-52
151.913,Bluetooth,-52
151.944,Bluetooth,-48
151.945,Bluetooth,-48
152.089,Bluetooth,-48
152.090,Bluetooth,-48
152.161,Bluetooth,-48
152.195,Bluetooth,-48
152.197,Bluetooth,-47
152.225,Bluetooth,-50
152.227,Bluetooth,-51
152.261,Bluetooth,-52
152.262,Bluetooth,-52
152.414,Bluetooth,-53
152.415,Bluetooth,-51
152.445,Bluetooth,-48
152.446,Bluetooth,-49
152.478,Bluetooth,-49
152.546,Bluetooth,-49
152.547,Bluetooth,-49
152.576,Bluetooth,-52
152.577,Bluetooth,-52
152.606,Bluetooth,-50
152.607,Bluetooth,-47
152.644,Bluetooth,-49
152.645,Bluetooth,-49
152.747,Bluetooth,-52
152.782,Bluetooth,-48
152.783,Bluetooth,-48
152.821,Bluetooth,-50
152.822,Bluetooth,-50
152.930,Bluetooth,-49
152.996,Bluetooth,-54
152.997,Bluetooth,-53
153.028,Bluetooth,-49
153.029,Bluetooth,-49
153.067,Bluetooth,-48
153.102,Bluetooth,-48
153.102,Bluetooth,-49
153.140,Bluetooth,-50
153.142,Bluetooth,-50
153.365,Bluetooth,-53
153.396,Bluetooth,-52
153.397,Bluetooth,-52
153.434,Bluetooth,-51
153.435,Bluetooth,-51
153.470,Bluetooth,-50
153.471,Bluetooth,-51
153.580,Bluetooth,-51
153.581,Bluetooth,-51
153.682,Bluetooth,-52
153.683,Bluetooth,-52
153.723,Bluetooth,-51
153.724,Bluetooth,-50
153.793,Bluetooth,-50
153.794,Bluetooth,-49
153.861,Bluetooth,-51
153.862,Bluetooth,-52
153.997,Bluetooth,-52
153.998,Bluetooth,-53
154.034,Bluetooth,-51
154.035,Bluetooth,-51
154.072,Bluetooth,-49
154.073,Bluetooth,-49
154.105,Bluetooth,-52
154.106,Bluetooth,-53
154.248,Bluetooth,-53
154.288,Bluetooth,-52
154.289,Bluetooth,-51
154.320,Bluetooth,-52
154.321,Bluetooth,-51
154.353,Bluetooth,-52
154.354,Bluetooth,-52
154.384,Bluetooth,-49
154.385,Bluetooth,-49
154.489,Bluetooth,-51
154.490,Bluetooth,-49
154.568,Bluetooth,-51
154.680,Bluetooth,-48
154.681,Bluetooth,-49
154.758,Bluetooth,-51
154.759,Bluetooth,-51
154.793,Bluetooth,-50
154.794,Bluetooth,-51
154.858,Bluetooth,-53
154.926,Bluetooth,-52
154.927,Bluetooth,-53
155.022,Bluetooth,-48
155.022,Bluetooth,-49
155.057,Bluetooth,-51
155.057,Bluetooth,-51
155.207,Bluetooth,-49
155.271,Bluetooth,-50
155.271,Bluetooth,-49
155.306,Bluetooth,-46
155.307,Bluetooth,-46
155.336,Bluetooth,-47
155.337,Bluetooth,-47
155.475,Bluetooth,-52
155.644,Bluetooth,-44
155.645,Bluetooth,-46
155.754,Bluetooth,-45
200.363,Bluetooth,-58
200.364,Bluetooth,-59
200.393,Bluetooth,-58
200.394,Bluetooth,-58
200.426,Bluetooth,-58
200.427,Bluetooth,-57
200.467,Bluetooth,-58
200.534,Bluetooth,-57
200.534,Bluetooth,-57
200.644,Bluetooth,-56
200.645,Bluetooth,-56
200.717,Bluetooth,-62
200.718,Bluetooth,-61
200.749,Bluetooth,-62
200.816,Bluetooth,-64
200.817,Bluetooth,-65
200.878,Bluetooth,-59
200.880,Bluetooth,-60
200.953,Bluetooth,-59
200.954,Bluetooth,-58
201.060,Bluetooth,-63
201.092,Bluetooth,-52
201.093,Bluetooth,-52
201.126,Bluetooth,-63
201.127,Bluetooth,-63
201.227,Bluetooth,-52
201.228,Bluetooth,-52
201.296,Bluetooth,-59
201.297,Bluetooth,-60
201.326,Bluetooth,-51
201.327,Bluetooth,-51
201.391,Bluetooth,-50
201.392,Bluetooth,-51
201.426,Bluetooth,-62
201.427,Bluetooth,-61
201.460,Bluetooth,-58
201.461,Bluetooth,-58
201.523,Bluetooth,-51
201.524,Bluetooth,-51
201.565,Bluetooth,-65
201.566,Bluetooth,-64
201.596,Bluetooth,-57
201.597,Bluetooth,-58
201.632,Bluetooth,-52
201.632,Bluetooth,-52
201.661,Bluetooth,-52
201.695,Bluetooth,-52
201.696,Bluetooth,-52
201.832,Bluetooth,-51
201.833,Bluetooth,-52
201.873,Bluetooth,-55
201.874,Bluetooth,-55
201.906,Bluetooth,-54
201.942,Bluetooth,-49
201.943,Bluetooth,-50
202.085,Bluetooth,-51
202.086,Bluetooth,-51
202.114,Bluetooth,-55
202.115,Bluetooth,-55
202.148,Bluetooth,-55
202.148,Bluetooth,-55
202.185,Bluetooth,-51
202.186,Bluetooth,-50
202.224,Bluetooth,-55
202.225,Bluetooth,-54
202.325,Bluetooth,-51
202.326,Bluetooth,-51
202.364,Bluetooth,-55
202.364,Bluetooth,-54
202.401,Bluetooth,-55
202.404,Bluetooth,-54
202.471,Bluetooth,-54
202.473,Bluetooth,-54
202.506,Bluetooth,-53
202.506,Bluetooth,-53
202.575,Bluetooth,-51
202.729,Bluetooth,-57
202.730,Bluetooth,-55
202.769,Bluetooth,-55
202.770,Bluetooth,-56
202.803,Bluetooth,-51
202.805,Bluetooth,-52
202.908,Bluetooth,-58
202.909,Bluetooth,-58
202.943,Bluetooth,-56
202.943,Bluetooth,-56
203.012,Bluetooth,-59
203.013,Bluetooth,-59
203.118,Bluetooth,-52
203.119,Bluetooth,-52
203.152,Bluetooth,-55
203.185,Bluetooth,-57
203.186,Bluetooth,-55
203.251,Bluetooth,-55
203.252,Bluetooth,-56
203.316,Bluetooth,-56
203.317,Bluetooth,-56
203.348,Bluetooth,-55
203.349,Bluetooth,-56
203.452,Bluetooth,-49
203.647,Bluetooth,-58
203.648,Bluetooth,-57
203.686,Bluetooth,-50
203.687,Bluetooth,-50
203.790,Bluetooth,-53
203.791,Bluetooth,-53
203.830,Bluetooth,-58
203.831,Bluetooth,-58
203.868,Bluetooth,-50
203.869,Bluetooth,-48
204.006,Bluetooth,-49
204.007,Bluetooth,-49
204.084,Bluetooth,-53
204.084,Bluetooth,-53
204.120,Bluetooth,-57
