Distance,10.0
TXDevice,iPhone11
TXPower,8
RXDevice,iPhone11_Pro_max
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-54
0.001,Bluetooth,-56
0.037,Bluetooth,-58
0.038,Bluetooth,-56
0.068,Bluetooth,-59
0.141,Bluetooth,-59
0.142,Bluetooth,-58
0.177,Bluetooth,-53
0.178,Bluetooth,-53
0.208,Bluetooth,-57
0.209,Bluetooth,-57
0.244,Bluetooth,-59
0.245,Bluetooth,-60
0.276,Bluetooth,-56
0.277,Bluetooth,-54
0.349,Bluetooth,-54
0.384,Bluetooth,-57
0.384,Bluetooth,-55
0.420,Bluetooth,-60
0.421,Bluetooth,-61
0.546,Bluetooth,-59
0.547,Bluetooth,-59
0.579,Bluetooth,-55
0.580,Bluetooth,-55
0.618,Bluetooth,-57
0.619,Bluetooth,-58
0.652,Bluetooth,-57
0.687,Bluetooth,-58
0.688,Bluetooth,-58
0.726,Bluetooth,-59
0.727,Bluetooth,-58
0.756,Bluetooth,-57
0.757,Bluetooth,-58
0.822,Bluetooth,-60
0.823,Bluetooth,-60
0.861,Bluetooth,-60
0.862,Bluetooth,-61
0.898,Bluetooth,-63
0.899,Bluetooth,-63
0.934,Bluetooth,-58
0.935,Bluetooth,-58
0.970,Bluetooth,-61
1.083,Bluetooth,-57
1.083,Bluetooth,-58
1.123,Bluetooth,-64
1.124,Bluetooth,-63
1.198,Bluetooth,-61
1.199,Bluetooth,-61
1.264,Bluetooth,-63
1.328,Bluetooth,-60
1.329,Bluetooth,-60
1.495,Bluetooth,-58
1.496,Bluetooth,-58
1.594,Bluetooth,-58
1.595,Bluetooth,-57
1.632,Bluetooth,-60
1.633,Bluetooth,-60
1.668,Bluetooth,-61
1.669,Bluetooth,-62
1.701,Bluetooth,-58
1.702,Bluetooth,-58
1.743,Bluetooth,-62
1.744,Bluetooth,-64
1.882,Bluetooth,-60
1.883,Bluetooth,-61
1.926,Bluetooth,-57
1.927,Bluetooth,-58
1.956,Bluetooth,-67
1.957,Bluetooth,-67
2.021,Bluetooth,-64
2.021,Bluetooth,-64
2.057,Bluetooth,-59
2.058,Bluetooth,-58
2.097,Bluetooth,-61
2.098,Bluetooth,-61
2.132,Bluetooth,-63
2.133,Bluetooth,-63
2.166,Bluetooth,-60
2.243,Bluetooth,-60
2.245,Bluetooth,-60
2.277,Bluetooth,-61
2.278,Bluetooth,-62
2.305,Bluetooth,-61
2.306,Bluetooth,-61
2.346,Bluetooth,-58
2.347,Bluetooth,-57
2.415,Bluetooth,-61
2.416,Bluetooth,-61
2.457,Bluetooth,-61
2.494,Bluetooth,-61
2.495,Bluetooth,-61
2.563,Bluetooth,-54
2.564,Bluetooth,-54
2.603,Bluetooth,-60
2.603,Bluetooth,-60
2.633,Bluetooth,-58
2.634,Bluetooth,-57
2.664,Bluetooth,-53
2.665,Bluetooth,-53
2.770,Bluetooth,-60
2.804,Bluetooth,-57
2.805,Bluetooth,-61
2.845,Bluetooth,-57
2.846,Bluetooth,-58
2.909,Bluetooth,-62
2.910,Bluetooth,-61
3.017,Bluetooth,-60
3.018,Bluetooth,-60
3.048,Bluetooth,-57
3.125,Bluetooth,-57
3.126,Bluetooth,-57
3.163,Bluetooth,-58
3.164,Bluetooth,-58
3.201,Bluetooth,-62
3.202,Bluetooth,-62
3.347,Bluetooth,-58
3.379,Bluetooth,-60
3.380,Bluetooth,-60
3.444,Bluetooth,-55
3.445,Bluetooth,-54
3.507,Bluetooth,-62
3.508,Bluetooth,-60
3.537,Bluetooth,-55
3.538,Bluetooth,-55
3.641,Bluetooth,-60
3.677,Bluetooth,-61
3.678,Bluetooth,-61
3.716,Bluetooth,-55
3.717,Bluetooth,-55
3.789,Bluetooth,-56
3.790,Bluetooth,-56
3.960,Bluetooth,-54
59.822,Bluetooth,-69
59.823,Bluetooth,-70
59.993,Bluetooth,-69
59.994,Bluetooth,-69
60.024,Bluetooth,-61
60.025,Bluetooth,-59
60.058,Bluetooth,-73
60.089,Bluetooth,-60
60.090,Bluetooth,-60
60.160,Bluetooth,-70
60.191,Bluetooth,-70
60.192,Bluetooth,-70
60.226,Bluetooth,-59
60.227,Bluetooth,-60
60.299,Bluetooth,-62
60.300,Bluetooth,-61
60.337,Bluetooth,-59
60.338,Bluetooth,-59
60.376,Bluetooth,-60
60.377,Bluetooth,-59
60.416,Bluetooth,-63
60.417,Bluetooth,-64
60.482,Bluetooth,-60
60.483,Bluetooth,-60
60.513,Bluetooth,-68
60.514,Bluetooth,-68
60.549,Bluetooth,-65
60.550,Bluetooth,-65
60.583,Bluetooth,-62
60.621,Bluetooth,-72
60.622,Bluetooth,-71
60.651,Bluetooth,-72
60.683,Bluetooth,-73
60.684,Bluetooth,-74
60.716,Bluetooth,-62
60.717,Bluetooth,-62
60.786,Bluetooth,-65
60.787,Bluetooth,-65
60.861,Bluetooth,-62
60.862,Bluetooth,-63
60.927,Bluetooth,-73
60.928,Bluetooth,-74
60.964,Bluetooth,-63
60.994,Bluetooth,-71
60.995,Bluetooth,-70
61.033,Bluetooth,-65
61.034,Bluetooth,-65
61.066,Bluetooth,-63
61.105,Bluetooth,-68
61.106,Bluetooth,-67
61.145,Bluetooth,-67
61.146,Bluetooth,-68
61.184,Bluetooth,-62
61.185,Bluetooth,-62
61.224,Bluetooth,-66
61.225,Bluetooth,-66
61.262,Bluetooth,-63
61.293,Bluetooth,-64
61.294,Bluetooth,-66
61.374,Bluetooth,-61
61.375,Bluetooth,-61
61.444,Bluetooth,-64
61.445,Bluetooth,-64
61.483,Bluetooth,-72
61.485,Bluetooth,-72
61.552,Bluetooth,-63
61.583,Bluetooth,-64
61.584,Bluetooth,-63
61.685,Bluetooth,-60
61.686,Bluetooth,-58
61.723,Bluetooth,-67
61.723,Bluetooth,-67
61.763,Bluetooth,-66
61.764,Bluetooth,-67
61.791,Bluetooth,-60
61.792,Bluetooth,-60
61.826,Bluetooth,-66
61.827,Bluetooth,-67
61.865,Bluetooth,-69
61.972,Bluetooth,-61
61.973,Bluetooth,-61
62.002,Bluetooth,-60
62.003,Bluetooth,-60
62.037,Bluetooth,-63
62.038,Bluetooth,-63
62.175,Bluetooth,-63
62.176,Bluetooth,-65
62.242,Bluetooth,-59
62.243,Bluetooth,-58
62.272,Bluetooth,-56
62.273,Bluetooth,-56
62.305,Bluetooth,-71
62.306,Bluetooth,-70
62.341,Bluetooth,-58
62.342,Bluetooth,-58
62.404,Bluetooth,-57
62.405,Bluetooth,-58
62.506,Bluetooth,-65
62.540,Bluetooth,-62
62.540,Bluetooth,-61
62.575,Bluetooth,-63
62.575,Bluetooth,-63
62.660,Bluetooth,-64
62.661,Bluetooth,-64
62.759,Bluetooth,-59
62.759,Bluetooth,-59
62.790,Bluetooth,-64
62.791,Bluetooth,-65
62.822,Bluetooth,-61
62.823,Bluetooth,-61
62.925,Bluetooth,-70
62.926,Bluetooth,-68
62.962,Bluetooth,-61
62.963,Bluetooth,-60
63.001,Bluetooth,-59
63.002,Bluetooth,-57
63.039,Bluetooth,-70
63.077,Bluetooth,-68
63.145,Bluetooth,-58
63.146,Bluetooth,-58
63.184,Bluetooth,-56
63.184,Bluetooth,-57
63.257,Bluetooth,-57
63.258,Bluetooth,-57
63.327,Bluetooth,-70
63.328,Bluetooth,-71
63.403,Bluetooth,-72
63.404,Bluetooth,-72
