Distance,6.0
TXDevice,iPhone11
TXPower,8
RXDevice,iPhone11_Pro_max
TXCarry,hand
RXCarry,hand
RXPose,sitting
TXPose,sitting
0.000,Bluetooth,-52
0.067,Bluetooth,-53
0.069,Bluetooth,-53
0.097,Bluetooth,-52
0.098,Bluetooth,-53
0.205,Bluetooth,-53
0.206,Bluetooth,-53
0.238,Bluetooth,-52
0.239,Bluetooth,-53
0.269,Bluetooth,-52
0.270,Bluetooth,-50
0.305,Bluetooth,-51
0.488,Bluetooth,-51
0.489,Bluetooth,-52
0.520,Bluetooth,-53
0.521,Bluetooth,-53
0.623,Bluetooth,-52
0.624,Bluetooth,-54
0.688,Bluetooth,-52
0.689,Bluetooth,-52
0.722,Bluetooth,-51
0.723,Bluetooth,-50
0.753,Bluetooth,-53
0.754,Bluetooth,-53
0.791,Bluetooth,-52
0.792,Bluetooth,-53
0.823,Bluetooth,-50
0.824,Bluetooth,-51
0.895,Bluetooth,-53
0.965,Bluetooth,-54
0.966,Bluetooth,-53
1.000,Bluetooth,-52
1.001,Bluetooth,-51
1.144,Bluetooth,-50
1.144,Bluetooth,-51
1.181,Bluetooth,-54
1.182,Bluetooth,-54
1.353,Bluetooth,-52
1.354,Bluetooth,-52
1.394,Bluetooth,-52
1.394,Bluetooth,-53
1.428,Bluetooth,-51
1.429,Bluetooth,-52
1.458,Bluetooth,-53
1.459,Bluetooth,-52
1.491,Bluetooth,-52
1.591,Bluetooth,-52
1.592,Bluetooth,-51
1.630,Bluetooth,-51
1.631,Bluetooth,-50
1.670,Bluetooth,-52
1.672,Bluetooth,-53
1.704,Bluetooth,-51
1.705,Bluetooth,-52
1.776,Bluetooth,-50
1.777,Bluetooth,-51
1.846,Bluetooth,-53
1.847,Bluetooth,-53
1.881,Bluetooth,-51
1.882,Bluetooth,-51
1.918,Bluetooth,-50
1.919,Bluetooth,-49
1.954,Bluetooth,-53
1.955,Bluetooth,-54
1.985,Bluetooth,-51
1.986,Bluetooth,-52
2.049,Bluetooth,-51
2.050,Bluetooth,-51
2.125,Bluetooth,-52
2.126,Bluetooth,-53
2.230,Bluetooth,-50
2.231,Bluetooth,-51
2.266,Bluetooth,-54
2.267,Bluetooth,-53
2.299,Bluetooth,-54
2.300,Bluetooth,-52
2.337,Bluetooth,-52
2.338,Bluetooth,-51
2.376,Bluetooth,-53
2.377,Bluetooth,-52
2.439,Bluetooth,-53
2.440,Bluetooth,-53
2.473,Bluetooth,-51
2.474,Bluetooth,-50
2.507,Bluetooth,-51
2.508,Bluetooth,-51
2.541,Bluetooth,-52
2.542,Bluetooth,-53
2.605,Bluetooth,-49
2.606,Bluetooth,-51
2.636,Bluetooth,-50
2.637,Bluetooth,-50
2.673,Bluetooth,-51
2.674,Bluetooth,-51
2.709,Bluetooth,-50
2.741,Bluetooth,-51
2.742,Bluetooth,-51
2.782,Bluetooth,-50
2.783,Bluetooth,-51
2.811,Bluetooth,-49
2.811,Bluetooth,-49
2.920,Bluetooth,-50
2.920,Bluetooth,-50
2.955,Bluetooth,-49
2.956,Bluetooth,-49
2.996,Bluetooth,-53
3.035,Bluetooth,-52
3.035,Bluetooth,-52
3.074,Bluetooth,-51
3.076,Bluetooth,-50
3.110,Bluetooth,-52
3.111,Bluetooth,-51
3.146,Bluetooth,-52
3.147,Bluetooth,-53
3.183,Bluetooth,-51
3.183,Bluetooth,-53
3.221,Bluetooth,-51
3.222,Bluetooth,-51
3.295,Bluetooth,-53
3.328,Bluetooth,-52
3.329,Bluetooth,-51
3.362,Bluetooth,-53
3.363,Bluetooth,-52
3.463,Bluetooth,-52
3.463,Bluetooth,-54
3.499,Bluetooth,-53
3.500,Bluetooth,-54
3.568,Bluetooth,-53
3.569,Bluetooth,-54
3.668,Bluetooth,-53
3.668,Bluetooth,-54
3.767,Bluetooth,-53
3.768,Bluetooth,-54
3.797,Bluetooth,-54
3.798,Bluetooth,-52
3.834,Bluetooth,-49
3.835,Bluetooth,-48
3.872,Bluetooth,-52
3.873,Bluetooth,-53
3.907,Bluetooth,-53
50.082,Bluetooth,-56
50.083,Bluetooth,-56
50.189,Bluetooth,-61
50.189,Bluetooth,-60
50.228,Bluetooth,-58
50.229,Bluetooth,-56
50.266,Bluetooth,-57
50.268,Bluetooth,-57
50.483,Bluetooth,-57
50.484,Bluetooth,-56
50.583,Bluetooth,-58
50.584,Bluetooth,-57
50.663,Bluetooth,-56
50.664,Bluetooth,-56
50.700,Bluetooth,-54
50.729,Bluetooth,-53
50.730,Bluetooth,-54
50.764,Bluetooth,-58
50.765,Bluetooth,-56
50.829,Bluetooth,-56
50.829,Bluetooth,-56
50.860,Bluetooth,-54
51.036,Bluetooth,-55
51.037,Bluetooth,-55
51.067,Bluetooth,-61
51.068,Bluetooth,-61
51.103,Bluetooth,-61
51.104,Bluetooth,-61
51.166,Bluetooth,-60
51.167,Bluetooth,-59
51.204,Bluetooth,-65
51.205,Bluetooth,-64
51.334,Bluetooth,-59
51.335,Bluetooth,-58
51.368,Bluetooth,-54
51.369,Bluetooth,-53
51.493,Bluetooth,-54
51.494,Bluetooth,-53
51.564,Bluetooth,-57
51.565,Bluetooth,-58
51.599,Bluetooth,-54
51.630,Bluetooth,-56
51.631,Bluetooth,-56
51.663,Bluetooth,-54
51.664,Bluetooth,-54
51.701,Bluetooth,-58
51.702,Bluetooth,-57
51.731,Bluetooth,-59
51.732,Bluetooth,-58
51.767,Bluetooth,-58
51.768,Bluetooth,-58
51.806,Bluetooth,-56
51.807,Bluetooth,-55
51.840,Bluetooth,-57
51.841,Bluetooth,-56
51.905,Bluetooth,-57
51.973,Bluetooth,-55
51.975,Bluetooth,-57
52.074,Bluetooth,-57
52.075,Bluetooth,-58
52.191,Bluetooth,-58
52.269,Bluetooth,-53
52.270,Bluetooth,-53
52.303,Bluetooth,-64
52.304,Bluetooth,-64
52.371,Bluetooth,-59
52.371,Bluetooth,-58
52.410,Bluetooth,-53
52.411,Bluetooth,-53
52.448,Bluetooth,-59
52.448,Bluetooth,-59
52.489,Bluetooth,-55
52.601,Bluetooth,-57
52.602,Bluetooth,-57
52.633,Bluetooth,-57
52.634,Bluetooth,-57
52.698,Bluetooth,-54
52.699,Bluetooth,-55
52.859,Bluetooth,-62
52.859,Bluetooth,-63
52.937,Bluetooth,-57
52.938,Bluetooth,-58
52.969,Bluetooth,-63
52.970,Bluetooth,-63
53.010,Bluetooth,-56
53.011,Bluetooth,-56
53.042,Bluetooth,-58
53.043,Bluetooth,-57
53.073,Bluetooth,-58
53.074,Bluetooth,-58
53.106,Bluetooth,-66
53.107,Bluetooth,-66
53.187,Bluetooth,-57
53.189,Bluetooth,-57
53.339,Bluetooth,-63
53.339,Bluetooth,-63
53.379,Bluetooth,-57
53.380,Bluetooth,-57
53.414,Bluetooth,-57
53.448,Bluetooth,-57
53.449,Bluetooth,-56
53.480,Bluetooth,-58
53.481,Bluetooth,-58
53.516,Bluetooth,-63
53.517,Bluetooth,-61
53.552,Bluetooth,-56
53.553,Bluetooth,-56
53.586,Bluetooth,-58
53.588,Bluetooth,-59
53.624,Bluetooth,-64
53.625,Bluetooth,-63
53.698,Bluetooth,-59
53.734,Bluetooth,-55
53.735,Bluetooth,-55
53.765,Bluetooth,-59
53.766,Bluetooth,-59
53.896,Bluetooth,-61
53.897,Bluetooth,-61
53.993,Bluetooth,-59
108.467,Bluetooth,-52
108.467,Bluetooth,-51
108.502,Bluetooth,-55
108.503,Bluetooth,-55
108.533,Bluetooth,-54
108.534,Bluetooth,-54
108.573,Bluetooth,-51
108.574,Bluetooth,-50
108.605,Bluetooth,-51
108.635,Bluetooth,-51
108.636,Bluetooth,-51
108.675,Bluetooth,-54
108.675,Bluetooth,-54
108.710,Bluetooth,-51
108.711,Bluetooth,-52
108.744,Bluetooth,-51
108.745,Bluetooth,-52
108.774,Bluetooth,-50
108.775,Bluetooth,-50
108.848,Bluetooth,-52
108.888,Bluetooth,-57
109.201,Bluetooth,-52
109.232,Bluetooth,-53
109.233,Bluetooth,-55
109.270,Bluetooth,-52
109.271,Bluetooth,-53
109.303,Bluetooth,-50
109.304,Bluetooth,-50
109.405,Bluetooth,-52
109.406,Bluetooth,-51
109.435,Bluetooth,-51
109.436,Bluetooth,-51
109.509,Bluetooth,-53
109.576,Bluetooth,-53
109.576,Bluetooth,-54
109.607,Bluetooth,-52
109.607,Bluetooth,-52
109.642,Bluetooth,-54
109.643,Bluetooth,-54
109.674,Bluetooth,-54
109.675,Bluetooth,-54
109.704,Bluetooth,-52
109.705,Bluetooth,-54
109.735,Bluetooth,-53
109.736,Bluetooth,-53
109.768,Bluetooth,-54
109.769,Bluetooth,-54
109.802,Bluetooth,-54
109.837,Bluetooth,-55
109.838,Bluetooth,-54
109.868,Bluetooth,-52
109.869,Bluetooth,-52
109.906,Bluetooth,-52
109.907,Bluetooth,-52
109.983,Bluetooth,-53
109.984,Bluetooth,-53
110.054,Bluetooth,-54
110.055,Bluetooth,-55
110.095,Bluetooth,-53
110.125,Bluetooth,-53
110.126,Bluetooth,-53
110.222,Bluetooth,-56
110.222,Bluetooth,-56
110.252,Bluetooth,-53
110.253,Bluetooth,-53
110.287,Bluetooth,-53
110.288,Bluetooth,-51
110.322,Bluetooth,-55
110.323,Bluetooth,-54
110.350,Bluetooth,-54
110.351,Bluetooth,-55
110.385,Bluetooth,-52
110.386,Bluetooth,-51
110.588,Bluetooth,-52
110.589,Bluetooth,-52
110.618,Bluetooth,-52
110.619,Bluetooth,-52
110.690,Bluetooth,-56
110.724,Bluetooth,-53
110.726,Bluetooth,-53
110.834,Bluetooth,-53
110.835,Bluetooth,-53
110.868,Bluetooth,-52
110.869,Bluetooth,-53
110.903,Bluetooth,-55
110.905,Bluetooth,-55
110.941,Bluetooth,-52
110.974,Bluetooth,-52
110.975,Bluetooth,-51
111.005,Bluetooth,-52
111.039,Bluetooth,-53
111.041,Bluetooth,-52
111.067,Bluetooth,-55
111.068,Bluetooth,-55
111.170,Bluetooth,-51
111.170,Bluetooth,-51
111.206,Bluetooth,-54
111.207,Bluetooth,-54
111.240,Bluetooth,-52
111.241,Bluetooth,-52
111.310,Bluetooth,-51
111.344,Bluetooth,-55
111.345,Bluetooth,-55
111.490,Bluetooth,-51
111.491,Bluetooth,-50
111.559,Bluetooth,-49
111.560,Bluetooth,-50
111.593,Bluetooth,-49
111.625,Bluetooth,-49
111.626,Bluetooth,-50
111.731,Bluetooth,-51
111.732,Bluetooth,-51
111.761,Bluetooth,-50
111.762,Bluetooth,-51
111.795,Bluetooth,-53
111.796,Bluetooth,-53
111.829,Bluetooth,-53
111.830,Bluetooth,-51
111.867,Bluetooth,-51
111.868,Bluetooth,-50
111.899,Bluetooth,-54
111.934,Bluetooth,-51
111.935,Bluetooth,-51
112.032,Bluetooth,-57
112.033,Bluetooth,-57
112.069,Bluetooth,-54
112.069,Bluetooth,-54
112.140,Bluetooth,-60
112.141,Bluetooth,-60
112.175,Bluetooth,-55
112.176,Bluetooth,-56
112.206,Bluetooth,-57
112.240,Bluetooth,-54
112.240,Bluetooth,-56
112.307,Bluetooth,-62
112.308,Bluetooth,-62
112.342,Bluetooth,-55
112.343,Bluetooth,-54
112.381,Bluetooth,-59
112.382,Bluetooth,-60
172.356,Bluetooth,-61
172.357,Bluetooth,-61
172.395,Bluetooth,-62
172.395,Bluetooth,-61
172.547,Bluetooth,-61
172.547,Bluetooth,-61
172.613,Bluetooth,-60
172.614,Bluetooth,-60
172.644,Bluetooth,-61
172.645,Bluetooth,-61
172.711,Bluetooth,-61
172.742,Bluetooth,-60
172.743,Bluetooth,-60
172.773,Bluetooth,-61
172.774,Bluetooth,-60
172.803,Bluetooth,-59
172.844,Bluetooth,-59
172.844,Bluetooth,-59
172.874,Bluetooth,-61
172.910,Bluetooth,-60
172.911,Bluetooth,-60
172.945,Bluetooth,-59
172.946,Bluetooth,-58
173.092,Bluetooth,-59
173.158,Bluetooth,-58
173.192,Bluetooth,-60
173.193,Bluetooth,-59
173.294,Bluetooth,-58
173.294,Bluetooth,-58
173.329,Bluetooth,-61
173.329,Bluetooth,-61
173.434,Bluetooth,-61
173.435,Bluetooth,-60
173.467,Bluetooth,-58
173.467,Bluetooth,-58
173.533,Bluetooth,-59
173.534,Bluetooth,-60
173.567,Bluetooth,-59
173.567,Bluetooth,-59
173.641,Bluetooth,-59
173.642,Bluetooth,-59
173.735,Bluetooth,-59
173.736,Bluetooth,-59
173.767,Bluetooth,-58
173.767,Bluetooth,-59
173.801,Bluetooth,-58
173.940,Bluetooth,-61
173.941,Bluetooth,-61
173.975,Bluetooth,-61
173.976,Bluetooth,-61
174.014,Bluetooth,-58
174.082,Bluetooth,-58
174.083,Bluetooth,-57
