Distance,10.0
TXDevice,iPhoneXS
TXPower,12
RXDevice,iPhone8
TXCarry,pocket
RXCarry,pocket
RXPose,standing
TXPose,sitting
0.000,Bluetooth,-65
0.001,Bluetooth,-66
0.035,Bluetooth,-59
0.036,Bluetooth,-59
0.071,Bluetooth,-60
0.072,Bluetooth,-60
0.106,Bluetooth,-65
0.107,Bluetooth,-65
0.141,Bluetooth,-59
0.142,Bluetooth,-59
0.208,Bluetooth,-73
0.209,Bluetooth,-74
0.244,Bluetooth,-77
0.245,Bluetooth,-77
0.278,Bluetooth,-57
0.279,Bluetooth,-57
0.314,Bluetooth,-57
0.315,Bluetooth,-57
0.383,Bluetooth,-68
0.416,Bluetooth,-55
0.417,Bluetooth,-56
0.479,Bluetooth,-58
0.480,Bluetooth,-58
0.520,Bluetooth,-63
0.521,Bluetooth,-64
0.556,Bluetooth,-62
0.557,Bluetooth,-61
0.589,Bluetooth,-65
0.626,Bluetooth,-62
0.627,Bluetooth,-62
0.658,Bluetooth,-61
0.659,Bluetooth,-61
0.693,Bluetooth,-61
0.694,Bluetooth,-61
0.730,Bluetooth,-60
0.731,Bluetooth,-60
0.760,Bluetooth,-57
0.761,Bluetooth,-58
0.830,Bluetooth,-64
0.862,Bluetooth,-55
0.863,Bluetooth,-55
0.898,Bluetooth,-60
0.970,Bluetooth,-52
0.971,Bluetooth,-53
1.001,Bluetooth,-59
1.002,Bluetooth,-59
1.034,Bluetooth,-62
1.035,Bluetooth,-62
1.070,Bluetooth,-75
1.071,Bluetooth,-77
1.106,Bluetooth,-64
1.107,Bluetooth,-63
1.174,Bluetooth,-58
1.175,Bluetooth,-61
1.212,Bluetooth,-55
1.213,Bluetooth,-57
1.253,Bluetooth,-62
1.254,Bluetooth,-63
1.283,Bluetooth,-67
1.284,Bluetooth,-66
1.315,Bluetooth,-58
1.316,Bluetooth,-59
1.386,Bluetooth,-68
1.387,Bluetooth,-70
1.415,Bluetooth,-67
1.416,Bluetooth,-67
1.520,Bluetooth,-64
1.521,Bluetooth,-64
1.551,Bluetooth,-57
1.552,Bluetooth,-57
1.586,Bluetooth,-72
1.587,Bluetooth,-72
1.652,Bluetooth,-60
1.654,Bluetooth,-60
1.759,Bluetooth,-83
1.760,Bluetooth,-83
1.789,Bluetooth,-62
1.791,Bluetooth,-61
1.830,Bluetooth,-62
1.870,Bluetooth,-69
1.871,Bluetooth,-68
1.899,Bluetooth,-65
1.900,Bluetooth,-64
2.008,Bluetooth,-74
2.009,Bluetooth,-73
2.039,Bluetooth,-69
2.041,Bluetooth,-68
2.107,Bluetooth,-73
2.108,Bluetooth,-73
2.139,Bluetooth,-65
2.140,Bluetooth,-65
2.175,Bluetooth,-67
2.216,Bluetooth,-75
2.217,Bluetooth,-74
2.250,Bluetooth,-62
2.287,Bluetooth,-69
2.289,Bluetooth,-68
2.321,Bluetooth,-67
2.384,Bluetooth,-70
2.454,Bluetooth,-55
2.455,Bluetooth,-55
2.526,Bluetooth,-63
2.527,Bluetooth,-62
2.566,Bluetooth,-58
2.567,Bluetooth,-58
2.599,Bluetooth,-59
2.600,Bluetooth,-59
2.629,Bluetooth,-66
2.663,Bluetooth,-62
2.664,Bluetooth,-62
2.697,Bluetooth,-68
2.698,Bluetooth,-67
2.733,Bluetooth,-65
2.770,Bluetooth,-57
2.772,Bluetooth,-56
2.814,Bluetooth,-68
2.815,Bluetooth,-69
2.909,Bluetooth,-59
2.910,Bluetooth,-60
3.002,Bluetooth,-68
3.003,Bluetooth,-68
