Distance,4.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhoneXR
TXCarry,pocket
RXCarry,pocket
RXPose,standing
TXPose,sitting
0.035,Bluetooth,-56
0.037,Bluetooth,-56
0.071,Bluetooth,-58
0.072,Bluetooth,-59
0.105,Bluetooth,-62
0.107,Bluetooth,-63
0.136,Bluetooth,-63
0.138,Bluetooth,-62
0.168,Bluetooth,-56
0.169,Bluetooth,-56
0.202,Bluetooth,-53
0.203,Bluetooth,-54
0.268,Bluetooth,-50
0.270,Bluetooth,-50
0.302,Bluetooth,-49
0.304,Bluetooth,-49
0.368,Bluetooth,-49
0.370,Bluetooth,-49
0.403,Bluetooth,-49
0.405,Bluetooth,-50
0.467,Bluetooth,-52
0.468,Bluetooth,-52
0.495,Bluetooth,-50
0.497,Bluetooth,-51
0.526,Bluetooth,-51
0.527,Bluetooth,-51
0.560,Bluetooth,-52
0.562,Bluetooth,-50
0.620,Bluetooth,-55
0.622,Bluetooth,-55
0.651,Bluetooth,-55
0.653,Bluetooth,-56
0.687,Bluetooth,-53
0.688,Bluetooth,-52
0.747,Bluetooth,-51
0.748,Bluetooth,-50
0.777,Bluetooth,-52
0.779,Bluetooth,-52
0.808,Bluetooth,-52
0.809,Bluetooth,-52
0.873,Bluetooth,-48
0.874,Bluetooth,-49
0.906,Bluetooth,-49
0.908,Bluetooth,-49
0.937,Bluetooth,-53
0.938,Bluetooth,-53
1.002,Bluetooth,-51
1.004,Bluetooth,-50
1.032,Bluetooth,-51
1.034,Bluetooth,-52
1.065,Bluetooth,-52
1.067,Bluetooth,-51
1.095,Bluetooth,-47
1.097,Bluetooth,-48
1.126,Bluetooth,-50
1.127,Bluetooth,-51
1.187,Bluetooth,-52
1.188,Bluetooth,-51
1.215,Bluetooth,-49
1.217,Bluetooth,-49
1.248,Bluetooth,-50
1.249,Bluetooth,-51
1.309,Bluetooth,-52
1.311,Bluetooth,-51
1.341,Bluetooth,-47
1.343,Bluetooth,-49
1.377,Bluetooth,-50
1.379,Bluetooth,-50
1.412,Bluetooth,-52
1.414,Bluetooth,-52
1.441,Bluetooth,-47
1.443,Bluetooth,-47
1.477,Bluetooth,-47
1.478,Bluetooth,-47
1.505,Bluetooth,-50
1.506,Bluetooth,-50
1.540,Bluetooth,-54
1.542,Bluetooth,-55
1.571,Bluetooth,-48
1.573,Bluetooth,-48
1.603,Bluetooth,-50
1.605,Bluetooth,-50
1.633,Bluetooth,-51
1.635,Bluetooth,-51
1.666,Bluetooth,-53
1.668,Bluetooth,-53
1.697,Bluetooth,-48
1.699,Bluetooth,-48
1.730,Bluetooth,-50
1.732,Bluetooth,-52
1.765,Bluetooth,-54
1.767,Bluetooth,-52
1.825,Bluetooth,-47
1.827,Bluetooth,-47
1.856,Bluetooth,-50
1.857,Bluetooth,-51
1.949,Bluetooth,-47
1.951,Bluetooth,-47
1.982,Bluetooth,-51
1.984,Bluetooth,-51
2.013,Bluetooth,-54
2.015,Bluetooth,-54
2.045,Bluetooth,-48
2.046,Bluetooth,-48
2.114,Bluetooth,-52
2.115,Bluetooth,-51
2.147,Bluetooth,-51
2.149,Bluetooth,-50
2.176,Bluetooth,-47
2.178,Bluetooth,-48
2.207,Bluetooth,-49
2.209,Bluetooth,-49
2.268,Bluetooth,-53
2.270,Bluetooth,-51
2.299,Bluetooth,-47
2.301,Bluetooth,-47
2.332,Bluetooth,-49
2.334,Bluetooth,-48
2.365,Bluetooth,-49
2.397,Bluetooth,-51
2.399,Bluetooth,-51
2.429,Bluetooth,-47
2.431,Bluetooth,-48
2.460,Bluetooth,-51
2.461,Bluetooth,-50
2.490,Bluetooth,-50
2.492,Bluetooth,-50
2.523,Bluetooth,-48
2.524,Bluetooth,-49
2.552,Bluetooth,-48
2.554,Bluetooth,-48
2.585,Bluetooth,-48
2.586,Bluetooth,-49
2.619,Bluetooth,-50
2.621,Bluetooth,-50
2.647,Bluetooth,-45
2.681,Bluetooth,-51
2.683,Bluetooth,-50
2.711,Bluetooth,-50
2.712,Bluetooth,-50
2.744,Bluetooth,-49
2.746,Bluetooth,-48
2.773,Bluetooth,-48
2.774,Bluetooth,-48
2.806,Bluetooth,-49
2.807,Bluetooth,-49
2.867,Bluetooth,-49
2.868,Bluetooth,-49
2.897,Bluetooth,-49
2.898,Bluetooth,-49
2.930,Bluetooth,-50
2.932,Bluetooth,-50
2.960,Bluetooth,-50
2.962,Bluetooth,-49
3.023,Bluetooth,-48
3.024,Bluetooth,-49
3.055,Bluetooth,-48
3.056,Bluetooth,-49
3.087,Bluetooth,-51
3.088,Bluetooth,-50
3.181,Bluetooth,-51
3.183,Bluetooth,-50
3.215,Bluetooth,-48
3.217,Bluetooth,-49
3.244,Bluetooth,-47
3.245,Bluetooth,-46
3.307,Bluetooth,-47
3.309,Bluetooth,-48
3.340,Bluetooth,-49
3.342,Bluetooth,-50
3.369,Bluetooth,-45
3.370,Bluetooth,-46
3.402,Bluetooth,-48
3.404,Bluetooth,-48
3.469,Bluetooth,-50
3.471,Bluetooth,-50
3.501,Bluetooth,-47
3.502,Bluetooth,-46
3.531,Bluetooth,-48
3.533,Bluetooth,-47
3.567,Bluetooth,-51
3.568,Bluetooth,-51
3.625,Bluetooth,-47
3.627,Bluetooth,-47
3.660,Bluetooth,-49
3.661,Bluetooth,-48
3.694,Bluetooth,-53
3.696,Bluetooth,-53
3.725,Bluetooth,-46
3.726,Bluetooth,-47
3.827,Bluetooth,-52
3.828,Bluetooth,-51
3.856,Bluetooth,-46
3.858,Bluetooth,-46
3.887,Bluetooth,-48
3.888,Bluetooth,-48
3.949,Bluetooth,-51
3.950,Bluetooth,-50
3.977,Bluetooth,-47
3.978,Bluetooth,-46
47.953,Bluetooth,-64
47.954,Bluetooth,-65
47.983,Bluetooth,-75
47.985,Bluetooth,-75
48.018,Bluetooth,-70
48.019,Bluetooth,-70
48.048,Bluetooth,-65
48.049,Bluetooth,-65
48.078,Bluetooth,-64
48.080,Bluetooth,-64
48.117,Bluetooth,-73
48.118,Bluetooth,-73
48.146,Bluetooth,-70
48.147,Bluetooth,-70
48.174,Bluetooth,-64
48.175,Bluetooth,-67
48.370,Bluetooth,-70
48.372,Bluetooth,-69
48.434,Bluetooth,-66
48.435,Bluetooth,-66
48.469,Bluetooth,-72
48.471,Bluetooth,-71
48.500,Bluetooth,-70
48.502,Bluetooth,-70
48.533,Bluetooth,-66
48.534,Bluetooth,-66
48.568,Bluetooth,-71
48.570,Bluetooth,-71
48.599,Bluetooth,-74
48.600,Bluetooth,-74
48.633,Bluetooth,-70
48.634,Bluetooth,-70
48.664,Bluetooth,-66
48.666,Bluetooth,-66
48.699,Bluetooth,-73
48.700,Bluetooth,-73
48.730,Bluetooth,-70
48.732,Bluetooth,-70
48.789,Bluetooth,-65
48.790,Bluetooth,-66
48.821,Bluetooth,-73
48.822,Bluetooth,-73
48.855,Bluetooth,-70
48.857,Bluetooth,-70
48.885,Bluetooth,-65
48.887,Bluetooth,-65
48.916,Bluetooth,-66
48.917,Bluetooth,-65
48.946,Bluetooth,-73
48.948,Bluetooth,-72
48.977,Bluetooth,-70
48.978,Bluetooth,-71
49.008,Bluetooth,-65
49.010,Bluetooth,-65
49.075,Bluetooth,-73
49.076,Bluetooth,-72
49.117,Bluetooth,-70
49.118,Bluetooth,-70
49.144,Bluetooth,-65
49.146,Bluetooth,-64
49.177,Bluetooth,-73
49.179,Bluetooth,-73
49.239,Bluetooth,-70
49.241,Bluetooth,-71
49.271,Bluetooth,-64
49.273,Bluetooth,-64
49.306,Bluetooth,-74
49.307,Bluetooth,-72
49.339,Bluetooth,-70
49.341,Bluetooth,-70
49.368,Bluetooth,-64
49.369,Bluetooth,-64
49.432,Bluetooth,-72
49.434,Bluetooth,-73
49.464,Bluetooth,-71
49.466,Bluetooth,-70
49.493,Bluetooth,-64
49.494,Bluetooth,-64
49.593,Bluetooth,-70
49.595,Bluetooth,-70
49.625,Bluetooth,-64
49.627,Bluetooth,-64
49.697,Bluetooth,-72
49.726,Bluetooth,-64
49.729,Bluetooth,-64
49.791,Bluetooth,-74
49.854,Bluetooth,-64
49.855,Bluetooth,-62
49.885,Bluetooth,-72
49.886,Bluetooth,-72
49.917,Bluetooth,-72
49.953,Bluetooth,-71
49.954,Bluetooth,-71
49.984,Bluetooth,-64
49.985,Bluetooth,-62
50.015,Bluetooth,-72
50.016,Bluetooth,-73
50.049,Bluetooth,-70
50.051,Bluetooth,-69
50.109,Bluetooth,-64
50.111,Bluetooth,-64
50.142,Bluetooth,-72
50.144,Bluetooth,-73
50.174,Bluetooth,-70
50.176,Bluetooth,-70
50.264,Bluetooth,-73
50.298,Bluetooth,-70
50.300,Bluetooth,-70
50.429,Bluetooth,-70
50.431,Bluetooth,-70
50.458,Bluetooth,-64
50.459,Bluetooth,-64
50.522,Bluetooth,-75
50.523,Bluetooth,-74
50.585,Bluetooth,-64
50.587,Bluetooth,-64
50.618,Bluetooth,-75
50.620,Bluetooth,-75
50.649,Bluetooth,-69
50.714,Bluetooth,-64
50.716,Bluetooth,-65
50.745,Bluetooth,-74
50.746,Bluetooth,-74
50.777,Bluetooth,-71
50.779,Bluetooth,-70
50.870,Bluetooth,-75
50.871,Bluetooth,-75
50.930,Bluetooth,-63
50.932,Bluetooth,-64
50.995,Bluetooth,-75
50.996,Bluetooth,-75
51.025,Bluetooth,-71
51.027,Bluetooth,-71
51.054,Bluetooth,-64
51.055,Bluetooth,-64
51.154,Bluetooth,-70
51.188,Bluetooth,-66
51.189,Bluetooth,-65
51.219,Bluetooth,-75
51.220,Bluetooth,-73
51.250,Bluetooth,-70
51.252,Bluetooth,-69
51.313,Bluetooth,-64
51.314,Bluetooth,-64
51.413,Bluetooth,-64
51.445,Bluetooth,-74
51.446,Bluetooth,-74
51.508,Bluetooth,-70
51.510,Bluetooth,-70
51.540,Bluetooth,-64
51.542,Bluetooth,-63
51.572,Bluetooth,-74
51.574,Bluetooth,-74
51.670,Bluetooth,-64
51.672,Bluetooth,-64
51.735,Bluetooth,-70
51.737,Bluetooth,-70
51.796,Bluetooth,-64
51.798,Bluetooth,-64
51.827,Bluetooth,-73
51.859,Bluetooth,-69
51.861,Bluetooth,-70
91.350,Bluetooth,-50
91.351,Bluetooth,-51
91.380,Bluetooth,-49
91.382,Bluetooth,-50
91.446,Bluetooth,-48
91.447,Bluetooth,-50
91.477,Bluetooth,-48
91.479,Bluetooth,-50
91.510,Bluetooth,-50
91.511,Bluetooth,-49
91.543,Bluetooth,-48
91.545,Bluetooth,-48
91.573,Bluetooth,-49
91.575,Bluetooth,-49
91.638,Bluetooth,-50
91.639,Bluetooth,-49
91.670,Bluetooth,-48
91.672,Bluetooth,-49
91.702,Bluetooth,-49
91.703,Bluetooth,-49
91.733,Bluetooth,-48
91.734,Bluetooth,-49
91.764,Bluetooth,-49
91.766,Bluetooth,-50
91.793,Bluetooth,-49
91.794,Bluetooth,-49
91.827,Bluetooth,-50
91.829,Bluetooth,-49
91.858,Bluetooth,-51
91.859,Bluetooth,-51
91.919,Bluetooth,-48
91.920,Bluetooth,-49
91.951,Bluetooth,-48
91.952,Bluetooth,-49
91.984,Bluetooth,-50
91.986,Bluetooth,-51
92.016,Bluetooth,-49
92.018,Bluetooth,-50
92.112,Bluetooth,-50
92.114,Bluetooth,-50
92.140,Bluetooth,-49
92.142,Bluetooth,-49
92.172,Bluetooth,-50
92.205,Bluetooth,-49
92.206,Bluetooth,-49
92.240,Bluetooth,-50
92.243,Bluetooth,-50
92.269,Bluetooth,-49
92.270,Bluetooth,-50
92.337,Bluetooth,-50
92.401,Bluetooth,-49
92.403,Bluetooth,-49
92.433,Bluetooth,-50
92.435,Bluetooth,-50
92.562,Bluetooth,-49
92.564,Bluetooth,-49
92.597,Bluetooth,-49
92.599,Bluetooth,-50
92.624,Bluetooth,-49
92.626,Bluetooth,-49
92.659,Bluetooth,-50
92.660,Bluetooth,-49
92.748,Bluetooth,-49
92.749,Bluetooth,-48
92.839,Bluetooth,-49
92.841,Bluetooth,-49
92.870,Bluetooth,-50
92.872,Bluetooth,-48
92.902,Bluetooth,-50
92.904,Bluetooth,-50
92.933,Bluetooth,-49
92.934,Bluetooth,-49
92.964,Bluetooth,-50
92.965,Bluetooth,-50
92.997,Bluetooth,-49
92.998,Bluetooth,-50
93.032,Bluetooth,-50
93.034,Bluetooth,-50
93.065,Bluetooth,-49
93.067,Bluetooth,-49
93.098,Bluetooth,-47
93.160,Bluetooth,-50
93.161,Bluetooth,-51
93.191,Bluetooth,-51
93.192,Bluetooth,-50
93.219,Bluetooth,-49
93.220,Bluetooth,-49
93.251,Bluetooth,-50
93.252,Bluetooth,-51
93.281,Bluetooth,-49
93.282,Bluetooth,-50
93.312,Bluetooth,-51
93.314,Bluetooth,-51
93.347,Bluetooth,-49
93.348,Bluetooth,-50
93.376,Bluetooth,-51
93.377,Bluetooth,-51
93.442,Bluetooth,-50
93.444,Bluetooth,-50
93.476,Bluetooth,-49
93.477,Bluetooth,-49
93.506,Bluetooth,-52
93.508,Bluetooth,-50
93.539,Bluetooth,-48
93.541,Bluetooth,-49
93.603,Bluetooth,-48
93.604,Bluetooth,-51
93.633,Bluetooth,-50
93.635,Bluetooth,-50
93.665,Bluetooth,-51
93.667,Bluetooth,-49
93.695,Bluetooth,-50
93.697,Bluetooth,-50
93.761,Bluetooth,-50
93.763,Bluetooth,-50
93.796,Bluetooth,-49
93.797,Bluetooth,-50
93.824,Bluetooth,-49
93.826,Bluetooth,-49
93.857,Bluetooth,-50
93.859,Bluetooth,-50
93.919,Bluetooth,-51
93.921,Bluetooth,-52
93.949,Bluetooth,-49
93.950,Bluetooth,-49
93.981,Bluetooth,-50
93.983,Bluetooth,-50
94.017,Bluetooth,-47
94.018,Bluetooth,-50
94.079,Bluetooth,-50
94.081,Bluetooth,-49
94.145,Bluetooth,-49
94.146,Bluetooth,-49
94.175,Bluetooth,-49
94.176,Bluetooth,-48
94.205,Bluetooth,-49
94.206,Bluetooth,-49
94.236,Bluetooth,-51
94.237,Bluetooth,-52
94.267,Bluetooth,-51
94.268,Bluetooth,-52
94.299,Bluetooth,-49
94.301,Bluetooth,-49
94.361,Bluetooth,-50
94.363,Bluetooth,-51
94.397,Bluetooth,-51
94.400,Bluetooth,-52
94.423,Bluetooth,-49
94.424,Bluetooth,-50
94.459,Bluetooth,-51
94.460,Bluetooth,-51
94.492,Bluetooth,-50
94.493,Bluetooth,-51
94.524,Bluetooth,-54
94.526,Bluetooth,-53
94.554,Bluetooth,-49
94.555,Bluetooth,-49
