Distance,15.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhoneXR
TXCarry,pocket
RXCarry,pocket
RXPose,standing
TXPose,sitting
0.041,Bluetooth,-81
0.076,Bluetooth,-76
0.077,Bluetooth,-76
0.106,Bluetooth,-77
0.108,Bluetooth,-78
0.138,Bluetooth,-71
0.140,Bluetooth,-71
0.169,Bluetooth,-80
0.200,Bluetooth,-75
0.201,Bluetooth,-76
0.292,Bluetooth,-83
0.324,Bluetooth,-76
0.326,Bluetooth,-76
0.354,Bluetooth,-72
0.356,Bluetooth,-70
0.388,Bluetooth,-69
0.390,Bluetooth,-71
0.416,Bluetooth,-82
0.417,Bluetooth,-83
0.449,Bluetooth,-77
0.451,Bluetooth,-78
0.483,Bluetooth,-70
0.484,Bluetooth,-71
0.517,Bluetooth,-80
0.518,Bluetooth,-81
0.616,Bluetooth,-71
0.617,Bluetooth,-70
0.645,Bluetooth,-81
0.746,Bluetooth,-71
0.747,Bluetooth,-71
0.775,Bluetooth,-81
0.776,Bluetooth,-81
0.806,Bluetooth,-75
0.808,Bluetooth,-75
0.839,Bluetooth,-70
0.842,Bluetooth,-69
0.902,Bluetooth,-81
0.971,Bluetooth,-70
0.972,Bluetooth,-71
0.999,Bluetooth,-81
1.001,Bluetooth,-81
1.065,Bluetooth,-75
1.066,Bluetooth,-76
1.197,Bluetooth,-69
1.198,Bluetooth,-71
1.262,Bluetooth,-80
1.263,Bluetooth,-82
1.296,Bluetooth,-76
1.330,Bluetooth,-70
1.332,Bluetooth,-69
1.363,Bluetooth,-81
1.365,Bluetooth,-81
1.399,Bluetooth,-75
1.400,Bluetooth,-74
1.466,Bluetooth,-70
1.467,Bluetooth,-69
1.494,Bluetooth,-81
1.496,Bluetooth,-81
1.525,Bluetooth,-75
1.527,Bluetooth,-74
1.561,Bluetooth,-70
1.563,Bluetooth,-69
1.595,Bluetooth,-81
1.596,Bluetooth,-82
1.626,Bluetooth,-82
1.628,Bluetooth,-82
1.659,Bluetooth,-76
1.661,Bluetooth,-76
1.695,Bluetooth,-71
1.696,Bluetooth,-71
1.758,Bluetooth,-76
1.760,Bluetooth,-76
1.849,Bluetooth,-82
1.881,Bluetooth,-77
1.883,Bluetooth,-77
1.949,Bluetooth,-71
1.951,Bluetooth,-70
2.107,Bluetooth,-84
2.109,Bluetooth,-82
2.206,Bluetooth,-83
2.208,Bluetooth,-82
2.236,Bluetooth,-79
2.237,Bluetooth,-80
2.303,Bluetooth,-71
2.305,Bluetooth,-70
