Distance,4.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhone11_Pro
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-60
0.001,Bluetooth,-60
0.065,Bluetooth,-68
0.066,Bluetooth,-67
0.096,Bluetooth,-57
0.098,Bluetooth,-57
0.128,Bluetooth,-59
0.129,Bluetooth,-60
0.162,Bluetooth,-61
0.163,Bluetooth,-60
0.219,Bluetooth,-57
0.222,Bluetooth,-56
0.256,Bluetooth,-60
0.257,Bluetooth,-61
0.287,Bluetooth,-59
0.288,Bluetooth,-59
0.317,Bluetooth,-54
0.318,Bluetooth,-55
0.412,Bluetooth,-61
0.414,Bluetooth,-62
0.445,Bluetooth,-60
0.447,Bluetooth,-60
0.501,Bluetooth,-61
0.502,Bluetooth,-62
0.531,Bluetooth,-60
0.533,Bluetooth,-60
0.565,Bluetooth,-57
0.566,Bluetooth,-56
0.623,Bluetooth,-62
0.624,Bluetooth,-61
0.657,Bluetooth,-62
0.658,Bluetooth,-62
0.688,Bluetooth,-61
0.689,Bluetooth,-60
0.719,Bluetooth,-67
0.720,Bluetooth,-66
0.786,Bluetooth,-57
0.787,Bluetooth,-58
0.845,Bluetooth,-65
0.846,Bluetooth,-65
0.878,Bluetooth,-56
0.878,Bluetooth,-56
0.970,Bluetooth,-62
0.971,Bluetooth,-60
1.003,Bluetooth,-55
1.004,Bluetooth,-55
1.034,Bluetooth,-61
1.035,Bluetooth,-61
1.067,Bluetooth,-59
1.068,Bluetooth,-60
1.096,Bluetooth,-58
1.097,Bluetooth,-57
1.127,Bluetooth,-54
1.128,Bluetooth,-55
1.160,Bluetooth,-59
1.161,Bluetooth,-59
1.221,Bluetooth,-58
1.222,Bluetooth,-58
1.254,Bluetooth,-55
1.256,Bluetooth,-55
1.291,Bluetooth,-57
1.292,Bluetooth,-57
1.384,Bluetooth,-54
1.385,Bluetooth,-55
1.418,Bluetooth,-57
1.419,Bluetooth,-57
1.449,Bluetooth,-58
1.450,Bluetooth,-58
1.485,Bluetooth,-55
1.486,Bluetooth,-55
1.517,Bluetooth,-58
1.518,Bluetooth,-58
1.615,Bluetooth,-55
1.615,Bluetooth,-55
1.648,Bluetooth,-58
1.649,Bluetooth,-58
1.679,Bluetooth,-58
1.680,Bluetooth,-59
1.745,Bluetooth,-56
1.746,Bluetooth,-56
1.807,Bluetooth,-60
1.868,Bluetooth,-57
1.870,Bluetooth,-56
1.908,Bluetooth,-59
1.909,Bluetooth,-60
1.970,Bluetooth,-59
1.971,Bluetooth,-59
