Distance,6.0
TXDevice,iPhoneXS
TXPower,12
RXDevice,iPhone8
TXCarry,pocket
RXCarry,hand
RXPose,standing
TXPose,sitting
0.000,Bluetooth,-61
0.001,Bluetooth,-61
0.071,Bluetooth,-59
0.072,Bluetooth,-59
0.104,Bluetooth,-61
0.105,Bluetooth,-63
0.136,Bluetooth,-55
0.137,Bluetooth,-54
0.208,Bluetooth,-60
0.210,Bluetooth,-59
0.240,Bluetooth,-60
0.241,Bluetooth,-63
0.277,Bluetooth,-54
0.278,Bluetooth,-53
0.308,Bluetooth,-60
0.309,Bluetooth,-59
0.373,Bluetooth,-61
0.374,Bluetooth,-61
0.413,Bluetooth,-54
0.414,Bluetooth,-54
0.451,Bluetooth,-58
0.452,Bluetooth,-58
0.488,Bluetooth,-60
0.530,Bluetooth,-54
0.531,Bluetooth,-54
0.562,Bluetooth,-58
0.563,Bluetooth,-58
0.603,Bluetooth,-61
0.604,Bluetooth,-61
0.672,Bluetooth,-58
0.713,Bluetooth,-60
0.714,Bluetooth,-61
0.747,Bluetooth,-54
0.747,Bluetooth,-55
0.785,Bluetooth,-57
0.786,Bluetooth,-58
0.824,Bluetooth,-61
0.826,Bluetooth,-62
0.931,Bluetooth,-59
1.031,Bluetooth,-59
1.062,Bluetooth,-63
1.063,Bluetooth,-63
1.167,Bluetooth,-59
1.168,Bluetooth,-58
1.236,Bluetooth,-55
1.237,Bluetooth,-54
1.272,Bluetooth,-61
1.274,Bluetooth,-60
1.309,Bluetooth,-63
1.310,Bluetooth,-63
1.378,Bluetooth,-60
1.379,Bluetooth,-59
1.412,Bluetooth,-60
1.413,Bluetooth,-60
1.453,Bluetooth,-62
1.454,Bluetooth,-63
1.530,Bluetooth,-60
1.531,Bluetooth,-59
1.572,Bluetooth,-61
1.573,Bluetooth,-62
1.640,Bluetooth,-59
1.641,Bluetooth,-60
1.714,Bluetooth,-54
1.820,Bluetooth,-54
1.821,Bluetooth,-54
1.856,Bluetooth,-59
1.857,Bluetooth,-59
1.888,Bluetooth,-59
1.888,Bluetooth,-58
1.918,Bluetooth,-62
1.919,Bluetooth,-62
1.953,Bluetooth,-54
1.954,Bluetooth,-54
1.983,Bluetooth,-59
1.984,Bluetooth,-59
2.022,Bluetooth,-61
2.024,Bluetooth,-61
2.062,Bluetooth,-55
2.063,Bluetooth,-54
2.094,Bluetooth,-54
2.095,Bluetooth,-53
2.163,Bluetooth,-60
2.165,Bluetooth,-61
2.195,Bluetooth,-55
2.196,Bluetooth,-56
2.266,Bluetooth,-60
2.267,Bluetooth,-62
2.299,Bluetooth,-54
2.301,Bluetooth,-53
2.331,Bluetooth,-54
2.332,Bluetooth,-54
2.459,Bluetooth,-58
2.460,Bluetooth,-57
2.491,Bluetooth,-58
2.492,Bluetooth,-57
2.527,Bluetooth,-61
2.528,Bluetooth,-61
2.593,Bluetooth,-58
2.594,Bluetooth,-58
2.706,Bluetooth,-57
2.707,Bluetooth,-57
2.747,Bluetooth,-62
2.748,Bluetooth,-62
2.784,Bluetooth,-54
2.785,Bluetooth,-55
2.813,Bluetooth,-54
2.814,Bluetooth,-54
2.852,Bluetooth,-59
2.853,Bluetooth,-58
2.957,Bluetooth,-58
2.958,Bluetooth,-58
2.993,Bluetooth,-62
2.994,Bluetooth,-62
3.028,Bluetooth,-53
3.029,Bluetooth,-54
3.210,Bluetooth,-61
3.211,Bluetooth,-60
3.245,Bluetooth,-61
3.246,Bluetooth,-61
3.283,Bluetooth,-54
3.284,Bluetooth,-54
3.317,Bluetooth,-59
3.319,Bluetooth,-59
3.349,Bluetooth,-62
3.351,Bluetooth,-61
3.419,Bluetooth,-59
3.420,Bluetooth,-59
3.556,Bluetooth,-59
3.557,Bluetooth,-60
3.592,Bluetooth,-63
3.593,Bluetooth,-62
3.623,Bluetooth,-53
3.624,Bluetooth,-54
3.654,Bluetooth,-54
3.655,Bluetooth,-54
3.690,Bluetooth,-59
3.691,Bluetooth,-59
3.753,Bluetooth,-55
3.754,Bluetooth,-54
3.787,Bluetooth,-60
3.821,Bluetooth,-61
3.822,Bluetooth,-61
3.899,Bluetooth,-59
27.738,Bluetooth,-75
27.839,Bluetooth,-67
27.840,Bluetooth,-67
27.877,Bluetooth,-75
27.916,Bluetooth,-71
27.918,Bluetooth,-71
27.952,Bluetooth,-68
27.953,Bluetooth,-68
27.990,Bluetooth,-76
28.067,Bluetooth,-67
28.068,Bluetooth,-67
28.095,Bluetooth,-77
28.097,Bluetooth,-77
28.163,Bluetooth,-71
28.164,Bluetooth,-71
28.198,Bluetooth,-68
28.199,Bluetooth,-68
28.235,Bluetooth,-78
28.236,Bluetooth,-76
28.272,Bluetooth,-70
28.273,Bluetooth,-71
28.308,Bluetooth,-68
28.309,Bluetooth,-69
28.337,Bluetooth,-74
28.338,Bluetooth,-75
28.378,Bluetooth,-71
28.380,Bluetooth,-70
28.546,Bluetooth,-69
28.547,Bluetooth,-68
28.583,Bluetooth,-73
28.584,Bluetooth,-73
28.615,Bluetooth,-69
28.655,Bluetooth,-68
28.656,Bluetooth,-69
28.725,Bluetooth,-75
28.766,Bluetooth,-70
28.767,Bluetooth,-70
28.838,Bluetooth,-71
28.872,Bluetooth,-71
28.874,Bluetooth,-72
28.904,Bluetooth,-68
28.905,Bluetooth,-69
28.942,Bluetooth,-70
28.943,Bluetooth,-71
28.975,Bluetooth,-71
29.086,Bluetooth,-71
29.087,Bluetooth,-71
29.121,Bluetooth,-71
29.122,Bluetooth,-71
29.155,Bluetooth,-69
29.156,Bluetooth,-69
29.186,Bluetooth,-70
29.187,Bluetooth,-70
29.250,Bluetooth,-72
29.251,Bluetooth,-71
29.286,Bluetooth,-70
29.287,Bluetooth,-68
29.358,Bluetooth,-71
29.359,Bluetooth,-71
29.426,Bluetooth,-70
29.428,Bluetooth,-70
29.463,Bluetooth,-70
29.465,Bluetooth,-71
29.564,Bluetooth,-70
29.565,Bluetooth,-70
29.594,Bluetooth,-70
29.633,Bluetooth,-69
29.634,Bluetooth,-69
29.662,Bluetooth,-71
29.664,Bluetooth,-72
29.735,Bluetooth,-69
29.737,Bluetooth,-70
29.806,Bluetooth,-71
29.808,Bluetooth,-70
29.845,Bluetooth,-71
29.879,Bluetooth,-70
29.881,Bluetooth,-71
29.916,Bluetooth,-71
29.917,Bluetooth,-72
29.952,Bluetooth,-71
30.017,Bluetooth,-71
30.018,Bluetooth,-71
30.097,Bluetooth,-69
30.098,Bluetooth,-69
30.128,Bluetooth,-70
30.158,Bluetooth,-72
30.192,Bluetooth,-67
30.193,Bluetooth,-68
30.223,Bluetooth,-69
30.224,Bluetooth,-69
30.253,Bluetooth,-68
30.254,Bluetooth,-68
30.285,Bluetooth,-73
30.286,Bluetooth,-73
30.354,Bluetooth,-69
30.355,Bluetooth,-69
30.463,Bluetooth,-67
30.464,Bluetooth,-68
30.501,Bluetooth,-73
30.602,Bluetooth,-66
30.603,Bluetooth,-67
30.631,Bluetooth,-75
30.633,Bluetooth,-74
30.664,Bluetooth,-71
30.699,Bluetooth,-67
30.733,Bluetooth,-67
30.805,Bluetooth,-70
30.870,Bluetooth,-75
30.871,Bluetooth,-75
30.905,Bluetooth,-70
31.006,Bluetooth,-75
31.038,Bluetooth,-70
31.072,Bluetooth,-66
31.073,Bluetooth,-67
31.103,Bluetooth,-75
31.104,Bluetooth,-75
31.250,Bluetooth,-75
31.251,Bluetooth,-75
31.287,Bluetooth,-70
31.288,Bluetooth,-70
31.322,Bluetooth,-65
31.323,Bluetooth,-66
31.353,Bluetooth,-74
31.423,Bluetooth,-66
31.424,Bluetooth,-67
31.455,Bluetooth,-73
31.456,Bluetooth,-73
31.485,Bluetooth,-73
31.486,Bluetooth,-74
31.517,Bluetooth,-69
31.518,Bluetooth,-69
31.552,Bluetooth,-65
31.553,Bluetooth,-67
31.583,Bluetooth,-73
31.619,Bluetooth,-70
31.620,Bluetooth,-69
31.680,Bluetooth,-66
31.681,Bluetooth,-67
31.715,Bluetooth,-72
31.716,Bluetooth,-72
58.862,Bluetooth,-63
58.863,Bluetooth,-64
58.898,Bluetooth,-54
58.899,Bluetooth,-54
58.978,Bluetooth,-64
58.979,Bluetooth,-64
59.017,Bluetooth,-55
59.018,Bluetooth,-54
59.082,Bluetooth,-65
59.115,Bluetooth,-64
59.116,Bluetooth,-64
59.147,Bluetooth,-54
59.149,Bluetooth,-54
59.186,Bluetooth,-65
59.226,Bluetooth,-64
59.227,Bluetooth,-64
59.256,Bluetooth,-54
59.258,Bluetooth,-54
59.331,Bluetooth,-65
59.333,Bluetooth,-65
59.408,Bluetooth,-54
59.409,Bluetooth,-54
59.438,Bluetooth,-64
59.440,Bluetooth,-64
59.473,Bluetooth,-64
59.475,Bluetooth,-64
59.585,Bluetooth,-64
59.586,Bluetooth,-64
59.617,Bluetooth,-55
59.618,Bluetooth,-55
59.716,Bluetooth,-64
59.717,Bluetooth,-64
59.780,Bluetooth,-63
59.781,Bluetooth,-63
59.882,Bluetooth,-56
59.884,Bluetooth,-56
59.923,Bluetooth,-63
59.924,Bluetooth,-62
59.953,Bluetooth,-64
59.954,Bluetooth,-64
59.987,Bluetooth,-57
59.988,Bluetooth,-56
60.027,Bluetooth,-61
60.028,Bluetooth,-62
60.066,Bluetooth,-63
60.067,Bluetooth,-65
60.141,Bluetooth,-62
60.142,Bluetooth,-62
60.175,Bluetooth,-65
60.176,Bluetooth,-65
60.205,Bluetooth,-66
60.206,Bluetooth,-65
60.235,Bluetooth,-57
60.237,Bluetooth,-58
60.271,Bluetooth,-62
60.273,Bluetooth,-63
60.313,Bluetooth,-64
60.315,Bluetooth,-66
60.347,Bluetooth,-57
60.349,Bluetooth,-57
60.381,Bluetooth,-61
60.382,Bluetooth,-62
60.418,Bluetooth,-64
60.419,Bluetooth,-66
60.491,Bluetooth,-57
60.492,Bluetooth,-56
60.531,Bluetooth,-61
60.533,Bluetooth,-61
60.601,Bluetooth,-58
60.602,Bluetooth,-58
60.642,Bluetooth,-64
60.643,Bluetooth,-64
60.676,Bluetooth,-65
60.677,Bluetooth,-66
60.709,Bluetooth,-57
60.740,Bluetooth,-62
60.741,Bluetooth,-63
60.779,Bluetooth,-64
60.780,Bluetooth,-67
60.816,Bluetooth,-57
60.817,Bluetooth,-57
60.847,Bluetooth,-58
60.849,Bluetooth,-60
60.887,Bluetooth,-63
60.888,Bluetooth,-64
61.025,Bluetooth,-66
61.026,Bluetooth,-66
61.055,Bluetooth,-57
61.096,Bluetooth,-62
61.097,Bluetooth,-63
61.136,Bluetooth,-65
61.137,Bluetooth,-65
61.203,Bluetooth,-56
61.204,Bluetooth,-56
61.234,Bluetooth,-63
61.235,Bluetooth,-64
61.273,Bluetooth,-66
61.275,Bluetooth,-66
61.382,Bluetooth,-66
61.383,Bluetooth,-67
61.413,Bluetooth,-57
61.415,Bluetooth,-56
61.453,Bluetooth,-63
61.454,Bluetooth,-63
61.486,Bluetooth,-63
61.487,Bluetooth,-63
61.522,Bluetooth,-65
61.523,Bluetooth,-65
61.552,Bluetooth,-56
61.553,Bluetooth,-57
61.591,Bluetooth,-61
61.592,Bluetooth,-62
61.623,Bluetooth,-65
61.624,Bluetooth,-65
61.656,Bluetooth,-56
61.657,Bluetooth,-57
61.686,Bluetooth,-57
61.687,Bluetooth,-56
61.765,Bluetooth,-65
61.861,Bluetooth,-65
61.862,Bluetooth,-64
62.089,Bluetooth,-63
62.090,Bluetooth,-63
62.121,Bluetooth,-67
62.122,Bluetooth,-66
62.156,Bluetooth,-58
62.157,Bluetooth,-59
62.197,Bluetooth,-62
62.199,Bluetooth,-63
62.229,Bluetooth,-64
62.259,Bluetooth,-57
62.300,Bluetooth,-61
62.301,Bluetooth,-61
62.335,Bluetooth,-64
62.336,Bluetooth,-64
62.400,Bluetooth,-57
62.401,Bluetooth,-58
62.474,Bluetooth,-63
62.475,Bluetooth,-64
62.503,Bluetooth,-58
62.504,Bluetooth,-57
62.538,Bluetooth,-61
62.540,Bluetooth,-62
62.569,Bluetooth,-61
62.570,Bluetooth,-61
62.603,Bluetooth,-64
62.604,Bluetooth,-65
62.633,Bluetooth,-58
62.634,Bluetooth,-58
62.669,Bluetooth,-60
62.670,Bluetooth,-61
62.703,Bluetooth,-64
62.735,Bluetooth,-58
62.736,Bluetooth,-59
62.776,Bluetooth,-61
62.778,Bluetooth,-63
62.806,Bluetooth,-61
62.807,Bluetooth,-61
92.271,Bluetooth,-59
92.272,Bluetooth,-60
92.303,Bluetooth,-52
92.303,Bluetooth,-52
92.338,Bluetooth,-59
92.339,Bluetooth,-58
92.442,Bluetooth,-52
92.443,Bluetooth,-53
92.474,Bluetooth,-58
92.475,Bluetooth,-58
92.507,Bluetooth,-58
92.508,Bluetooth,-58
92.544,Bluetooth,-52
92.545,Bluetooth,-52
92.579,Bluetooth,-57
92.616,Bluetooth,-58
92.617,Bluetooth,-58
92.652,Bluetooth,-52
92.653,Bluetooth,-51
92.685,Bluetooth,-52
92.686,Bluetooth,-52
92.717,Bluetooth,-59
92.718,Bluetooth,-58
92.757,Bluetooth,-58
92.758,Bluetooth,-59
92.785,Bluetooth,-53
92.786,Bluetooth,-53
92.820,Bluetooth,-60
92.821,Bluetooth,-60
92.853,Bluetooth,-59
92.854,Bluetooth,-57
92.885,Bluetooth,-60
92.887,Bluetooth,-59
92.923,Bluetooth,-53
92.924,Bluetooth,-54
92.996,Bluetooth,-59
92.997,Bluetooth,-59
93.103,Bluetooth,-59
93.104,Bluetooth,-59
93.142,Bluetooth,-52
93.143,Bluetooth,-53
93.183,Bluetooth,-60
93.184,Bluetooth,-60
93.281,Bluetooth,-53
93.282,Bluetooth,-52
93.363,Bluetooth,-59
93.364,Bluetooth,-59
93.395,Bluetooth,-53
93.397,Bluetooth,-53
93.475,Bluetooth,-58
93.476,Bluetooth,-58
93.584,Bluetooth,-58
93.585,Bluetooth,-58
93.655,Bluetooth,-59
93.656,Bluetooth,-57
93.696,Bluetooth,-58
93.697,Bluetooth,-59
93.728,Bluetooth,-58
93.729,Bluetooth,-57
93.766,Bluetooth,-52
93.767,Bluetooth,-52
93.798,Bluetooth,-57
93.800,Bluetooth,-58
93.839,Bluetooth,-58
93.841,Bluetooth,-58
93.876,Bluetooth,-53
93.877,Bluetooth,-52
93.912,Bluetooth,-57
93.914,Bluetooth,-58
93.949,Bluetooth,-57
93.978,Bluetooth,-52
93.979,Bluetooth,-52
94.085,Bluetooth,-58
94.086,Bluetooth,-58
94.118,Bluetooth,-52
94.119,Bluetooth,-52
94.159,Bluetooth,-58
94.160,Bluetooth,-59
94.191,Bluetooth,-58
94.192,Bluetooth,-58
94.229,Bluetooth,-52
94.230,Bluetooth,-53
94.262,Bluetooth,-58
94.263,Bluetooth,-58
94.337,Bluetooth,-52
94.338,Bluetooth,-51
94.373,Bluetooth,-59
94.374,Bluetooth,-57
94.409,Bluetooth,-58
94.410,Bluetooth,-58
94.487,Bluetooth,-52
94.488,Bluetooth,-51
94.520,Bluetooth,-57
94.521,Bluetooth,-57
94.592,Bluetooth,-52
94.593,Bluetooth,-52
94.627,Bluetooth,-58
94.628,Bluetooth,-57
94.666,Bluetooth,-58
94.667,Bluetooth,-58
94.701,Bluetooth,-53
94.702,Bluetooth,-52
94.761,Bluetooth,-57
94.762,Bluetooth,-58
94.792,Bluetooth,-58
94.793,Bluetooth,-59
94.831,Bluetooth,-52
94.832,Bluetooth,-52
94.862,Bluetooth,-58
94.863,Bluetooth,-59
94.899,Bluetooth,-59
94.900,Bluetooth,-59
94.936,Bluetooth,-54
94.937,Bluetooth,-53
95.041,Bluetooth,-58
95.042,Bluetooth,-59
95.075,Bluetooth,-52
95.076,Bluetooth,-54
95.112,Bluetooth,-57
95.114,Bluetooth,-58
95.154,Bluetooth,-60
95.155,Bluetooth,-60
95.294,Bluetooth,-52
95.368,Bluetooth,-59
95.369,Bluetooth,-59
95.405,Bluetooth,-58
95.406,Bluetooth,-59
95.435,Bluetooth,-51
95.436,Bluetooth,-53
95.473,Bluetooth,-58
95.474,Bluetooth,-57
95.506,Bluetooth,-59
95.507,Bluetooth,-58
95.536,Bluetooth,-52
95.537,Bluetooth,-54
95.574,Bluetooth,-58
95.575,Bluetooth,-59
95.641,Bluetooth,-59
95.683,Bluetooth,-52
95.684,Bluetooth,-53
95.715,Bluetooth,-57
95.716,Bluetooth,-57
95.777,Bluetooth,-53
95.778,Bluetooth,-54
95.812,Bluetooth,-58
95.813,Bluetooth,-59
95.883,Bluetooth,-57
95.884,Bluetooth,-57
95.914,Bluetooth,-54
95.916,Bluetooth,-53
95.947,Bluetooth,-58
95.948,Bluetooth,-59
95.983,Bluetooth,-57
95.984,Bluetooth,-56
96.016,Bluetooth,-53
96.017,Bluetooth,-53
96.048,Bluetooth,-53
96.049,Bluetooth,-54
96.081,Bluetooth,-58
96.082,Bluetooth,-58
96.184,Bluetooth,-58
120.497,Bluetooth,-64
120.498,Bluetooth,-66
120.534,Bluetooth,-61
120.535,Bluetooth,-61
120.570,Bluetooth,-65
120.571,Bluetooth,-64
120.674,Bluetooth,-61
120.675,Bluetooth,-61
120.708,Bluetooth,-64
120.709,Bluetooth,-64
120.746,Bluetooth,-66
120.747,Bluetooth,-65
120.772,Bluetooth,-60
120.803,Bluetooth,-59
120.839,Bluetooth,-62
120.879,Bluetooth,-63
120.912,Bluetooth,-59
120.913,Bluetooth,-59
120.948,Bluetooth,-64
120.950,Bluetooth,-64
120.988,Bluetooth,-63
120.989,Bluetooth,-63
121.056,Bluetooth,-62
121.057,Bluetooth,-62
121.197,Bluetooth,-62
121.198,Bluetooth,-63
121.230,Bluetooth,-61
121.231,Bluetooth,-60
121.302,Bluetooth,-62
121.303,Bluetooth,-62
121.335,Bluetooth,-60
121.336,Bluetooth,-59
121.403,Bluetooth,-57
121.404,Bluetooth,-57
121.476,Bluetooth,-61
121.478,Bluetooth,-60
121.514,Bluetooth,-58
121.515,Bluetooth,-58
121.550,Bluetooth,-63
121.551,Bluetooth,-62
121.590,Bluetooth,-60
121.591,Bluetooth,-60
121.623,Bluetooth,-57
121.624,Bluetooth,-59
121.656,Bluetooth,-62
121.657,Bluetooth,-62
121.724,Bluetooth,-60
121.725,Bluetooth,-60
121.752,Bluetooth,-58
121.753,Bluetooth,-58
121.791,Bluetooth,-62
121.792,Bluetooth,-62
121.822,Bluetooth,-60
121.857,Bluetooth,-59
122.002,Bluetooth,-59
122.003,Bluetooth,-58
122.040,Bluetooth,-64
122.041,Bluetooth,-65
122.076,Bluetooth,-61
122.077,Bluetooth,-61
122.111,Bluetooth,-60
122.112,Bluetooth,-59
122.148,Bluetooth,-62
122.149,Bluetooth,-62
122.179,Bluetooth,-61
122.180,Bluetooth,-61
122.213,Bluetooth,-59
122.214,Bluetooth,-59
122.345,Bluetooth,-60
122.346,Bluetooth,-60
122.382,Bluetooth,-61
122.383,Bluetooth,-62
122.423,Bluetooth,-60
122.424,Bluetooth,-61
122.453,Bluetooth,-59
122.455,Bluetooth,-59
122.483,Bluetooth,-58
122.485,Bluetooth,-59
122.513,Bluetooth,-62
122.514,Bluetooth,-62
122.549,Bluetooth,-60
122.550,Bluetooth,-61
122.578,Bluetooth,-59
122.579,Bluetooth,-59
122.613,Bluetooth,-62
122.614,Bluetooth,-62
122.688,Bluetooth,-61
122.717,Bluetooth,-59
122.718,Bluetooth,-59
122.747,Bluetooth,-62
122.748,Bluetooth,-63
122.787,Bluetooth,-59
122.788,Bluetooth,-61
122.817,Bluetooth,-58
122.818,Bluetooth,-59
122.855,Bluetooth,-62
122.856,Bluetooth,-62
122.885,Bluetooth,-61
122.886,Bluetooth,-62
122.953,Bluetooth,-60
122.955,Bluetooth,-59
122.996,Bluetooth,-61
122.997,Bluetooth,-61
123.026,Bluetooth,-60
123.027,Bluetooth,-59
123.059,Bluetooth,-59
123.060,Bluetooth,-59
123.094,Bluetooth,-61
123.095,Bluetooth,-61
123.163,Bluetooth,-60
123.164,Bluetooth,-61
123.245,Bluetooth,-61
123.246,Bluetooth,-60
123.358,Bluetooth,-60
123.359,Bluetooth,-60
123.395,Bluetooth,-60
123.396,Bluetooth,-61
123.433,Bluetooth,-59
123.434,Bluetooth,-59
123.473,Bluetooth,-60
123.543,Bluetooth,-63
123.544,Bluetooth,-62
123.617,Bluetooth,-61
123.618,Bluetooth,-61
123.675,Bluetooth,-58
123.676,Bluetooth,-59
123.711,Bluetooth,-60
123.713,Bluetooth,-60
123.773,Bluetooth,-58
123.774,Bluetooth,-59
123.804,Bluetooth,-59
123.805,Bluetooth,-59
123.909,Bluetooth,-58
123.945,Bluetooth,-60
123.946,Bluetooth,-60
123.986,Bluetooth,-60
123.988,Bluetooth,-60
124.018,Bluetooth,-58
124.019,Bluetooth,-59
124.052,Bluetooth,-60
124.053,Bluetooth,-60
124.087,Bluetooth,-60
124.088,Bluetooth,-59
124.159,Bluetooth,-59
124.160,Bluetooth,-58
124.191,Bluetooth,-60
124.192,Bluetooth,-60
124.229,Bluetooth,-60
124.230,Bluetooth,-62
124.268,Bluetooth,-59
124.268,Bluetooth,-59
124.384,Bluetooth,-58
124.386,Bluetooth,-59
124.422,Bluetooth,-60
124.423,Bluetooth,-60
124.457,Bluetooth,-60
151.709,Bluetooth,-71
151.710,Bluetooth,-72
151.749,Bluetooth,-83
151.779,Bluetooth,-74
151.817,Bluetooth,-71
151.819,Bluetooth,-71
151.848,Bluetooth,-71
151.849,Bluetooth,-71
151.918,Bluetooth,-73
151.920,Bluetooth,-74
151.957,Bluetooth,-72
151.958,Bluetooth,-71
151.994,Bluetooth,-81
151.995,Bluetooth,-82
152.033,Bluetooth,-73
152.035,Bluetooth,-73
152.063,Bluetooth,-71
152.065,Bluetooth,-73
152.102,Bluetooth,-85
152.104,Bluetooth,-83
152.207,Bluetooth,-70
152.209,Bluetooth,-70
152.247,Bluetooth,-82
152.248,Bluetooth,-83
152.329,Bluetooth,-70
152.357,Bluetooth,-81
152.358,Bluetooth,-82
152.462,Bluetooth,-83
152.463,Bluetooth,-83
152.493,Bluetooth,-76
152.494,Bluetooth,-76
152.523,Bluetooth,-75
152.524,Bluetooth,-76
152.587,Bluetooth,-83
152.653,Bluetooth,-70
152.654,Bluetooth,-69
152.687,Bluetooth,-70
152.688,Bluetooth,-69
152.723,Bluetooth,-80
152.764,Bluetooth,-75
152.765,Bluetooth,-75
152.797,Bluetooth,-69
152.798,Bluetooth,-70
152.863,Bluetooth,-75
152.864,Bluetooth,-75
152.934,Bluetooth,-81
152.935,Bluetooth,-80
153.001,Bluetooth,-70
153.002,Bluetooth,-70
153.033,Bluetooth,-69
153.034,Bluetooth,-71
153.139,Bluetooth,-70
153.175,Bluetooth,-81
153.176,Bluetooth,-80
153.216,Bluetooth,-74
153.217,Bluetooth,-75
153.253,Bluetooth,-70
153.254,Bluetooth,-70
153.399,Bluetooth,-69
153.435,Bluetooth,-81
153.470,Bluetooth,-76
153.471,Bluetooth,-76
153.507,Bluetooth,-69
153.508,Bluetooth,-70
153.538,Bluetooth,-81
153.540,Bluetooth,-80
153.647,Bluetooth,-69
153.648,Bluetooth,-69
153.680,Bluetooth,-80
153.681,Bluetooth,-79
153.719,Bluetooth,-76
153.720,Bluetooth,-75
153.749,Bluetooth,-69
153.750,Bluetooth,-69
153.865,Bluetooth,-69
153.866,Bluetooth,-70
153.946,Bluetooth,-77
153.947,Bluetooth,-77
153.984,Bluetooth,-69
153.985,Bluetooth,-69
154.016,Bluetooth,-79
154.051,Bluetooth,-77
154.148,Bluetooth,-78
154.187,Bluetooth,-77
154.188,Bluetooth,-76
154.218,Bluetooth,-69
154.254,Bluetooth,-81
154.256,Bluetooth,-81
154.288,Bluetooth,-78
154.289,Bluetooth,-80
154.349,Bluetooth,-70
154.350,Bluetooth,-70
154.389,Bluetooth,-78
154.390,Bluetooth,-79
154.427,Bluetooth,-76
154.428,Bluetooth,-76
154.464,Bluetooth,-71
154.505,Bluetooth,-79
154.506,Bluetooth,-78
154.540,Bluetooth,-78
154.579,Bluetooth,-69
154.607,Bluetooth,-70
154.607,Bluetooth,-70
154.644,Bluetooth,-80
154.645,Bluetooth,-79
154.681,Bluetooth,-76
154.682,Bluetooth,-76
154.715,Bluetooth,-70
154.716,Bluetooth,-70
154.748,Bluetooth,-79
154.847,Bluetooth,-70
154.848,Bluetooth,-70
154.917,Bluetooth,-76
154.988,Bluetooth,-79
154.989,Bluetooth,-79
155.060,Bluetooth,-69
155.061,Bluetooth,-70
155.097,Bluetooth,-78
155.098,Bluetooth,-79
155.130,Bluetooth,-76
155.131,Bluetooth,-75
155.163,Bluetooth,-74
155.164,Bluetooth,-75
155.193,Bluetooth,-70
155.194,Bluetooth,-69
155.234,Bluetooth,-78
155.342,Bluetooth,-78
155.383,Bluetooth,-77
155.384,Bluetooth,-77
155.415,Bluetooth,-69
155.416,Bluetooth,-69
155.447,Bluetooth,-70
155.448,Bluetooth,-70
155.484,Bluetooth,-78
155.516,Bluetooth,-76
155.517,Bluetooth,-76
155.547,Bluetooth,-69
155.548,Bluetooth,-70
155.581,Bluetooth,-79
155.582,Bluetooth,-79
155.616,Bluetooth,-77
155.618,Bluetooth,-76
155.682,Bluetooth,-70
185.169,Bluetooth,-67
185.170,Bluetooth,-65
185.199,Bluetooth,-66
185.200,Bluetooth,-66
185.239,Bluetooth,-60
185.240,Bluetooth,-61
185.267,Bluetooth,-60
185.268,Bluetooth,-61
185.300,Bluetooth,-67
185.301,Bluetooth,-67
185.336,Bluetooth,-60
185.337,Bluetooth,-60
185.370,Bluetooth,-60
185.401,Bluetooth,-59
185.402,Bluetooth,-61
185.437,Bluetooth,-66
185.438,Bluetooth,-66
185.467,Bluetooth,-60
185.468,Bluetooth,-59
185.500,Bluetooth,-59
