Distance,10.0
TXDevice,iPhone11
TXPower,8
RXDevice,iPhone11_Pro_max
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-57
0.001,Bluetooth,-57
0.099,Bluetooth,-57
0.100,Bluetooth,-58
0.137,Bluetooth,-59
0.138,Bluetooth,-61
0.173,Bluetooth,-61
0.174,Bluetooth,-62
0.206,Bluetooth,-58
0.207,Bluetooth,-58
0.248,Bluetooth,-63
0.249,Bluetooth,-63
0.387,Bluetooth,-60
0.388,Bluetooth,-60
0.431,Bluetooth,-59
0.432,Bluetooth,-58
0.461,Bluetooth,-67
0.462,Bluetooth,-67
0.526,Bluetooth,-64
0.526,Bluetooth,-64
0.562,Bluetooth,-58
0.563,Bluetooth,-58
0.602,Bluetooth,-61
0.603,Bluetooth,-61
0.637,Bluetooth,-62
0.638,Bluetooth,-64
0.671,Bluetooth,-60
0.748,Bluetooth,-60
0.750,Bluetooth,-60
0.782,Bluetooth,-60
0.783,Bluetooth,-61
0.810,Bluetooth,-61
0.811,Bluetooth,-62
0.851,Bluetooth,-57
0.852,Bluetooth,-59
0.920,Bluetooth,-62
0.921,Bluetooth,-61
0.962,Bluetooth,-60
0.999,Bluetooth,-62
1.000,Bluetooth,-61
1.068,Bluetooth,-54
1.069,Bluetooth,-54
1.108,Bluetooth,-60
1.108,Bluetooth,-60
1.138,Bluetooth,-58
1.139,Bluetooth,-58
1.169,Bluetooth,-54
1.170,Bluetooth,-53
1.275,Bluetooth,-60
1.309,Bluetooth,-58
1.310,Bluetooth,-60
1.350,Bluetooth,-57
1.351,Bluetooth,-58
1.414,Bluetooth,-61
1.415,Bluetooth,-61
1.522,Bluetooth,-60
1.523,Bluetooth,-60
1.553,Bluetooth,-58
1.630,Bluetooth,-57
1.631,Bluetooth,-57
1.668,Bluetooth,-58
1.669,Bluetooth,-58
1.706,Bluetooth,-62
1.707,Bluetooth,-63
1.852,Bluetooth,-59
1.884,Bluetooth,-60
1.885,Bluetooth,-60
1.949,Bluetooth,-55
1.950,Bluetooth,-56
2.012,Bluetooth,-60
2.013,Bluetooth,-60
2.042,Bluetooth,-55
2.043,Bluetooth,-56
2.146,Bluetooth,-61
2.182,Bluetooth,-61
2.183,Bluetooth,-61
2.221,Bluetooth,-54
2.222,Bluetooth,-55
2.294,Bluetooth,-56
2.295,Bluetooth,-57
2.465,Bluetooth,-54
2.502,Bluetooth,-62
2.502,Bluetooth,-62
2.539,Bluetooth,-55
2.540,Bluetooth,-55
2.578,Bluetooth,-58
2.579,Bluetooth,-58
2.612,Bluetooth,-61
2.613,Bluetooth,-60
2.647,Bluetooth,-54
2.648,Bluetooth,-54
2.751,Bluetooth,-57
2.785,Bluetooth,-61
2.864,Bluetooth,-57
2.866,Bluetooth,-57
2.997,Bluetooth,-58
2.998,Bluetooth,-58
3.035,Bluetooth,-61
3.036,Bluetooth,-61
3.064,Bluetooth,-60
3.096,Bluetooth,-61
3.097,Bluetooth,-61
3.172,Bluetooth,-58
3.173,Bluetooth,-58
3.201,Bluetooth,-62
3.202,Bluetooth,-61
3.374,Bluetooth,-55
3.444,Bluetooth,-56
3.444,Bluetooth,-54
3.474,Bluetooth,-58
3.474,Bluetooth,-58
3.547,Bluetooth,-55
3.548,Bluetooth,-56
3.612,Bluetooth,-57
3.613,Bluetooth,-57
3.673,Bluetooth,-57
3.707,Bluetooth,-62
3.708,Bluetooth,-63
3.775,Bluetooth,-64
3.776,Bluetooth,-62
3.809,Bluetooth,-62
3.810,Bluetooth,-63
3.850,Bluetooth,-55
3.851,Bluetooth,-55
3.958,Bluetooth,-63
28.183,Bluetooth,-67
28.184,Bluetooth,-64
28.258,Bluetooth,-59
28.325,Bluetooth,-63
28.326,Bluetooth,-63
28.494,Bluetooth,-66
28.494,Bluetooth,-66
28.527,Bluetooth,-66
28.528,Bluetooth,-66
28.559,Bluetooth,-58
28.593,Bluetooth,-69
28.594,Bluetooth,-68
28.625,Bluetooth,-59
28.626,Bluetooth,-61
28.725,Bluetooth,-74
28.726,Bluetooth,-74
28.754,Bluetooth,-61
28.755,Bluetooth,-60
28.792,Bluetooth,-69
28.792,Bluetooth,-68
28.831,Bluetooth,-74
28.831,Bluetooth,-74
28.871,Bluetooth,-67
28.903,Bluetooth,-74
28.904,Bluetooth,-74
28.967,Bluetooth,-66
28.968,Bluetooth,-65
29.062,Bluetooth,-63
29.063,Bluetooth,-63
29.098,Bluetooth,-66
29.099,Bluetooth,-66
29.135,Bluetooth,-64
29.136,Bluetooth,-66
29.171,Bluetooth,-65
29.240,Bluetooth,-71
29.241,Bluetooth,-70
29.279,Bluetooth,-63
29.280,Bluetooth,-62
29.311,Bluetooth,-62
29.312,Bluetooth,-62
29.347,Bluetooth,-61
29.348,Bluetooth,-61
29.383,Bluetooth,-81
29.383,Bluetooth,-81
29.425,Bluetooth,-63
29.426,Bluetooth,-63
29.461,Bluetooth,-76
29.501,Bluetooth,-81
29.502,Bluetooth,-81
29.532,Bluetooth,-63
29.533,Bluetooth,-63
29.565,Bluetooth,-65
29.566,Bluetooth,-67
29.604,Bluetooth,-82
29.605,Bluetooth,-82
29.644,Bluetooth,-63
29.644,Bluetooth,-63
29.754,Bluetooth,-64
29.792,Bluetooth,-69
29.793,Bluetooth,-68
29.831,Bluetooth,-64
29.832,Bluetooth,-64
29.944,Bluetooth,-63
29.945,Bluetooth,-64
30.054,Bluetooth,-72
30.090,Bluetooth,-61
30.091,Bluetooth,-63
30.128,Bluetooth,-62
30.129,Bluetooth,-62
30.164,Bluetooth,-69
30.165,Bluetooth,-69
30.272,Bluetooth,-62
30.273,Bluetooth,-62
30.302,Bluetooth,-70
30.303,Bluetooth,-69
30.332,Bluetooth,-67
30.333,Bluetooth,-67
30.370,Bluetooth,-65
30.408,Bluetooth,-64
30.409,Bluetooth,-63
30.544,Bluetooth,-65
30.545,Bluetooth,-65
30.656,Bluetooth,-60
30.727,Bluetooth,-60
30.727,Bluetooth,-60
30.786,Bluetooth,-71
30.786,Bluetooth,-72
30.826,Bluetooth,-66
30.866,Bluetooth,-60
30.867,Bluetooth,-60
30.933,Bluetooth,-65
30.934,Bluetooth,-65
30.969,Bluetooth,-73
30.999,Bluetooth,-64
31.001,Bluetooth,-62
31.032,Bluetooth,-61
31.033,Bluetooth,-61
31.064,Bluetooth,-77
31.065,Bluetooth,-78
31.131,Bluetooth,-61
31.132,Bluetooth,-60
31.170,Bluetooth,-61
31.171,Bluetooth,-62
31.200,Bluetooth,-73
31.201,Bluetooth,-73
31.235,Bluetooth,-59
31.236,Bluetooth,-60
31.269,Bluetooth,-60
31.350,Bluetooth,-62
31.351,Bluetooth,-61
31.387,Bluetooth,-68
31.388,Bluetooth,-68
31.459,Bluetooth,-65
31.460,Bluetooth,-67
31.498,Bluetooth,-74
31.499,Bluetooth,-73
31.538,Bluetooth,-58
31.540,Bluetooth,-58
31.574,Bluetooth,-74
31.607,Bluetooth,-58
31.608,Bluetooth,-58
31.647,Bluetooth,-66
31.648,Bluetooth,-65
31.683,Bluetooth,-69
31.684,Bluetooth,-68
31.715,Bluetooth,-61
31.716,Bluetooth,-61
31.783,Bluetooth,-59
31.784,Bluetooth,-59
31.821,Bluetooth,-70
31.822,Bluetooth,-71
31.852,Bluetooth,-72
31.883,Bluetooth,-60
31.884,Bluetooth,-60
32.032,Bluetooth,-63
32.033,Bluetooth,-63
32.070,Bluetooth,-70
