Distance,6.0
TXDevice,iPhone11_Pro
TXPower,7
RXDevice,iPhoneXR
TXCarry,hand
RXCarry,pocket
RXPose,standing
TXPose,sitting
0.000,Bluetooth,-50
0.002,Bluetooth,-50
0.039,Bluetooth,-59
0.041,Bluetooth,-57
0.072,Bluetooth,-56
0.074,Bluetooth,-55
0.104,Bluetooth,-49
0.106,Bluetooth,-49
0.141,Bluetooth,-56
0.143,Bluetooth,-57
0.171,Bluetooth,-55
0.173,Bluetooth,-56
0.205,Bluetooth,-55
0.207,Bluetooth,-54
0.240,Bluetooth,-48
0.242,Bluetooth,-48
0.272,Bluetooth,-53
0.274,Bluetooth,-54
0.303,Bluetooth,-53
0.305,Bluetooth,-55
0.451,Bluetooth,-55
0.452,Bluetooth,-55
0.517,Bluetooth,-57
0.519,Bluetooth,-58
0.721,Bluetooth,-48
0.723,Bluetooth,-48
0.751,Bluetooth,-55
0.752,Bluetooth,-57
0.832,Bluetooth,-49
0.834,Bluetooth,-49
0.866,Bluetooth,-55
0.867,Bluetooth,-55
0.934,Bluetooth,-54
0.936,Bluetooth,-55
0.964,Bluetooth,-49
0.966,Bluetooth,-49
0.994,Bluetooth,-54
0.997,Bluetooth,-54
1.029,Bluetooth,-54
1.031,Bluetooth,-53
1.069,Bluetooth,-49
1.071,Bluetooth,-49
1.214,Bluetooth,-48
1.217,Bluetooth,-49
1.241,Bluetooth,-53
1.243,Bluetooth,-53
1.282,Bluetooth,-53
1.284,Bluetooth,-54
1.353,Bluetooth,-53
1.481,Bluetooth,-54
1.484,Bluetooth,-54
1.514,Bluetooth,-53
1.516,Bluetooth,-53
1.544,Bluetooth,-48
1.546,Bluetooth,-51
1.583,Bluetooth,-56
1.585,Bluetooth,-56
1.620,Bluetooth,-54
1.622,Bluetooth,-53
1.689,Bluetooth,-53
1.691,Bluetooth,-52
1.721,Bluetooth,-54
1.723,Bluetooth,-53
1.758,Bluetooth,-53
1.760,Bluetooth,-54
1.790,Bluetooth,-53
1.792,Bluetooth,-52
1.827,Bluetooth,-57
1.901,Bluetooth,-51
1.903,Bluetooth,-51
1.931,Bluetooth,-52
1.933,Bluetooth,-50
1.968,Bluetooth,-57
1.970,Bluetooth,-55
2.041,Bluetooth,-52
2.043,Bluetooth,-52
2.071,Bluetooth,-56
2.073,Bluetooth,-56
2.105,Bluetooth,-60
2.106,Bluetooth,-61
2.202,Bluetooth,-52
2.243,Bluetooth,-51
2.245,Bluetooth,-51
2.429,Bluetooth,-50
2.431,Bluetooth,-49
2.463,Bluetooth,-50
2.464,Bluetooth,-51
2.566,Bluetooth,-49
2.568,Bluetooth,-48
2.601,Bluetooth,-52
2.603,Bluetooth,-52
2.633,Bluetooth,-64
2.635,Bluetooth,-64
2.667,Bluetooth,-48
2.669,Bluetooth,-48
2.705,Bluetooth,-51
2.707,Bluetooth,-52
2.851,Bluetooth,-52
2.852,Bluetooth,-51
2.916,Bluetooth,-48
2.918,Bluetooth,-48
2.948,Bluetooth,-52
2.949,Bluetooth,-52
2.986,Bluetooth,-60
2.987,Bluetooth,-60
3.055,Bluetooth,-48
3.057,Bluetooth,-48
3.159,Bluetooth,-49
3.161,Bluetooth,-49
3.191,Bluetooth,-53
3.193,Bluetooth,-52
3.223,Bluetooth,-56
3.224,Bluetooth,-57
3.334,Bluetooth,-53
3.336,Bluetooth,-53
3.369,Bluetooth,-56
3.370,Bluetooth,-57
3.443,Bluetooth,-53
3.444,Bluetooth,-53
3.473,Bluetooth,-56
3.474,Bluetooth,-55
3.510,Bluetooth,-49
3.512,Bluetooth,-49
3.547,Bluetooth,-53
3.549,Bluetooth,-53
3.587,Bluetooth,-56
3.589,Bluetooth,-57
3.724,Bluetooth,-55
3.726,Bluetooth,-54
3.761,Bluetooth,-49
3.763,Bluetooth,-49
3.800,Bluetooth,-54
3.802,Bluetooth,-54
3.836,Bluetooth,-54
3.838,Bluetooth,-53
3.870,Bluetooth,-49
3.871,Bluetooth,-49
56.850,Bluetooth,-68
56.852,Bluetooth,-68
56.889,Bluetooth,-71
56.890,Bluetooth,-71
57.028,Bluetooth,-67
