Distance,6.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhoneXR
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-51
0.002,Bluetooth,-50
0.034,Bluetooth,-50
0.036,Bluetooth,-49
0.063,Bluetooth,-46
0.064,Bluetooth,-47
0.126,Bluetooth,-47
0.128,Bluetooth,-48
0.159,Bluetooth,-49
0.161,Bluetooth,-50
0.188,Bluetooth,-46
0.189,Bluetooth,-46
0.221,Bluetooth,-48
0.223,Bluetooth,-48
0.288,Bluetooth,-49
0.290,Bluetooth,-49
0.320,Bluetooth,-45
0.321,Bluetooth,-46
0.350,Bluetooth,-49
0.352,Bluetooth,-48
0.386,Bluetooth,-51
0.387,Bluetooth,-51
0.444,Bluetooth,-47
0.446,Bluetooth,-48
0.479,Bluetooth,-48
0.480,Bluetooth,-49
0.513,Bluetooth,-53
0.515,Bluetooth,-54
0.544,Bluetooth,-46
0.545,Bluetooth,-48
0.646,Bluetooth,-52
0.647,Bluetooth,-52
0.675,Bluetooth,-47
0.677,Bluetooth,-46
0.706,Bluetooth,-47
0.707,Bluetooth,-47
0.768,Bluetooth,-51
0.769,Bluetooth,-50
0.796,Bluetooth,-46
0.797,Bluetooth,-46
0.827,Bluetooth,-48
0.829,Bluetooth,-48
0.859,Bluetooth,-51
0.861,Bluetooth,-50
0.891,Bluetooth,-51
0.892,Bluetooth,-51
0.923,Bluetooth,-46
0.924,Bluetooth,-46
0.955,Bluetooth,-47
0.957,Bluetooth,-48
0.986,Bluetooth,-52
0.987,Bluetooth,-52
1.019,Bluetooth,-46
1.021,Bluetooth,-47
1.051,Bluetooth,-46
1.052,Bluetooth,-46
1.087,Bluetooth,-47
1.088,Bluetooth,-47
1.117,Bluetooth,-51
1.119,Bluetooth,-50
1.145,Bluetooth,-42
1.209,Bluetooth,-46
1.306,Bluetooth,-48
1.308,Bluetooth,-47
1.368,Bluetooth,-50
1.370,Bluetooth,-50
1.399,Bluetooth,-45
1.401,Bluetooth,-45
1.430,Bluetooth,-48
1.431,Bluetooth,-48
1.460,Bluetooth,-49
1.462,Bluetooth,-50
1.492,Bluetooth,-49
1.493,Bluetooth,-50
1.524,Bluetooth,-46
1.526,Bluetooth,-46
1.555,Bluetooth,-46
1.557,Bluetooth,-47
1.647,Bluetooth,-45
1.649,Bluetooth,-45
1.677,Bluetooth,-47
1.679,Bluetooth,-47
1.742,Bluetooth,-47
1.743,Bluetooth,-46
1.806,Bluetooth,-47
1.837,Bluetooth,-50
1.838,Bluetooth,-49
1.866,Bluetooth,-46
1.867,Bluetooth,-47
1.895,Bluetooth,-45
1.897,Bluetooth,-46
1.927,Bluetooth,-47
1.929,Bluetooth,-48
2.087,Bluetooth,-49
2.089,Bluetooth,-49
2.116,Bluetooth,-46
2.118,Bluetooth,-47
2.150,Bluetooth,-47
2.152,Bluetooth,-49
2.182,Bluetooth,-49
2.185,Bluetooth,-49
2.244,Bluetooth,-46
2.246,Bluetooth,-45
2.311,Bluetooth,-50
2.312,Bluetooth,-49
2.344,Bluetooth,-46
2.345,Bluetooth,-46
2.374,Bluetooth,-47
2.376,Bluetooth,-47
2.410,Bluetooth,-47
2.411,Bluetooth,-47
2.440,Bluetooth,-49
2.442,Bluetooth,-49
2.471,Bluetooth,-45
2.472,Bluetooth,-46
2.506,Bluetooth,-48
2.508,Bluetooth,-47
2.682,Bluetooth,-49
2.684,Bluetooth,-49
2.712,Bluetooth,-46
2.713,Bluetooth,-47
2.745,Bluetooth,-48
2.747,Bluetooth,-47
2.779,Bluetooth,-49
2.781,Bluetooth,-49
2.845,Bluetooth,-47
2.846,Bluetooth,-46
2.880,Bluetooth,-49
2.882,Bluetooth,-48
2.913,Bluetooth,-49
2.915,Bluetooth,-49
2.940,Bluetooth,-46
2.942,Bluetooth,-46
3.010,Bluetooth,-47
3.011,Bluetooth,-47
3.046,Bluetooth,-48
3.048,Bluetooth,-49
3.073,Bluetooth,-46
3.075,Bluetooth,-47
3.106,Bluetooth,-48
3.108,Bluetooth,-46
3.135,Bluetooth,-47
3.137,Bluetooth,-47
3.169,Bluetooth,-50
3.171,Bluetooth,-51
3.197,Bluetooth,-46
3.199,Bluetooth,-46
3.231,Bluetooth,-48
3.233,Bluetooth,-47
3.262,Bluetooth,-49
3.263,Bluetooth,-49
3.326,Bluetooth,-46
3.327,Bluetooth,-46
3.359,Bluetooth,-46
3.360,Bluetooth,-47
3.389,Bluetooth,-49
3.391,Bluetooth,-48
3.421,Bluetooth,-46
3.422,Bluetooth,-46
3.451,Bluetooth,-46
3.453,Bluetooth,-46
3.482,Bluetooth,-49
3.483,Bluetooth,-47
3.512,Bluetooth,-50
3.513,Bluetooth,-49
3.547,Bluetooth,-46
3.549,Bluetooth,-46
3.571,Bluetooth,-45
3.572,Bluetooth,-47
3.602,Bluetooth,-46
3.603,Bluetooth,-47
3.662,Bluetooth,-47
3.663,Bluetooth,-46
3.693,Bluetooth,-46
3.694,Bluetooth,-47
3.725,Bluetooth,-47
3.727,Bluetooth,-47
3.758,Bluetooth,-49
3.759,Bluetooth,-48
3.786,Bluetooth,-46
3.787,Bluetooth,-46
3.882,Bluetooth,-49
3.885,Bluetooth,-48
3.912,Bluetooth,-46
3.913,Bluetooth,-46
3.942,Bluetooth,-47
3.944,Bluetooth,-47
44.357,Bluetooth,-70
44.358,Bluetooth,-71
44.389,Bluetooth,-63
44.391,Bluetooth,-63
44.488,Bluetooth,-71
44.490,Bluetooth,-70
44.519,Bluetooth,-64
44.521,Bluetooth,-64
44.551,Bluetooth,-77
44.553,Bluetooth,-75
44.617,Bluetooth,-70
44.619,Bluetooth,-71
44.647,Bluetooth,-63
44.649,Bluetooth,-64
44.677,Bluetooth,-75
44.679,Bluetooth,-76
44.772,Bluetooth,-65
44.773,Bluetooth,-65
44.802,Bluetooth,-75
44.804,Bluetooth,-75
44.837,Bluetooth,-70
44.838,Bluetooth,-70
44.867,Bluetooth,-66
44.868,Bluetooth,-65
44.897,Bluetooth,-66
44.899,Bluetooth,-64
44.936,Bluetooth,-73
44.937,Bluetooth,-73
44.965,Bluetooth,-70
44.966,Bluetooth,-70
44.993,Bluetooth,-66
44.994,Bluetooth,-66
45.189,Bluetooth,-70
45.191,Bluetooth,-70
45.253,Bluetooth,-65
45.254,Bluetooth,-66
45.288,Bluetooth,-72
45.290,Bluetooth,-72
45.319,Bluetooth,-70
45.321,Bluetooth,-70
45.352,Bluetooth,-66
45.353,Bluetooth,-65
45.387,Bluetooth,-70
45.389,Bluetooth,-71
45.418,Bluetooth,-75
45.419,Bluetooth,-75
45.452,Bluetooth,-70
45.453,Bluetooth,-70
45.483,Bluetooth,-65
45.485,Bluetooth,-66
45.518,Bluetooth,-73
45.519,Bluetooth,-73
45.549,Bluetooth,-70
45.551,Bluetooth,-70
45.608,Bluetooth,-66
45.609,Bluetooth,-65
45.640,Bluetooth,-73
45.641,Bluetooth,-72
45.674,Bluetooth,-70
45.676,Bluetooth,-70
45.704,Bluetooth,-65
45.706,Bluetooth,-65
45.735,Bluetooth,-65
45.736,Bluetooth,-65
45.765,Bluetooth,-72
45.767,Bluetooth,-73
45.796,Bluetooth,-69
45.797,Bluetooth,-70
45.827,Bluetooth,-65
45.829,Bluetooth,-65
45.894,Bluetooth,-73
45.895,Bluetooth,-72
45.936,Bluetooth,-70
45.937,Bluetooth,-69
45.963,Bluetooth,-64
45.965,Bluetooth,-64
45.996,Bluetooth,-73
45.998,Bluetooth,-73
46.058,Bluetooth,-70
46.060,Bluetooth,-70
46.090,Bluetooth,-65
46.092,Bluetooth,-64
46.125,Bluetooth,-74
46.126,Bluetooth,-73
46.158,Bluetooth,-69
46.160,Bluetooth,-69
46.187,Bluetooth,-64
46.188,Bluetooth,-63
46.251,Bluetooth,-73
46.253,Bluetooth,-73
46.283,Bluetooth,-71
46.285,Bluetooth,-70
46.312,Bluetooth,-64
46.313,Bluetooth,-64
46.412,Bluetooth,-69
46.414,Bluetooth,-71
46.444,Bluetooth,-65
46.446,Bluetooth,-64
46.516,Bluetooth,-71
46.545,Bluetooth,-64
46.548,Bluetooth,-64
46.610,Bluetooth,-73
46.673,Bluetooth,-63
46.674,Bluetooth,-61
46.704,Bluetooth,-72
46.705,Bluetooth,-72
46.736,Bluetooth,-73
46.772,Bluetooth,-70
46.773,Bluetooth,-71
46.803,Bluetooth,-64
46.804,Bluetooth,-62
46.834,Bluetooth,-72
46.835,Bluetooth,-72
46.868,Bluetooth,-70
46.870,Bluetooth,-69
46.928,Bluetooth,-64
46.930,Bluetooth,-64
46.961,Bluetooth,-72
46.963,Bluetooth,-72
46.993,Bluetooth,-71
46.995,Bluetooth,-70
47.083,Bluetooth,-74
47.117,Bluetooth,-70
47.119,Bluetooth,-70
47.248,Bluetooth,-70
47.250,Bluetooth,-70
47.277,Bluetooth,-64
47.278,Bluetooth,-64
47.341,Bluetooth,-74
47.342,Bluetooth,-73
47.404,Bluetooth,-64
47.406,Bluetooth,-64
47.437,Bluetooth,-75
47.439,Bluetooth,-74
47.468,Bluetooth,-71
47.533,Bluetooth,-65
47.535,Bluetooth,-65
47.564,Bluetooth,-74
47.565,Bluetooth,-74
47.596,Bluetooth,-70
47.598,Bluetooth,-70
47.689,Bluetooth,-75
47.690,Bluetooth,-75
47.749,Bluetooth,-64
47.751,Bluetooth,-64
47.814,Bluetooth,-75
47.815,Bluetooth,-75
47.844,Bluetooth,-70
47.846,Bluetooth,-71
47.873,Bluetooth,-64
47.874,Bluetooth,-64
47.973,Bluetooth,-70
48.007,Bluetooth,-66
48.008,Bluetooth,-64
48.038,Bluetooth,-76
48.039,Bluetooth,-74
48.069,Bluetooth,-71
48.071,Bluetooth,-69
48.132,Bluetooth,-64
48.133,Bluetooth,-63
48.232,Bluetooth,-65
48.264,Bluetooth,-74
48.265,Bluetooth,-74
48.327,Bluetooth,-70
48.329,Bluetooth,-70
91.654,Bluetooth,-50
91.685,Bluetooth,-50
91.686,Bluetooth,-52
91.716,Bluetooth,-49
91.717,Bluetooth,-49
91.783,Bluetooth,-52
91.784,Bluetooth,-51
91.815,Bluetooth,-51
91.816,Bluetooth,-50
91.843,Bluetooth,-49
91.845,Bluetooth,-49
91.874,Bluetooth,-51
91.875,Bluetooth,-51
91.938,Bluetooth,-50
91.940,Bluetooth,-51
91.970,Bluetooth,-49
91.972,Bluetooth,-49
92.003,Bluetooth,-52
92.004,Bluetooth,-49
92.036,Bluetooth,-51
92.037,Bluetooth,-51
92.093,Bluetooth,-49
92.094,Bluetooth,-49
92.124,Bluetooth,-50
92.125,Bluetooth,-51
92.215,Bluetooth,-50
92.216,Bluetooth,-49
92.284,Bluetooth,-50
92.286,Bluetooth,-52
92.416,Bluetooth,-51
92.418,Bluetooth,-52
92.440,Bluetooth,-49
92.442,Bluetooth,-49
92.474,Bluetooth,-50
92.475,Bluetooth,-50
92.538,Bluetooth,-51
92.540,Bluetooth,-50
92.570,Bluetooth,-49
92.572,Bluetooth,-50
92.601,Bluetooth,-51
92.603,Bluetooth,-51
92.634,Bluetooth,-52
92.636,Bluetooth,-50
92.696,Bluetooth,-49
92.698,Bluetooth,-49
92.731,Bluetooth,-50
92.733,Bluetooth,-52
92.762,Bluetooth,-52
92.763,Bluetooth,-51
92.790,Bluetooth,-49
92.792,Bluetooth,-49
92.824,Bluetooth,-49
92.826,Bluetooth,-49
92.855,Bluetooth,-50
92.856,Bluetooth,-51
92.887,Bluetooth,-53
92.888,Bluetooth,-53
92.920,Bluetooth,-50
92.921,Bluetooth,-49
92.953,Bluetooth,-51
92.954,Bluetooth,-52
93.116,Bluetooth,-51
93.175,Bluetooth,-49
93.177,Bluetooth,-49
93.206,Bluetooth,-49
93.207,Bluetooth,-51
93.237,Bluetooth,-51
93.239,Bluetooth,-51
93.272,Bluetooth,-49
93.274,Bluetooth,-49
93.301,Bluetooth,-49
93.303,Bluetooth,-49
93.365,Bluetooth,-50
93.366,Bluetooth,-51
93.397,Bluetooth,-49
93.399,Bluetooth,-49
93.461,Bluetooth,-51
93.463,Bluetooth,-50
93.497,Bluetooth,-53
93.499,Bluetooth,-53
93.525,Bluetooth,-49
93.527,Bluetooth,-49
93.559,Bluetooth,-50
93.560,Bluetooth,-51
93.621,Bluetooth,-51
93.622,Bluetooth,-51
93.650,Bluetooth,-49
93.652,Bluetooth,-49
93.682,Bluetooth,-50
93.684,Bluetooth,-51
93.716,Bluetooth,-51
93.717,Bluetooth,-50
93.778,Bluetooth,-50
93.779,Bluetooth,-50
93.812,Bluetooth,-51
93.814,Bluetooth,-51
93.842,Bluetooth,-50
93.844,Bluetooth,-52
93.871,Bluetooth,-49
93.872,Bluetooth,-49
93.901,Bluetooth,-48
93.902,Bluetooth,-48
93.934,Bluetooth,-49
93.936,Bluetooth,-51
93.968,Bluetooth,-51
93.969,Bluetooth,-51
94.000,Bluetooth,-49
94.002,Bluetooth,-49
94.032,Bluetooth,-50
94.033,Bluetooth,-50
94.063,Bluetooth,-51
94.065,Bluetooth,-50
94.094,Bluetooth,-52
94.097,Bluetooth,-51
94.123,Bluetooth,-48
94.124,Bluetooth,-49
94.156,Bluetooth,-50
94.158,Bluetooth,-50
94.221,Bluetooth,-51
94.222,Bluetooth,-51
94.251,Bluetooth,-50
94.252,Bluetooth,-49
94.283,Bluetooth,-50
94.284,Bluetooth,-50
94.314,Bluetooth,-49
94.530,Bluetooth,-50
