Distance,6.0
TXDevice,iPhoneXS
TXPower,12
RXDevice,iPhone8
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-57
0.001,Bluetooth,-57
0.236,Bluetooth,-59
0.238,Bluetooth,-60
0.273,Bluetooth,-51
0.274,Bluetooth,-51
0.311,Bluetooth,-56
0.312,Bluetooth,-55
0.347,Bluetooth,-56
0.347,Bluetooth,-55
0.383,Bluetooth,-59
0.385,Bluetooth,-60
0.463,Bluetooth,-56
0.464,Bluetooth,-56
0.531,Bluetooth,-52
0.533,Bluetooth,-53
0.567,Bluetooth,-56
0.568,Bluetooth,-57
0.631,Bluetooth,-52
0.633,Bluetooth,-51
0.672,Bluetooth,-55
0.713,Bluetooth,-59
0.714,Bluetooth,-59
0.778,Bluetooth,-50
0.779,Bluetooth,-51
0.809,Bluetooth,-54
0.810,Bluetooth,-53
0.881,Bluetooth,-51
0.882,Bluetooth,-50
0.920,Bluetooth,-54
0.921,Bluetooth,-53
0.956,Bluetooth,-58
0.957,Bluetooth,-58
0.988,Bluetooth,-58
0.989,Bluetooth,-58
1.052,Bluetooth,-53
1.053,Bluetooth,-54
1.084,Bluetooth,-59
1.085,Bluetooth,-59
1.162,Bluetooth,-54
1.162,Bluetooth,-55
1.294,Bluetooth,-54
1.295,Bluetooth,-54
1.325,Bluetooth,-60
1.327,Bluetooth,-59
1.356,Bluetooth,-50
1.358,Bluetooth,-51
1.397,Bluetooth,-54
1.398,Bluetooth,-53
1.487,Bluetooth,-51
1.488,Bluetooth,-51
1.520,Bluetooth,-53
1.521,Bluetooth,-53
1.558,Bluetooth,-60
1.559,Bluetooth,-60
1.596,Bluetooth,-50
1.597,Bluetooth,-51
1.635,Bluetooth,-54
1.637,Bluetooth,-54
1.673,Bluetooth,-61
1.674,Bluetooth,-62
1.702,Bluetooth,-62
1.703,Bluetooth,-62
1.741,Bluetooth,-51
1.742,Bluetooth,-51
1.782,Bluetooth,-55
1.783,Bluetooth,-55
1.814,Bluetooth,-64
1.815,Bluetooth,-65
1.846,Bluetooth,-53
1.848,Bluetooth,-51
1.878,Bluetooth,-55
1.879,Bluetooth,-54
1.915,Bluetooth,-61
1.916,Bluetooth,-60
2.016,Bluetooth,-56
2.017,Bluetooth,-55
2.084,Bluetooth,-51
2.085,Bluetooth,-51
2.124,Bluetooth,-54
2.125,Bluetooth,-54
2.157,Bluetooth,-61
2.158,Bluetooth,-62
2.188,Bluetooth,-61
2.189,Bluetooth,-62
2.221,Bluetooth,-51
2.222,Bluetooth,-51
2.296,Bluetooth,-61
2.297,Bluetooth,-61
2.325,Bluetooth,-51
2.326,Bluetooth,-51
2.356,Bluetooth,-55
2.357,Bluetooth,-54
2.388,Bluetooth,-55
2.389,Bluetooth,-55
2.424,Bluetooth,-62
2.425,Bluetooth,-61
2.453,Bluetooth,-51
2.455,Bluetooth,-51
2.488,Bluetooth,-55
2.489,Bluetooth,-55
2.528,Bluetooth,-62
2.560,Bluetooth,-50
2.561,Bluetooth,-51
2.601,Bluetooth,-53
2.603,Bluetooth,-54
2.641,Bluetooth,-61
2.642,Bluetooth,-61
2.677,Bluetooth,-51
2.751,Bluetooth,-61
2.752,Bluetooth,-62
2.866,Bluetooth,-54
2.867,Bluetooth,-55
2.928,Bluetooth,-51
2.929,Bluetooth,-52
3.000,Bluetooth,-61
3.001,Bluetooth,-63
3.031,Bluetooth,-52
3.032,Bluetooth,-52
3.065,Bluetooth,-53
3.066,Bluetooth,-53
3.102,Bluetooth,-55
3.104,Bluetooth,-55
3.133,Bluetooth,-62
3.134,Bluetooth,-63
3.205,Bluetooth,-56
3.206,Bluetooth,-55
3.237,Bluetooth,-62
3.238,Bluetooth,-62
3.337,Bluetooth,-55
3.447,Bluetooth,-55
3.448,Bluetooth,-54
3.521,Bluetooth,-51
3.522,Bluetooth,-51
3.791,Bluetooth,-54
3.792,Bluetooth,-55
3.832,Bluetooth,-62
3.833,Bluetooth,-62
3.865,Bluetooth,-61
3.866,Bluetooth,-62
3.933,Bluetooth,-55
3.934,Bluetooth,-56
3.966,Bluetooth,-60
3.967,Bluetooth,-62
152.128,Bluetooth,-72
152.192,Bluetooth,-70
152.193,Bluetooth,-70
152.269,Bluetooth,-71
152.270,Bluetooth,-71
152.305,Bluetooth,-71
152.306,Bluetooth,-71
152.340,Bluetooth,-69
152.341,Bluetooth,-69
152.373,Bluetooth,-72
152.374,Bluetooth,-71
152.405,Bluetooth,-71
152.406,Bluetooth,-72
152.435,Bluetooth,-69
152.436,Bluetooth,-70
152.500,Bluetooth,-72
152.501,Bluetooth,-71
152.537,Bluetooth,-71
152.579,Bluetooth,-70
152.580,Bluetooth,-69
152.607,Bluetooth,-71
152.608,Bluetooth,-72
152.680,Bluetooth,-70
152.740,Bluetooth,-71
152.884,Bluetooth,-71
152.886,Bluetooth,-72
152.931,Bluetooth,-70
152.932,Bluetooth,-70
152.959,Bluetooth,-71
152.960,Bluetooth,-71
152.991,Bluetooth,-72
153.136,Bluetooth,-71
153.138,Bluetooth,-71
153.178,Bluetooth,-70
153.179,Bluetooth,-70
153.205,Bluetooth,-71
153.240,Bluetooth,-70
153.241,Bluetooth,-71
153.484,Bluetooth,-71
153.485,Bluetooth,-72
153.518,Bluetooth,-70
153.555,Bluetooth,-69
153.586,Bluetooth,-70
153.587,Bluetooth,-70
153.629,Bluetooth,-71
153.630,Bluetooth,-69
153.840,Bluetooth,-70
153.842,Bluetooth,-71
153.874,Bluetooth,-72
153.875,Bluetooth,-71
153.913,Bluetooth,-71
153.952,Bluetooth,-71
153.953,Bluetooth,-71
153.989,Bluetooth,-71
153.990,Bluetooth,-71
154.026,Bluetooth,-71
154.027,Bluetooth,-72
154.127,Bluetooth,-72
154.129,Bluetooth,-72
154.156,Bluetooth,-72
154.157,Bluetooth,-71
154.194,Bluetooth,-71
154.195,Bluetooth,-70
154.232,Bluetooth,-72
154.233,Bluetooth,-71
154.304,Bluetooth,-71
154.368,Bluetooth,-71
154.475,Bluetooth,-72
154.476,Bluetooth,-71
154.538,Bluetooth,-70
154.609,Bluetooth,-71
154.610,Bluetooth,-71
154.638,Bluetooth,-70
154.640,Bluetooth,-70
154.669,Bluetooth,-70
154.670,Bluetooth,-70
154.710,Bluetooth,-72
154.711,Bluetooth,-71
154.785,Bluetooth,-70
154.786,Bluetooth,-70
154.823,Bluetooth,-69
154.862,Bluetooth,-72
154.863,Bluetooth,-72
154.931,Bluetooth,-71
155.041,Bluetooth,-71
155.042,Bluetooth,-71
155.082,Bluetooth,-69
155.083,Bluetooth,-71
155.153,Bluetooth,-70
155.192,Bluetooth,-70
155.193,Bluetooth,-70
155.224,Bluetooth,-70
155.224,Bluetooth,-70
155.252,Bluetooth,-69
155.253,Bluetooth,-70
155.283,Bluetooth,-71
155.284,Bluetooth,-72
155.316,Bluetooth,-70
155.317,Bluetooth,-70
155.354,Bluetooth,-69
155.384,Bluetooth,-70
155.385,Bluetooth,-69
155.528,Bluetooth,-72
155.567,Bluetooth,-70
155.568,Bluetooth,-70
155.601,Bluetooth,-69
155.641,Bluetooth,-73
155.643,Bluetooth,-74
155.783,Bluetooth,-71
155.784,Bluetooth,-71
155.815,Bluetooth,-69
155.816,Bluetooth,-70
155.877,Bluetooth,-72
155.878,Bluetooth,-72
155.917,Bluetooth,-69
155.918,Bluetooth,-70
155.954,Bluetooth,-70
155.955,Bluetooth,-70
155.984,Bluetooth,-69
