Distance,6.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhone11_Pro
TXCarry,pocket
RXCarry,pocket
RXPose,sitting
TXPose,sitting
0.049,Bluetooth,-60
0.050,Bluetooth,-60
0.112,Bluetooth,-63
0.113,Bluetooth,-63
0.207,Bluetooth,-63
0.271,Bluetooth,-58
0.272,Bluetooth,-58
0.368,Bluetooth,-58
0.369,Bluetooth,-58
0.404,Bluetooth,-62
0.405,Bluetooth,-64
0.462,Bluetooth,-58
0.463,Bluetooth,-58
0.498,Bluetooth,-63
0.499,Bluetooth,-64
0.528,Bluetooth,-57
0.529,Bluetooth,-57
0.562,Bluetooth,-58
0.562,Bluetooth,-58
0.592,Bluetooth,-63
0.623,Bluetooth,-56
0.624,Bluetooth,-56
0.657,Bluetooth,-59
0.658,Bluetooth,-58
0.718,Bluetooth,-65
0.719,Bluetooth,-65
0.747,Bluetooth,-59
0.748,Bluetooth,-61
0.873,Bluetooth,-60
0.873,Bluetooth,-60
0.903,Bluetooth,-70
0.904,Bluetooth,-70
0.971,Bluetooth,-60
0.972,Bluetooth,-60
1.065,Bluetooth,-61
1.066,Bluetooth,-61
1.096,Bluetooth,-66
1.097,Bluetooth,-66
1.134,Bluetooth,-59
1.134,Bluetooth,-59
1.159,Bluetooth,-62
1.188,Bluetooth,-68
1.189,Bluetooth,-67
1.220,Bluetooth,-65
1.221,Bluetooth,-65
1.251,Bluetooth,-62
1.252,Bluetooth,-62
1.282,Bluetooth,-65
1.283,Bluetooth,-65
1.349,Bluetooth,-62
1.351,Bluetooth,-62
1.410,Bluetooth,-65
1.411,Bluetooth,-65
1.503,Bluetooth,-65
1.504,Bluetooth,-66
1.569,Bluetooth,-62
1.570,Bluetooth,-61
1.601,Bluetooth,-65
1.603,Bluetooth,-65
1.668,Bluetooth,-62
1.669,Bluetooth,-62
1.700,Bluetooth,-65
1.702,Bluetooth,-64
1.761,Bluetooth,-63
1.762,Bluetooth,-62
1.796,Bluetooth,-65
1.797,Bluetooth,-65
1.895,Bluetooth,-65
1.895,Bluetooth,-66
1.934,Bluetooth,-58
1.935,Bluetooth,-57
1.961,Bluetooth,-62
1.962,Bluetooth,-61
2.014,Bluetooth,-62
2.110,Bluetooth,-70
2.111,Bluetooth,-70
2.174,Bluetooth,-62
2.175,Bluetooth,-63
2.206,Bluetooth,-65
2.207,Bluetooth,-65
2.267,Bluetooth,-63
2.268,Bluetooth,-61
2.361,Bluetooth,-61
2.362,Bluetooth,-62
2.394,Bluetooth,-67
2.395,Bluetooth,-67
2.455,Bluetooth,-62
2.456,Bluetooth,-62
2.489,Bluetooth,-68
2.490,Bluetooth,-67
2.520,Bluetooth,-58
2.522,Bluetooth,-58
2.553,Bluetooth,-63
2.554,Bluetooth,-62
2.617,Bluetooth,-70
2.618,Bluetooth,-70
2.684,Bluetooth,-69
2.685,Bluetooth,-69
2.775,Bluetooth,-61
2.776,Bluetooth,-62
2.808,Bluetooth,-68
2.810,Bluetooth,-67
2.868,Bluetooth,-62
2.873,Bluetooth,-61
2.904,Bluetooth,-67
2.905,Bluetooth,-67
2.967,Bluetooth,-61
2.968,Bluetooth,-62
3.062,Bluetooth,-61
3.091,Bluetooth,-69
3.152,Bluetooth,-61
3.153,Bluetooth,-61
3.220,Bluetooth,-69
3.221,Bluetooth,-69
3.249,Bluetooth,-62
3.250,Bluetooth,-62
3.279,Bluetooth,-70
3.280,Bluetooth,-70
3.346,Bluetooth,-62
3.347,Bluetooth,-63
3.409,Bluetooth,-71
3.411,Bluetooth,-71
3.441,Bluetooth,-62
3.442,Bluetooth,-63
3.474,Bluetooth,-62
3.475,Bluetooth,-63
3.503,Bluetooth,-72
3.506,Bluetooth,-73
3.572,Bluetooth,-62
3.573,Bluetooth,-62
3.604,Bluetooth,-73
3.605,Bluetooth,-72
3.669,Bluetooth,-62
3.670,Bluetooth,-62
3.763,Bluetooth,-62
3.764,Bluetooth,-62
3.796,Bluetooth,-75
3.797,Bluetooth,-73
3.898,Bluetooth,-73
3.899,Bluetooth,-73
3.962,Bluetooth,-61
3.963,Bluetooth,-62
17.158,Bluetooth,-75
17.159,Bluetooth,-74
17.231,Bluetooth,-60
17.231,Bluetooth,-60
17.255,Bluetooth,-75
17.256,Bluetooth,-75
17.287,Bluetooth,-58
17.288,Bluetooth,-59
17.350,Bluetooth,-75
17.351,Bluetooth,-75
17.414,Bluetooth,-58
17.415,Bluetooth,-59
17.443,Bluetooth,-76
17.444,Bluetooth,-77
17.506,Bluetooth,-59
17.507,Bluetooth,-59
17.565,Bluetooth,-74
17.566,Bluetooth,-73
17.595,Bluetooth,-58
17.596,Bluetooth,-58
17.662,Bluetooth,-74
17.663,Bluetooth,-75
17.695,Bluetooth,-59
17.697,Bluetooth,-59
17.733,Bluetooth,-60
17.734,Bluetooth,-60
17.819,Bluetooth,-59
17.820,Bluetooth,-59
17.851,Bluetooth,-76
17.852,Bluetooth,-75
17.883,Bluetooth,-59
17.884,Bluetooth,-59
17.978,Bluetooth,-74
17.979,Bluetooth,-76
18.016,Bluetooth,-60
18.017,Bluetooth,-58
18.046,Bluetooth,-75
18.047,Bluetooth,-74
18.080,Bluetooth,-59
18.081,Bluetooth,-58
18.113,Bluetooth,-59
18.114,Bluetooth,-58
18.200,Bluetooth,-74
18.203,Bluetooth,-75
18.267,Bluetooth,-75
18.268,Bluetooth,-75
18.300,Bluetooth,-58
18.301,Bluetooth,-60
18.365,Bluetooth,-75
18.366,Bluetooth,-76
18.489,Bluetooth,-59
18.490,Bluetooth,-58
18.521,Bluetooth,-59
18.523,Bluetooth,-60
18.554,Bluetooth,-75
18.555,Bluetooth,-76
18.613,Bluetooth,-59
18.614,Bluetooth,-60
18.643,Bluetooth,-74
18.644,Bluetooth,-76
18.708,Bluetooth,-59
18.709,Bluetooth,-58
18.771,Bluetooth,-75
18.772,Bluetooth,-75
18.801,Bluetooth,-59
18.802,Bluetooth,-59
18.897,Bluetooth,-59
18.898,Bluetooth,-58
18.958,Bluetooth,-74
18.959,Bluetooth,-75
18.992,Bluetooth,-59
18.994,Bluetooth,-59
19.030,Bluetooth,-60
19.030,Bluetooth,-60
19.058,Bluetooth,-75
19.059,Bluetooth,-76
19.090,Bluetooth,-59
19.092,Bluetooth,-59
19.134,Bluetooth,-60
19.157,Bluetooth,-75
19.158,Bluetooth,-75
19.189,Bluetooth,-59
19.190,Bluetooth,-58
19.220,Bluetooth,-59
19.220,Bluetooth,-59
19.249,Bluetooth,-76
19.250,Bluetooth,-74
19.283,Bluetooth,-59
19.284,Bluetooth,-58
19.408,Bluetooth,-59
19.409,Bluetooth,-59
19.440,Bluetooth,-74
19.441,Bluetooth,-74
19.469,Bluetooth,-75
19.470,Bluetooth,-75
19.504,Bluetooth,-75
19.505,Bluetooth,-76
19.570,Bluetooth,-76
19.571,Bluetooth,-75
19.604,Bluetooth,-59
19.605,Bluetooth,-60
19.669,Bluetooth,-75
19.670,Bluetooth,-75
19.703,Bluetooth,-59
19.704,Bluetooth,-59
19.763,Bluetooth,-75
19.764,Bluetooth,-76
19.792,Bluetooth,-59
19.793,Bluetooth,-59
19.856,Bluetooth,-77
19.857,Bluetooth,-75
19.890,Bluetooth,-59
19.891,Bluetooth,-59
19.922,Bluetooth,-59
19.923,Bluetooth,-60
19.957,Bluetooth,-76
19.958,Bluetooth,-76
19.988,Bluetooth,-59
19.989,Bluetooth,-58
20.019,Bluetooth,-59
20.020,Bluetooth,-59
20.050,Bluetooth,-77
20.051,Bluetooth,-76
20.081,Bluetooth,-60
20.083,Bluetooth,-59
20.174,Bluetooth,-75
20.176,Bluetooth,-76
20.239,Bluetooth,-75
20.240,Bluetooth,-76
20.306,Bluetooth,-59
20.308,Bluetooth,-58
20.399,Bluetooth,-60
20.400,Bluetooth,-59
20.465,Bluetooth,-76
20.466,Bluetooth,-77
20.496,Bluetooth,-59
20.496,Bluetooth,-59
20.563,Bluetooth,-76
20.564,Bluetooth,-76
20.596,Bluetooth,-59
20.598,Bluetooth,-59
20.631,Bluetooth,-60
20.631,Bluetooth,-60
20.776,Bluetooth,-77
20.777,Bluetooth,-77
20.809,Bluetooth,-59
20.811,Bluetooth,-59
20.843,Bluetooth,-77
20.844,Bluetooth,-77
20.908,Bluetooth,-58
20.909,Bluetooth,-59
21.008,Bluetooth,-58
21.010,Bluetooth,-59
21.075,Bluetooth,-76
21.076,Bluetooth,-76
21.109,Bluetooth,-59
21.110,Bluetooth,-60
31.711,Bluetooth,-65
31.712,Bluetooth,-65
31.771,Bluetooth,-65
31.772,Bluetooth,-65
31.803,Bluetooth,-65
31.804,Bluetooth,-65
31.871,Bluetooth,-66
31.872,Bluetooth,-65
31.901,Bluetooth,-65
31.902,Bluetooth,-66
31.965,Bluetooth,-65
31.966,Bluetooth,-65
32.001,Bluetooth,-65
32.002,Bluetooth,-64
32.028,Bluetooth,-64
32.029,Bluetooth,-66
32.062,Bluetooth,-65
32.063,Bluetooth,-65
32.096,Bluetooth,-65
32.098,Bluetooth,-65
32.162,Bluetooth,-64
32.163,Bluetooth,-66
32.295,Bluetooth,-65
32.296,Bluetooth,-66
32.333,Bluetooth,-64
32.334,Bluetooth,-65
32.357,Bluetooth,-66
32.358,Bluetooth,-67
32.387,Bluetooth,-65
32.389,Bluetooth,-65
32.456,Bluetooth,-65
32.457,Bluetooth,-66
32.490,Bluetooth,-65
32.490,Bluetooth,-65
32.521,Bluetooth,-69
32.522,Bluetooth,-69
32.553,Bluetooth,-66
32.554,Bluetooth,-65
32.618,Bluetooth,-65
32.619,Bluetooth,-65
32.650,Bluetooth,-65
32.651,Bluetooth,-66
32.683,Bluetooth,-64
32.685,Bluetooth,-65
32.811,Bluetooth,-65
32.813,Bluetooth,-65
32.909,Bluetooth,-66
32.911,Bluetooth,-65
32.976,Bluetooth,-66
32.977,Bluetooth,-66
33.007,Bluetooth,-67
33.069,Bluetooth,-64
33.070,Bluetooth,-65
33.100,Bluetooth,-65
33.101,Bluetooth,-65
33.195,Bluetooth,-65
33.196,Bluetooth,-65
33.261,Bluetooth,-65
33.262,Bluetooth,-66
33.294,Bluetooth,-65
33.295,Bluetooth,-65
33.390,Bluetooth,-65
33.391,Bluetooth,-66
33.455,Bluetooth,-65
33.456,Bluetooth,-66
33.485,Bluetooth,-65
33.486,Bluetooth,-65
33.611,Bluetooth,-65
33.613,Bluetooth,-65
33.644,Bluetooth,-66
33.645,Bluetooth,-66
33.713,Bluetooth,-65
33.714,Bluetooth,-66
33.776,Bluetooth,-66
