Distance,4.0
TXDevice,iPhoneXS
TXPower,12
RXDevice,iPhone8
TXCarry,pocket
RXCarry,pocket
RXPose,standing
TXPose,sitting
0.000,Bluetooth,-74
0.071,Bluetooth,-64
0.072,Bluetooth,-64
0.104,Bluetooth,-72
0.140,Bluetooth,-60
0.141,Bluetooth,-59
0.203,Bluetooth,-64
0.204,Bluetooth,-64
0.277,Bluetooth,-60
0.278,Bluetooth,-61
0.412,Bluetooth,-61
0.414,Bluetooth,-60
0.445,Bluetooth,-64
0.446,Bluetooth,-66
0.478,Bluetooth,-71
0.478,Bluetooth,-71
0.510,Bluetooth,-60
0.512,Bluetooth,-61
0.550,Bluetooth,-65
0.550,Bluetooth,-64
0.573,Bluetooth,-65
0.574,Bluetooth,-65
0.610,Bluetooth,-70
0.645,Bluetooth,-60
0.646,Bluetooth,-60
0.681,Bluetooth,-65
0.682,Bluetooth,-66
0.721,Bluetooth,-70
0.722,Bluetooth,-69
0.757,Bluetooth,-60
0.758,Bluetooth,-60
0.791,Bluetooth,-64
0.793,Bluetooth,-66
0.821,Bluetooth,-69
0.822,Bluetooth,-69
0.853,Bluetooth,-71
0.853,Bluetooth,-69
0.884,Bluetooth,-60
0.885,Bluetooth,-60
0.918,Bluetooth,-65
0.919,Bluetooth,-64
0.949,Bluetooth,-68
0.950,Bluetooth,-69
0.984,Bluetooth,-60
0.985,Bluetooth,-60
1.014,Bluetooth,-61
1.016,Bluetooth,-60
1.203,Bluetooth,-69
1.204,Bluetooth,-67
1.237,Bluetooth,-60
1.238,Bluetooth,-61
1.307,Bluetooth,-68
1.308,Bluetooth,-67
1.480,Bluetooth,-61
1.481,Bluetooth,-61
1.521,Bluetooth,-66
1.522,Bluetooth,-66
1.557,Bluetooth,-66
1.558,Bluetooth,-67
1.592,Bluetooth,-60
1.593,Bluetooth,-60
1.627,Bluetooth,-64
1.628,Bluetooth,-66
1.658,Bluetooth,-66
1.659,Bluetooth,-66
1.729,Bluetooth,-61
1.730,Bluetooth,-62
1.841,Bluetooth,-60
1.842,Bluetooth,-61
1.880,Bluetooth,-80
1.881,Bluetooth,-78
1.913,Bluetooth,-66
1.914,Bluetooth,-65
1.982,Bluetooth,-77
2.012,Bluetooth,-79
2.117,Bluetooth,-76
2.118,Bluetooth,-75
2.151,Bluetooth,-61
2.153,Bluetooth,-63
2.180,Bluetooth,-60
2.181,Bluetooth,-60
2.215,Bluetooth,-60
2.216,Bluetooth,-59
2.246,Bluetooth,-74
2.247,Bluetooth,-73
2.284,Bluetooth,-66
2.313,Bluetooth,-63
2.315,Bluetooth,-64
2.349,Bluetooth,-86
2.350,Bluetooth,-87
2.387,Bluetooth,-69
2.388,Bluetooth,-68
2.423,Bluetooth,-58
2.424,Bluetooth,-58
2.498,Bluetooth,-72
2.533,Bluetooth,-71
2.535,Bluetooth,-71
2.567,Bluetooth,-61
2.568,Bluetooth,-60
2.598,Bluetooth,-67
2.599,Bluetooth,-68
2.636,Bluetooth,-69
2.637,Bluetooth,-69
2.666,Bluetooth,-64
2.667,Bluetooth,-62
2.733,Bluetooth,-62
2.734,Bluetooth,-63
