Distance,15.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhone11_Pro
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-59
0.001,Bluetooth,-59
0.033,Bluetooth,-61
0.034,Bluetooth,-62
0.094,Bluetooth,-58
0.095,Bluetooth,-57
0.127,Bluetooth,-58
0.129,Bluetooth,-58
0.165,Bluetooth,-60
0.165,Bluetooth,-60
0.192,Bluetooth,-58
0.193,Bluetooth,-59
0.259,Bluetooth,-57
0.260,Bluetooth,-57
0.323,Bluetooth,-62
0.324,Bluetooth,-62
0.354,Bluetooth,-58
0.355,Bluetooth,-58
0.387,Bluetooth,-57
0.388,Bluetooth,-57
0.480,Bluetooth,-58
0.481,Bluetooth,-59
0.510,Bluetooth,-56
0.511,Bluetooth,-56
0.542,Bluetooth,-61
0.543,Bluetooth,-62
0.607,Bluetooth,-57
0.608,Bluetooth,-59
0.636,Bluetooth,-57
0.638,Bluetooth,-57
0.671,Bluetooth,-61
0.673,Bluetooth,-61
0.707,Bluetooth,-57
0.708,Bluetooth,-57
0.772,Bluetooth,-57
0.774,Bluetooth,-58
0.837,Bluetooth,-58
0.839,Bluetooth,-57
0.869,Bluetooth,-57
0.871,Bluetooth,-57
0.964,Bluetooth,-58
0.965,Bluetooth,-58
0.996,Bluetooth,-56
0.997,Bluetooth,-55
1.028,Bluetooth,-63
1.029,Bluetooth,-63
1.090,Bluetooth,-57
1.091,Bluetooth,-58
1.123,Bluetooth,-57
1.124,Bluetooth,-57
1.157,Bluetooth,-61
1.157,Bluetooth,-60
1.184,Bluetooth,-58
1.185,Bluetooth,-57
1.317,Bluetooth,-57
1.317,Bluetooth,-57
1.347,Bluetooth,-57
1.348,Bluetooth,-57
1.412,Bluetooth,-60
1.413,Bluetooth,-60
1.444,Bluetooth,-57
1.445,Bluetooth,-58
1.473,Bluetooth,-58
1.474,Bluetooth,-57
1.506,Bluetooth,-62
1.508,Bluetooth,-62
1.597,Bluetooth,-58
1.599,Bluetooth,-59
1.629,Bluetooth,-58
1.725,Bluetooth,-58
1.726,Bluetooth,-58
1.760,Bluetooth,-59
1.761,Bluetooth,-59
1.795,Bluetooth,-62
1.796,Bluetooth,-63
1.825,Bluetooth,-58
1.827,Bluetooth,-58
1.858,Bluetooth,-58
1.859,Bluetooth,-58
1.890,Bluetooth,-60
1.891,Bluetooth,-58
1.924,Bluetooth,-61
1.925,Bluetooth,-62
1.953,Bluetooth,-58
1.954,Bluetooth,-57
2.014,Bluetooth,-59
2.016,Bluetooth,-59
2.045,Bluetooth,-59
2.047,Bluetooth,-60
2.079,Bluetooth,-58
2.080,Bluetooth,-58
2.109,Bluetooth,-58
2.111,Bluetooth,-59
2.174,Bluetooth,-61
2.175,Bluetooth,-60
2.208,Bluetooth,-59
2.208,Bluetooth,-59
2.237,Bluetooth,-59
2.238,Bluetooth,-59
2.336,Bluetooth,-59
2.338,Bluetooth,-58
2.369,Bluetooth,-59
2.370,Bluetooth,-59
2.404,Bluetooth,-61
2.405,Bluetooth,-61
2.432,Bluetooth,-59
2.433,Bluetooth,-58
2.497,Bluetooth,-62
2.498,Bluetooth,-61
