Distance,6.0
TXDevice,iPhone6s
TXPower,12
RXDevice,iPhone6s
TXCarry,pocket
RXCarry,hand
RXPose,standing
TXPose,standing
0.000,Bluetooth,-77
0.000,Bluetooth,-78
0.026,Bluetooth,-68
0.026,Bluetooth,-67
0.092,Bluetooth,-75
0.092,Bluetooth,-72
0.121,Bluetooth,-77
0.122,Bluetooth,-77
0.153,Bluetooth,-68
0.153,Bluetooth,-68
0.185,Bluetooth,-74
0.185,Bluetooth,-74
0.249,Bluetooth,-78
0.249,Bluetooth,-80
0.281,Bluetooth,-69
0.282,Bluetooth,-68
0.310,Bluetooth,-76
0.310,Bluetooth,-76
0.370,Bluetooth,-79
0.371,Bluetooth,-80
0.433,Bluetooth,-77
0.433,Bluetooth,-77
0.493,Bluetooth,-79
0.493,Bluetooth,-79
0.523,Bluetooth,-69
0.523,Bluetooth,-69
0.558,Bluetooth,-78
0.558,Bluetooth,-77
0.586,Bluetooth,-80
0.587,Bluetooth,-79
0.617,Bluetooth,-78
0.617,Bluetooth,-78
0.647,Bluetooth,-70
0.647,Bluetooth,-70
0.678,Bluetooth,-79
0.678,Bluetooth,-77
0.706,Bluetooth,-77
0.707,Bluetooth,-79
0.742,Bluetooth,-70
0.743,Bluetooth,-70
0.772,Bluetooth,-70
0.772,Bluetooth,-70
0.806,Bluetooth,-77
0.807,Bluetooth,-77
0.837,Bluetooth,-80
0.837,Bluetooth,-78
0.869,Bluetooth,-69
0.870,Bluetooth,-69
0.900,Bluetooth,-69
0.900,Bluetooth,-69
0.932,Bluetooth,-76
0.932,Bluetooth,-76
0.963,Bluetooth,-78
0.964,Bluetooth,-79
0.993,Bluetooth,-69
0.994,Bluetooth,-69
1.029,Bluetooth,-77
1.031,Bluetooth,-75
1.094,Bluetooth,-79
1.095,Bluetooth,-78
1.128,Bluetooth,-69
1.128,Bluetooth,-68
1.162,Bluetooth,-77
1.163,Bluetooth,-77
1.192,Bluetooth,-78
1.192,Bluetooth,-79
1.225,Bluetooth,-69
1.225,Bluetooth,-69
1.256,Bluetooth,-69
1.256,Bluetooth,-69
1.287,Bluetooth,-77
1.287,Bluetooth,-75
1.319,Bluetooth,-77
1.319,Bluetooth,-78
1.351,Bluetooth,-69
1.351,Bluetooth,-69
1.384,Bluetooth,-76
1.385,Bluetooth,-75
1.415,Bluetooth,-75
1.416,Bluetooth,-75
1.448,Bluetooth,-77
1.449,Bluetooth,-78
1.479,Bluetooth,-69
1.480,Bluetooth,-70
1.510,Bluetooth,-77
1.511,Bluetooth,-75
1.574,Bluetooth,-80
1.575,Bluetooth,-80
1.603,Bluetooth,-68
1.604,Bluetooth,-69
1.634,Bluetooth,-74
1.635,Bluetooth,-74
1.695,Bluetooth,-78
1.697,Bluetooth,-78
1.726,Bluetooth,-68
1.727,Bluetooth,-67
1.760,Bluetooth,-77
1.761,Bluetooth,-76
1.790,Bluetooth,-78
1.791,Bluetooth,-79
1.852,Bluetooth,-70
1.853,Bluetooth,-68
1.883,Bluetooth,127
1.915,Bluetooth,-78
1.917,Bluetooth,-78
1.947,Bluetooth,-70
1.949,Bluetooth,-69
1.977,Bluetooth,-69
1.978,Bluetooth,-68
2.008,Bluetooth,-76
2.009,Bluetooth,-77
2.037,Bluetooth,-78
2.039,Bluetooth,-77
2.068,Bluetooth,-66
2.070,Bluetooth,-66
2.101,Bluetooth,127
2.132,Bluetooth,-77
2.133,Bluetooth,-76
2.164,Bluetooth,-78
2.166,Bluetooth,-79
2.194,Bluetooth,127
2.226,Bluetooth,-76
2.228,Bluetooth,-75
2.256,Bluetooth,127
2.286,Bluetooth,-77
2.287,Bluetooth,-78
2.317,Bluetooth,-68
2.319,Bluetooth,-68
2.350,Bluetooth,-76
2.351,Bluetooth,-76
2.378,Bluetooth,-77
2.379,Bluetooth,-75
2.473,Bluetooth,-76
2.474,Bluetooth,-74
2.505,Bluetooth,-75
2.506,Bluetooth,-75
2.566,Bluetooth,-67
2.568,Bluetooth,-65
2.629,Bluetooth,-74
2.632,Bluetooth,-74
2.659,Bluetooth,127
2.691,Bluetooth,-64
2.692,Bluetooth,-66
2.725,Bluetooth,127
2.755,Bluetooth,-73
2.757,Bluetooth,-74
2.787,Bluetooth,127
2.819,Bluetooth,-66
2.820,Bluetooth,-65
2.853,Bluetooth,127
2.882,Bluetooth,-73
2.884,Bluetooth,-74
2.914,Bluetooth,127
2.948,Bluetooth,-74
2.950,Bluetooth,-74
2.977,Bluetooth,127
3.010,Bluetooth,-74
3.010,Bluetooth,-74
3.045,Bluetooth,128
3.076,Bluetooth,-74
3.076,Bluetooth,-74
3.108,Bluetooth,126
3.139,Bluetooth,-74
3.140,Bluetooth,-74
3.174,Bluetooth,-64
3.175,Bluetooth,-64
3.208,Bluetooth,-75
3.209,Bluetooth,-73
3.240,Bluetooth,-75
3.241,Bluetooth,-75
3.273,Bluetooth,-65
3.274,Bluetooth,-67
3.308,Bluetooth,-74
3.310,Bluetooth,-73
3.339,Bluetooth,-74
3.340,Bluetooth,-74
3.370,Bluetooth,-74
3.371,Bluetooth,-74
3.406,Bluetooth,-67
3.407,Bluetooth,-66
3.436,Bluetooth,-75
3.437,Bluetooth,-73
3.465,Bluetooth,-75
3.467,Bluetooth,-75
3.498,Bluetooth,-76
3.499,Bluetooth,-74
3.532,Bluetooth,-67
3.533,Bluetooth,-67
3.566,Bluetooth,-75
3.567,Bluetooth,-74
3.597,Bluetooth,-74
3.599,Bluetooth,-74
3.630,Bluetooth,-67
3.632,Bluetooth,-67
3.660,Bluetooth,-67
3.661,Bluetooth,-67
3.693,Bluetooth,-77
3.694,Bluetooth,-75
3.722,Bluetooth,-75
3.723,Bluetooth,-74
3.757,Bluetooth,-66
3.758,Bluetooth,-65
3.788,Bluetooth,-82
3.789,Bluetooth,-81
3.819,Bluetooth,-80
3.820,Bluetooth,-77
3.852,Bluetooth,-71
3.852,Bluetooth,-71
3.883,Bluetooth,-62
3.885,Bluetooth,-63
3.915,Bluetooth,-74
3.915,Bluetooth,-73
3.944,Bluetooth,-72
3.945,Bluetooth,-74
90.892,Bluetooth,-66
90.893,Bluetooth,-64
90.927,Bluetooth,-69
90.929,Bluetooth,-69
90.959,Bluetooth,-67
90.960,Bluetooth,-68
90.993,Bluetooth,-64
90.994,Bluetooth,-65
91.028,Bluetooth,-68
91.028,Bluetooth,-70
91.084,Bluetooth,-67
91.086,Bluetooth,-67
91.116,Bluetooth,-64
91.117,Bluetooth,-64
91.147,Bluetooth,-69
91.148,Bluetooth,-70
91.178,Bluetooth,-67
91.179,Bluetooth,-68
91.212,Bluetooth,-68
91.213,Bluetooth,-69
91.246,Bluetooth,-65
91.247,Bluetooth,-65
91.280,Bluetooth,-69
91.280,Bluetooth,-69
91.312,Bluetooth,-66
91.313,Bluetooth,-68
91.344,Bluetooth,-65
91.345,Bluetooth,-66
91.379,Bluetooth,-69
91.380,Bluetooth,-70
91.409,Bluetooth,-69
91.410,Bluetooth,-69
91.439,Bluetooth,-68
91.440,Bluetooth,-68
91.470,Bluetooth,-64
91.471,Bluetooth,-65
91.505,Bluetooth,-68
91.506,Bluetooth,-70
91.564,Bluetooth,-68
91.565,Bluetooth,-70
91.593,Bluetooth,-65
91.594,Bluetooth,-66
91.628,Bluetooth,-69
91.629,Bluetooth,-70
91.657,Bluetooth,-68
91.659,Bluetooth,-68
91.689,Bluetooth,-67
91.690,Bluetooth,-69
91.720,Bluetooth,-64
91.722,Bluetooth,-65
91.752,Bluetooth,-69
91.755,Bluetooth,-69
91.786,Bluetooth,-67
91.788,Bluetooth,-70
91.819,Bluetooth,-64
91.822,Bluetooth,-64
91.850,Bluetooth,-64
91.851,Bluetooth,-65
91.882,Bluetooth,-69
91.883,Bluetooth,-68
91.915,Bluetooth,-67
91.917,Bluetooth,-68
91.945,Bluetooth,-64
91.945,Bluetooth,-64
92.011,Bluetooth,-69
92.012,Bluetooth,-69
92.044,Bluetooth,-66
92.045,Bluetooth,-67
92.075,Bluetooth,-65
92.076,Bluetooth,-64
92.108,Bluetooth,-69
92.110,Bluetooth,-68
92.137,Bluetooth,-67
92.139,Bluetooth,-69
92.169,Bluetooth,-66
92.171,Bluetooth,-66
92.200,Bluetooth,126
92.231,Bluetooth,-69
92.232,Bluetooth,-68
92.262,Bluetooth,127
92.297,Bluetooth,-64
92.298,Bluetooth,-64
92.327,Bluetooth,127
92.358,Bluetooth,-69
92.359,Bluetooth,-70
92.390,Bluetooth,127
92.420,Bluetooth,-63
92.422,Bluetooth,-64
92.450,Bluetooth,128
92.481,Bluetooth,-70
92.482,Bluetooth,-70
92.515,Bluetooth,127
92.550,Bluetooth,-64
92.552,Bluetooth,-64
92.582,Bluetooth,127
92.613,Bluetooth,-69
92.614,Bluetooth,-70
92.646,Bluetooth,127
92.677,Bluetooth,-65
92.678,Bluetooth,-65
92.709,Bluetooth,127
92.741,Bluetooth,-66
92.743,Bluetooth,-69
92.771,Bluetooth,-67
92.772,Bluetooth,-67
92.801,Bluetooth,-66
92.803,Bluetooth,-65
92.833,Bluetooth,-71
92.834,Bluetooth,-69
92.863,Bluetooth,-66
92.864,Bluetooth,-67
92.892,Bluetooth,-67
92.893,Bluetooth,-70
92.928,Bluetooth,-65
92.929,Bluetooth,-65
92.958,Bluetooth,-71
92.959,Bluetooth,-69
92.988,Bluetooth,-68
92.989,Bluetooth,-68
93.019,Bluetooth,-66
93.021,Bluetooth,-65
93.050,Bluetooth,-65
93.050,Bluetooth,-64
93.175,Bluetooth,-63
93.176,Bluetooth,-65
93.206,Bluetooth,-70
93.208,Bluetooth,-71
93.234,Bluetooth,-67
93.236,Bluetooth,-67
93.266,Bluetooth,-65
93.267,Bluetooth,-63
93.300,Bluetooth,-70
93.301,Bluetooth,-70
93.333,Bluetooth,-69
93.334,Bluetooth,-71
93.366,Bluetooth,-67
93.367,Bluetooth,-67
93.398,Bluetooth,-65
93.399,Bluetooth,-64
93.428,Bluetooth,-70
93.429,Bluetooth,-70
93.461,Bluetooth,-67
93.462,Bluetooth,-67
93.491,Bluetooth,-66
93.492,Bluetooth,-68
93.521,Bluetooth,-65
93.522,Bluetooth,-65
93.552,Bluetooth,-70
93.555,Bluetooth,-71
93.584,Bluetooth,-65
93.586,Bluetooth,-66
93.614,Bluetooth,-66
93.616,Bluetooth,-68
93.645,Bluetooth,-65
93.646,Bluetooth,-64
93.678,Bluetooth,-71
93.679,Bluetooth,-70
93.710,Bluetooth,-65
93.711,Bluetooth,-67
93.742,Bluetooth,-65
93.743,Bluetooth,-64
93.778,Bluetooth,-65
93.778,Bluetooth,-65
93.809,Bluetooth,-70
93.810,Bluetooth,-69
93.838,Bluetooth,-65
93.839,Bluetooth,-66
93.870,Bluetooth,-65
93.871,Bluetooth,-65
93.906,Bluetooth,-68
93.907,Bluetooth,-70
93.964,Bluetooth,-64
93.965,Bluetooth,-65
93.996,Bluetooth,-63
93.997,Bluetooth,-62
94.028,Bluetooth,-67
94.029,Bluetooth,-68
94.084,Bluetooth,-64
94.086,Bluetooth,-66
94.115,Bluetooth,-64
94.116,Bluetooth,-62
94.148,Bluetooth,-66
94.149,Bluetooth,-67
94.178,Bluetooth,-64
94.179,Bluetooth,-65
94.208,Bluetooth,-63
94.209,Bluetooth,-66
94.239,Bluetooth,-63
94.239,Bluetooth,-63
94.270,Bluetooth,-65
94.270,Bluetooth,-67
94.300,Bluetooth,127
94.330,Bluetooth,-63
94.330,Bluetooth,-63
94.359,Bluetooth,-61
94.360,Bluetooth,-62
94.395,Bluetooth,-64
94.395,Bluetooth,-65
94.428,Bluetooth,-63
94.429,Bluetooth,-64
94.463,Bluetooth,-60
94.464,Bluetooth,-61
94.497,Bluetooth,-64
94.499,Bluetooth,-64
94.529,Bluetooth,-64
94.529,Bluetooth,-64
94.559,Bluetooth,-62
94.559,Bluetooth,-63
94.591,Bluetooth,-61
94.592,Bluetooth,-61
94.623,Bluetooth,-64
94.624,Bluetooth,-64
94.652,Bluetooth,-63
94.654,Bluetooth,-64
94.683,Bluetooth,-64
94.683,Bluetooth,-63
94.718,Bluetooth,-61
94.720,Bluetooth,-61
94.750,Bluetooth,-64
94.751,Bluetooth,-64
