Distance,10.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhone11_Pro
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-61
0.001,Bluetooth,-61
0.028,Bluetooth,-59
0.029,Bluetooth,-58
0.093,Bluetooth,-60
0.094,Bluetooth,-61
0.123,Bluetooth,-62
0.125,Bluetooth,-62
0.155,Bluetooth,-59
0.156,Bluetooth,-58
0.186,Bluetooth,-62
0.187,Bluetooth,-63
0.250,Bluetooth,-63
0.251,Bluetooth,-64
0.283,Bluetooth,-60
0.284,Bluetooth,-62
0.315,Bluetooth,-60
0.316,Bluetooth,-61
0.346,Bluetooth,-63
0.347,Bluetooth,-64
0.415,Bluetooth,-61
0.416,Bluetooth,-60
0.479,Bluetooth,-61
0.480,Bluetooth,-60
0.514,Bluetooth,-63
0.515,Bluetooth,-62
0.616,Bluetooth,-59
0.616,Bluetooth,-59
0.649,Bluetooth,-65
0.650,Bluetooth,-64
0.678,Bluetooth,-61
0.679,Bluetooth,-61
0.711,Bluetooth,-59
0.712,Bluetooth,-59
0.748,Bluetooth,-63
0.749,Bluetooth,-63
0.806,Bluetooth,-59
0.807,Bluetooth,-60
0.835,Bluetooth,-60
0.836,Bluetooth,-59
0.870,Bluetooth,-61
0.871,Bluetooth,-61
0.933,Bluetooth,-58
0.934,Bluetooth,-58
0.963,Bluetooth,-61
0.964,Bluetooth,-60
0.997,Bluetooth,-60
0.999,Bluetooth,-61
1.029,Bluetooth,-58
1.030,Bluetooth,-59
1.158,Bluetooth,-59
1.159,Bluetooth,-60
1.189,Bluetooth,-61
1.189,Bluetooth,-62
1.285,Bluetooth,-60
1.286,Bluetooth,-60
1.320,Bluetooth,-59
1.321,Bluetooth,-60
1.355,Bluetooth,-61
1.356,Bluetooth,-60
1.387,Bluetooth,-59
1.388,Bluetooth,-60
1.452,Bluetooth,-59
1.453,Bluetooth,-59
1.485,Bluetooth,-60
1.486,Bluetooth,-61
1.514,Bluetooth,-59
1.515,Bluetooth,-59
1.545,Bluetooth,-59
1.546,Bluetooth,-60
1.605,Bluetooth,-59
1.607,Bluetooth,-60
1.636,Bluetooth,-58
1.637,Bluetooth,-58
1.669,Bluetooth,-59
1.671,Bluetooth,-58
1.764,Bluetooth,-58
1.765,Bluetooth,-58
1.797,Bluetooth,-59
1.798,Bluetooth,-59
1.828,Bluetooth,-60
1.829,Bluetooth,-60
1.925,Bluetooth,-59
1.926,Bluetooth,-60
1.957,Bluetooth,-60
1.958,Bluetooth,-61
1.986,Bluetooth,-58
1.987,Bluetooth,-59
2.051,Bluetooth,-60
2.052,Bluetooth,-61
2.082,Bluetooth,-61
2.083,Bluetooth,-60
2.110,Bluetooth,-59
2.111,Bluetooth,-60
2.144,Bluetooth,-61
2.149,Bluetooth,-61
2.214,Bluetooth,-60
2.215,Bluetooth,-60
2.242,Bluetooth,-60
2.243,Bluetooth,-59
2.366,Bluetooth,-59
2.367,Bluetooth,-58
2.399,Bluetooth,-60
2.400,Bluetooth,-60
2.428,Bluetooth,-60
2.429,Bluetooth,-60
2.489,Bluetooth,-60
2.490,Bluetooth,-59
2.520,Bluetooth,-60
2.521,Bluetooth,-60
2.556,Bluetooth,-62
2.557,Bluetooth,-60
2.587,Bluetooth,-59
2.588,Bluetooth,-60
2.650,Bluetooth,-60
2.650,Bluetooth,-61
2.677,Bluetooth,-61
2.679,Bluetooth,-60
2.708,Bluetooth,-59
2.709,Bluetooth,-58
2.805,Bluetooth,-61
2.807,Bluetooth,-60
2.838,Bluetooth,-58
2.839,Bluetooth,-60
2.901,Bluetooth,-61
2.903,Bluetooth,-61
2.933,Bluetooth,-61
2.934,Bluetooth,-61
2.960,Bluetooth,-60
2.961,Bluetooth,-59
2.996,Bluetooth,-59
2.997,Bluetooth,-59
3.026,Bluetooth,-59
3.028,Bluetooth,-59
3.065,Bluetooth,-60
3.066,Bluetooth,-60
3.125,Bluetooth,-58
3.126,Bluetooth,-59
3.156,Bluetooth,-59
3.157,Bluetooth,-60
3.191,Bluetooth,-60
3.192,Bluetooth,-59
3.287,Bluetooth,-59
3.288,Bluetooth,-59
3.316,Bluetooth,-60
3.318,Bluetooth,-59
3.347,Bluetooth,-59
3.348,Bluetooth,-59
3.411,Bluetooth,-59
3.412,Bluetooth,-59
3.441,Bluetooth,-59
3.442,Bluetooth,-60
3.475,Bluetooth,-58
3.476,Bluetooth,-58
3.507,Bluetooth,-60
3.508,Bluetooth,-59
3.569,Bluetooth,-60
3.570,Bluetooth,-59
3.599,Bluetooth,-58
3.600,Bluetooth,-58
3.632,Bluetooth,-59
3.633,Bluetooth,-59
3.664,Bluetooth,-59
3.665,Bluetooth,-59
3.722,Bluetooth,-58
3.724,Bluetooth,-58
3.758,Bluetooth,-58
3.759,Bluetooth,-58
3.788,Bluetooth,-59
3.789,Bluetooth,-60
3.851,Bluetooth,-58
3.852,Bluetooth,-59
3.881,Bluetooth,-58
3.882,Bluetooth,-58
3.918,Bluetooth,-59
3.919,Bluetooth,-59
3.949,Bluetooth,-57
3.950,Bluetooth,-57
9.986,Bluetooth,-58
9.987,Bluetooth,-58
10.020,Bluetooth,-67
10.020,Bluetooth,-67
10.052,Bluetooth,-65
10.053,Bluetooth,-65
10.080,Bluetooth,-57
10.081,Bluetooth,-58
10.176,Bluetooth,-65
10.178,Bluetooth,-65
10.206,Bluetooth,-58
10.207,Bluetooth,-58
10.239,Bluetooth,-68
10.241,Bluetooth,-68
10.271,Bluetooth,-68
10.272,Bluetooth,-67
10.305,Bluetooth,-66
10.306,Bluetooth,-65
10.334,Bluetooth,-58
10.335,Bluetooth,-59
10.365,Bluetooth,-69
10.366,Bluetooth,-69
10.463,Bluetooth,-58
10.464,Bluetooth,-59
10.493,Bluetooth,-71
10.494,Bluetooth,-71
10.528,Bluetooth,-66
10.529,Bluetooth,-64
10.586,Bluetooth,-60
10.588,Bluetooth,-60
10.621,Bluetooth,-71
10.621,Bluetooth,-71
10.652,Bluetooth,-64
10.653,Bluetooth,-64
10.716,Bluetooth,-60
10.717,Bluetooth,-60
10.747,Bluetooth,-71
10.748,Bluetooth,-71
10.810,Bluetooth,-63
10.811,Bluetooth,-62
10.845,Bluetooth,-59
10.846,Bluetooth,-59
10.877,Bluetooth,-70
10.878,Bluetooth,-70
10.910,Bluetooth,-64
10.911,Bluetooth,-62
10.944,Bluetooth,-58
10.945,Bluetooth,-60
10.972,Bluetooth,-60
10.975,Bluetooth,-60
11.005,Bluetooth,-69
11.007,Bluetooth,-70
11.039,Bluetooth,-63
11.040,Bluetooth,-63
11.130,Bluetooth,-68
11.131,Bluetooth,-67
11.160,Bluetooth,-62
11.161,Bluetooth,-62
11.191,Bluetooth,-58
11.192,Bluetooth,-59
11.288,Bluetooth,-63
11.288,Bluetooth,-63
11.318,Bluetooth,-58
11.319,Bluetooth,-59
11.350,Bluetooth,-68
11.351,Bluetooth,-68
11.384,Bluetooth,-64
11.385,Bluetooth,-62
11.418,Bluetooth,-63
11.419,Bluetooth,-63
11.445,Bluetooth,-57
11.446,Bluetooth,-57
11.475,Bluetooth,-72
11.476,Bluetooth,-72
11.600,Bluetooth,-68
11.601,Bluetooth,-67
11.632,Bluetooth,-62
11.634,Bluetooth,-62
11.695,Bluetooth,-59
11.696,Bluetooth,-58
11.726,Bluetooth,-69
11.727,Bluetooth,-68
11.760,Bluetooth,-62
11.761,Bluetooth,-62
11.794,Bluetooth,-58
11.794,Bluetooth,-59
11.827,Bluetooth,-68
11.828,Bluetooth,-68
11.892,Bluetooth,-62
11.893,Bluetooth,-62
11.924,Bluetooth,-59
11.925,Bluetooth,-60
11.991,Bluetooth,-69
11.992,Bluetooth,-69
12.125,Bluetooth,-69
12.126,Bluetooth,-69
12.157,Bluetooth,-62
12.159,Bluetooth,-61
12.188,Bluetooth,-58
12.189,Bluetooth,-59
12.247,Bluetooth,-71
12.276,Bluetooth,-62
12.340,Bluetooth,-72
12.341,Bluetooth,-70
12.369,Bluetooth,-69
12.370,Bluetooth,-70
12.407,Bluetooth,-63
12.408,Bluetooth,-62
12.435,Bluetooth,-58
12.436,Bluetooth,-58
12.469,Bluetooth,-70
12.470,Bluetooth,-69
12.502,Bluetooth,-63
12.503,Bluetooth,-63
12.563,Bluetooth,-58
12.565,Bluetooth,-58
12.596,Bluetooth,-71
12.597,Bluetooth,-71
12.629,Bluetooth,-63
12.630,Bluetooth,-65
12.688,Bluetooth,-58
12.690,Bluetooth,-57
12.721,Bluetooth,-71
12.722,Bluetooth,-71
12.758,Bluetooth,-63
12.759,Bluetooth,-65
12.787,Bluetooth,-60
12.788,Bluetooth,-59
12.849,Bluetooth,-72
12.850,Bluetooth,-73
12.879,Bluetooth,-64
12.880,Bluetooth,-64
12.944,Bluetooth,-74
12.946,Bluetooth,-74
13.010,Bluetooth,-64
13.011,Bluetooth,-64
13.072,Bluetooth,-72
13.073,Bluetooth,-73
13.107,Bluetooth,-65
13.109,Bluetooth,-63
13.142,Bluetooth,-60
13.143,Bluetooth,-59
13.201,Bluetooth,-73
13.202,Bluetooth,-72
13.237,Bluetooth,-65
13.268,Bluetooth,-66
13.269,Bluetooth,-64
13.330,Bluetooth,-61
13.331,Bluetooth,-60
13.360,Bluetooth,-74
13.360,Bluetooth,-75
13.392,Bluetooth,-63
13.394,Bluetooth,-64
13.425,Bluetooth,-60
13.426,Bluetooth,-60
13.490,Bluetooth,-77
13.491,Bluetooth,-76
13.521,Bluetooth,-65
13.523,Bluetooth,-65
13.582,Bluetooth,-76
13.583,Bluetooth,-77
13.616,Bluetooth,-78
13.616,Bluetooth,-80
13.649,Bluetooth,-64
13.679,Bluetooth,-61
13.680,Bluetooth,-61
13.709,Bluetooth,-78
13.710,Bluetooth,-78
13.743,Bluetooth,-64
13.744,Bluetooth,-64
13.807,Bluetooth,-60
13.808,Bluetooth,-58
13.844,Bluetooth,-73
13.845,Bluetooth,-74
13.875,Bluetooth,-65
13.876,Bluetooth,-66
13.905,Bluetooth,-60
13.907,Bluetooth,-61
25.155,Bluetooth,-59
25.156,Bluetooth,-61
25.217,Bluetooth,-64
25.220,Bluetooth,-64
25.248,Bluetooth,-59
25.249,Bluetooth,-59
25.277,Bluetooth,-59
25.279,Bluetooth,-60
25.367,Bluetooth,-59
25.369,Bluetooth,-59
25.401,Bluetooth,-61
25.402,Bluetooth,-61
25.463,Bluetooth,-64
25.464,Bluetooth,-65
25.492,Bluetooth,-60
25.493,Bluetooth,-59
25.655,Bluetooth,-63
25.656,Bluetooth,-63
25.687,Bluetooth,-64
25.688,Bluetooth,-65
25.753,Bluetooth,-65
25.755,Bluetooth,-64
25.819,Bluetooth,-65
25.820,Bluetooth,-65
25.848,Bluetooth,-61
25.849,Bluetooth,-61
25.883,Bluetooth,-64
25.884,Bluetooth,-63
25.915,Bluetooth,-65
25.917,Bluetooth,-65
26.017,Bluetooth,-63
26.018,Bluetooth,-63
26.076,Bluetooth,-65
26.078,Bluetooth,-66
26.104,Bluetooth,-60
26.106,Bluetooth,-59
26.173,Bluetooth,-62
26.174,Bluetooth,-62
26.209,Bluetooth,-64
26.210,Bluetooth,-64
26.273,Bluetooth,-66
26.274,Bluetooth,-65
26.365,Bluetooth,-61
26.366,Bluetooth,-62
26.400,Bluetooth,-65
26.401,Bluetooth,-65
26.429,Bluetooth,-65
26.430,Bluetooth,-65
26.493,Bluetooth,-61
26.494,Bluetooth,-60
26.525,Bluetooth,-64
26.525,Bluetooth,-66
26.561,Bluetooth,-65
26.562,Bluetooth,-65
26.590,Bluetooth,-61
26.591,Bluetooth,-61
26.682,Bluetooth,-64
26.684,Bluetooth,-64
26.712,Bluetooth,-59
26.712,Bluetooth,-59
26.745,Bluetooth,-64
26.745,Bluetooth,-64
26.811,Bluetooth,-64
26.812,Bluetooth,-64
26.839,Bluetooth,-60
26.840,Bluetooth,-61
26.871,Bluetooth,-65
26.872,Bluetooth,-66
26.904,Bluetooth,-65
26.905,Bluetooth,-65
26.964,Bluetooth,-62
26.965,Bluetooth,-63
26.995,Bluetooth,-64
26.997,Bluetooth,-65
27.029,Bluetooth,-65
27.030,Bluetooth,-66
27.093,Bluetooth,-60
27.094,Bluetooth,-60
27.126,Bluetooth,-63
27.126,Bluetooth,-62
27.157,Bluetooth,-64
27.159,Bluetooth,-64
27.188,Bluetooth,-59
27.189,Bluetooth,-59
27.252,Bluetooth,-63
27.253,Bluetooth,-64
27.284,Bluetooth,-65
27.285,Bluetooth,-64
27.314,Bluetooth,-59
27.315,Bluetooth,-58
27.345,Bluetooth,-58
27.346,Bluetooth,-60
27.382,Bluetooth,-64
27.383,Bluetooth,-63
27.448,Bluetooth,-64
27.449,Bluetooth,-64
27.481,Bluetooth,-59
27.482,Bluetooth,-60
27.512,Bluetooth,-64
27.513,Bluetooth,-64
27.545,Bluetooth,-65
27.546,Bluetooth,-64
27.675,Bluetooth,-65
27.677,Bluetooth,-66
27.805,Bluetooth,-66
27.806,Bluetooth,-66
27.835,Bluetooth,-63
27.836,Bluetooth,-63
27.867,Bluetooth,-65
27.868,Bluetooth,-65
27.926,Bluetooth,-65
27.928,Bluetooth,-66
27.958,Bluetooth,-64
27.959,Bluetooth,-64
27.992,Bluetooth,-64
27.993,Bluetooth,-66
28.027,Bluetooth,-65
28.028,Bluetooth,-66
28.122,Bluetooth,-65
28.187,Bluetooth,-62
28.188,Bluetooth,-62
28.247,Bluetooth,-65
28.248,Bluetooth,-66
28.279,Bluetooth,-64
28.280,Bluetooth,-65
28.311,Bluetooth,-62
28.312,Bluetooth,-62
28.341,Bluetooth,-65
28.342,Bluetooth,-65
28.372,Bluetooth,-65
28.373,Bluetooth,-65
28.470,Bluetooth,-64
28.472,Bluetooth,-64
28.503,Bluetooth,-65
28.504,Bluetooth,-66
28.567,Bluetooth,-62
28.567,Bluetooth,-61
28.630,Bluetooth,-61
28.631,Bluetooth,-62
28.694,Bluetooth,-64
28.695,Bluetooth,-65
28.723,Bluetooth,-60
28.724,Bluetooth,-60
28.757,Bluetooth,-61
28.757,Bluetooth,-62
28.786,Bluetooth,-63
28.787,Bluetooth,-64
28.856,Bluetooth,-61
28.857,Bluetooth,-61
29.011,Bluetooth,-64
29.012,Bluetooth,-64
29.075,Bluetooth,-62
29.076,Bluetooth,-62
45.435,Bluetooth,-67
45.437,Bluetooth,-67
45.470,Bluetooth,-67
45.471,Bluetooth,-67
45.530,Bluetooth,-83
45.531,Bluetooth,-83
45.562,Bluetooth,-69
45.563,Bluetooth,-69
45.595,Bluetooth,-68
45.628,Bluetooth,-78
45.629,Bluetooth,-78
45.693,Bluetooth,-72
45.694,Bluetooth,-72
45.731,Bluetooth,-66
45.762,Bluetooth,-78
45.763,Bluetooth,-77
45.792,Bluetooth,-70
45.793,Bluetooth,-69
45.824,Bluetooth,-67
45.825,Bluetooth,-66
45.888,Bluetooth,-77
45.890,Bluetooth,-78
45.922,Bluetooth,-70
45.923,Bluetooth,-70
45.957,Bluetooth,-69
45.958,Bluetooth,-69
46.081,Bluetooth,-71
46.083,Bluetooth,-71
46.115,Bluetooth,-69
46.151,Bluetooth,-74
46.152,Bluetooth,-74
46.215,Bluetooth,-70
46.216,Bluetooth,-70
46.248,Bluetooth,-74
46.249,Bluetooth,-73
46.278,Bluetooth,-78
46.279,Bluetooth,-77
46.310,Bluetooth,-71
46.311,Bluetooth,-70
46.344,Bluetooth,-76
46.346,Bluetooth,-75
46.412,Bluetooth,-74
46.413,Bluetooth,-74
46.444,Bluetooth,-69
46.445,Bluetooth,-70
46.475,Bluetooth,-77
46.476,Bluetooth,-77
46.505,Bluetooth,-70
46.507,Bluetooth,-70
46.568,Bluetooth,-70
46.569,Bluetooth,-70
46.604,Bluetooth,-70
46.605,Bluetooth,-70
46.634,Bluetooth,-77
46.762,Bluetooth,-74
46.762,Bluetooth,-75
46.794,Bluetooth,-73
46.796,Bluetooth,-73
46.828,Bluetooth,-69
46.829,Bluetooth,-69
46.891,Bluetooth,-73
46.892,Bluetooth,-73
46.922,Bluetooth,-70
46.923,Bluetooth,-69
46.952,Bluetooth,-68
46.953,Bluetooth,-68
47.013,Bluetooth,-73
47.014,Bluetooth,-73
47.045,Bluetooth,-72
47.047,Bluetooth,-72
47.077,Bluetooth,-68
47.078,Bluetooth,-67
47.107,Bluetooth,-75
47.107,Bluetooth,-75
47.136,Bluetooth,-76
47.168,Bluetooth,-71
47.169,Bluetooth,-72
47.198,Bluetooth,-69
47.199,Bluetooth,-70
47.230,Bluetooth,-75
47.231,Bluetooth,-75
47.295,Bluetooth,-69
47.295,Bluetooth,-71
47.326,Bluetooth,-69
47.328,Bluetooth,-69
47.359,Bluetooth,-76
47.361,Bluetooth,-75
47.387,Bluetooth,-69
47.387,Bluetooth,-68
47.483,Bluetooth,-73
47.484,Bluetooth,-74
47.512,Bluetooth,-70
47.513,Bluetooth,-70
47.546,Bluetooth,-68
47.548,Bluetooth,-68
47.607,Bluetooth,-74
47.608,Bluetooth,-72
47.641,Bluetooth,-70
47.642,Bluetooth,-69
47.733,Bluetooth,-73
47.734,Bluetooth,-74
47.763,Bluetooth,-71
47.764,Bluetooth,-70
47.795,Bluetooth,-68
47.796,Bluetooth,-68
47.824,Bluetooth,-73
47.825,Bluetooth,-73
47.886,Bluetooth,-69
47.887,Bluetooth,-70
47.916,Bluetooth,-68
47.917,Bluetooth,-68
47.950,Bluetooth,-72
47.951,Bluetooth,-72
48.013,Bluetooth,-73
48.014,Bluetooth,-72
48.049,Bluetooth,-68
48.050,Bluetooth,-67
48.081,Bluetooth,-72
48.083,Bluetooth,-72
48.116,Bluetooth,-77
48.117,Bluetooth,-77
48.149,Bluetooth,-68
48.150,Bluetooth,-69
48.248,Bluetooth,-76
48.249,Bluetooth,-75
48.280,Bluetooth,-67
48.309,Bluetooth,-70
48.311,Bluetooth,-70
48.409,Bluetooth,-68
48.409,Bluetooth,-68
48.442,Bluetooth,-69
48.443,Bluetooth,-69
48.472,Bluetooth,-73
48.473,Bluetooth,-72
48.506,Bluetooth,-68
48.508,Bluetooth,-68
48.569,Bluetooth,-71
48.600,Bluetooth,-69
48.601,Bluetooth,-70
48.668,Bluetooth,-72
48.669,Bluetooth,-72
48.731,Bluetooth,-66
48.732,Bluetooth,-65
48.764,Bluetooth,-69
48.765,Bluetooth,-69
48.825,Bluetooth,-68
48.825,Bluetooth,-68
48.888,Bluetooth,-70
48.889,Bluetooth,-69
48.915,Bluetooth,-82
48.917,Bluetooth,-83
48.953,Bluetooth,-67
48.953,Bluetooth,-67
48.987,Bluetooth,-70
48.988,Bluetooth,-71
49.076,Bluetooth,-68
49.077,Bluetooth,-67
49.107,Bluetooth,-69
49.108,Bluetooth,-68
49.170,Bluetooth,-75
49.171,Bluetooth,-74
49.201,Bluetooth,-66
49.202,Bluetooth,-67
49.290,Bluetooth,-76
49.291,Bluetooth,-77
49.324,Bluetooth,-67
49.325,Bluetooth,-68
49.352,Bluetooth,-68
49.353,Bluetooth,-69
49.384,Bluetooth,-75
49.385,Bluetooth,-75
60.719,Bluetooth,-70
60.720,Bluetooth,-70
60.749,Bluetooth,-79
60.751,Bluetooth,-79
60.787,Bluetooth,-71
60.788,Bluetooth,-73
60.874,Bluetooth,-79
60.875,Bluetooth,-81
60.967,Bluetooth,-70
60.969,Bluetooth,-70
61.003,Bluetooth,-81
61.004,Bluetooth,-81
61.033,Bluetooth,-72
61.034,Bluetooth,-71
61.063,Bluetooth,-70
61.065,Bluetooth,-70
61.129,Bluetooth,-81
61.130,Bluetooth,-81
61.160,Bluetooth,-70
61.161,Bluetooth,-72
61.220,Bluetooth,-79
61.220,Bluetooth,-79
61.251,Bluetooth,-78
61.252,Bluetooth,-78
61.281,Bluetooth,-72
61.283,Bluetooth,-72
61.314,Bluetooth,-70
61.315,Bluetooth,-69
61.344,Bluetooth,-75
61.345,Bluetooth,-75
61.467,Bluetooth,-77
61.468,Bluetooth,-75
61.498,Bluetooth,-73
61.499,Bluetooth,-74
61.530,Bluetooth,-74
61.531,Bluetooth,-73
61.564,Bluetooth,-70
61.565,Bluetooth,-71
61.594,Bluetooth,-77
61.595,Bluetooth,-78
61.630,Bluetooth,-72
61.631,Bluetooth,-72
61.661,Bluetooth,-71
61.662,Bluetooth,-71
61.692,Bluetooth,-71
61.693,Bluetooth,-71
61.757,Bluetooth,-72
61.758,Bluetooth,-72
61.794,Bluetooth,-72
61.795,Bluetooth,-71
61.912,Bluetooth,-72
61.913,Bluetooth,-72
61.948,Bluetooth,-70
61.949,Bluetooth,-70
62.005,Bluetooth,-81
62.006,Bluetooth,-81
62.036,Bluetooth,-74
62.037,Bluetooth,-75
62.068,Bluetooth,-68
62.069,Bluetooth,-71
62.130,Bluetooth,-81
62.131,Bluetooth,-81
62.166,Bluetooth,-74
62.167,Bluetooth,-73
62.198,Bluetooth,-70
62.199,Bluetooth,-71
62.291,Bluetooth,-74
62.291,Bluetooth,-74
62.321,Bluetooth,-70
62.323,Bluetooth,-69
62.353,Bluetooth,-77
62.354,Bluetooth,-77
62.386,Bluetooth,-75
62.388,Bluetooth,-73
62.485,Bluetooth,-78
62.486,Bluetooth,-79
62.522,Bluetooth,-73
62.523,Bluetooth,-73
62.555,Bluetooth,-70
62.557,Bluetooth,-70
62.587,Bluetooth,-78
62.588,Bluetooth,-78
62.622,Bluetooth,-73
62.623,Bluetooth,-72
62.715,Bluetooth,-78
62.716,Bluetooth,-78
62.745,Bluetooth,-71
62.746,Bluetooth,-72
62.809,Bluetooth,-71
62.810,Bluetooth,-72
62.840,Bluetooth,-79
62.841,Bluetooth,-78
62.875,Bluetooth,-70
62.875,Bluetooth,-69
62.905,Bluetooth,-72
62.906,Bluetooth,-71
62.964,Bluetooth,-77
62.966,Bluetooth,-77
62.995,Bluetooth,-69
62.997,Bluetooth,-69
63.093,Bluetooth,-80
63.094,Bluetooth,-81
63.130,Bluetooth,-68
63.131,Bluetooth,-68
63.194,Bluetooth,-76
63.195,Bluetooth,-76
63.224,Bluetooth,-81
63.225,Bluetooth,-82
63.285,Bluetooth,-68
63.286,Bluetooth,-68
63.413,Bluetooth,-69
63.414,Bluetooth,-69
63.446,Bluetooth,-80
63.448,Bluetooth,-80
63.477,Bluetooth,-77
63.478,Bluetooth,-78
63.511,Bluetooth,-70
63.512,Bluetooth,-70
63.571,Bluetooth,-84
63.572,Bluetooth,-85
63.602,Bluetooth,-76
63.603,Bluetooth,-75
63.693,Bluetooth,-83
63.694,Bluetooth,-82
63.726,Bluetooth,-75
63.728,Bluetooth,-73
63.759,Bluetooth,-69
63.761,Bluetooth,-70
63.792,Bluetooth,-82
63.793,Bluetooth,-82
63.854,Bluetooth,-74
63.855,Bluetooth,-74
63.884,Bluetooth,-70
63.884,Bluetooth,-71
63.945,Bluetooth,-74
63.946,Bluetooth,-74
64.022,Bluetooth,-75
64.023,Bluetooth,-75
64.046,Bluetooth,-75
64.047,Bluetooth,-75
64.107,Bluetooth,-70
64.108,Bluetooth,-70
64.141,Bluetooth,-76
64.141,Bluetooth,-75
64.230,Bluetooth,-69
64.231,Bluetooth,-70
64.264,Bluetooth,-75
64.265,Bluetooth,-75
64.293,Bluetooth,-75
64.295,Bluetooth,-75
64.328,Bluetooth,-70
64.330,Bluetooth,-70
64.361,Bluetooth,-76
64.390,Bluetooth,-75
64.391,Bluetooth,-76
64.419,Bluetooth,-76
64.420,Bluetooth,-75
64.483,Bluetooth,-70
64.484,Bluetooth,-71
64.514,Bluetooth,-75
64.515,Bluetooth,-75
64.545,Bluetooth,-76
64.546,Bluetooth,-77
64.610,Bluetooth,-72
64.611,Bluetooth,-73
64.644,Bluetooth,-76
64.645,Bluetooth,-76
64.674,Bluetooth,-77
64.675,Bluetooth,-78
64.710,Bluetooth,-72
64.710,Bluetooth,-71
76.967,Bluetooth,-91
76.968,Bluetooth,-91
77.001,Bluetooth,-74
77.002,Bluetooth,-74
77.033,Bluetooth,-75
77.034,Bluetooth,-75
77.065,Bluetooth,-90
77.066,Bluetooth,-88
77.129,Bluetooth,-74
77.131,Bluetooth,-73
77.228,Bluetooth,-74
77.229,Bluetooth,-74
77.289,Bluetooth,-74
77.291,Bluetooth,-74
77.324,Bluetooth,-76
77.325,Bluetooth,-76
77.353,Bluetooth,-83
77.354,Bluetooth,-86
77.387,Bluetooth,-73
77.388,Bluetooth,-73
77.514,Bluetooth,-73
77.516,Bluetooth,-73
77.547,Bluetooth,-77
77.548,Bluetooth,-77
77.606,Bluetooth,-82
77.607,Bluetooth,-83
77.638,Bluetooth,-73
77.639,Bluetooth,-74
77.668,Bluetooth,-77
77.732,Bluetooth,-83
77.734,Bluetooth,-84
77.764,Bluetooth,-73
77.766,Bluetooth,-74
77.797,Bluetooth,-77
77.798,Bluetooth,-77
77.832,Bluetooth,-84
77.833,Bluetooth,-83
77.862,Bluetooth,-74
77.863,Bluetooth,-74
77.928,Bluetooth,-77
77.929,Bluetooth,-78
77.957,Bluetooth,-83
77.958,Bluetooth,-83
78.052,Bluetooth,-75
78.053,Bluetooth,-75
78.115,Bluetooth,-74
78.149,Bluetooth,-76
78.150,Bluetooth,-77
78.210,Bluetooth,-83
78.211,Bluetooth,-83
78.245,Bluetooth,-74
78.246,Bluetooth,-74
78.276,Bluetooth,-75
78.277,Bluetooth,-75
78.303,Bluetooth,-83
78.304,Bluetooth,-83
78.404,Bluetooth,-75
78.405,Bluetooth,-75
78.434,Bluetooth,-83
78.435,Bluetooth,-84
78.465,Bluetooth,-74
78.466,Bluetooth,-75
78.561,Bluetooth,-75
78.563,Bluetooth,-75
78.592,Bluetooth,-84
78.592,Bluetooth,-85
78.651,Bluetooth,-75
78.653,Bluetooth,-73
78.711,Bluetooth,-84
78.712,Bluetooth,-84
