Distance,4.0
TXDevice,iPhone6s
TXPower,12
RXDevice,iPhone6s
TXCarry,pocket
RXCarry,hand
RXPose,standing
TXPose,standing
0.030,Bluetooth,-69
0.031,Bluetooth,-69
0.062,Bluetooth,-65
0.064,Bluetooth,-63
0.093,Bluetooth,-64
0.094,Bluetooth,-64
0.124,Bluetooth,-64
0.125,Bluetooth,-64
0.154,Bluetooth,-71
0.157,Bluetooth,-70
0.183,Bluetooth,-64
0.184,Bluetooth,-64
0.215,Bluetooth,-64
0.216,Bluetooth,-64
0.246,Bluetooth,-65
0.250,Bluetooth,-64
0.280,Bluetooth,-69
0.281,Bluetooth,-70
0.312,Bluetooth,-65
0.313,Bluetooth,-64
0.346,Bluetooth,-64
0.347,Bluetooth,-63
0.377,Bluetooth,-69
0.378,Bluetooth,-68
0.411,Bluetooth,-70
0.413,Bluetooth,-69
0.442,Bluetooth,-65
0.443,Bluetooth,-64
0.473,Bluetooth,-64
0.475,Bluetooth,-63
0.508,Bluetooth,-69
0.509,Bluetooth,-70
0.536,Bluetooth,-64
0.536,Bluetooth,-64
0.569,Bluetooth,-64
0.570,Bluetooth,-64
0.602,Bluetooth,-63
0.603,Bluetooth,-63
0.637,Bluetooth,-69
0.638,Bluetooth,-69
0.665,Bluetooth,-65
0.666,Bluetooth,-64
0.697,Bluetooth,-64
0.698,Bluetooth,-62
0.729,Bluetooth,-64
0.730,Bluetooth,-63
0.762,Bluetooth,-69
0.763,Bluetooth,-68
0.791,Bluetooth,-66
0.792,Bluetooth,-65
0.821,Bluetooth,-64
0.824,Bluetooth,-63
0.855,Bluetooth,-70
0.857,Bluetooth,-70
0.886,Bluetooth,-70
0.887,Bluetooth,-69
0.918,Bluetooth,-64
0.919,Bluetooth,-64
0.952,Bluetooth,-63
0.953,Bluetooth,-64
0.983,Bluetooth,-69
0.984,Bluetooth,-69
1.042,Bluetooth,-63
1.044,Bluetooth,-63
1.076,Bluetooth,-63
1.077,Bluetooth,-63
1.107,Bluetooth,-67
1.109,Bluetooth,-69
1.137,Bluetooth,-65
1.138,Bluetooth,-64
1.169,Bluetooth,-64
1.170,Bluetooth,-64
1.204,Bluetooth,-63
1.206,Bluetooth,-63
1.235,Bluetooth,-68
1.237,Bluetooth,-69
1.266,Bluetooth,-64
1.267,Bluetooth,-64
1.297,Bluetooth,-63
1.298,Bluetooth,-63
1.329,Bluetooth,-63
1.330,Bluetooth,-64
1.364,Bluetooth,-69
1.365,Bluetooth,-70
1.395,Bluetooth,-64
1.396,Bluetooth,-64
1.426,Bluetooth,-62
1.427,Bluetooth,-64
1.457,Bluetooth,-69
1.459,Bluetooth,-70
1.491,Bluetooth,-69
1.493,Bluetooth,-69
1.519,Bluetooth,-63
1.520,Bluetooth,-63
1.552,Bluetooth,-64
1.553,Bluetooth,-63
1.587,Bluetooth,-70
1.588,Bluetooth,-68
1.615,Bluetooth,-64
1.616,Bluetooth,-63
1.645,Bluetooth,-63
1.646,Bluetooth,-64
1.679,Bluetooth,-63
1.680,Bluetooth,-63
1.715,Bluetooth,-69
1.716,Bluetooth,-70
1.746,Bluetooth,-65
1.747,Bluetooth,-64
1.779,Bluetooth,-63
1.780,Bluetooth,-63
1.812,Bluetooth,-63
1.813,Bluetooth,-63
1.843,Bluetooth,-68
1.844,Bluetooth,-68
1.875,Bluetooth,-64
1.876,Bluetooth,-64
1.907,Bluetooth,-63
1.909,Bluetooth,-63
1.937,Bluetooth,-70
1.938,Bluetooth,-69
1.967,Bluetooth,-69
1.968,Bluetooth,-69
1.996,Bluetooth,-64
1.997,Bluetooth,-64
2.030,Bluetooth,-61
2.032,Bluetooth,-62
2.067,Bluetooth,-69
2.076,Bluetooth,-71
2.095,Bluetooth,-64
2.099,Bluetooth,-64
2.129,Bluetooth,-63
2.129,Bluetooth,-63
2.158,Bluetooth,-63
2.159,Bluetooth,-64
