Distance,6.0
TXDevice,iPhone11
TXPower,8
RXDevice,iPhone11_Pro_max
TXCarry,hand
RXCarry,hand
RXPose,sitting
TXPose,sitting
0.000,Bluetooth,-54
0.001,Bluetooth,-53
0.030,Bluetooth,-53
0.031,Bluetooth,-53
0.067,Bluetooth,-49
0.068,Bluetooth,-49
0.105,Bluetooth,-53
0.106,Bluetooth,-53
0.140,Bluetooth,-53
0.209,Bluetooth,-53
0.210,Bluetooth,-52
0.240,Bluetooth,-49
0.241,Bluetooth,-49
0.315,Bluetooth,-52
0.315,Bluetooth,-52
0.433,Bluetooth,-52
0.472,Bluetooth,-52
0.473,Bluetooth,-53
0.504,Bluetooth,-52
0.505,Bluetooth,-52
0.575,Bluetooth,-52
0.576,Bluetooth,-53
0.678,Bluetooth,-48
0.679,Bluetooth,-49
0.714,Bluetooth,-53
0.715,Bluetooth,-53
0.793,Bluetooth,-53
0.794,Bluetooth,-52
0.930,Bluetooth,-52
0.931,Bluetooth,-53
0.962,Bluetooth,-50
0.962,Bluetooth,-49
0.999,Bluetooth,-54
1.000,Bluetooth,-53
1.038,Bluetooth,-53
1.108,Bluetooth,-53
1.109,Bluetooth,-52
1.183,Bluetooth,-55
1.184,Bluetooth,-53
1.213,Bluetooth,-55
1.214,Bluetooth,-54
1.252,Bluetooth,-49
1.253,Bluetooth,-49
1.324,Bluetooth,-55
1.359,Bluetooth,-54
1.360,Bluetooth,-55
1.634,Bluetooth,-49
1.666,Bluetooth,-54
1.667,Bluetooth,-54
1.698,Bluetooth,-55
1.699,Bluetooth,-54
1.844,Bluetooth,-55
1.845,Bluetooth,-54
1.876,Bluetooth,-52
1.876,Bluetooth,-53
1.914,Bluetooth,-50
1.915,Bluetooth,-49
1.947,Bluetooth,-54
1.978,Bluetooth,-50
1.979,Bluetooth,-49
2.021,Bluetooth,-54
2.022,Bluetooth,-54
2.051,Bluetooth,-52
2.052,Bluetooth,-51
2.088,Bluetooth,-49
2.089,Bluetooth,-49
2.154,Bluetooth,-52
2.155,Bluetooth,-51
2.183,Bluetooth,-51
2.186,Bluetooth,-51
2.255,Bluetooth,-49
2.256,Bluetooth,-48
2.403,Bluetooth,-49
2.404,Bluetooth,-49
2.440,Bluetooth,-53
2.441,Bluetooth,-53
2.476,Bluetooth,-51
2.477,Bluetooth,-51
2.516,Bluetooth,-49
2.517,Bluetooth,-49
2.544,Bluetooth,-49
2.575,Bluetooth,-48
2.575,Bluetooth,-49
2.613,Bluetooth,-53
2.614,Bluetooth,-54
2.685,Bluetooth,-49
2.686,Bluetooth,-49
2.759,Bluetooth,-51
2.760,Bluetooth,-50
2.793,Bluetooth,-49
2.794,Bluetooth,-49
2.827,Bluetooth,-52
2.860,Bluetooth,-49
2.860,Bluetooth,-49
2.898,Bluetooth,-53
2.899,Bluetooth,-52
2.935,Bluetooth,-50
2.936,Bluetooth,-49
3.007,Bluetooth,-50
3.008,Bluetooth,-49
3.042,Bluetooth,-49
3.043,Bluetooth,-49
3.083,Bluetooth,-52
3.085,Bluetooth,-52
3.119,Bluetooth,-51
3.157,Bluetooth,-51
3.158,Bluetooth,-51
3.218,Bluetooth,-49
3.218,Bluetooth,-49
3.256,Bluetooth,-52
3.257,Bluetooth,-51
3.294,Bluetooth,-51
3.295,Bluetooth,-51
3.394,Bluetooth,-51
3.395,Bluetooth,-51
3.423,Bluetooth,-49
3.584,Bluetooth,-51
3.585,Bluetooth,-51
3.621,Bluetooth,-48
3.621,Bluetooth,-49
3.652,Bluetooth,-53
3.653,Bluetooth,-53
3.682,Bluetooth,-53
3.683,Bluetooth,-52
3.821,Bluetooth,-49
3.822,Bluetooth,-49
3.859,Bluetooth,-54
3.860,Bluetooth,-52
3.894,Bluetooth,-50
3.895,Bluetooth,-52
107.858,Bluetooth,-49
107.859,Bluetooth,-50
107.964,Bluetooth,-51
107.965,Bluetooth,-52
107.994,Bluetooth,-49
107.995,Bluetooth,-50
