Distance,6.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhone11_Pro
TXCarry,hand
RXCarry,pocket
RXPose,standing
TXPose,standing
0.000,Bluetooth,-52
0.001,Bluetooth,-53
0.037,Bluetooth,-55
0.038,Bluetooth,-54
0.132,Bluetooth,-51
0.192,Bluetooth,-51
0.193,Bluetooth,-51
0.256,Bluetooth,-50
0.258,Bluetooth,-51
0.286,Bluetooth,-54
0.287,Bluetooth,-54
0.316,Bluetooth,-52
0.318,Bluetooth,-52
0.350,Bluetooth,-51
0.351,Bluetooth,-52
0.442,Bluetooth,-50
0.444,Bluetooth,-51
0.475,Bluetooth,-51
0.476,Bluetooth,-52
0.506,Bluetooth,-52
0.508,Bluetooth,-53
0.537,Bluetooth,-52
0.538,Bluetooth,-51
0.567,Bluetooth,-52
0.568,Bluetooth,-53
0.597,Bluetooth,-49
0.598,Bluetooth,-51
0.627,Bluetooth,-52
0.628,Bluetooth,-52
0.693,Bluetooth,-53
0.694,Bluetooth,-53
0.723,Bluetooth,-51
0.724,Bluetooth,-51
0.753,Bluetooth,-52
0.754,Bluetooth,-53
0.786,Bluetooth,-54
0.787,Bluetooth,-54
0.817,Bluetooth,-54
0.818,Bluetooth,-54
0.846,Bluetooth,-52
0.847,Bluetooth,-52
0.913,Bluetooth,-54
0.914,Bluetooth,-55
0.975,Bluetooth,-53
0.976,Bluetooth,-53
1.012,Bluetooth,-54
1.013,Bluetooth,-53
1.044,Bluetooth,-55
1.045,Bluetooth,-55
1.079,Bluetooth,-53
1.080,Bluetooth,-53
1.108,Bluetooth,-53
1.109,Bluetooth,-53
1.172,Bluetooth,-55
1.173,Bluetooth,-54
1.204,Bluetooth,-52
1.205,Bluetooth,-52
1.237,Bluetooth,-52
1.238,Bluetooth,-52
1.330,Bluetooth,-51
1.331,Bluetooth,-51
1.362,Bluetooth,-50
1.364,Bluetooth,-51
1.396,Bluetooth,-53
1.397,Bluetooth,-53
1.426,Bluetooth,-50
1.426,Bluetooth,-51
1.456,Bluetooth,-50
1.457,Bluetooth,-51
1.490,Bluetooth,-50
1.491,Bluetooth,-52
1.522,Bluetooth,-53
1.523,Bluetooth,-54
