Distance,4.0
TXDevice,iPhone11
TXPower,8
RXDevice,iPhone11_Pro_max
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.082,Bluetooth,-49
0.082,Bluetooth,-49
0.154,Bluetooth,-49
0.155,Bluetooth,-49
0.216,Bluetooth,-47
0.217,Bluetooth,-48
0.254,Bluetooth,-49
0.255,Bluetooth,-49
0.291,Bluetooth,-47
0.292,Bluetooth,-48
0.322,Bluetooth,-47
0.466,Bluetooth,-48
0.468,Bluetooth,-48
0.544,Bluetooth,-48
0.545,Bluetooth,-49
0.581,Bluetooth,-48
0.582,Bluetooth,-49
0.622,Bluetooth,-48
0.658,Bluetooth,-48
0.659,Bluetooth,-48
0.730,Bluetooth,-48
0.730,Bluetooth,-47
0.767,Bluetooth,-48
0.769,Bluetooth,-48
0.874,Bluetooth,-48
0.875,Bluetooth,-49
0.905,Bluetooth,-48
0.906,Bluetooth,-48
0.981,Bluetooth,-48
0.981,Bluetooth,-48
1.053,Bluetooth,-48
1.054,Bluetooth,-49
1.087,Bluetooth,-47
1.087,Bluetooth,-48
1.126,Bluetooth,-48
1.128,Bluetooth,-47
1.166,Bluetooth,-48
1.167,Bluetooth,-48
1.206,Bluetooth,-48
1.207,Bluetooth,-47
1.414,Bluetooth,-48
1.415,Bluetooth,-47
1.450,Bluetooth,-48
1.451,Bluetooth,-48
1.483,Bluetooth,-47
1.484,Bluetooth,-48
1.522,Bluetooth,-47
1.635,Bluetooth,-48
1.637,Bluetooth,-48
1.673,Bluetooth,-48
1.674,Bluetooth,-48
1.704,Bluetooth,-49
1.705,Bluetooth,-47
1.773,Bluetooth,-48
1.773,Bluetooth,-48
1.953,Bluetooth,-48
1.954,Bluetooth,-48
1.987,Bluetooth,-48
1.987,Bluetooth,-48
2.022,Bluetooth,-48
2.023,Bluetooth,-48
2.063,Bluetooth,-48
2.065,Bluetooth,-49
2.100,Bluetooth,-48
2.102,Bluetooth,-47
2.134,Bluetooth,-48
2.208,Bluetooth,-48
2.209,Bluetooth,-48
2.243,Bluetooth,-48
2.244,Bluetooth,-48
2.274,Bluetooth,-48
2.311,Bluetooth,-48
2.312,Bluetooth,-47
2.351,Bluetooth,-48
2.352,Bluetooth,-47
2.390,Bluetooth,-48
2.390,Bluetooth,-49
2.426,Bluetooth,-48
2.457,Bluetooth,-48
2.458,Bluetooth,-48
2.495,Bluetooth,-49
2.496,Bluetooth,-48
2.573,Bluetooth,-48
2.573,Bluetooth,-49
2.602,Bluetooth,-48
2.604,Bluetooth,-47
2.642,Bluetooth,-47
2.643,Bluetooth,-47
2.671,Bluetooth,-48
2.672,Bluetooth,-48
2.702,Bluetooth,-48
2.703,Bluetooth,-47
2.884,Bluetooth,-48
2.885,Bluetooth,-48
2.950,Bluetooth,-48
2.950,Bluetooth,-48
2.980,Bluetooth,-48
2.981,Bluetooth,-48
3.010,Bluetooth,-49
3.186,Bluetooth,-48
3.187,Bluetooth,-48
3.216,Bluetooth,-48
3.216,Bluetooth,-49
3.259,Bluetooth,-49
3.260,Bluetooth,-49
3.395,Bluetooth,-48
3.396,Bluetooth,-49
3.430,Bluetooth,-49
3.431,Bluetooth,-49
3.459,Bluetooth,-49
3.460,Bluetooth,-50
3.596,Bluetooth,-49
3.598,Bluetooth,-48
3.632,Bluetooth,-49
3.667,Bluetooth,-49
3.669,Bluetooth,-50
3.745,Bluetooth,-48
3.746,Bluetooth,-49
3.776,Bluetooth,-49
3.777,Bluetooth,-48
3.814,Bluetooth,-49
3.816,Bluetooth,-49
3.849,Bluetooth,-48
3.849,Bluetooth,-49
3.883,Bluetooth,-49
3.884,Bluetooth,-49
3.923,Bluetooth,-48
3.954,Bluetooth,-48
62.058,Bluetooth,-62
62.059,Bluetooth,-61
62.130,Bluetooth,-61
62.163,Bluetooth,-65
62.164,Bluetooth,-65
62.196,Bluetooth,-61
62.197,Bluetooth,-62
62.272,Bluetooth,-65
62.272,Bluetooth,-65
62.347,Bluetooth,-59
62.348,Bluetooth,-60
62.385,Bluetooth,-62
62.386,Bluetooth,-62
62.421,Bluetooth,-61
62.454,Bluetooth,-60
62.455,Bluetooth,-60
62.495,Bluetooth,-61
62.495,Bluetooth,-61
62.526,Bluetooth,-59
62.527,Bluetooth,-59
62.593,Bluetooth,-59
62.594,Bluetooth,-58
62.630,Bluetooth,-63
62.631,Bluetooth,-62
62.660,Bluetooth,-59
62.661,Bluetooth,-58
62.784,Bluetooth,-62
62.822,Bluetooth,-58
62.823,Bluetooth,-58
62.992,Bluetooth,-61
62.992,Bluetooth,-61
63.026,Bluetooth,-58
63.136,Bluetooth,-65
63.137,Bluetooth,-66
63.171,Bluetooth,-56
63.172,Bluetooth,-57
63.238,Bluetooth,-65
63.238,Bluetooth,-64
63.279,Bluetooth,-59
63.280,Bluetooth,-59
63.314,Bluetooth,-60
63.385,Bluetooth,-64
63.386,Bluetooth,-64
63.521,Bluetooth,-65
63.522,Bluetooth,-65
63.552,Bluetooth,-58
63.553,Bluetooth,-58
63.582,Bluetooth,-59
63.583,Bluetooth,-60
63.617,Bluetooth,-64
63.646,Bluetooth,-60
63.647,Bluetooth,-60
63.687,Bluetooth,-64
63.688,Bluetooth,-62
63.752,Bluetooth,-62
63.753,Bluetooth,-62
63.788,Bluetooth,-64
63.789,Bluetooth,-64
63.822,Bluetooth,-69
63.823,Bluetooth,-69
63.896,Bluetooth,-66
63.897,Bluetooth,-67
63.930,Bluetooth,-57
63.966,Bluetooth,-67
63.967,Bluetooth,-66
63.998,Bluetooth,-75
63.998,Bluetooth,-75
64.038,Bluetooth,-54
64.038,Bluetooth,-55
64.066,Bluetooth,-67
64.067,Bluetooth,-67
64.209,Bluetooth,-63
64.246,Bluetooth,-64
64.248,Bluetooth,-63
64.348,Bluetooth,-83
64.349,Bluetooth,-82
64.416,Bluetooth,-64
64.417,Bluetooth,-64
64.449,Bluetooth,-65
64.450,Bluetooth,-64
64.484,Bluetooth,-56
64.486,Bluetooth,-56
64.547,Bluetooth,-56
64.548,Bluetooth,-57
64.623,Bluetooth,-62
64.624,Bluetooth,-62
64.727,Bluetooth,-65
64.728,Bluetooth,-65
64.768,Bluetooth,-63
64.769,Bluetooth,-63
64.799,Bluetooth,-62
64.800,Bluetooth,-62
64.836,Bluetooth,-62
64.868,Bluetooth,-62
64.869,Bluetooth,-61
64.907,Bluetooth,-65
64.988,Bluetooth,-59
64.989,Bluetooth,-58
65.018,Bluetooth,-64
65.019,Bluetooth,-65
65.054,Bluetooth,-62
65.055,Bluetooth,-61
65.085,Bluetooth,-58
65.086,Bluetooth,-58
65.123,Bluetooth,-64
65.164,Bluetooth,-59
65.165,Bluetooth,-59
65.194,Bluetooth,-65
65.195,Bluetooth,-64
65.235,Bluetooth,-59
65.236,Bluetooth,-59
65.304,Bluetooth,-63
65.305,Bluetooth,-63
65.332,Bluetooth,-63
65.333,Bluetooth,-63
65.368,Bluetooth,-58
65.369,Bluetooth,-57
65.447,Bluetooth,-74
65.448,Bluetooth,-73
65.510,Bluetooth,-60
65.511,Bluetooth,-59
65.545,Bluetooth,-69
65.546,Bluetooth,-69
65.615,Bluetooth,-66
65.616,Bluetooth,-67
65.714,Bluetooth,-65
65.747,Bluetooth,-62
65.748,Bluetooth,-62
65.816,Bluetooth,-69
65.817,Bluetooth,-69
65.847,Bluetooth,-65
65.848,Bluetooth,-65
65.881,Bluetooth,-59
65.882,Bluetooth,-60
65.917,Bluetooth,-61
65.918,Bluetooth,-61
65.945,Bluetooth,-63
65.946,Bluetooth,-61
66.010,Bluetooth,-64
151.885,Bluetooth,-49
151.886,Bluetooth,-48
151.954,Bluetooth,-53
151.955,Bluetooth,-53
151.990,Bluetooth,-48
151.990,Bluetooth,-48
152.052,Bluetooth,-51
152.053,Bluetooth,-51
152.087,Bluetooth,-54
152.088,Bluetooth,-54
152.123,Bluetooth,-55
152.158,Bluetooth,-48
152.159,Bluetooth,-48
152.199,Bluetooth,-51
152.200,Bluetooth,-51
152.240,Bluetooth,-51
152.240,Bluetooth,-51
152.349,Bluetooth,-52
152.350,Bluetooth,-51
152.385,Bluetooth,-48
152.386,Bluetooth,-48
152.426,Bluetooth,-48
152.455,Bluetooth,-48
152.456,Bluetooth,-47
152.491,Bluetooth,-51
152.492,Bluetooth,-52
152.527,Bluetooth,-52
152.528,Bluetooth,-52
152.667,Bluetooth,-51
152.668,Bluetooth,-51
152.708,Bluetooth,-51
152.709,Bluetooth,-52
152.746,Bluetooth,-52
152.747,Bluetooth,-53
152.847,Bluetooth,-48
152.848,Bluetooth,-49
152.881,Bluetooth,-51
152.881,Bluetooth,-51
152.909,Bluetooth,-46
152.911,Bluetooth,-48
153.008,Bluetooth,-51
153.047,Bluetooth,-50
153.048,Bluetooth,-50
153.189,Bluetooth,-52
153.190,Bluetooth,-52
153.301,Bluetooth,-52
153.302,Bluetooth,-52
153.372,Bluetooth,-52
153.373,Bluetooth,-52
153.493,Bluetooth,-52
153.494,Bluetooth,-51
153.530,Bluetooth,-48
153.531,Bluetooth,-47
153.570,Bluetooth,-49
153.571,Bluetooth,-49
153.648,Bluetooth,-51
153.648,Bluetooth,-52
153.716,Bluetooth,-48
153.717,Bluetooth,-48
153.786,Bluetooth,-52
153.787,Bluetooth,-52
153.822,Bluetooth,-47
153.823,Bluetooth,-48
153.861,Bluetooth,-50
153.862,Bluetooth,-50
153.898,Bluetooth,-52
153.898,Bluetooth,-52
153.937,Bluetooth,-52
153.975,Bluetooth,-52
153.976,Bluetooth,-53
154.007,Bluetooth,-48
154.008,Bluetooth,-49
154.152,Bluetooth,-48
154.153,Bluetooth,-48
154.224,Bluetooth,-49
154.258,Bluetooth,-48
154.260,Bluetooth,-46
154.288,Bluetooth,-49
154.290,Bluetooth,-50
154.324,Bluetooth,-52
154.325,Bluetooth,-52
154.477,Bluetooth,-53
154.478,Bluetooth,-51
154.508,Bluetooth,-48
154.509,Bluetooth,-48
154.541,Bluetooth,-49
154.609,Bluetooth,-50
154.610,Bluetooth,-48
154.639,Bluetooth,-52
