Distance,6.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhoneXR
TXCarry,pocket
RXCarry,pocket
RXPose,standing
TXPose,sitting
0.000,Bluetooth,-67
0.002,Bluetooth,-67
0.025,Bluetooth,-67
0.027,Bluetooth,-66
0.143,Bluetooth,-63
0.145,Bluetooth,-63
0.230,Bluetooth,-64
0.232,Bluetooth,-64
0.255,Bluetooth,-64
0.256,Bluetooth,-65
0.416,Bluetooth,-68
0.417,Bluetooth,-68
0.439,Bluetooth,-68
0.441,Bluetooth,-68
0.506,Bluetooth,-68
0.508,Bluetooth,-68
0.632,Bluetooth,-68
0.634,Bluetooth,-68
0.738,Bluetooth,-69
0.740,Bluetooth,-69
0.763,Bluetooth,-68
0.765,Bluetooth,-69
0.782,Bluetooth,-67
0.878,Bluetooth,-69
0.879,Bluetooth,-69
0.898,Bluetooth,-67
0.899,Bluetooth,-67
1.117,Bluetooth,-66
1.119,Bluetooth,-67
1.138,Bluetooth,-66
1.140,Bluetooth,-66
1.232,Bluetooth,-68
1.234,Bluetooth,-69
1.254,Bluetooth,-67
1.256,Bluetooth,-67
1.275,Bluetooth,-66
1.277,Bluetooth,-66
1.429,Bluetooth,-65
1.431,Bluetooth,-65
1.454,Bluetooth,-67
1.455,Bluetooth,-68
1.501,Bluetooth,-64
1.502,Bluetooth,-66
1.595,Bluetooth,-67
1.597,Bluetooth,-66
1.773,Bluetooth,-65
1.774,Bluetooth,-66
1.951,Bluetooth,-66
1.953,Bluetooth,-67
1.973,Bluetooth,-63
1.975,Bluetooth,-64
2.120,Bluetooth,-65
2.121,Bluetooth,-65
2.144,Bluetooth,-64
2.147,Bluetooth,-65
2.231,Bluetooth,-65
2.232,Bluetooth,-66
2.255,Bluetooth,-64
2.257,Bluetooth,-65
2.275,Bluetooth,-65
2.277,Bluetooth,-66
2.468,Bluetooth,-65
2.470,Bluetooth,-65
2.594,Bluetooth,-65
2.596,Bluetooth,-64
2.618,Bluetooth,-65
2.619,Bluetooth,-65
2.784,Bluetooth,-69
2.785,Bluetooth,-70
2.873,Bluetooth,-66
2.874,Bluetooth,-64
3.072,Bluetooth,-64
3.073,Bluetooth,-66
3.232,Bluetooth,-65
3.233,Bluetooth,-65
3.256,Bluetooth,-71
3.257,Bluetooth,-70
3.429,Bluetooth,-64
3.453,Bluetooth,-66
3.454,Bluetooth,-67
3.619,Bluetooth,-70
3.620,Bluetooth,-70
3.759,Bluetooth,-72
3.760,Bluetooth,-72
3.777,Bluetooth,-65
3.879,Bluetooth,-70
3.880,Bluetooth,-71
3.901,Bluetooth,-66
3.902,Bluetooth,-64
31.122,Bluetooth,-67
31.146,Bluetooth,-72
31.148,Bluetooth,-73
31.233,Bluetooth,-66
31.235,Bluetooth,-65
31.257,Bluetooth,-66
31.259,Bluetooth,-67
31.277,Bluetooth,-71
31.278,Bluetooth,-72
31.452,Bluetooth,-69
31.454,Bluetooth,-70
31.594,Bluetooth,-67
31.596,Bluetooth,-66
31.618,Bluetooth,-66
31.620,Bluetooth,-65
31.732,Bluetooth,-67
31.734,Bluetooth,-65
31.758,Bluetooth,-72
31.759,Bluetooth,-71
31.806,Bluetooth,-70
31.808,Bluetooth,-70
31.895,Bluetooth,-72
31.897,Bluetooth,-72
31.956,Bluetooth,-67
31.958,Bluetooth,-66
31.975,Bluetooth,-65
32.121,Bluetooth,-72
32.124,Bluetooth,-72
32.174,Bluetooth,-72
32.193,Bluetooth,-66
32.195,Bluetooth,-65
32.286,Bluetooth,-71
32.287,Bluetooth,-70
32.451,Bluetooth,-67
32.452,Bluetooth,-68
32.474,Bluetooth,-72
32.476,Bluetooth,-73
32.595,Bluetooth,-72
32.597,Bluetooth,-72
32.866,Bluetooth,-72
32.868,Bluetooth,-72
33.009,Bluetooth,-76
33.011,Bluetooth,-76
33.119,Bluetooth,-78
33.120,Bluetooth,-78
33.231,Bluetooth,-78
33.233,Bluetooth,-77
33.257,Bluetooth,-77
33.258,Bluetooth,-76
33.276,Bluetooth,-71
33.278,Bluetooth,-72
33.429,Bluetooth,-84
33.431,Bluetooth,-83
33.472,Bluetooth,-67
33.474,Bluetooth,-66
33.594,Bluetooth,-66
33.596,Bluetooth,-68
33.617,Bluetooth,-66
33.619,Bluetooth,-65
33.792,Bluetooth,-83
33.794,Bluetooth,-84
33.811,Bluetooth,-83
33.812,Bluetooth,-84
33.946,Bluetooth,-67
33.947,Bluetooth,-67
33.972,Bluetooth,-68
33.974,Bluetooth,-67
34.146,Bluetooth,-86
34.148,Bluetooth,-85
34.176,Bluetooth,-87
34.178,Bluetooth,-86
34.266,Bluetooth,-89
34.268,Bluetooth,-88
34.471,Bluetooth,-65
34.472,Bluetooth,-65
34.595,Bluetooth,-65
34.596,Bluetooth,-65
34.619,Bluetooth,-65
34.621,Bluetooth,-65
34.686,Bluetooth,-66
34.687,Bluetooth,-66
34.814,Bluetooth,-67
