Distance,4.0
TXDevice,iPhoneXS
TXPower,12
RXDevice,iPhone8
TXCarry,pocket
RXCarry,hand
RXPose,standing
TXPose,sitting
0.000,Bluetooth,-58
0.001,Bluetooth,-58
0.111,Bluetooth,-58
0.112,Bluetooth,-58
0.182,Bluetooth,-56
0.183,Bluetooth,-57
0.213,Bluetooth,-57
0.214,Bluetooth,-58
0.244,Bluetooth,-59
0.245,Bluetooth,-59
0.278,Bluetooth,-54
0.279,Bluetooth,-54
0.312,Bluetooth,-57
0.348,Bluetooth,-58
0.349,Bluetooth,-58
0.454,Bluetooth,-59
0.455,Bluetooth,-58
0.495,Bluetooth,-54
0.496,Bluetooth,-53
0.536,Bluetooth,-56
0.537,Bluetooth,-56
0.573,Bluetooth,-58
0.574,Bluetooth,-58
0.616,Bluetooth,-54
0.617,Bluetooth,-53
0.651,Bluetooth,-54
0.652,Bluetooth,-54
0.691,Bluetooth,-56
0.692,Bluetooth,-56
0.727,Bluetooth,-58
0.728,Bluetooth,-59
0.765,Bluetooth,-54
0.766,Bluetooth,-53
0.796,Bluetooth,-55
0.797,Bluetooth,-54
0.827,Bluetooth,-58
0.828,Bluetooth,-58
0.863,Bluetooth,-54
0.864,Bluetooth,-53
0.962,Bluetooth,-58
1.096,Bluetooth,-53
1.097,Bluetooth,-53
1.197,Bluetooth,-59
1.198,Bluetooth,-58
1.234,Bluetooth,-54
1.235,Bluetooth,-53
1.306,Bluetooth,-59
1.307,Bluetooth,-59
1.338,Bluetooth,-53
1.339,Bluetooth,-53
1.449,Bluetooth,-58
1.450,Bluetooth,-59
1.562,Bluetooth,-57
1.563,Bluetooth,-59
1.636,Bluetooth,-57
1.637,Bluetooth,-56
1.671,Bluetooth,-60
1.672,Bluetooth,-59
1.708,Bluetooth,-53
1.739,Bluetooth,-56
1.740,Bluetooth,-57
1.802,Bluetooth,-58
1.803,Bluetooth,-60
1.842,Bluetooth,-53
1.843,Bluetooth,-53
1.876,Bluetooth,-56
1.877,Bluetooth,-56
1.946,Bluetooth,-54
1.947,Bluetooth,-54
2.072,Bluetooth,-54
2.073,Bluetooth,-53
2.176,Bluetooth,-54
2.177,Bluetooth,-54
2.213,Bluetooth,-57
2.214,Bluetooth,-57
2.290,Bluetooth,-61
2.291,Bluetooth,-61
2.326,Bluetooth,-54
2.327,Bluetooth,-54
2.356,Bluetooth,-56
2.357,Bluetooth,-56
2.386,Bluetooth,-60
2.387,Bluetooth,-61
2.460,Bluetooth,-57
2.461,Bluetooth,-56
2.494,Bluetooth,-58
2.495,Bluetooth,-59
2.527,Bluetooth,-58
2.528,Bluetooth,-58
2.705,Bluetooth,-55
2.706,Bluetooth,-56
2.736,Bluetooth,-58
2.737,Bluetooth,-59
2.775,Bluetooth,-53
2.776,Bluetooth,-54
2.808,Bluetooth,-53
2.809,Bluetooth,-53
2.885,Bluetooth,-57
2.886,Bluetooth,-58
2.926,Bluetooth,-53
2.927,Bluetooth,-53
2.999,Bluetooth,-59
3.033,Bluetooth,-54
3.035,Bluetooth,-53
3.105,Bluetooth,-58
3.107,Bluetooth,-58
3.139,Bluetooth,-52
3.140,Bluetooth,-51
3.171,Bluetooth,-52
3.172,Bluetooth,-52
3.237,Bluetooth,-58
3.239,Bluetooth,-57
3.276,Bluetooth,-52
3.277,Bluetooth,-52
3.307,Bluetooth,-57
3.309,Bluetooth,-57
3.340,Bluetooth,-60
3.412,Bluetooth,-53
3.413,Bluetooth,-54
3.490,Bluetooth,-60
3.491,Bluetooth,-60
3.520,Bluetooth,-53
3.521,Bluetooth,-53
3.552,Bluetooth,-56
3.586,Bluetooth,-58
3.587,Bluetooth,-57
3.660,Bluetooth,-56
3.661,Bluetooth,-56
3.731,Bluetooth,-59
3.733,Bluetooth,-59
3.771,Bluetooth,-53
3.772,Bluetooth,-53
3.805,Bluetooth,-56
3.806,Bluetooth,-56
3.835,Bluetooth,-59
3.836,Bluetooth,-59
3.871,Bluetooth,-53
3.872,Bluetooth,-53
3.911,Bluetooth,-56
3.912,Bluetooth,-55
3.948,Bluetooth,-60
3.949,Bluetooth,-60
155.415,Bluetooth,-69
155.416,Bluetooth,-68
155.450,Bluetooth,-78
155.485,Bluetooth,-80
155.555,Bluetooth,-69
155.557,Bluetooth,-69
155.660,Bluetooth,-68
155.661,Bluetooth,-68
155.732,Bluetooth,-67
155.733,Bluetooth,-67
155.763,Bluetooth,-68
155.764,Bluetooth,-67
155.800,Bluetooth,-69
155.802,Bluetooth,-69
155.841,Bluetooth,-77
155.842,Bluetooth,-77
155.873,Bluetooth,-66
155.874,Bluetooth,-68
155.949,Bluetooth,-76
156.020,Bluetooth,-68
156.022,Bluetooth,-69
156.064,Bluetooth,-75
156.094,Bluetooth,-66
156.095,Bluetooth,-66
156.125,Bluetooth,-66
156.126,Bluetooth,-66
156.220,Bluetooth,-66
156.221,Bluetooth,-66
156.258,Bluetooth,-68
156.259,Bluetooth,-70
156.298,Bluetooth,-75
156.300,Bluetooth,-74
156.399,Bluetooth,-68
156.400,Bluetooth,-68
156.438,Bluetooth,-74
156.439,Bluetooth,-74
156.470,Bluetooth,-67
156.471,Bluetooth,-66
156.505,Bluetooth,-67
156.506,Bluetooth,-68
156.578,Bluetooth,-65
156.579,Bluetooth,-66
156.611,Bluetooth,-68
156.612,Bluetooth,-68
156.651,Bluetooth,-72
156.652,Bluetooth,-73
156.715,Bluetooth,-65
156.717,Bluetooth,-65
156.752,Bluetooth,-67
156.753,Bluetooth,-69
156.791,Bluetooth,-73
156.793,Bluetooth,-74
156.868,Bluetooth,-68
156.869,Bluetooth,-67
156.901,Bluetooth,-72
156.902,Bluetooth,-73
156.931,Bluetooth,-66
156.932,Bluetooth,-66
156.969,Bluetooth,-68
156.970,Bluetooth,-67
157.036,Bluetooth,-73
157.038,Bluetooth,-73
157.073,Bluetooth,-66
157.074,Bluetooth,-66
157.104,Bluetooth,-68
157.105,Bluetooth,-69
157.137,Bluetooth,-74
157.138,Bluetooth,-72
157.176,Bluetooth,-66
157.177,Bluetooth,-67
157.215,Bluetooth,-68
157.216,Bluetooth,-69
157.256,Bluetooth,-72
157.257,Bluetooth,-73
157.286,Bluetooth,-72
157.288,Bluetooth,-72
157.391,Bluetooth,-73
157.393,Bluetooth,-72
157.422,Bluetooth,-65
157.423,Bluetooth,-65
157.450,Bluetooth,-67
157.452,Bluetooth,-70
157.597,Bluetooth,-69
157.598,Bluetooth,-71
157.630,Bluetooth,-73
157.630,Bluetooth,-73
157.667,Bluetooth,-65
157.668,Bluetooth,-64
157.699,Bluetooth,-71
157.700,Bluetooth,-71
157.738,Bluetooth,-74
157.739,Bluetooth,-73
157.769,Bluetooth,-64
157.771,Bluetooth,-65
157.843,Bluetooth,-70
157.882,Bluetooth,-73
157.923,Bluetooth,-64
157.924,Bluetooth,-65
158.055,Bluetooth,-70
158.056,Bluetooth,-71
158.125,Bluetooth,-73
158.127,Bluetooth,-74
158.160,Bluetooth,-65
158.161,Bluetooth,-66
158.192,Bluetooth,-69
158.193,Bluetooth,-71
158.224,Bluetooth,-75
158.295,Bluetooth,-70
158.296,Bluetooth,-70
158.329,Bluetooth,-76
158.399,Bluetooth,-66
158.400,Bluetooth,-66
158.435,Bluetooth,-71
158.436,Bluetooth,-70
158.511,Bluetooth,-67
158.512,Bluetooth,-68
158.539,Bluetooth,-76
158.541,Bluetooth,-77
158.577,Bluetooth,-72
158.579,Bluetooth,-71
158.618,Bluetooth,-74
158.619,Bluetooth,-74
158.650,Bluetooth,-69
158.652,Bluetooth,-69
158.826,Bluetooth,-79
158.827,Bluetooth,-79
158.856,Bluetooth,-66
158.857,Bluetooth,-66
158.890,Bluetooth,-67
158.891,Bluetooth,-68
158.925,Bluetooth,-70
158.962,Bluetooth,-83
158.963,Bluetooth,-83
158.993,Bluetooth,-66
158.994,Bluetooth,-68
159.032,Bluetooth,-68
159.033,Bluetooth,-69
159.135,Bluetooth,-67
159.136,Bluetooth,-68
159.169,Bluetooth,-83
159.314,Bluetooth,-84
159.315,Bluetooth,-83
159.347,Bluetooth,-68
159.348,Bluetooth,-67
159.376,Bluetooth,-67
159.377,Bluetooth,-67
