Distance,15.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhone11_Pro
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-70
0.001,Bluetooth,-71
0.033,Bluetooth,-68
0.066,Bluetooth,-71
0.067,Bluetooth,-71
0.097,Bluetooth,-70
0.098,Bluetooth,-71
0.158,Bluetooth,-68
0.159,Bluetooth,-68
0.192,Bluetooth,-68
0.193,Bluetooth,-68
0.253,Bluetooth,-72
0.254,Bluetooth,-72
0.285,Bluetooth,-69
0.287,Bluetooth,-69
0.348,Bluetooth,-71
0.349,Bluetooth,-71
0.483,Bluetooth,-72
0.484,Bluetooth,-72
0.550,Bluetooth,-68
0.551,Bluetooth,-68
0.584,Bluetooth,-71
0.585,Bluetooth,-72
0.649,Bluetooth,-68
0.650,Bluetooth,-68
0.683,Bluetooth,-70
0.684,Bluetooth,-71
0.739,Bluetooth,-70
0.740,Bluetooth,-69
0.773,Bluetooth,-72
0.774,Bluetooth,-72
0.835,Bluetooth,-72
0.867,Bluetooth,-73
0.868,Bluetooth,-74
0.930,Bluetooth,-69
0.966,Bluetooth,-72
0.967,Bluetooth,-73
1.029,Bluetooth,-69
1.096,Bluetooth,-73
1.097,Bluetooth,-74
1.128,Bluetooth,-67
1.128,Bluetooth,-68
1.193,Bluetooth,-71
1.196,Bluetooth,-70
1.255,Bluetooth,-68
1.256,Bluetooth,-68
1.287,Bluetooth,-71
1.288,Bluetooth,-72
1.354,Bluetooth,-68
1.355,Bluetooth,-69
1.384,Bluetooth,-73
1.385,Bluetooth,-72
1.449,Bluetooth,-69
1.450,Bluetooth,-69
1.484,Bluetooth,-70
1.485,Bluetooth,-69
1.550,Bluetooth,-72
1.551,Bluetooth,-72
1.583,Bluetooth,-69
1.584,Bluetooth,-69
1.688,Bluetooth,-73
1.689,Bluetooth,-73
1.750,Bluetooth,-69
1.751,Bluetooth,-69
1.817,Bluetooth,-68
1.818,Bluetooth,-68
1.845,Bluetooth,-70
1.846,Bluetooth,-69
1.906,Bluetooth,-72
1.907,Bluetooth,-73
1.936,Bluetooth,-69
1.937,Bluetooth,-70
1.966,Bluetooth,-72
1.968,Bluetooth,-71
2.031,Bluetooth,-68
2.032,Bluetooth,-69
2.062,Bluetooth,-68
2.063,Bluetooth,-69
2.096,Bluetooth,-71
2.097,Bluetooth,-72
2.128,Bluetooth,-72
2.129,Bluetooth,-71
2.261,Bluetooth,-69
2.262,Bluetooth,-68
2.355,Bluetooth,-69
2.356,Bluetooth,-70
2.389,Bluetooth,-72
2.457,Bluetooth,-69
2.458,Bluetooth,-69
2.486,Bluetooth,-72
2.488,Bluetooth,-72
2.553,Bluetooth,-68
2.554,Bluetooth,-69
2.584,Bluetooth,-71
2.585,Bluetooth,-72
2.647,Bluetooth,-68
2.648,Bluetooth,-69
2.678,Bluetooth,-71
2.679,Bluetooth,-71
2.713,Bluetooth,-68
2.739,Bluetooth,-67
2.740,Bluetooth,-68
2.771,Bluetooth,-71
2.772,Bluetooth,-70
2.837,Bluetooth,-69
2.838,Bluetooth,-69
2.870,Bluetooth,-71
2.871,Bluetooth,-71
2.932,Bluetooth,-68
2.932,Bluetooth,-69
2.992,Bluetooth,-71
2.993,Bluetooth,-71
3.054,Bluetooth,-68
3.055,Bluetooth,-67
3.084,Bluetooth,-71
3.085,Bluetooth,-70
3.150,Bluetooth,-67
3.151,Bluetooth,-68
3.180,Bluetooth,-72
3.181,Bluetooth,-71
3.213,Bluetooth,-68
3.272,Bluetooth,-71
3.274,Bluetooth,-70
3.306,Bluetooth,-68
3.307,Bluetooth,-68
3.334,Bluetooth,-67
3.335,Bluetooth,-69
3.364,Bluetooth,-68
3.365,Bluetooth,-68
3.399,Bluetooth,-69
3.400,Bluetooth,-69
3.426,Bluetooth,-68
3.427,Bluetooth,-68
3.487,Bluetooth,-68
3.489,Bluetooth,-68
3.587,Bluetooth,-70
3.588,Bluetooth,-71
3.649,Bluetooth,-69
3.650,Bluetooth,-68
3.743,Bluetooth,-73
3.744,Bluetooth,-72
3.775,Bluetooth,-70
3.776,Bluetooth,-71
3.840,Bluetooth,-72
3.841,Bluetooth,-72
3.876,Bluetooth,-68
3.877,Bluetooth,-69
3.917,Bluetooth,-70
3.918,Bluetooth,-71
3.939,Bluetooth,-72
3.940,Bluetooth,-72
139.761,Bluetooth,-84
139.762,Bluetooth,-84
139.794,Bluetooth,-86
139.795,Bluetooth,-85
139.825,Bluetooth,-79
139.826,Bluetooth,-79
139.856,Bluetooth,-77
139.857,Bluetooth,-76
139.886,Bluetooth,-70
139.888,Bluetooth,-70
139.954,Bluetooth,-71
139.955,Bluetooth,-71
139.985,Bluetooth,-69
139.986,Bluetooth,-70
140.047,Bluetooth,-80
140.047,Bluetooth,-79
140.148,Bluetooth,-79
140.149,Bluetooth,-79
140.178,Bluetooth,-72
140.179,Bluetooth,-71
140.236,Bluetooth,-73
140.237,Bluetooth,-74
140.267,Bluetooth,-67
140.268,Bluetooth,-67
140.360,Bluetooth,-67
140.361,Bluetooth,-68
140.391,Bluetooth,-70
140.392,Bluetooth,-70
140.454,Bluetooth,-67
140.455,Bluetooth,-67
140.483,Bluetooth,-71
140.484,Bluetooth,-71
140.544,Bluetooth,-66
140.545,Bluetooth,-66
140.641,Bluetooth,-67
140.642,Bluetooth,-68
140.674,Bluetooth,-78
140.675,Bluetooth,-79
140.705,Bluetooth,-76
140.707,Bluetooth,-76
140.735,Bluetooth,-68
140.736,Bluetooth,-68
140.797,Bluetooth,-78
140.798,Bluetooth,-78
140.830,Bluetooth,-67
140.831,Bluetooth,-67
140.896,Bluetooth,-82
140.897,Bluetooth,-82
140.959,Bluetooth,-74
140.959,Bluetooth,-72
140.992,Bluetooth,-79
140.993,Bluetooth,-79
141.053,Bluetooth,-72
141.055,Bluetooth,-73
141.085,Bluetooth,-81
141.086,Bluetooth,-81
141.145,Bluetooth,-73
141.146,Bluetooth,-73
141.236,Bluetooth,-72
141.238,Bluetooth,-72
141.268,Bluetooth,-80
141.269,Bluetooth,-79
141.329,Bluetooth,-71
141.331,Bluetooth,-71
141.397,Bluetooth,-77
141.398,Bluetooth,-77
141.427,Bluetooth,-71
141.428,Bluetooth,-71
141.487,Bluetooth,-74
141.488,Bluetooth,-76
141.553,Bluetooth,-72
141.554,Bluetooth,-72
141.586,Bluetooth,-75
141.587,Bluetooth,-75
141.651,Bluetooth,-69
141.652,Bluetooth,-71
141.871,Bluetooth,-68
141.872,Bluetooth,-67
141.901,Bluetooth,-74
141.902,Bluetooth,-74
141.959,Bluetooth,-68
141.960,Bluetooth,-68
141.994,Bluetooth,-74
142.053,Bluetooth,-69
142.054,Bluetooth,-68
142.082,Bluetooth,-73
142.083,Bluetooth,-75
142.144,Bluetooth,-67
142.145,Bluetooth,-67
142.179,Bluetooth,-73
142.180,Bluetooth,-73
142.241,Bluetooth,-67
142.242,Bluetooth,-68
142.271,Bluetooth,-73
142.273,Bluetooth,-73
142.399,Bluetooth,-74
142.400,Bluetooth,-73
142.556,Bluetooth,-68
142.557,Bluetooth,-68
142.588,Bluetooth,-72
142.589,Bluetooth,-73
142.682,Bluetooth,-73
142.683,Bluetooth,-73
142.745,Bluetooth,-67
142.746,Bluetooth,-68
142.780,Bluetooth,-73
142.781,Bluetooth,-73
142.814,Bluetooth,-74
142.815,Bluetooth,-75
142.840,Bluetooth,-67
142.841,Bluetooth,-68
142.871,Bluetooth,-74
142.938,Bluetooth,-69
142.939,Bluetooth,-67
142.998,Bluetooth,-73
142.999,Bluetooth,-74
143.030,Bluetooth,-67
143.031,Bluetooth,-68
143.093,Bluetooth,-73
143.094,Bluetooth,-72
143.160,Bluetooth,-68
143.161,Bluetooth,-68
143.195,Bluetooth,-74
143.196,Bluetooth,-73
143.378,Bluetooth,-74
143.380,Bluetooth,-74
143.414,Bluetooth,-79
143.415,Bluetooth,-79
143.443,Bluetooth,-69
143.444,Bluetooth,-68
143.473,Bluetooth,-73
143.474,Bluetooth,-74
143.518,Bluetooth,-79
143.540,Bluetooth,-71
143.541,Bluetooth,-68
143.573,Bluetooth,-74
143.575,Bluetooth,-74
143.605,Bluetooth,-74
143.606,Bluetooth,-75
143.637,Bluetooth,-68
143.638,Bluetooth,-68
143.670,Bluetooth,-74
