Distance,6.0
TXDevice,iPhone11
TXPower,8
RXDevice,iPhone11_Pro_max
TXCarry,hand
RXCarry,hand
RXPose,sitting
TXPose,sitting
0.000,Bluetooth,-53
0.039,Bluetooth,-53
0.039,Bluetooth,-52
0.078,Bluetooth,-50
0.080,Bluetooth,-50
0.114,Bluetooth,-51
0.115,Bluetooth,-50
0.150,Bluetooth,-52
0.151,Bluetooth,-52
0.187,Bluetooth,-52
0.187,Bluetooth,-51
0.225,Bluetooth,-51
0.226,Bluetooth,-51
0.299,Bluetooth,-53
0.332,Bluetooth,-52
0.333,Bluetooth,-51
0.366,Bluetooth,-53
0.367,Bluetooth,-53
0.467,Bluetooth,-53
0.467,Bluetooth,-53
0.503,Bluetooth,-54
0.504,Bluetooth,-54
0.572,Bluetooth,-53
0.573,Bluetooth,-53
0.672,Bluetooth,-54
0.672,Bluetooth,-54
0.771,Bluetooth,-53
0.772,Bluetooth,-54
0.801,Bluetooth,-54
0.802,Bluetooth,-54
0.838,Bluetooth,-49
0.839,Bluetooth,-49
0.876,Bluetooth,-53
0.877,Bluetooth,-53
0.911,Bluetooth,-54
0.980,Bluetooth,-52
0.981,Bluetooth,-54
1.011,Bluetooth,-49
1.012,Bluetooth,-49
1.086,Bluetooth,-51
1.086,Bluetooth,-52
1.204,Bluetooth,-52
1.243,Bluetooth,-52
1.244,Bluetooth,-51
1.275,Bluetooth,-52
1.276,Bluetooth,-52
1.346,Bluetooth,-52
1.347,Bluetooth,-53
1.449,Bluetooth,-49
1.450,Bluetooth,-48
1.485,Bluetooth,-53
1.486,Bluetooth,-53
1.564,Bluetooth,-53
1.565,Bluetooth,-53
1.701,Bluetooth,-53
1.702,Bluetooth,-54
1.733,Bluetooth,-49
1.733,Bluetooth,-49
1.770,Bluetooth,-53
1.771,Bluetooth,-53
1.809,Bluetooth,-53
1.879,Bluetooth,-53
1.880,Bluetooth,-53
1.954,Bluetooth,-54
1.955,Bluetooth,-53
1.984,Bluetooth,-55
1.985,Bluetooth,-55
2.023,Bluetooth,-49
2.024,Bluetooth,-50
2.095,Bluetooth,-56
2.130,Bluetooth,-54
2.131,Bluetooth,-54
2.405,Bluetooth,-49
2.437,Bluetooth,-54
2.438,Bluetooth,-54
2.469,Bluetooth,-55
2.470,Bluetooth,-54
2.615,Bluetooth,-53
2.616,Bluetooth,-53
2.647,Bluetooth,-54
2.647,Bluetooth,-53
2.685,Bluetooth,-49
2.686,Bluetooth,-49
2.718,Bluetooth,-53
2.749,Bluetooth,-49
2.750,Bluetooth,-48
2.792,Bluetooth,-53
2.793,Bluetooth,-55
2.822,Bluetooth,-52
2.823,Bluetooth,-51
2.859,Bluetooth,-49
2.860,Bluetooth,-50
2.925,Bluetooth,-50
2.926,Bluetooth,-51
2.954,Bluetooth,-52
2.957,Bluetooth,-51
3.026,Bluetooth,-49
3.027,Bluetooth,-50
3.174,Bluetooth,-49
3.175,Bluetooth,-48
3.211,Bluetooth,-53
3.212,Bluetooth,-53
3.247,Bluetooth,-51
3.248,Bluetooth,-51
3.287,Bluetooth,-50
3.288,Bluetooth,-49
3.315,Bluetooth,-49
3.346,Bluetooth,-49
3.346,Bluetooth,-49
3.384,Bluetooth,-54
3.385,Bluetooth,-53
3.456,Bluetooth,-49
3.457,Bluetooth,-49
3.530,Bluetooth,-52
3.531,Bluetooth,-50
3.564,Bluetooth,-50
3.565,Bluetooth,-50
3.598,Bluetooth,-53
3.631,Bluetooth,-49
3.631,Bluetooth,-49
3.669,Bluetooth,-52
3.670,Bluetooth,-53
3.706,Bluetooth,-50
3.707,Bluetooth,-50
3.778,Bluetooth,-51
3.779,Bluetooth,-50
3.813,Bluetooth,-49
3.814,Bluetooth,-48
3.854,Bluetooth,-51
3.856,Bluetooth,-51
3.890,Bluetooth,-51
3.928,Bluetooth,-51
3.929,Bluetooth,-50
92.934,Bluetooth,-50
92.934,Bluetooth,-51
92.968,Bluetooth,-51
92.969,Bluetooth,-53
93.002,Bluetooth,-50
93.033,Bluetooth,-52
93.034,Bluetooth,-52
93.073,Bluetooth,-51
93.074,Bluetooth,-50
93.106,Bluetooth,-50
93.107,Bluetooth,-51
93.172,Bluetooth,-51
93.173,Bluetooth,-52
93.243,Bluetooth,-51
93.244,Bluetooth,-51
93.279,Bluetooth,-52
93.280,Bluetooth,-52
93.314,Bluetooth,-52
93.455,Bluetooth,-51
93.456,Bluetooth,-51
93.485,Bluetooth,-53
93.486,Bluetooth,-53
93.525,Bluetooth,-52
93.526,Bluetooth,-52
93.554,Bluetooth,-51
93.555,Bluetooth,-51
93.593,Bluetooth,-53
93.669,Bluetooth,-50
93.670,Bluetooth,-50
93.736,Bluetooth,-53
93.737,Bluetooth,-52
93.775,Bluetooth,-51
93.777,Bluetooth,-51
93.811,Bluetooth,-49
93.812,Bluetooth,-51
93.842,Bluetooth,-51
93.843,Bluetooth,-53
93.880,Bluetooth,-52
93.880,Bluetooth,-51
93.919,Bluetooth,-51
93.948,Bluetooth,-50
93.949,Bluetooth,-51
93.983,Bluetooth,-49
93.984,Bluetooth,-50
94.021,Bluetooth,-52
94.022,Bluetooth,-51
94.061,Bluetooth,-51
94.062,Bluetooth,-51
94.095,Bluetooth,-49
94.097,Bluetooth,-50
94.170,Bluetooth,-51
