Distance,6.0
TXDevice,iPhone11_Pro
TXPower,7
RXDevice,iPhoneXR
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.047,Bluetooth,-55
0.048,Bluetooth,-55
0.088,Bluetooth,-62
0.090,Bluetooth,-62
0.120,Bluetooth,-65
0.121,Bluetooth,-66
0.149,Bluetooth,-56
0.151,Bluetooth,-56
0.265,Bluetooth,-66
0.266,Bluetooth,-66
0.302,Bluetooth,-54
0.303,Bluetooth,-55
0.333,Bluetooth,-64
0.334,Bluetooth,-64
0.363,Bluetooth,-66
0.365,Bluetooth,-66
0.394,Bluetooth,-55
0.396,Bluetooth,-55
0.430,Bluetooth,-62
0.460,Bluetooth,-61
0.495,Bluetooth,-68
0.496,Bluetooth,-69
0.529,Bluetooth,-56
0.530,Bluetooth,-55
0.561,Bluetooth,-62
0.563,Bluetooth,-60
0.601,Bluetooth,-68
0.637,Bluetooth,-55
0.639,Bluetooth,-56
0.678,Bluetooth,-60
0.710,Bluetooth,-68
0.776,Bluetooth,-55
0.815,Bluetooth,-60
0.857,Bluetooth,-67
0.858,Bluetooth,-67
0.893,Bluetooth,-54
0.895,Bluetooth,-54
0.929,Bluetooth,-62
0.930,Bluetooth,-61
0.963,Bluetooth,-68
0.965,Bluetooth,-69
1.007,Bluetooth,-53
1.008,Bluetooth,-56
1.039,Bluetooth,-61
1.041,Bluetooth,-62
1.078,Bluetooth,-69
1.080,Bluetooth,-69
1.116,Bluetooth,-54
1.117,Bluetooth,-54
1.157,Bluetooth,-61
1.158,Bluetooth,-62
1.194,Bluetooth,-68
1.195,Bluetooth,-70
1.301,Bluetooth,-61
1.303,Bluetooth,-61
1.336,Bluetooth,-69
1.337,Bluetooth,-68
1.367,Bluetooth,-55
1.368,Bluetooth,-53
1.404,Bluetooth,-60
1.405,Bluetooth,-60
1.442,Bluetooth,-66
1.444,Bluetooth,-68
1.477,Bluetooth,-55
1.479,Bluetooth,-55
1.510,Bluetooth,-60
1.512,Bluetooth,-60
1.617,Bluetooth,-55
1.618,Bluetooth,-56
1.657,Bluetooth,-60
1.658,Bluetooth,-60
1.695,Bluetooth,-69
1.696,Bluetooth,-69
1.729,Bluetooth,-53
1.731,Bluetooth,-53
1.763,Bluetooth,-60
1.764,Bluetooth,-61
1.870,Bluetooth,-60
1.872,Bluetooth,-60
1.944,Bluetooth,-69
1.945,Bluetooth,-70
1.973,Bluetooth,-54
1.975,Bluetooth,-53
2.013,Bluetooth,-60
2.014,Bluetooth,-61
2.051,Bluetooth,-69
2.052,Bluetooth,-69
2.135,Bluetooth,-60
2.137,Bluetooth,-61
2.176,Bluetooth,-69
2.178,Bluetooth,-70
2.280,Bluetooth,-69
2.281,Bluetooth,-70
2.311,Bluetooth,-54
2.313,Bluetooth,-55
2.343,Bluetooth,-55
2.344,Bluetooth,-53
2.381,Bluetooth,-60
2.383,Bluetooth,-61
2.414,Bluetooth,-70
2.415,Bluetooth,-69
2.596,Bluetooth,-60
2.598,Bluetooth,-59
2.633,Bluetooth,-70
2.635,Bluetooth,-69
2.666,Bluetooth,-70
2.667,Bluetooth,-70
2.694,Bluetooth,-54
2.695,Bluetooth,-55
2.734,Bluetooth,-60
2.735,Bluetooth,-59
2.768,Bluetooth,-70
2.798,Bluetooth,-54
2.800,Bluetooth,-54
2.834,Bluetooth,-59
2.835,Bluetooth,-60
2.870,Bluetooth,-69
2.871,Bluetooth,-70
2.900,Bluetooth,-72
2.901,Bluetooth,-70
2.939,Bluetooth,-54
2.941,Bluetooth,-55
2.974,Bluetooth,-60
2.976,Bluetooth,-60
3.117,Bluetooth,-70
3.119,Bluetooth,-69
3.179,Bluetooth,-54
3.181,Bluetooth,-55
3.215,Bluetooth,-60
3.217,Bluetooth,-59
3.257,Bluetooth,-69
3.258,Bluetooth,-69
3.286,Bluetooth,-54
3.287,Bluetooth,-56
3.323,Bluetooth,-60
3.325,Bluetooth,-61
3.353,Bluetooth,-69
3.355,Bluetooth,-69
3.499,Bluetooth,-68
3.500,Bluetooth,-68
3.537,Bluetooth,-55
3.539,Bluetooth,-55
3.568,Bluetooth,-60
3.569,Bluetooth,-61
3.601,Bluetooth,-69
3.603,Bluetooth,-69
3.634,Bluetooth,-55
3.636,Bluetooth,-55
3.846,Bluetooth,-69
3.847,Bluetooth,-69
3.879,Bluetooth,-54
3.881,Bluetooth,-55
3.916,Bluetooth,-60
3.918,Bluetooth,-60
3.951,Bluetooth,-68
3.952,Bluetooth,-68
