Distance,15.0
TXDevice,iPhone11
TXPower,8
RXDevice,iPhone11_Pro_max
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-60
0.000,Bluetooth,-60
0.078,Bluetooth,-54
0.078,Bluetooth,-54
0.118,Bluetooth,-61
0.155,Bluetooth,-53
0.156,Bluetooth,-54
0.261,Bluetooth,-54
0.291,Bluetooth,-61
0.292,Bluetooth,-61
0.357,Bluetooth,-63
0.358,Bluetooth,-63
0.468,Bluetooth,-61
0.469,Bluetooth,-62
0.505,Bluetooth,-63
0.506,Bluetooth,-64
0.571,Bluetooth,-54
0.572,Bluetooth,-55
0.603,Bluetooth,-61
0.604,Bluetooth,-62
0.671,Bluetooth,-54
0.672,Bluetooth,-53
0.708,Bluetooth,-54
0.743,Bluetooth,-54
0.744,Bluetooth,-55
0.773,Bluetooth,-60
0.774,Bluetooth,-60
0.807,Bluetooth,-62
0.808,Bluetooth,-61
0.868,Bluetooth,-61
0.869,Bluetooth,-61
0.903,Bluetooth,-54
0.904,Bluetooth,-53
0.937,Bluetooth,-58
0.938,Bluetooth,-59
1.013,Bluetooth,-58
1.050,Bluetooth,-60
1.050,Bluetooth,-60
1.090,Bluetooth,-53
1.091,Bluetooth,-53
1.124,Bluetooth,-58
1.125,Bluetooth,-58
1.155,Bluetooth,-60
1.155,Bluetooth,-60
1.188,Bluetooth,-54
1.189,Bluetooth,-53
1.293,Bluetooth,-60
1.330,Bluetooth,-59
1.331,Bluetooth,-60
1.369,Bluetooth,-52
1.370,Bluetooth,-53
1.689,Bluetooth,-54
1.689,Bluetooth,-53
1.725,Bluetooth,-58
1.726,Bluetooth,-56
1.759,Bluetooth,-59
1.759,Bluetooth,-59
1.797,Bluetooth,-55
1.798,Bluetooth,-54
1.837,Bluetooth,-56
1.838,Bluetooth,-56
1.874,Bluetooth,-58
1.875,Bluetooth,-59
1.909,Bluetooth,-57
1.979,Bluetooth,-55
1.980,Bluetooth,-56
2.014,Bluetooth,-58
2.015,Bluetooth,-57
2.045,Bluetooth,-59
2.046,Bluetooth,-59
2.151,Bluetooth,-56
2.152,Bluetooth,-55
2.188,Bluetooth,-57
2.189,Bluetooth,-57
2.219,Bluetooth,-59
2.292,Bluetooth,-60
2.293,Bluetooth,-58
2.328,Bluetooth,-54
2.329,Bluetooth,-55
2.359,Bluetooth,-56
2.360,Bluetooth,-57
2.395,Bluetooth,-60
2.396,Bluetooth,-60
2.427,Bluetooth,-55
2.428,Bluetooth,-56
2.500,Bluetooth,-55
2.535,Bluetooth,-56
2.535,Bluetooth,-57
2.571,Bluetooth,-60
2.572,Bluetooth,-60
2.697,Bluetooth,-59
2.698,Bluetooth,-58
2.730,Bluetooth,-55
2.731,Bluetooth,-55
2.769,Bluetooth,-57
2.770,Bluetooth,-56
2.803,Bluetooth,-57
2.838,Bluetooth,-57
2.839,Bluetooth,-58
2.877,Bluetooth,-59
2.878,Bluetooth,-59
2.907,Bluetooth,-58
2.908,Bluetooth,-57
2.973,Bluetooth,-60
2.974,Bluetooth,-59
3.012,Bluetooth,-59
3.013,Bluetooth,-61
3.049,Bluetooth,-63
3.050,Bluetooth,-63
3.085,Bluetooth,-59
3.086,Bluetooth,-58
3.121,Bluetooth,-62
3.234,Bluetooth,-57
3.234,Bluetooth,-57
3.274,Bluetooth,-62
3.275,Bluetooth,-62
3.349,Bluetooth,-61
3.350,Bluetooth,-61
3.415,Bluetooth,-64
3.479,Bluetooth,-60
3.480,Bluetooth,-60
3.646,Bluetooth,-59
3.647,Bluetooth,-58
3.745,Bluetooth,-57
3.746,Bluetooth,-56
3.783,Bluetooth,-59
3.784,Bluetooth,-60
3.819,Bluetooth,-62
3.820,Bluetooth,-62
3.852,Bluetooth,-58
3.853,Bluetooth,-58
3.894,Bluetooth,-62
3.895,Bluetooth,-63
110.955,Bluetooth,-54
110.956,Bluetooth,-54
111.065,Bluetooth,-56
111.065,Bluetooth,-55
111.093,Bluetooth,-65
111.133,Bluetooth,-56
111.134,Bluetooth,-55
111.273,Bluetooth,-53
111.274,Bluetooth,-53
111.403,Bluetooth,-52
111.435,Bluetooth,-54
111.436,Bluetooth,-54
111.475,Bluetooth,-57
111.476,Bluetooth,-57
111.512,Bluetooth,-53
111.513,Bluetooth,-53
111.547,Bluetooth,-54
111.548,Bluetooth,-54
111.619,Bluetooth,-57
111.620,Bluetooth,-57
111.654,Bluetooth,-53
111.656,Bluetooth,-53
111.692,Bluetooth,-54
111.731,Bluetooth,-54
111.732,Bluetooth,-53
111.791,Bluetooth,-55
111.793,Bluetooth,-56
111.822,Bluetooth,-54
111.823,Bluetooth,-55
111.855,Bluetooth,-53
111.856,Bluetooth,-54
111.889,Bluetooth,-55
111.890,Bluetooth,-56
111.929,Bluetooth,-53
111.929,Bluetooth,-53
111.998,Bluetooth,-55
112.071,Bluetooth,-55
112.072,Bluetooth,-55
112.106,Bluetooth,-53
112.107,Bluetooth,-54
112.138,Bluetooth,-52
112.139,Bluetooth,-53
112.173,Bluetooth,-54
112.174,Bluetooth,-52
112.239,Bluetooth,-55
112.302,Bluetooth,-52
112.339,Bluetooth,-53
112.340,Bluetooth,-54
112.371,Bluetooth,-54
112.371,Bluetooth,-54
112.409,Bluetooth,-51
112.409,Bluetooth,-52
112.445,Bluetooth,-53
112.446,Bluetooth,-54
112.555,Bluetooth,-51
112.556,Bluetooth,-51
112.594,Bluetooth,-53
112.654,Bluetooth,-52
112.655,Bluetooth,-53
112.687,Bluetooth,-57
112.688,Bluetooth,-56
112.726,Bluetooth,-53
112.727,Bluetooth,-52
112.767,Bluetooth,-55
112.768,Bluetooth,-53
112.805,Bluetooth,-56
112.805,Bluetooth,-57
112.839,Bluetooth,-51
112.840,Bluetooth,-52
112.871,Bluetooth,-54
112.909,Bluetooth,-57
112.945,Bluetooth,-53
112.945,Bluetooth,-53
112.980,Bluetooth,-56
112.981,Bluetooth,-55
113.020,Bluetooth,-53
113.021,Bluetooth,-54
113.090,Bluetooth,-56
113.091,Bluetooth,-55
113.159,Bluetooth,-53
113.160,Bluetooth,-53
113.232,Bluetooth,-54
113.233,Bluetooth,-54
113.306,Bluetooth,-53
113.307,Bluetooth,-52
113.336,Bluetooth,-53
113.337,Bluetooth,-53
113.437,Bluetooth,-53
113.437,Bluetooth,-53
113.509,Bluetooth,-53
113.571,Bluetooth,-58
113.572,Bluetooth,-56
113.608,Bluetooth,-53
113.609,Bluetooth,-52
113.796,Bluetooth,-55
113.836,Bluetooth,-56
113.837,Bluetooth,-54
113.939,Bluetooth,-50
113.940,Bluetooth,-52
113.970,Bluetooth,-52
113.971,Bluetooth,-53
114.002,Bluetooth,-56
114.003,Bluetooth,-57
114.035,Bluetooth,-51
114.035,Bluetooth,-51
114.078,Bluetooth,-53
114.114,Bluetooth,-51
