Distance,10.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhoneXR
TXCarry,pocket
RXCarry,pocket
RXPose,standing
TXPose,sitting
0.000,Bluetooth,-65
0.001,Bluetooth,-66
0.030,Bluetooth,-73
0.031,Bluetooth,-73
0.064,Bluetooth,-65
0.097,Bluetooth,-66
0.099,Bluetooth,-66
0.161,Bluetooth,-71
0.163,Bluetooth,-72
0.194,Bluetooth,-66
0.196,Bluetooth,-65
0.228,Bluetooth,-66
0.230,Bluetooth,-66
0.256,Bluetooth,-73
0.257,Bluetooth,-72
0.286,Bluetooth,-73
0.287,Bluetooth,-74
0.317,Bluetooth,-66
0.319,Bluetooth,-66
0.348,Bluetooth,-65
0.350,Bluetooth,-65
0.377,Bluetooth,-71
0.379,Bluetooth,-73
0.506,Bluetooth,-71
0.507,Bluetooth,-72
0.541,Bluetooth,-64
0.543,Bluetooth,-65
0.572,Bluetooth,-67
0.602,Bluetooth,-65
0.603,Bluetooth,-65
0.633,Bluetooth,-72
0.635,Bluetooth,-72
0.664,Bluetooth,-65
0.666,Bluetooth,-66
0.698,Bluetooth,-65
0.700,Bluetooth,-66
0.762,Bluetooth,-72
0.764,Bluetooth,-71
0.793,Bluetooth,-65
0.794,Bluetooth,-66
0.826,Bluetooth,-65
0.828,Bluetooth,-65
0.858,Bluetooth,-71
0.860,Bluetooth,-71
0.893,Bluetooth,-65
0.894,Bluetooth,-67
0.927,Bluetooth,-66
0.929,Bluetooth,-65
0.958,Bluetooth,-65
0.960,Bluetooth,-65
0.987,Bluetooth,-72
0.989,Bluetooth,-70
1.020,Bluetooth,-65
1.021,Bluetooth,-66
1.053,Bluetooth,-65
1.055,Bluetooth,-65
1.116,Bluetooth,-72
1.117,Bluetooth,-71
1.150,Bluetooth,-65
1.151,Bluetooth,-65
1.181,Bluetooth,-67
1.182,Bluetooth,-66
1.212,Bluetooth,-72
1.213,Bluetooth,-72
1.245,Bluetooth,-72
1.246,Bluetooth,-72
1.277,Bluetooth,-65
1.279,Bluetooth,-66
1.307,Bluetooth,-67
1.308,Bluetooth,-66
1.367,Bluetooth,-73
1.369,Bluetooth,-73
1.399,Bluetooth,-65
1.400,Bluetooth,-67
1.433,Bluetooth,-66
1.435,Bluetooth,-66
1.462,Bluetooth,-73
1.464,Bluetooth,-72
1.493,Bluetooth,-64
1.523,Bluetooth,-65
1.524,Bluetooth,-66
1.555,Bluetooth,-66
1.556,Bluetooth,-64
1.588,Bluetooth,-75
1.590,Bluetooth,-76
1.624,Bluetooth,-65
1.625,Bluetooth,-66
1.655,Bluetooth,-65
1.656,Bluetooth,-66
1.684,Bluetooth,-66
1.686,Bluetooth,-66
1.747,Bluetooth,-66
1.748,Bluetooth,-65
1.781,Bluetooth,-66
1.783,Bluetooth,-64
1.841,Bluetooth,-76
1.842,Bluetooth,-76
1.871,Bluetooth,-65
1.873,Bluetooth,-66
1.903,Bluetooth,-67
1.962,Bluetooth,-75
1.964,Bluetooth,-76
1.997,Bluetooth,-65
2.058,Bluetooth,-74
2.060,Bluetooth,-74
2.093,Bluetooth,-65
2.095,Bluetooth,-65
2.127,Bluetooth,-64
2.157,Bluetooth,-64
2.158,Bluetooth,-63
2.186,Bluetooth,-74
2.187,Bluetooth,-75
2.216,Bluetooth,-66
2.218,Bluetooth,-67
2.247,Bluetooth,-66
2.248,Bluetooth,-66
2.278,Bluetooth,-64
2.280,Bluetooth,-63
2.344,Bluetooth,-66
2.346,Bluetooth,-66
2.378,Bluetooth,-62
