Distance,4.0
TXDevice,iPhone6s
TXPower,12
RXDevice,iPhone6s
TXCarry,pocket
RXCarry,hand
RXPose,standing
TXPose,standing
0.000,Bluetooth,-76
0.001,Bluetooth,-76
0.029,Bluetooth,-66
0.030,Bluetooth,-66
0.060,Bluetooth,-74
0.060,Bluetooth,-72
0.121,Bluetooth,-76
0.122,Bluetooth,-75
0.153,Bluetooth,-67
0.154,Bluetooth,-67
0.185,Bluetooth,-74
0.185,Bluetooth,-74
0.218,Bluetooth,-75
0.219,Bluetooth,-75
0.248,Bluetooth,-76
0.250,Bluetooth,-75
0.280,Bluetooth,-68
0.283,Bluetooth,-67
0.310,Bluetooth,-75
0.311,Bluetooth,-73
0.339,Bluetooth,-76
0.340,Bluetooth,-76
0.370,Bluetooth,-75
0.371,Bluetooth,-75
0.404,Bluetooth,-67
0.405,Bluetooth,-68
0.437,Bluetooth,-74
0.437,Bluetooth,-72
0.466,Bluetooth,-76
0.468,Bluetooth,-76
0.499,Bluetooth,-66
0.501,Bluetooth,-67
0.532,Bluetooth,127
0.565,Bluetooth,-74
0.566,Bluetooth,-73
0.592,Bluetooth,-75
0.593,Bluetooth,-76
0.629,Bluetooth,-66
0.631,Bluetooth,-67
0.658,Bluetooth,-73
0.659,Bluetooth,-73
0.723,Bluetooth,-76
0.724,Bluetooth,-77
0.756,Bluetooth,-67
0.757,Bluetooth,-67
0.788,Bluetooth,-74
0.789,Bluetooth,-73
0.818,Bluetooth,-78
0.819,Bluetooth,-78
0.851,Bluetooth,-68
0.854,Bluetooth,-66
0.886,Bluetooth,-68
0.887,Bluetooth,-69
0.918,Bluetooth,-74
0.920,Bluetooth,-74
0.948,Bluetooth,-77
0.948,Bluetooth,-79
0.974,Bluetooth,-68
0.974,Bluetooth,-67
1.040,Bluetooth,-75
1.040,Bluetooth,-73
1.069,Bluetooth,-78
1.070,Bluetooth,-78
1.101,Bluetooth,-68
1.101,Bluetooth,-68
1.133,Bluetooth,-75
1.133,Bluetooth,-74
1.197,Bluetooth,-79
1.197,Bluetooth,-79
1.229,Bluetooth,-69
1.230,Bluetooth,-69
1.258,Bluetooth,-75
1.258,Bluetooth,-76
1.318,Bluetooth,-79
1.319,Bluetooth,-80
1.381,Bluetooth,-79
1.381,Bluetooth,-77
1.441,Bluetooth,-79
1.441,Bluetooth,-79
1.471,Bluetooth,-69
1.471,Bluetooth,-68
1.506,Bluetooth,-78
1.506,Bluetooth,-77
1.534,Bluetooth,-78
1.535,Bluetooth,-79
1.565,Bluetooth,-78
1.565,Bluetooth,-78
1.595,Bluetooth,-70
1.595,Bluetooth,-70
1.626,Bluetooth,-79
1.626,Bluetooth,-77
1.654,Bluetooth,-77
1.655,Bluetooth,-79
