Distance,6.0
TXDevice,iPhone11_Pro
TXPower,7
RXDevice,iPhoneXR
TXCarry,hand
RXCarry,pocket
RXPose,standing
TXPose,sitting
0.000,Bluetooth,-54
0.002,Bluetooth,-55
0.029,Bluetooth,-48
0.030,Bluetooth,-49
0.068,Bluetooth,-48
0.070,Bluetooth,-48
0.109,Bluetooth,-55
0.111,Bluetooth,-55
0.144,Bluetooth,-49
0.146,Bluetooth,-49
0.240,Bluetooth,-53
0.242,Bluetooth,-52
0.277,Bluetooth,-48
0.278,Bluetooth,-48
0.495,Bluetooth,-53
0.497,Bluetooth,-53
0.533,Bluetooth,-52
0.534,Bluetooth,-51
0.572,Bluetooth,-52
0.574,Bluetooth,-50
0.611,Bluetooth,-54
0.612,Bluetooth,-53
0.647,Bluetooth,-49
0.648,Bluetooth,-49
0.681,Bluetooth,-52
0.682,Bluetooth,-52
0.717,Bluetooth,-57
0.718,Bluetooth,-57
0.749,Bluetooth,-51
0.750,Bluetooth,-50
0.789,Bluetooth,-54
0.791,Bluetooth,-56
0.857,Bluetooth,-55
0.858,Bluetooth,-55
0.891,Bluetooth,-58
0.891,Bluetooth,-58
0.923,Bluetooth,-61
0.924,Bluetooth,-63
0.961,Bluetooth,-62
0.961,Bluetooth,-63
0.991,Bluetooth,-62
0.992,Bluetooth,-63
1.029,Bluetooth,-59
1.030,Bluetooth,-59
1.066,Bluetooth,-55
1.067,Bluetooth,-55
1.099,Bluetooth,-53
1.100,Bluetooth,-53
1.205,Bluetooth,-51
1.205,Bluetooth,-51
1.240,Bluetooth,-51
1.241,Bluetooth,-51
1.274,Bluetooth,-52
1.276,Bluetooth,-53
1.308,Bluetooth,-58
1.309,Bluetooth,-53
1.347,Bluetooth,-50
1.348,Bluetooth,-50
1.385,Bluetooth,-50
1.386,Bluetooth,-49
1.421,Bluetooth,-51
1.422,Bluetooth,-52
1.488,Bluetooth,-56
1.489,Bluetooth,-56
1.520,Bluetooth,-58
1.521,Bluetooth,-58
1.552,Bluetooth,-58
1.553,Bluetooth,-60
1.655,Bluetooth,-59
1.721,Bluetooth,-75
1.723,Bluetooth,-89
1.937,Bluetooth,-56
1.939,Bluetooth,-58
2.011,Bluetooth,-62
2.012,Bluetooth,-61
2.051,Bluetooth,-61
2.052,Bluetooth,-60
2.115,Bluetooth,-57
2.117,Bluetooth,-58
2.151,Bluetooth,-56
2.152,Bluetooth,-55
2.215,Bluetooth,-57
2.217,Bluetooth,-59
2.287,Bluetooth,-65
2.289,Bluetooth,-67
2.395,Bluetooth,-57
2.396,Bluetooth,-56
2.432,Bluetooth,-51
2.434,Bluetooth,-50
2.466,Bluetooth,-62
2.468,Bluetooth,-62
2.498,Bluetooth,-61
2.499,Bluetooth,-60
2.569,Bluetooth,-51
2.571,Bluetooth,-52
2.608,Bluetooth,-62
2.609,Bluetooth,-62
2.645,Bluetooth,-60
2.646,Bluetooth,-60
2.683,Bluetooth,-55
2.684,Bluetooth,-54
2.721,Bluetooth,-63
2.723,Bluetooth,-66
2.754,Bluetooth,-64
2.754,Bluetooth,-65
2.800,Bluetooth,-61
2.802,Bluetooth,-61
2.832,Bluetooth,-57
2.833,Bluetooth,-57
2.905,Bluetooth,-67
2.907,Bluetooth,-70
2.972,Bluetooth,-53
2.974,Bluetooth,-53
