Distance,15.0
TXDevice,iPhone11
TXPower,8
RXDevice,iPhone11_Pro_max
TXCarry,hand
RXCarry,hand
RXPose,sitting
TXPose,sitting
0.000,Bluetooth,-67
0.001,Bluetooth,-66
0.033,Bluetooth,-60
0.034,Bluetooth,-61
0.144,Bluetooth,-60
0.145,Bluetooth,-60
0.178,Bluetooth,-60
0.179,Bluetooth,-59
0.288,Bluetooth,-67
0.294,Bluetooth,-66
0.325,Bluetooth,-61
0.326,Bluetooth,-60
0.356,Bluetooth,-58
0.357,Bluetooth,-58
0.396,Bluetooth,-67
0.397,Bluetooth,-66
0.436,Bluetooth,-62
0.437,Bluetooth,-62
0.498,Bluetooth,-59
0.499,Bluetooth,-59
0.536,Bluetooth,-67
0.537,Bluetooth,-67
0.569,Bluetooth,-63
0.681,Bluetooth,-59
0.683,Bluetooth,-58
0.786,Bluetooth,-60
0.821,Bluetooth,-58
0.822,Bluetooth,-58
0.855,Bluetooth,-57
0.893,Bluetooth,-65
0.894,Bluetooth,-65
0.968,Bluetooth,-58
0.969,Bluetooth,-58
1.000,Bluetooth,-65
1.000,Bluetooth,-65
1.142,Bluetooth,-65
1.171,Bluetooth,-65
1.238,Bluetooth,-61
1.239,Bluetooth,-62
1.273,Bluetooth,-59
1.274,Bluetooth,-59
1.305,Bluetooth,-64
1.306,Bluetooth,-65
1.374,Bluetooth,-60
1.375,Bluetooth,-60
1.450,Bluetooth,-60
1.483,Bluetooth,-65
1.484,Bluetooth,-65
1.516,Bluetooth,-61
1.517,Bluetooth,-62
1.623,Bluetooth,-64
1.623,Bluetooth,-63
1.653,Bluetooth,-60
1.654,Bluetooth,-60
1.689,Bluetooth,-59
1.690,Bluetooth,-59
1.725,Bluetooth,-64
1.726,Bluetooth,-64
1.763,Bluetooth,-58
1.797,Bluetooth,-64
1.798,Bluetooth,-64
1.831,Bluetooth,-61
1.976,Bluetooth,-61
1.976,Bluetooth,-60
2.007,Bluetooth,-58
2.008,Bluetooth,-59
2.049,Bluetooth,-63
2.184,Bluetooth,-61
2.185,Bluetooth,-59
2.254,Bluetooth,-59
2.254,Bluetooth,-59
2.327,Bluetooth,-61
2.328,Bluetooth,-60
2.369,Bluetooth,-59
2.401,Bluetooth,-61
2.402,Bluetooth,-61
2.474,Bluetooth,-59
2.475,Bluetooth,-60
2.514,Bluetooth,-62
2.515,Bluetooth,-62
2.546,Bluetooth,-59
2.547,Bluetooth,-60
2.584,Bluetooth,-59
2.585,Bluetooth,-59
2.614,Bluetooth,-62
2.615,Bluetooth,-63
2.653,Bluetooth,-59
2.692,Bluetooth,-63
2.693,Bluetooth,-62
2.731,Bluetooth,-59
2.732,Bluetooth,-59
2.766,Bluetooth,-58
2.767,Bluetooth,-59
2.836,Bluetooth,-59
2.837,Bluetooth,-60
2.903,Bluetooth,-60
2.904,Bluetooth,-59
3.081,Bluetooth,-60
3.082,Bluetooth,-60
3.121,Bluetooth,-65
3.122,Bluetooth,-64
3.197,Bluetooth,-59
3.199,Bluetooth,-60
3.268,Bluetooth,-59
3.304,Bluetooth,-63
3.305,Bluetooth,-63
3.380,Bluetooth,-60
3.381,Bluetooth,-59
3.481,Bluetooth,-60
3.482,Bluetooth,-58
3.518,Bluetooth,-63
3.554,Bluetooth,-58
3.593,Bluetooth,-63
3.593,Bluetooth,-63
3.632,Bluetooth,-59
3.633,Bluetooth,-59
3.660,Bluetooth,-58
3.662,Bluetooth,-60
3.698,Bluetooth,-63
3.699,Bluetooth,-63
3.764,Bluetooth,-59
3.765,Bluetooth,-61
3.801,Bluetooth,-58
3.802,Bluetooth,-59
3.875,Bluetooth,-64
3.875,Bluetooth,-62
3.938,Bluetooth,-58
3.939,Bluetooth,-60
3.970,Bluetooth,-60
45.671,Bluetooth,-74
45.672,Bluetooth,-72
45.708,Bluetooth,-58
45.709,Bluetooth,-58
45.742,Bluetooth,-82
45.743,Bluetooth,-72
45.780,Bluetooth,-60
45.781,Bluetooth,-61
45.881,Bluetooth,-59
45.882,Bluetooth,-58
45.921,Bluetooth,-57
45.922,Bluetooth,-58
45.959,Bluetooth,-66
45.960,Bluetooth,-67
46.026,Bluetooth,-60
46.027,Bluetooth,-59
46.059,Bluetooth,-59
46.060,Bluetooth,-60
46.092,Bluetooth,-60
46.092,Bluetooth,-59
46.133,Bluetooth,-62
46.134,Bluetooth,-63
46.172,Bluetooth,-59
46.208,Bluetooth,-67
46.209,Bluetooth,-68
46.304,Bluetooth,-69
46.305,Bluetooth,-68
46.385,Bluetooth,-60
46.385,Bluetooth,-60
46.422,Bluetooth,-68
46.422,Bluetooth,-68
46.498,Bluetooth,-66
46.499,Bluetooth,-65
46.566,Bluetooth,-64
46.567,Bluetooth,-64
46.694,Bluetooth,-65
46.695,Bluetooth,-65
46.731,Bluetooth,-63
46.732,Bluetooth,-63
46.764,Bluetooth,-62
46.941,Bluetooth,-62
46.942,Bluetooth,-62
46.972,Bluetooth,-62
46.974,Bluetooth,-62
47.007,Bluetooth,-56
47.008,Bluetooth,-57
47.037,Bluetooth,-63
47.038,Bluetooth,-63
47.076,Bluetooth,-63
47.077,Bluetooth,-63
47.176,Bluetooth,-58
47.177,Bluetooth,-58
47.210,Bluetooth,-63
47.211,Bluetooth,-64
47.279,Bluetooth,-58
47.346,Bluetooth,-64
47.419,Bluetooth,-61
47.420,Bluetooth,-61
47.456,Bluetooth,-60
47.457,Bluetooth,-60
47.486,Bluetooth,-60
47.487,Bluetooth,-61
47.520,Bluetooth,-64
47.521,Bluetooth,-64
47.597,Bluetooth,-60
47.597,Bluetooth,-61
47.630,Bluetooth,-64
47.631,Bluetooth,-63
47.665,Bluetooth,-60
47.702,Bluetooth,-64
47.703,Bluetooth,-64
47.804,Bluetooth,-65
47.805,Bluetooth,-65
47.840,Bluetooth,-59
47.877,Bluetooth,-60
47.878,Bluetooth,-60
47.914,Bluetooth,-64
47.915,Bluetooth,-65
47.978,Bluetooth,-65
47.979,Bluetooth,-64
48.036,Bluetooth,-62
48.037,Bluetooth,-61
48.101,Bluetooth,-62
48.102,Bluetooth,-61
48.140,Bluetooth,-65
48.141,Bluetooth,-66
48.171,Bluetooth,-63
48.171,Bluetooth,-64
48.206,Bluetooth,-63
48.207,Bluetooth,-63
48.247,Bluetooth,-66
48.279,Bluetooth,-65
48.280,Bluetooth,-65
48.388,Bluetooth,-65
48.390,Bluetooth,-65
48.419,Bluetooth,-66
48.420,Bluetooth,-67
48.457,Bluetooth,-63
48.458,Bluetooth,-63
48.494,Bluetooth,-67
48.495,Bluetooth,-66
48.534,Bluetooth,-65
48.535,Bluetooth,-67
48.636,Bluetooth,-63
48.637,Bluetooth,-63
48.675,Bluetooth,-68
48.676,Bluetooth,-68
48.781,Bluetooth,-67
48.782,Bluetooth,-68
48.845,Bluetooth,-62
48.882,Bluetooth,-65
48.883,Bluetooth,-66
48.956,Bluetooth,-68
48.958,Bluetooth,-68
48.992,Bluetooth,-67
48.993,Bluetooth,-66
49.132,Bluetooth,-70
49.133,Bluetooth,-70
49.162,Bluetooth,-70
49.199,Bluetooth,-69
49.200,Bluetooth,-69
49.237,Bluetooth,-62
49.238,Bluetooth,-60
49.272,Bluetooth,-72
49.274,Bluetooth,-72
49.375,Bluetooth,-60
49.377,Bluetooth,-60
49.414,Bluetooth,-72
49.451,Bluetooth,-66
49.482,Bluetooth,-66
49.483,Bluetooth,-66
49.514,Bluetooth,-61
49.515,Bluetooth,-60
49.554,Bluetooth,-71
49.656,Bluetooth,-62
49.657,Bluetooth,-61
96.887,Bluetooth,-71
96.888,Bluetooth,-71
96.993,Bluetooth,-62
96.994,Bluetooth,-63
97.059,Bluetooth,-60
97.060,Bluetooth,-59
97.095,Bluetooth,-61
97.096,Bluetooth,-61
97.155,Bluetooth,-60
97.232,Bluetooth,-60
97.233,Bluetooth,-60
97.265,Bluetooth,-60
97.265,Bluetooth,-60
97.300,Bluetooth,-63
97.301,Bluetooth,-62
97.449,Bluetooth,-59
97.489,Bluetooth,-63
97.490,Bluetooth,-62
97.519,Bluetooth,-57
97.520,Bluetooth,-57
97.557,Bluetooth,-58
97.558,Bluetooth,-58
97.624,Bluetooth,-64
97.625,Bluetooth,-62
97.658,Bluetooth,-56
97.659,Bluetooth,-56
97.725,Bluetooth,-64
97.726,Bluetooth,-65
97.760,Bluetooth,-64
97.795,Bluetooth,-66
97.796,Bluetooth,-64
97.825,Bluetooth,-55
97.825,Bluetooth,-56
97.859,Bluetooth,-60
97.860,Bluetooth,-60
97.894,Bluetooth,-65
97.895,Bluetooth,-65
97.968,Bluetooth,-58
97.969,Bluetooth,-60
98.044,Bluetooth,-64
98.258,Bluetooth,-58
98.259,Bluetooth,-58
98.401,Bluetooth,-61
98.403,Bluetooth,-62
98.436,Bluetooth,-59
98.437,Bluetooth,-60
98.473,Bluetooth,-55
98.474,Bluetooth,-57
98.503,Bluetooth,-60
98.504,Bluetooth,-61
98.606,Bluetooth,-55
98.607,Bluetooth,-57
98.779,Bluetooth,-56
98.780,Bluetooth,-56
98.882,Bluetooth,-56
98.883,Bluetooth,-55
98.917,Bluetooth,-60
98.918,Bluetooth,-60
98.947,Bluetooth,-58
98.980,Bluetooth,-60
98.981,Bluetooth,-60
99.014,Bluetooth,-58
99.015,Bluetooth,-59
99.122,Bluetooth,-57
99.123,Bluetooth,-56
99.155,Bluetooth,-58
99.156,Bluetooth,-58
99.193,Bluetooth,-54
99.194,Bluetooth,-54
99.263,Bluetooth,-55
99.294,Bluetooth,-61
99.295,Bluetooth,-61
99.329,Bluetooth,-53
99.330,Bluetooth,-54
99.401,Bluetooth,-59
99.402,Bluetooth,-60
99.467,Bluetooth,-54
99.468,Bluetooth,-54
99.507,Bluetooth,-54
99.508,Bluetooth,-54
99.541,Bluetooth,-58
99.604,Bluetooth,-58
99.605,Bluetooth,-58
99.672,Bluetooth,-56
99.672,Bluetooth,-55
99.709,Bluetooth,-58
99.711,Bluetooth,-58
99.741,Bluetooth,-55
99.742,Bluetooth,-54
99.803,Bluetooth,-54
99.805,Bluetooth,-55
99.842,Bluetooth,-57
99.877,Bluetooth,-57
99.878,Bluetooth,-57
99.916,Bluetooth,-53
99.917,Bluetooth,-53
100.063,Bluetooth,-54
100.064,Bluetooth,-54
100.171,Bluetooth,-54
100.325,Bluetooth,-60
100.326,Bluetooth,-60
100.357,Bluetooth,-55
100.357,Bluetooth,-55
100.392,Bluetooth,-57
100.393,Bluetooth,-58
100.429,Bluetooth,-60
100.430,Bluetooth,-61
100.464,Bluetooth,-57
100.577,Bluetooth,-60
100.578,Bluetooth,-59
100.610,Bluetooth,-58
100.611,Bluetooth,-58
100.685,Bluetooth,-59
100.686,Bluetooth,-59
100.789,Bluetooth,-56
100.790,Bluetooth,-56
100.827,Bluetooth,-59
100.827,Bluetooth,-59
100.861,Bluetooth,-56
100.863,Bluetooth,-57
145.525,Bluetooth,-68
145.526,Bluetooth,-68
145.700,Bluetooth,-57
145.701,Bluetooth,-57
145.735,Bluetooth,-58
145.736,Bluetooth,-59
145.768,Bluetooth,-57
145.943,Bluetooth,-69
145.944,Bluetooth,-69
145.983,Bluetooth,-55
145.984,Bluetooth,-56
146.052,Bluetooth,-57
146.088,Bluetooth,-57
146.089,Bluetooth,-57
146.122,Bluetooth,-68
146.123,Bluetooth,-68
146.198,Bluetooth,-56
146.199,Bluetooth,-56
146.228,Bluetooth,-56
146.229,Bluetooth,-56
146.296,Bluetooth,-56
146.296,Bluetooth,-55
146.362,Bluetooth,-70
146.430,Bluetooth,-67
146.431,Bluetooth,-68
146.505,Bluetooth,-55
146.506,Bluetooth,-56
146.541,Bluetooth,-68
146.542,Bluetooth,-68
