Distance,4.0
TXDevice,iPhoneXS
TXPower,12
RXDevice,iPhone8
TXCarry,pocket
RXCarry,hand
RXPose,standing
TXPose,sitting
0.000,Bluetooth,-54
0.001,Bluetooth,-54
0.041,Bluetooth,-56
0.042,Bluetooth,-56
0.078,Bluetooth,-58
0.079,Bluetooth,-59
0.121,Bluetooth,-53
0.122,Bluetooth,-53
0.156,Bluetooth,-54
0.157,Bluetooth,-53
0.196,Bluetooth,-54
0.197,Bluetooth,-57
0.232,Bluetooth,-59
0.233,Bluetooth,-59
0.270,Bluetooth,-55
0.271,Bluetooth,-53
0.301,Bluetooth,-56
0.302,Bluetooth,-55
0.332,Bluetooth,-59
0.333,Bluetooth,-59
0.368,Bluetooth,-52
0.369,Bluetooth,-53
0.467,Bluetooth,-57
0.601,Bluetooth,-53
0.602,Bluetooth,-53
0.702,Bluetooth,-59
0.703,Bluetooth,-58
0.739,Bluetooth,-55
0.740,Bluetooth,-53
0.811,Bluetooth,-59
0.812,Bluetooth,-60
0.843,Bluetooth,-54
0.844,Bluetooth,-54
0.954,Bluetooth,-59
0.955,Bluetooth,-59
1.067,Bluetooth,-58
1.068,Bluetooth,-59
1.141,Bluetooth,-56
1.142,Bluetooth,-56
1.176,Bluetooth,-59
1.177,Bluetooth,-57
1.213,Bluetooth,-54
1.244,Bluetooth,-56
1.245,Bluetooth,-56
1.307,Bluetooth,-57
1.308,Bluetooth,-59
1.347,Bluetooth,-53
1.348,Bluetooth,-52
1.381,Bluetooth,-56
1.382,Bluetooth,-55
1.451,Bluetooth,-54
1.452,Bluetooth,-54
1.577,Bluetooth,-55
1.578,Bluetooth,-53
1.681,Bluetooth,-54
1.682,Bluetooth,-54
1.718,Bluetooth,-57
1.719,Bluetooth,-57
1.795,Bluetooth,-61
1.796,Bluetooth,-61
1.831,Bluetooth,-54
1.832,Bluetooth,-54
1.861,Bluetooth,-56
1.862,Bluetooth,-56
1.891,Bluetooth,-61
1.892,Bluetooth,-60
1.965,Bluetooth,-56
1.966,Bluetooth,-56
1.999,Bluetooth,-57
2.000,Bluetooth,-58
2.032,Bluetooth,-58
2.033,Bluetooth,-58
2.210,Bluetooth,-55
2.211,Bluetooth,-56
2.241,Bluetooth,-58
2.242,Bluetooth,-57
2.280,Bluetooth,-53
2.281,Bluetooth,-53
2.313,Bluetooth,-52
2.314,Bluetooth,-53
2.390,Bluetooth,-58
2.391,Bluetooth,-58
2.431,Bluetooth,-54
2.432,Bluetooth,-54
2.504,Bluetooth,-58
2.538,Bluetooth,-53
2.540,Bluetooth,-53
2.610,Bluetooth,-58
2.612,Bluetooth,-58
2.644,Bluetooth,-52
2.645,Bluetooth,-52
2.676,Bluetooth,-51
2.677,Bluetooth,-53
2.742,Bluetooth,-58
2.744,Bluetooth,-57
2.781,Bluetooth,-51
2.782,Bluetooth,-51
2.812,Bluetooth,-55
2.814,Bluetooth,-56
2.845,Bluetooth,-58
2.917,Bluetooth,-54
2.918,Bluetooth,-53
2.995,Bluetooth,-60
2.996,Bluetooth,-59
3.025,Bluetooth,-53
3.026,Bluetooth,-53
3.057,Bluetooth,-56
3.091,Bluetooth,-57
3.092,Bluetooth,-58
3.165,Bluetooth,-56
3.166,Bluetooth,-56
3.236,Bluetooth,-60
3.238,Bluetooth,-59
3.276,Bluetooth,-53
3.277,Bluetooth,-52
3.310,Bluetooth,-56
3.311,Bluetooth,-56
3.340,Bluetooth,-59
3.341,Bluetooth,-59
3.376,Bluetooth,-53
3.377,Bluetooth,-54
3.416,Bluetooth,-56
3.417,Bluetooth,-55
3.453,Bluetooth,-60
3.454,Bluetooth,-60
3.494,Bluetooth,-53
3.495,Bluetooth,-53
3.526,Bluetooth,-56
3.527,Bluetooth,-56
3.564,Bluetooth,-60
3.565,Bluetooth,-59
3.603,Bluetooth,-53
3.604,Bluetooth,-53
3.643,Bluetooth,-57
3.644,Bluetooth,-56
3.681,Bluetooth,-61
3.683,Bluetooth,-59
3.711,Bluetooth,-60
