Distance,4.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhone11_Pro
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-57
0.001,Bluetooth,-58
0.033,Bluetooth,-63
0.066,Bluetooth,-56
0.067,Bluetooth,-55
0.101,Bluetooth,-58
0.102,Bluetooth,-58
0.159,Bluetooth,-61
0.161,Bluetooth,-61
0.191,Bluetooth,-56
0.192,Bluetooth,-57
0.226,Bluetooth,-59
0.227,Bluetooth,-58
0.347,Bluetooth,-56
0.348,Bluetooth,-55
0.407,Bluetooth,-58
0.409,Bluetooth,-58
0.438,Bluetooth,-60
0.439,Bluetooth,-60
0.503,Bluetooth,-58
0.570,Bluetooth,-61
0.570,Bluetooth,-59
0.601,Bluetooth,-56
0.602,Bluetooth,-56
0.633,Bluetooth,-57
0.634,Bluetooth,-57
0.666,Bluetooth,-60
0.668,Bluetooth,-60
0.704,Bluetooth,-56
0.705,Bluetooth,-56
0.800,Bluetooth,-60
0.802,Bluetooth,-59
0.832,Bluetooth,-56
0.833,Bluetooth,-57
0.924,Bluetooth,-60
0.925,Bluetooth,-61
0.956,Bluetooth,-56
0.957,Bluetooth,-56
0.991,Bluetooth,-58
0.992,Bluetooth,-57
1.085,Bluetooth,-56
1.086,Bluetooth,-56
1.116,Bluetooth,-57
1.117,Bluetooth,-57
1.146,Bluetooth,-59
1.147,Bluetooth,-62
1.277,Bluetooth,-61
1.278,Bluetooth,-61
1.312,Bluetooth,-56
1.313,Bluetooth,-57
1.343,Bluetooth,-57
1.344,Bluetooth,-57
1.409,Bluetooth,-60
1.410,Bluetooth,-61
1.438,Bluetooth,-57
1.441,Bluetooth,-58
1.469,Bluetooth,-58
1.471,Bluetooth,-58
1.531,Bluetooth,-61
1.532,Bluetooth,-61
1.562,Bluetooth,-56
1.563,Bluetooth,-58
1.595,Bluetooth,-57
1.596,Bluetooth,-57
1.623,Bluetooth,-62
1.625,Bluetooth,-62
1.687,Bluetooth,-56
1.689,Bluetooth,-56
1.723,Bluetooth,-58
1.724,Bluetooth,-57
1.754,Bluetooth,-61
1.755,Bluetooth,-61
1.786,Bluetooth,-56
1.787,Bluetooth,-56
1.907,Bluetooth,-56
1.908,Bluetooth,-56
1.942,Bluetooth,-57
1.943,Bluetooth,-57
1.972,Bluetooth,-57
1.973,Bluetooth,-57
2.003,Bluetooth,-61
2.004,Bluetooth,-62
2.032,Bluetooth,-56
2.033,Bluetooth,-57
2.126,Bluetooth,-61
2.127,Bluetooth,-62
2.158,Bluetooth,-56
2.159,Bluetooth,-56
2.192,Bluetooth,-56
2.193,Bluetooth,-57
2.224,Bluetooth,-61
2.225,Bluetooth,-62
2.328,Bluetooth,-57
2.329,Bluetooth,-57
2.358,Bluetooth,-62
2.359,Bluetooth,-62
2.389,Bluetooth,-56
2.390,Bluetooth,-56
2.421,Bluetooth,-56
2.422,Bluetooth,-56
2.487,Bluetooth,-62
2.489,Bluetooth,-61
2.519,Bluetooth,-56
2.612,Bluetooth,-63
2.613,Bluetooth,-62
2.644,Bluetooth,-56
2.645,Bluetooth,-57
2.675,Bluetooth,-56
2.676,Bluetooth,-56
2.771,Bluetooth,-57
2.772,Bluetooth,-57
2.801,Bluetooth,-57
2.802,Bluetooth,-56
2.861,Bluetooth,-57
2.862,Bluetooth,-57
2.927,Bluetooth,-57
2.928,Bluetooth,-56
2.958,Bluetooth,-62
2.960,Bluetooth,-61
2.993,Bluetooth,-57
2.994,Bluetooth,-58
3.026,Bluetooth,-57
3.027,Bluetooth,-57
3.088,Bluetooth,-62
3.089,Bluetooth,-61
3.121,Bluetooth,-56
3.122,Bluetooth,-57
3.151,Bluetooth,-57
3.152,Bluetooth,-58
3.183,Bluetooth,-60
3.184,Bluetooth,-60
3.277,Bluetooth,-57
3.278,Bluetooth,-57
3.369,Bluetooth,-56
3.370,Bluetooth,-56
3.402,Bluetooth,-57
3.403,Bluetooth,-57
3.462,Bluetooth,-56
3.464,Bluetooth,-56
3.526,Bluetooth,-56
3.527,Bluetooth,-57
3.554,Bluetooth,-60
3.555,Bluetooth,-60
3.587,Bluetooth,-56
3.588,Bluetooth,-56
3.682,Bluetooth,-59
3.683,Bluetooth,-59
3.717,Bluetooth,-56
3.717,Bluetooth,-56
3.747,Bluetooth,-58
3.749,Bluetooth,-58
3.840,Bluetooth,-55
3.841,Bluetooth,-56
3.872,Bluetooth,-58
3.873,Bluetooth,-57
3.905,Bluetooth,-62
3.906,Bluetooth,-60
28.290,Bluetooth,-53
28.291,Bluetooth,-54
28.320,Bluetooth,-53
28.321,Bluetooth,-53
28.349,Bluetooth,-51
28.350,Bluetooth,-51
28.380,Bluetooth,-51
28.381,Bluetooth,-51
28.411,Bluetooth,-52
28.412,Bluetooth,-53
28.474,Bluetooth,-51
28.503,Bluetooth,-50
