Distance,15.0
TXDevice,iPhone11
TXPower,8
RXDevice,iPhone11_Pro_max
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-56
0.001,Bluetooth,-56
0.036,Bluetooth,-59
0.038,Bluetooth,-58
0.135,Bluetooth,-55
0.135,Bluetooth,-54
0.171,Bluetooth,-59
0.172,Bluetooth,-59
0.202,Bluetooth,-56
0.232,Bluetooth,-58
0.233,Bluetooth,-60
0.301,Bluetooth,-57
0.302,Bluetooth,-56
0.338,Bluetooth,-54
0.339,Bluetooth,-55
0.440,Bluetooth,-56
0.441,Bluetooth,-56
0.472,Bluetooth,-54
0.473,Bluetooth,-55
0.544,Bluetooth,-56
0.545,Bluetooth,-55
0.608,Bluetooth,-55
0.609,Bluetooth,-57
0.644,Bluetooth,-54
0.645,Bluetooth,-55
0.717,Bluetooth,-55
0.718,Bluetooth,-55
0.787,Bluetooth,-56
0.817,Bluetooth,-55
0.818,Bluetooth,-55
0.855,Bluetooth,-57
0.856,Bluetooth,-58
0.892,Bluetooth,-56
0.893,Bluetooth,-56
0.930,Bluetooth,-55
0.930,Bluetooth,-55
1.000,Bluetooth,-56
1.001,Bluetooth,-57
1.039,Bluetooth,-57
1.040,Bluetooth,-56
1.070,Bluetooth,-55
1.071,Bluetooth,-55
1.180,Bluetooth,-56
1.181,Bluetooth,-56
1.215,Bluetooth,-58
1.216,Bluetooth,-58
1.287,Bluetooth,-55
1.288,Bluetooth,-56
1.323,Bluetooth,-58
1.324,Bluetooth,-57
1.356,Bluetooth,-54
1.357,Bluetooth,-54
1.397,Bluetooth,-59
1.462,Bluetooth,-59
1.463,Bluetooth,-58
1.493,Bluetooth,-60
1.494,Bluetooth,-59
1.532,Bluetooth,-56
1.533,Bluetooth,-55
1.646,Bluetooth,-58
1.647,Bluetooth,-58
1.711,Bluetooth,-51
1.712,Bluetooth,-52
1.742,Bluetooth,-54
1.743,Bluetooth,-54
1.841,Bluetooth,-57
1.842,Bluetooth,-57
1.872,Bluetooth,-55
1.873,Bluetooth,-54
1.903,Bluetooth,-57
1.904,Bluetooth,-56
1.939,Bluetooth,-59
1.940,Bluetooth,-59
2.007,Bluetooth,-57
2.041,Bluetooth,-60
2.042,Bluetooth,-60
2.073,Bluetooth,-61
2.074,Bluetooth,-60
2.147,Bluetooth,-60
2.148,Bluetooth,-60
2.184,Bluetooth,-62
2.185,Bluetooth,-61
2.219,Bluetooth,-59
2.220,Bluetooth,-59
2.250,Bluetooth,-60
2.252,Bluetooth,-61
2.288,Bluetooth,-59
2.464,Bluetooth,-62
2.465,Bluetooth,-62
2.500,Bluetooth,-58
2.501,Bluetooth,-58
2.537,Bluetooth,-60
2.538,Bluetooth,-61
2.570,Bluetooth,-61
2.571,Bluetooth,-61
2.637,Bluetooth,-59
2.638,Bluetooth,-60
2.673,Bluetooth,-56
2.673,Bluetooth,-56
2.707,Bluetooth,-57
2.708,Bluetooth,-56
2.740,Bluetooth,-56
2.741,Bluetooth,-55
2.877,Bluetooth,-52
2.990,Bluetooth,-57
2.991,Bluetooth,-57
3.095,Bluetooth,-55
3.097,Bluetooth,-55
3.128,Bluetooth,-59
3.129,Bluetooth,-57
3.161,Bluetooth,-56
3.194,Bluetooth,-57
3.231,Bluetooth,-59
3.232,Bluetooth,-59
3.262,Bluetooth,-60
3.263,Bluetooth,-60
3.300,Bluetooth,-59
3.301,Bluetooth,-59
3.334,Bluetooth,-58
3.335,Bluetooth,-59
3.397,Bluetooth,-64
3.398,Bluetooth,-64
3.466,Bluetooth,-60
3.467,Bluetooth,-60
3.507,Bluetooth,-56
3.572,Bluetooth,-57
3.573,Bluetooth,-59
3.679,Bluetooth,-59
3.680,Bluetooth,-59
3.716,Bluetooth,-57
3.717,Bluetooth,-57
3.780,Bluetooth,-57
3.819,Bluetooth,-56
3.820,Bluetooth,-57
3.858,Bluetooth,-56
3.859,Bluetooth,-56
3.958,Bluetooth,-55
3.959,Bluetooth,-54
3.992,Bluetooth,-56
3.993,Bluetooth,-56
