Distance,6.0
TXDevice,iPhone11
TXPower,8
RXDevice,iPhone11_Pro_max
TXCarry,hand
RXCarry,hand
RXPose,sitting
TXPose,sitting
0.000,Bluetooth,-64
0.000,Bluetooth,-64
0.063,Bluetooth,-59
0.064,Bluetooth,-60
0.095,Bluetooth,-59
0.096,Bluetooth,-59
0.212,Bluetooth,-59
0.250,Bluetooth,-63
0.251,Bluetooth,-63
0.287,Bluetooth,-59
0.318,Bluetooth,-63
0.319,Bluetooth,-63
0.353,Bluetooth,-59
0.354,Bluetooth,-60
0.385,Bluetooth,-59
0.386,Bluetooth,-60
0.419,Bluetooth,-64
0.420,Bluetooth,-63
0.486,Bluetooth,-61
0.520,Bluetooth,-59
0.521,Bluetooth,-60
0.559,Bluetooth,-63
0.560,Bluetooth,-63
0.698,Bluetooth,-57
0.699,Bluetooth,-59
0.734,Bluetooth,-59
0.735,Bluetooth,-59
0.772,Bluetooth,-62
0.772,Bluetooth,-64
0.952,Bluetooth,-59
0.953,Bluetooth,-59
1.056,Bluetooth,-59
1.057,Bluetooth,-60
1.095,Bluetooth,-59
1.096,Bluetooth,-59
1.130,Bluetooth,-62
1.131,Bluetooth,-63
1.227,Bluetooth,-58
1.228,Bluetooth,-58
1.267,Bluetooth,-60
1.268,Bluetooth,-60
1.298,Bluetooth,-63
1.299,Bluetooth,-63
1.334,Bluetooth,-58
1.336,Bluetooth,-59
1.367,Bluetooth,-59
1.368,Bluetooth,-59
1.403,Bluetooth,-64
1.404,Bluetooth,-64
1.471,Bluetooth,-59
1.503,Bluetooth,-58
1.504,Bluetooth,-58
1.716,Bluetooth,-65
1.718,Bluetooth,-65
1.757,Bluetooth,-60
1.759,Bluetooth,-59
1.788,Bluetooth,-65
1.827,Bluetooth,-59
1.827,Bluetooth,-59
1.858,Bluetooth,-60
1.859,Bluetooth,-60
1.891,Bluetooth,-64
1.892,Bluetooth,-65
1.966,Bluetooth,-59
1.967,Bluetooth,-59
2.003,Bluetooth,-60
2.004,Bluetooth,-60
2.074,Bluetooth,-58
2.111,Bluetooth,-64
2.112,Bluetooth,-65
2.152,Bluetooth,-57
2.153,Bluetooth,-59
2.189,Bluetooth,-59
2.190,Bluetooth,-59
2.261,Bluetooth,-60
2.262,Bluetooth,-59
2.327,Bluetooth,-60
2.328,Bluetooth,-60
2.359,Bluetooth,-64
2.360,Bluetooth,-64
2.440,Bluetooth,-59
2.441,Bluetooth,-59
2.508,Bluetooth,-60
2.509,Bluetooth,-60
2.590,Bluetooth,-60
2.591,Bluetooth,-61
2.622,Bluetooth,-60
2.623,Bluetooth,-60
2.659,Bluetooth,-65
2.660,Bluetooth,-64
2.691,Bluetooth,-65
2.721,Bluetooth,-66
2.722,Bluetooth,-65
2.753,Bluetooth,-61
2.754,Bluetooth,-60
2.792,Bluetooth,-59
2.793,Bluetooth,-60
2.863,Bluetooth,-59
2.864,Bluetooth,-60
2.969,Bluetooth,-60
3.007,Bluetooth,-64
3.008,Bluetooth,-65
3.108,Bluetooth,-63
3.108,Bluetooth,-62
3.146,Bluetooth,-60
3.147,Bluetooth,-59
3.176,Bluetooth,-59
3.177,Bluetooth,-60
3.243,Bluetooth,-63
3.244,Bluetooth,-63
3.312,Bluetooth,-63
3.313,Bluetooth,-63
3.344,Bluetooth,-59
3.345,Bluetooth,-59
3.381,Bluetooth,-59
3.382,Bluetooth,-58
3.459,Bluetooth,-60
3.460,Bluetooth,-59
3.568,Bluetooth,-63
3.604,Bluetooth,-63
3.605,Bluetooth,-63
3.680,Bluetooth,-59
3.681,Bluetooth,-58
3.745,Bluetooth,-63
3.745,Bluetooth,-63
3.842,Bluetooth,-64
3.843,Bluetooth,-63
142.810,Bluetooth,-66
142.811,Bluetooth,-67
142.882,Bluetooth,-56
142.883,Bluetooth,-57
142.912,Bluetooth,-55
142.913,Bluetooth,-57
142.978,Bluetooth,-56
142.979,Bluetooth,-55
143.025,Bluetooth,-54
143.026,Bluetooth,-55
143.092,Bluetooth,-57
143.127,Bluetooth,-56
143.129,Bluetooth,-57
143.163,Bluetooth,-56
143.164,Bluetooth,-57
143.198,Bluetooth,-62
143.199,Bluetooth,-62
143.232,Bluetooth,-56
143.233,Bluetooth,-56
143.268,Bluetooth,-57
143.269,Bluetooth,-58
143.301,Bluetooth,-62
143.301,Bluetooth,-62
143.402,Bluetooth,-56
143.403,Bluetooth,-56
143.544,Bluetooth,-55
143.545,Bluetooth,-56
143.582,Bluetooth,-55
143.582,Bluetooth,-55
143.612,Bluetooth,-61
143.613,Bluetooth,-61
143.641,Bluetooth,-56
143.642,Bluetooth,-56
143.675,Bluetooth,-56
143.749,Bluetooth,-54
143.786,Bluetooth,-61
143.788,Bluetooth,-62
143.925,Bluetooth,-63
143.927,Bluetooth,-61
143.956,Bluetooth,-56
143.957,Bluetooth,-56
143.992,Bluetooth,-55
144.025,Bluetooth,-57
144.027,Bluetooth,-55
144.124,Bluetooth,-62
144.125,Bluetooth,-62
144.157,Bluetooth,-56
144.158,Bluetooth,-56
144.195,Bluetooth,-56
144.196,Bluetooth,-56
144.233,Bluetooth,-62
144.234,Bluetooth,-61
144.264,Bluetooth,-56
144.265,Bluetooth,-57
144.303,Bluetooth,-56
144.345,Bluetooth,-56
144.347,Bluetooth,-55
144.380,Bluetooth,-61
144.381,Bluetooth,-63
144.588,Bluetooth,-58
144.589,Bluetooth,-57
144.625,Bluetooth,-63
144.626,Bluetooth,-62
144.733,Bluetooth,-59
144.734,Bluetooth,-59
144.797,Bluetooth,-61
144.797,Bluetooth,-60
144.872,Bluetooth,-64
144.905,Bluetooth,-69
144.905,Bluetooth,-69
144.944,Bluetooth,-68
144.945,Bluetooth,-67
145.007,Bluetooth,-63
145.008,Bluetooth,-63
145.075,Bluetooth,-66
145.076,Bluetooth,-66
145.109,Bluetooth,-62
145.111,Bluetooth,-62
145.184,Bluetooth,-63
145.257,Bluetooth,-63
145.258,Bluetooth,-63
145.288,Bluetooth,-63
145.289,Bluetooth,-64
145.330,Bluetooth,-68
145.331,Bluetooth,-67
145.393,Bluetooth,-61
145.394,Bluetooth,-60
145.430,Bluetooth,-64
145.431,Bluetooth,-63
145.464,Bluetooth,-64
145.465,Bluetooth,-66
145.504,Bluetooth,-66
145.505,Bluetooth,-65
145.610,Bluetooth,-65
145.651,Bluetooth,-69
145.651,Bluetooth,-69
145.680,Bluetooth,-65
145.681,Bluetooth,-65
145.788,Bluetooth,-67
145.826,Bluetooth,-70
145.827,Bluetooth,-69
145.857,Bluetooth,-75
145.858,Bluetooth,-74
145.891,Bluetooth,-68
145.892,Bluetooth,-67
145.929,Bluetooth,-73
145.930,Bluetooth,-75
145.964,Bluetooth,-70
145.965,Bluetooth,-70
146.028,Bluetooth,-65
146.029,Bluetooth,-65
146.062,Bluetooth,-89
146.063,Bluetooth,-89
146.093,Bluetooth,-68
146.129,Bluetooth,-77
146.130,Bluetooth,-78
146.163,Bluetooth,-69
146.164,Bluetooth,-69
146.203,Bluetooth,-67
146.305,Bluetooth,-65
146.306,Bluetooth,-65
146.445,Bluetooth,-69
146.446,Bluetooth,-68
146.586,Bluetooth,-71
146.588,Bluetooth,-71
146.622,Bluetooth,-66
146.623,Bluetooth,-66
146.691,Bluetooth,-74
146.728,Bluetooth,-64
146.729,Bluetooth,-64
146.761,Bluetooth,-68
146.762,Bluetooth,-68
