Distance,10.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhone11_Pro
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-62
0.001,Bluetooth,-62
0.030,Bluetooth,-65
0.031,Bluetooth,-65
0.097,Bluetooth,-61
0.098,Bluetooth,-61
0.127,Bluetooth,-65
0.128,Bluetooth,-65
0.171,Bluetooth,-70
0.193,Bluetooth,-62
0.194,Bluetooth,-61
0.225,Bluetooth,-64
0.226,Bluetooth,-65
0.255,Bluetooth,-64
0.257,Bluetooth,-66
0.287,Bluetooth,-61
0.288,Bluetooth,-62
0.346,Bluetooth,-65
0.347,Bluetooth,-65
0.442,Bluetooth,-65
0.443,Bluetooth,-66
0.506,Bluetooth,-62
0.507,Bluetooth,-62
0.536,Bluetooth,-66
0.537,Bluetooth,-66
0.600,Bluetooth,-62
0.601,Bluetooth,-62
0.631,Bluetooth,-66
0.632,Bluetooth,-67
0.692,Bluetooth,-62
0.693,Bluetooth,-62
0.722,Bluetooth,-66
0.723,Bluetooth,-66
0.815,Bluetooth,-63
0.816,Bluetooth,-62
0.852,Bluetooth,-66
0.853,Bluetooth,-65
0.884,Bluetooth,-62
0.885,Bluetooth,-62
0.949,Bluetooth,-66
0.950,Bluetooth,-66
1.013,Bluetooth,-62
1.015,Bluetooth,-62
1.043,Bluetooth,-66
1.045,Bluetooth,-65
1.106,Bluetooth,-62
1.107,Bluetooth,-62
1.139,Bluetooth,-66
1.141,Bluetooth,-65
1.204,Bluetooth,-62
1.205,Bluetooth,-62
1.235,Bluetooth,-66
1.236,Bluetooth,-66
1.297,Bluetooth,-62
1.298,Bluetooth,-62
1.330,Bluetooth,-67
1.331,Bluetooth,-67
1.389,Bluetooth,-62
1.390,Bluetooth,-63
1.448,Bluetooth,-66
1.450,Bluetooth,-66
1.541,Bluetooth,-65
1.542,Bluetooth,-66
1.604,Bluetooth,-62
1.605,Bluetooth,-63
1.637,Bluetooth,-66
1.639,Bluetooth,-66
1.693,Bluetooth,-62
1.694,Bluetooth,-63
1.722,Bluetooth,-66
1.723,Bluetooth,-65
1.753,Bluetooth,-66
1.753,Bluetooth,-65
1.812,Bluetooth,-63
1.813,Bluetooth,-61
1.845,Bluetooth,-66
1.846,Bluetooth,-66
1.899,Bluetooth,-62
1.900,Bluetooth,-62
1.931,Bluetooth,-65
1.932,Bluetooth,-66
1.993,Bluetooth,-62
1.994,Bluetooth,-62
