Distance,4.0
TXDevice,iPhone11_Pro
TXPower,7
RXDevice,iPhoneXR
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-52
0.001,Bluetooth,-51
0.029,Bluetooth,-50
0.031,Bluetooth,-50
0.096,Bluetooth,-50
0.098,Bluetooth,-50
0.128,Bluetooth,-51
0.130,Bluetooth,-52
0.162,Bluetooth,-49
0.164,Bluetooth,-49
0.199,Bluetooth,-50
0.201,Bluetooth,-49
0.302,Bluetooth,-58
0.303,Bluetooth,-57
0.338,Bluetooth,-55
0.340,Bluetooth,-56
0.403,Bluetooth,-52
0.472,Bluetooth,-59
0.474,Bluetooth,-59
0.617,Bluetooth,-63
0.619,Bluetooth,-64
0.679,Bluetooth,-50
0.681,Bluetooth,-51
0.747,Bluetooth,-50
0.749,Bluetooth,-49
0.787,Bluetooth,-49
0.788,Bluetooth,-47
0.833,Bluetooth,-52
0.835,Bluetooth,-52
0.934,Bluetooth,-45
0.936,Bluetooth,-45
0.965,Bluetooth,-51
0.967,Bluetooth,-52
1.069,Bluetooth,-49
1.071,Bluetooth,-50
1.249,Bluetooth,-44
1.251,Bluetooth,-45
1.289,Bluetooth,-45
1.291,Bluetooth,-44
1.333,Bluetooth,-50
1.334,Bluetooth,-50
1.363,Bluetooth,-44
1.366,Bluetooth,-44
1.396,Bluetooth,-45
1.399,Bluetooth,-45
1.430,Bluetooth,-51
1.431,Bluetooth,-51
1.462,Bluetooth,-52
1.465,Bluetooth,-51
1.574,Bluetooth,-53
1.575,Bluetooth,-53
1.602,Bluetooth,-46
1.603,Bluetooth,-46
1.641,Bluetooth,-47
1.642,Bluetooth,-47
1.680,Bluetooth,-52
1.682,Bluetooth,-51
1.714,Bluetooth,-47
1.716,Bluetooth,-48
1.814,Bluetooth,-65
1.816,Bluetooth,-65
1.847,Bluetooth,-49
1.849,Bluetooth,-48
1.924,Bluetooth,-60
1.926,Bluetooth,-59
1.959,Bluetooth,-52
1.961,Bluetooth,-50
2.023,Bluetooth,-54
2.025,Bluetooth,-55
2.145,Bluetooth,-58
2.147,Bluetooth,-57
2.180,Bluetooth,-62
2.182,Bluetooth,-63
2.216,Bluetooth,-53
2.218,Bluetooth,-53
2.252,Bluetooth,-59
2.254,Bluetooth,-59
2.292,Bluetooth,-66
2.295,Bluetooth,-66
2.324,Bluetooth,-52
2.355,Bluetooth,-57
2.357,Bluetooth,-57
2.386,Bluetooth,-61
2.388,Bluetooth,-61
2.417,Bluetooth,-56
2.418,Bluetooth,-57
2.447,Bluetooth,-52
2.448,Bluetooth,-52
2.483,Bluetooth,-51
2.485,Bluetooth,-51
2.515,Bluetooth,-62
2.517,Bluetooth,-63
2.549,Bluetooth,-49
2.551,Bluetooth,-50
2.590,Bluetooth,-56
2.592,Bluetooth,-57
2.625,Bluetooth,-71
2.627,Bluetooth,-67
2.656,Bluetooth,-68
2.658,Bluetooth,-68
2.686,Bluetooth,-53
2.687,Bluetooth,-52
2.722,Bluetooth,-56
2.724,Bluetooth,-56
2.754,Bluetooth,-55
2.756,Bluetooth,-57
2.792,Bluetooth,-47
2.794,Bluetooth,-47
2.833,Bluetooth,-48
2.835,Bluetooth,-50
2.864,Bluetooth,-48
2.865,Bluetooth,-47
2.935,Bluetooth,-52
2.937,Bluetooth,-51
