Distance,10.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhone11_Pro
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-68
0.001,Bluetooth,-67
0.033,Bluetooth,-66
0.034,Bluetooth,-66
0.097,Bluetooth,-67
0.098,Bluetooth,-67
0.131,Bluetooth,-63
0.133,Bluetooth,-63
0.196,Bluetooth,-66
0.197,Bluetooth,-66
0.228,Bluetooth,-62
0.229,Bluetooth,-63
0.293,Bluetooth,-66
0.295,Bluetooth,-66
0.329,Bluetooth,-60
0.330,Bluetooth,-61
0.389,Bluetooth,-70
0.390,Bluetooth,-72
0.420,Bluetooth,-68
0.422,Bluetooth,-69
0.465,Bluetooth,-64
0.484,Bluetooth,-76
0.485,Bluetooth,-75
0.543,Bluetooth,-64
0.544,Bluetooth,-64
0.604,Bluetooth,-64
0.606,Bluetooth,-65
0.735,Bluetooth,-69
0.736,Bluetooth,-69
0.798,Bluetooth,-65
0.799,Bluetooth,-64
0.828,Bluetooth,-65
0.829,Bluetooth,-64
0.858,Bluetooth,-68
0.891,Bluetooth,-62
0.892,Bluetooth,-62
0.921,Bluetooth,-64
0.922,Bluetooth,-65
0.963,Bluetooth,-68
0.964,Bluetooth,-69
1.082,Bluetooth,-60
1.083,Bluetooth,-60
1.118,Bluetooth,-64
1.119,Bluetooth,-64
1.180,Bluetooth,-58
1.181,Bluetooth,-59
1.210,Bluetooth,-60
1.211,Bluetooth,-61
1.245,Bluetooth,-62
1.246,Bluetooth,-63
1.278,Bluetooth,-59
1.278,Bluetooth,-60
1.406,Bluetooth,-60
1.406,Bluetooth,-60
1.495,Bluetooth,-60
1.496,Bluetooth,-60
1.525,Bluetooth,-63
1.526,Bluetooth,-63
1.564,Bluetooth,-65
1.565,Bluetooth,-66
1.591,Bluetooth,-60
1.592,Bluetooth,-60
1.657,Bluetooth,-62
1.658,Bluetooth,-62
1.682,Bluetooth,-59
1.683,Bluetooth,-60
1.781,Bluetooth,-59
1.782,Bluetooth,-60
1.843,Bluetooth,-64
1.844,Bluetooth,-63
1.945,Bluetooth,-63
1.945,Bluetooth,-64
1.976,Bluetooth,-61
1.977,Bluetooth,-61
2.039,Bluetooth,-65
2.040,Bluetooth,-65
2.102,Bluetooth,-62
2.103,Bluetooth,-62
2.132,Bluetooth,-65
2.134,Bluetooth,-65
2.200,Bluetooth,-61
2.201,Bluetooth,-62
2.231,Bluetooth,-65
2.232,Bluetooth,-64
2.295,Bluetooth,-61
2.296,Bluetooth,-61
2.326,Bluetooth,-65
2.327,Bluetooth,-64
2.421,Bluetooth,-65
2.422,Bluetooth,-65
2.452,Bluetooth,-68
2.453,Bluetooth,-69
2.480,Bluetooth,-61
2.481,Bluetooth,-62
2.510,Bluetooth,-63
2.511,Bluetooth,-61
2.540,Bluetooth,-65
2.541,Bluetooth,-66
2.573,Bluetooth,-61
2.574,Bluetooth,-62
2.635,Bluetooth,-65
2.636,Bluetooth,-65
2.716,Bluetooth,-61
2.823,Bluetooth,-64
2.824,Bluetooth,-65
2.864,Bluetooth,-68
2.942,Bluetooth,-61
2.943,Bluetooth,-62
2.972,Bluetooth,-62
2.973,Bluetooth,-62
3.004,Bluetooth,-61
3.005,Bluetooth,-62
3.037,Bluetooth,-65
3.038,Bluetooth,-65
3.100,Bluetooth,-60
3.101,Bluetooth,-61
3.130,Bluetooth,-65
3.131,Bluetooth,-64
3.159,Bluetooth,-69
3.193,Bluetooth,-62
3.194,Bluetooth,-61
3.226,Bluetooth,-65
3.227,Bluetooth,-65
3.290,Bluetooth,-61
3.291,Bluetooth,-62
3.320,Bluetooth,-65
3.321,Bluetooth,-64
3.384,Bluetooth,-63
3.385,Bluetooth,-63
3.415,Bluetooth,-65
3.416,Bluetooth,-65
3.479,Bluetooth,-62
3.480,Bluetooth,-62
3.541,Bluetooth,-65
3.542,Bluetooth,-64
3.575,Bluetooth,-62
3.576,Bluetooth,-63
3.707,Bluetooth,-62
3.708,Bluetooth,-63
3.738,Bluetooth,-65
3.740,Bluetooth,-64
3.774,Bluetooth,-62
3.774,Bluetooth,-63
3.803,Bluetooth,-63
3.804,Bluetooth,-62
3.837,Bluetooth,-65
3.838,Bluetooth,-65
3.906,Bluetooth,-62
3.906,Bluetooth,-62
47.816,Bluetooth,-74
47.818,Bluetooth,-74
47.848,Bluetooth,-74
47.849,Bluetooth,-73
47.876,Bluetooth,-84
47.877,Bluetooth,-84
47.938,Bluetooth,-73
47.939,Bluetooth,-74
48.001,Bluetooth,-82
48.002,Bluetooth,-83
48.031,Bluetooth,-75
48.033,Bluetooth,-74
48.092,Bluetooth,-84
48.093,Bluetooth,-84
48.122,Bluetooth,-73
48.124,Bluetooth,-75
48.164,Bluetooth,-79
