Distance,10.0
TXDevice,iPhone11_Pro
TXPower,7
RXDevice,iPhoneXR
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-62
0.002,Bluetooth,-64
0.030,Bluetooth,-64
0.032,Bluetooth,-64
0.068,Bluetooth,-74
0.070,Bluetooth,-76
0.099,Bluetooth,-62
0.100,Bluetooth,-62
0.133,Bluetooth,-60
0.135,Bluetooth,-60
0.166,Bluetooth,-67
0.167,Bluetooth,-67
0.204,Bluetooth,-57
0.206,Bluetooth,-58
0.241,Bluetooth,-56
0.243,Bluetooth,-56
0.282,Bluetooth,-60
0.283,Bluetooth,-61
0.461,Bluetooth,-68
0.462,Bluetooth,-68
0.497,Bluetooth,-61
0.533,Bluetooth,-60
0.535,Bluetooth,-59
0.566,Bluetooth,-75
0.607,Bluetooth,-62
0.648,Bluetooth,-61
0.649,Bluetooth,-60
0.683,Bluetooth,-64
0.724,Bluetooth,-62
0.725,Bluetooth,-62
0.757,Bluetooth,-57
0.758,Bluetooth,-56
0.790,Bluetooth,-55
0.791,Bluetooth,-56
0.859,Bluetooth,-66
0.860,Bluetooth,-66
0.891,Bluetooth,-59
0.892,Bluetooth,-58
0.923,Bluetooth,-62
0.925,Bluetooth,-62
0.959,Bluetooth,-60
0.960,Bluetooth,-59
1.027,Bluetooth,-60
1.028,Bluetooth,-60
1.064,Bluetooth,-60
1.066,Bluetooth,-59
1.101,Bluetooth,-58
1.103,Bluetooth,-58
1.132,Bluetooth,-60
1.133,Bluetooth,-59
1.165,Bluetooth,-60
1.167,Bluetooth,-59
1.238,Bluetooth,-60
1.240,Bluetooth,-59
1.308,Bluetooth,-59
1.310,Bluetooth,-60
1.348,Bluetooth,-59
1.349,Bluetooth,-58
1.385,Bluetooth,-60
1.386,Bluetooth,-60
1.460,Bluetooth,-59
1.461,Bluetooth,-58
1.533,Bluetooth,-59
1.535,Bluetooth,-59
1.567,Bluetooth,-58
1.568,Bluetooth,-58
1.605,Bluetooth,-60
1.607,Bluetooth,-61
1.712,Bluetooth,-58
1.713,Bluetooth,-58
1.786,Bluetooth,-59
1.787,Bluetooth,-59
1.824,Bluetooth,-57
1.826,Bluetooth,-58
1.856,Bluetooth,-62
1.857,Bluetooth,-61
1.885,Bluetooth,-59
1.886,Bluetooth,-59
1.919,Bluetooth,-58
1.920,Bluetooth,-59
1.958,Bluetooth,-61
1.959,Bluetooth,-62
1.987,Bluetooth,-61
1.989,Bluetooth,-63
2.027,Bluetooth,-60
2.028,Bluetooth,-59
2.058,Bluetooth,-59
2.094,Bluetooth,-59
2.095,Bluetooth,-60
2.163,Bluetooth,-60
2.163,Bluetooth,-61
2.205,Bluetooth,-59
2.207,Bluetooth,-59
2.299,Bluetooth,-66
2.301,Bluetooth,-65
2.331,Bluetooth,-58
2.332,Bluetooth,-58
2.361,Bluetooth,-67
2.363,Bluetooth,-67
2.397,Bluetooth,-65
2.398,Bluetooth,-65
2.429,Bluetooth,-65
2.431,Bluetooth,-65
2.463,Bluetooth,-58
2.464,Bluetooth,-57
2.495,Bluetooth,-68
2.496,Bluetooth,-67
2.534,Bluetooth,-64
2.536,Bluetooth,-64
2.573,Bluetooth,-56
2.574,Bluetooth,-57
2.602,Bluetooth,-68
2.604,Bluetooth,-68
2.638,Bluetooth,-63
2.640,Bluetooth,-63
2.679,Bluetooth,-57
2.680,Bluetooth,-57
2.816,Bluetooth,-57
2.818,Bluetooth,-58
2.852,Bluetooth,-65
2.854,Bluetooth,-67
2.885,Bluetooth,-60
2.886,Bluetooth,-61
2.919,Bluetooth,-57
2.921,Bluetooth,-58
2.985,Bluetooth,-67
2.986,Bluetooth,-68
3.019,Bluetooth,-64
3.021,Bluetooth,-63
3.050,Bluetooth,-58
3.051,Bluetooth,-59
3.081,Bluetooth,-66
3.082,Bluetooth,-66
3.118,Bluetooth,-65
3.119,Bluetooth,-66
3.157,Bluetooth,-65
3.159,Bluetooth,-65
3.227,Bluetooth,-60
3.228,Bluetooth,-60
3.261,Bluetooth,-65
3.262,Bluetooth,-64
3.298,Bluetooth,-57
3.299,Bluetooth,-58
3.335,Bluetooth,-67
3.336,Bluetooth,-67
3.368,Bluetooth,-63
3.370,Bluetooth,-64
3.407,Bluetooth,-59
3.409,Bluetooth,-58
3.446,Bluetooth,-66
3.447,Bluetooth,-67
3.477,Bluetooth,-63
3.479,Bluetooth,-63
3.518,Bluetooth,-59
3.519,Bluetooth,-59
3.590,Bluetooth,-69
3.592,Bluetooth,-69
3.732,Bluetooth,-64
3.733,Bluetooth,-63
3.766,Bluetooth,-58
3.768,Bluetooth,-57
3.800,Bluetooth,-70
3.801,Bluetooth,-69
3.831,Bluetooth,-67
3.832,Bluetooth,-68
155.050,Bluetooth,-62
155.051,Bluetooth,-62
155.090,Bluetooth,-67
155.091,Bluetooth,-67
155.125,Bluetooth,-61
155.126,Bluetooth,-61
155.155,Bluetooth,-62
155.157,Bluetooth,-62
