Distance,6.0
TXDevice,iPhone11
TXPower,8
RXDevice,iPhone11_Pro_max
TXCarry,hand
RXCarry,hand
RXPose,sitting
TXPose,sitting
0.000,Bluetooth,-49
0.002,Bluetooth,-48
0.040,Bluetooth,-49
0.041,Bluetooth,-48
0.069,Bluetooth,-48
0.070,Bluetooth,-48
0.100,Bluetooth,-48
0.101,Bluetooth,-48
0.282,Bluetooth,-48
0.283,Bluetooth,-48
0.348,Bluetooth,-48
0.348,Bluetooth,-48
0.378,Bluetooth,-49
0.379,Bluetooth,-48
0.408,Bluetooth,-49
0.584,Bluetooth,-47
0.585,Bluetooth,-48
0.614,Bluetooth,-48
0.614,Bluetooth,-48
0.657,Bluetooth,-48
0.658,Bluetooth,-48
0.793,Bluetooth,-49
0.794,Bluetooth,-49
0.828,Bluetooth,-49
0.829,Bluetooth,-49
0.857,Bluetooth,-50
0.858,Bluetooth,-49
0.994,Bluetooth,-49
0.996,Bluetooth,-49
1.030,Bluetooth,-48
1.065,Bluetooth,-49
1.067,Bluetooth,-49
1.143,Bluetooth,-49
1.144,Bluetooth,-49
1.174,Bluetooth,-49
1.175,Bluetooth,-49
1.212,Bluetooth,-49
1.214,Bluetooth,-49
1.247,Bluetooth,-49
1.247,Bluetooth,-49
1.281,Bluetooth,-49
1.282,Bluetooth,-49
1.321,Bluetooth,-49
1.352,Bluetooth,-48
1.392,Bluetooth,-49
1.394,Bluetooth,-48
1.427,Bluetooth,-49
1.428,Bluetooth,-48
1.563,Bluetooth,-50
1.564,Bluetooth,-50
1.594,Bluetooth,-50
1.595,Bluetooth,-49
1.632,Bluetooth,-49
1.736,Bluetooth,-48
1.737,Bluetooth,-49
1.765,Bluetooth,-49
1.767,Bluetooth,-49
1.801,Bluetooth,-49
1.906,Bluetooth,-50
1.907,Bluetooth,-48
1.908,Bluetooth,-50
1.943,Bluetooth,-50
1.944,Bluetooth,-49
1.980,Bluetooth,-48
1.981,Bluetooth,-49
2.046,Bluetooth,-50
2.046,Bluetooth,-49
2.076,Bluetooth,-49
2.077,Bluetooth,-49
2.113,Bluetooth,-48
2.115,Bluetooth,-49
2.150,Bluetooth,-48
2.150,Bluetooth,-49
2.185,Bluetooth,-49
2.187,Bluetooth,-49
2.220,Bluetooth,-49
2.251,Bluetooth,-49
2.253,Bluetooth,-50
2.287,Bluetooth,-48
2.288,Bluetooth,-49
2.365,Bluetooth,-48
2.366,Bluetooth,-49
2.406,Bluetooth,-48
2.407,Bluetooth,-49
2.442,Bluetooth,-49
2.443,Bluetooth,-48
2.480,Bluetooth,-49
2.481,Bluetooth,-49
2.518,Bluetooth,-48
2.555,Bluetooth,-49
2.557,Bluetooth,-49
2.635,Bluetooth,-49
2.637,Bluetooth,-49
2.673,Bluetooth,-50
2.674,Bluetooth,-49
2.707,Bluetooth,-48
2.708,Bluetooth,-48
2.808,Bluetooth,-49
2.919,Bluetooth,-48
2.920,Bluetooth,-48
2.985,Bluetooth,-49
2.986,Bluetooth,-49
3.087,Bluetooth,-49
3.089,Bluetooth,-49
3.120,Bluetooth,-49
3.199,Bluetooth,-48
3.200,Bluetooth,-49
3.270,Bluetooth,-48
3.272,Bluetooth,-48
3.311,Bluetooth,-49
3.312,Bluetooth,-49
3.344,Bluetooth,-49
3.346,Bluetooth,-49
3.415,Bluetooth,-47
3.454,Bluetooth,-49
3.455,Bluetooth,-48
3.486,Bluetooth,-48
3.486,Bluetooth,-48
3.519,Bluetooth,-48
3.520,Bluetooth,-47
3.626,Bluetooth,-47
3.627,Bluetooth,-48
3.658,Bluetooth,-48
3.659,Bluetooth,-48
