Distance,15.0
TXDevice,iPhoneXS
TXPower,12
RXDevice,iPhone8
TXCarry,pocket
RXCarry,hand
RXPose,standing
TXPose,sitting
0.000,Bluetooth,-58
0.001,Bluetooth,-60
0.075,Bluetooth,-54
0.076,Bluetooth,-53
0.104,Bluetooth,-60
0.105,Bluetooth,-60
0.141,Bluetooth,-61
0.142,Bluetooth,-62
0.176,Bluetooth,-54
0.177,Bluetooth,-54
0.208,Bluetooth,-61
0.209,Bluetooth,-59
0.243,Bluetooth,-61
0.244,Bluetooth,-61
0.320,Bluetooth,-53
0.321,Bluetooth,-53
0.387,Bluetooth,-61
0.388,Bluetooth,-62
0.458,Bluetooth,-60
0.459,Bluetooth,-59
0.491,Bluetooth,-60
0.492,Bluetooth,-62
0.523,Bluetooth,-55
0.524,Bluetooth,-54
0.595,Bluetooth,-59
0.597,Bluetooth,-59
0.627,Bluetooth,-61
0.628,Bluetooth,-62
0.664,Bluetooth,-54
0.665,Bluetooth,-54
0.695,Bluetooth,-59
0.696,Bluetooth,-59
0.760,Bluetooth,-62
0.761,Bluetooth,-61
0.800,Bluetooth,-54
0.801,Bluetooth,-53
0.838,Bluetooth,-58
0.839,Bluetooth,-58
0.875,Bluetooth,-61
0.917,Bluetooth,-54
0.918,Bluetooth,-53
0.949,Bluetooth,-58
0.950,Bluetooth,-58
0.990,Bluetooth,-61
0.991,Bluetooth,-61
1.059,Bluetooth,-59
1.100,Bluetooth,-61
1.101,Bluetooth,-62
1.134,Bluetooth,-54
1.134,Bluetooth,-55
1.172,Bluetooth,-57
1.173,Bluetooth,-57
1.211,Bluetooth,-61
1.213,Bluetooth,-61
1.318,Bluetooth,-57
1.418,Bluetooth,-59
1.449,Bluetooth,-63
1.450,Bluetooth,-63
1.554,Bluetooth,-60
1.555,Bluetooth,-59
1.623,Bluetooth,-53
1.624,Bluetooth,-54
1.659,Bluetooth,-60
1.661,Bluetooth,-60
1.696,Bluetooth,-62
1.697,Bluetooth,-63
1.765,Bluetooth,-60
1.766,Bluetooth,-59
1.799,Bluetooth,-61
1.800,Bluetooth,-59
1.840,Bluetooth,-63
1.841,Bluetooth,-63
1.917,Bluetooth,-59
1.918,Bluetooth,-60
1.959,Bluetooth,-62
1.960,Bluetooth,-61
2.027,Bluetooth,-59
2.028,Bluetooth,-61
2.101,Bluetooth,-53
2.207,Bluetooth,-55
2.208,Bluetooth,-54
2.243,Bluetooth,-59
2.244,Bluetooth,-59
2.275,Bluetooth,-60
2.275,Bluetooth,-58
2.305,Bluetooth,-62
2.306,Bluetooth,-62
2.340,Bluetooth,-54
2.341,Bluetooth,-54
2.370,Bluetooth,-60
2.371,Bluetooth,-58
2.409,Bluetooth,-61
2.411,Bluetooth,-61
2.449,Bluetooth,-53
2.450,Bluetooth,-54
2.481,Bluetooth,-53
2.482,Bluetooth,-53
2.550,Bluetooth,-60
2.552,Bluetooth,-61
2.582,Bluetooth,-55
2.583,Bluetooth,-55
2.653,Bluetooth,-61
2.654,Bluetooth,-61
2.686,Bluetooth,-53
2.688,Bluetooth,-54
2.718,Bluetooth,-54
2.719,Bluetooth,-55
2.846,Bluetooth,-58
2.847,Bluetooth,-58
2.878,Bluetooth,-58
2.879,Bluetooth,-58
2.914,Bluetooth,-61
2.915,Bluetooth,-61
2.980,Bluetooth,-58
2.981,Bluetooth,-58
3.093,Bluetooth,-57
3.094,Bluetooth,-58
3.134,Bluetooth,-62
3.135,Bluetooth,-61
3.171,Bluetooth,-55
3.172,Bluetooth,-54
3.200,Bluetooth,-54
3.201,Bluetooth,-53
3.239,Bluetooth,-58
3.240,Bluetooth,-59
3.344,Bluetooth,-59
3.345,Bluetooth,-58
3.380,Bluetooth,-62
3.381,Bluetooth,-62
3.415,Bluetooth,-54
3.416,Bluetooth,-54
3.597,Bluetooth,-60
3.598,Bluetooth,-60
3.632,Bluetooth,-60
3.633,Bluetooth,-62
3.670,Bluetooth,-55
3.671,Bluetooth,-54
3.704,Bluetooth,-59
3.706,Bluetooth,-59
3.736,Bluetooth,-62
3.738,Bluetooth,-62
3.806,Bluetooth,-59
3.807,Bluetooth,-59
3.943,Bluetooth,-59
3.944,Bluetooth,-58
3.979,Bluetooth,-62
3.980,Bluetooth,-61
90.672,Bluetooth,-55
90.673,Bluetooth,-55
90.706,Bluetooth,-56
90.707,Bluetooth,-56
90.737,Bluetooth,-58
90.738,Bluetooth,-60
90.768,Bluetooth,-55
90.769,Bluetooth,-54
90.851,Bluetooth,-62
90.852,Bluetooth,-62
90.881,Bluetooth,-53
90.883,Bluetooth,-54
90.987,Bluetooth,-59
90.988,Bluetooth,-61
91.059,Bluetooth,-58
91.061,Bluetooth,-58
91.091,Bluetooth,-59
91.092,Bluetooth,-59
91.128,Bluetooth,-52
91.129,Bluetooth,-52
91.163,Bluetooth,-57
91.193,Bluetooth,-57
91.231,Bluetooth,-60
91.232,Bluetooth,-60
91.309,Bluetooth,-57
91.310,Bluetooth,-59
91.350,Bluetooth,-61
91.351,Bluetooth,-60
91.421,Bluetooth,-56
91.422,Bluetooth,-58
91.456,Bluetooth,-59
91.458,Bluetooth,-60
91.489,Bluetooth,-52
91.491,Bluetooth,-51
91.523,Bluetooth,-58
91.525,Bluetooth,-58
91.554,Bluetooth,-57
91.556,Bluetooth,-57
91.628,Bluetooth,-52
91.629,Bluetooth,-51
91.667,Bluetooth,-58
91.669,Bluetooth,-57
91.702,Bluetooth,-62
91.704,Bluetooth,-62
91.773,Bluetooth,-58
91.775,Bluetooth,-58
91.811,Bluetooth,-61
91.812,Bluetooth,-60
91.844,Bluetooth,-52
91.845,Bluetooth,-53
91.982,Bluetooth,-52
91.983,Bluetooth,-52
92.024,Bluetooth,-58
92.025,Bluetooth,-58
92.054,Bluetooth,-60
92.055,Bluetooth,-60
92.082,Bluetooth,-53
92.083,Bluetooth,-53
92.116,Bluetooth,-52
92.117,Bluetooth,-52
92.149,Bluetooth,-58
92.150,Bluetooth,-57
92.188,Bluetooth,-60
92.189,Bluetooth,-60
92.221,Bluetooth,-52
92.222,Bluetooth,-51
92.255,Bluetooth,-58
92.256,Bluetooth,-58
92.330,Bluetooth,-52
92.331,Bluetooth,-51
92.371,Bluetooth,-58
92.372,Bluetooth,-57
92.442,Bluetooth,-52
92.444,Bluetooth,-52
92.479,Bluetooth,-58
92.481,Bluetooth,-58
92.513,Bluetooth,-57
92.514,Bluetooth,-58
92.582,Bluetooth,-52
92.623,Bluetooth,-58
92.624,Bluetooth,-58
92.658,Bluetooth,-59
92.659,Bluetooth,-60
92.690,Bluetooth,-52
92.690,Bluetooth,-52
92.725,Bluetooth,-57
92.726,Bluetooth,-57
92.829,Bluetooth,-52
92.830,Bluetooth,-52
92.861,Bluetooth,-58
92.862,Bluetooth,-58
92.894,Bluetooth,-58
92.895,Bluetooth,-58
92.931,Bluetooth,-52
92.932,Bluetooth,-52
92.966,Bluetooth,-58
93.003,Bluetooth,-58
93.004,Bluetooth,-57
93.039,Bluetooth,-52
93.040,Bluetooth,-53
93.072,Bluetooth,-53
93.073,Bluetooth,-53
93.104,Bluetooth,-58
93.105,Bluetooth,-58
93.144,Bluetooth,-58
93.145,Bluetooth,-58
93.172,Bluetooth,-53
93.173,Bluetooth,-53
93.207,Bluetooth,-59
93.208,Bluetooth,-60
93.240,Bluetooth,-58
93.241,Bluetooth,-58
93.272,Bluetooth,-59
93.274,Bluetooth,-58
93.310,Bluetooth,-53
93.311,Bluetooth,-54
93.383,Bluetooth,-59
93.384,Bluetooth,-58
93.490,Bluetooth,-58
