Distance,6.0
TXDevice,iPhone6s
TXPower,12
RXDevice,iPhone6s
TXCarry,pocket
RXCarry,hand
RXPose,standing
TXPose,standing
0.000,Bluetooth,-68
0.001,Bluetooth,-67
0.032,Bluetooth,-74
0.034,Bluetooth,-75
0.062,Bluetooth,-77
0.062,Bluetooth,-78
0.088,Bluetooth,-68
0.088,Bluetooth,-67
0.154,Bluetooth,-74
0.154,Bluetooth,-72
0.183,Bluetooth,-78
0.184,Bluetooth,-79
0.215,Bluetooth,-68
0.215,Bluetooth,-69
0.247,Bluetooth,-75
0.247,Bluetooth,-74
0.311,Bluetooth,-78
0.311,Bluetooth,-79
0.343,Bluetooth,-69
0.344,Bluetooth,-69
0.372,Bluetooth,-76
0.372,Bluetooth,-76
0.432,Bluetooth,-79
0.433,Bluetooth,-79
0.495,Bluetooth,-78
0.495,Bluetooth,-77
0.555,Bluetooth,-79
0.555,Bluetooth,-78
0.585,Bluetooth,-70
0.585,Bluetooth,-69
0.620,Bluetooth,-78
0.620,Bluetooth,-77
0.648,Bluetooth,-79
0.649,Bluetooth,-79
0.679,Bluetooth,-78
0.679,Bluetooth,-78
0.709,Bluetooth,-71
0.709,Bluetooth,-70
0.740,Bluetooth,-79
0.740,Bluetooth,-77
0.768,Bluetooth,-78
0.769,Bluetooth,-79
0.804,Bluetooth,-70
0.805,Bluetooth,-68
0.834,Bluetooth,-70
0.834,Bluetooth,-69
0.868,Bluetooth,-77
0.869,Bluetooth,-77
0.899,Bluetooth,-79
0.899,Bluetooth,-79
0.931,Bluetooth,-69
0.932,Bluetooth,-68
0.962,Bluetooth,-69
0.962,Bluetooth,-69
0.994,Bluetooth,-77
0.994,Bluetooth,-77
1.025,Bluetooth,-78
1.026,Bluetooth,-79
1.055,Bluetooth,-70
1.056,Bluetooth,-69
1.091,Bluetooth,-77
1.093,Bluetooth,-76
1.156,Bluetooth,-79
1.157,Bluetooth,-77
1.190,Bluetooth,-69
1.190,Bluetooth,-68
1.224,Bluetooth,-76
1.225,Bluetooth,-76
1.254,Bluetooth,-78
1.254,Bluetooth,-80
1.287,Bluetooth,-69
1.287,Bluetooth,-69
1.318,Bluetooth,-69
1.318,Bluetooth,-69
1.349,Bluetooth,-77
1.349,Bluetooth,-75
1.381,Bluetooth,-78
1.381,Bluetooth,-77
1.413,Bluetooth,-69
1.413,Bluetooth,-68
1.446,Bluetooth,-76
1.447,Bluetooth,-75
1.477,Bluetooth,-76
1.478,Bluetooth,-75
1.510,Bluetooth,-78
1.511,Bluetooth,-79
1.541,Bluetooth,-69
1.542,Bluetooth,-69
1.572,Bluetooth,-77
1.573,Bluetooth,-75
1.636,Bluetooth,-79
1.637,Bluetooth,-79
1.665,Bluetooth,-70
1.666,Bluetooth,-69
1.696,Bluetooth,-74
1.697,Bluetooth,-74
1.757,Bluetooth,-78
1.759,Bluetooth,-78
1.788,Bluetooth,-69
1.789,Bluetooth,-67
1.822,Bluetooth,-76
1.823,Bluetooth,-74
1.852,Bluetooth,-78
1.853,Bluetooth,-78
1.914,Bluetooth,-69
1.915,Bluetooth,-69
1.945,Bluetooth,127
1.977,Bluetooth,-77
1.979,Bluetooth,-78
2.009,Bluetooth,-69
2.011,Bluetooth,-69
2.039,Bluetooth,-69
2.040,Bluetooth,-67
2.070,Bluetooth,-76
2.071,Bluetooth,-77
2.099,Bluetooth,-78
2.101,Bluetooth,-78
2.130,Bluetooth,-68
2.132,Bluetooth,-66
2.163,Bluetooth,127
2.194,Bluetooth,-78
2.195,Bluetooth,-75
2.226,Bluetooth,-78
2.228,Bluetooth,-78
2.256,Bluetooth,127
2.288,Bluetooth,-77
2.290,Bluetooth,-76
2.318,Bluetooth,126
2.348,Bluetooth,-78
2.349,Bluetooth,-78
2.379,Bluetooth,-68
2.381,Bluetooth,-68
2.412,Bluetooth,-76
2.413,Bluetooth,-75
2.440,Bluetooth,-77
2.441,Bluetooth,-76
2.535,Bluetooth,-77
2.536,Bluetooth,-75
2.567,Bluetooth,-74
2.568,Bluetooth,-76
2.628,Bluetooth,-67
2.630,Bluetooth,-66
2.691,Bluetooth,-74
2.694,Bluetooth,-74
2.721,Bluetooth,127
2.753,Bluetooth,-65
2.754,Bluetooth,-66
2.787,Bluetooth,126
2.817,Bluetooth,-74
2.819,Bluetooth,-75
2.849,Bluetooth,126
2.881,Bluetooth,-64
2.882,Bluetooth,-65
2.915,Bluetooth,127
2.944,Bluetooth,-73
2.946,Bluetooth,-73
2.976,Bluetooth,128
3.010,Bluetooth,-74
3.012,Bluetooth,-74
3.039,Bluetooth,126
3.072,Bluetooth,-74
3.072,Bluetooth,-73
3.107,Bluetooth,128
3.138,Bluetooth,-74
3.138,Bluetooth,-74
3.170,Bluetooth,127
3.201,Bluetooth,-74
3.202,Bluetooth,-74
