Distance,4.0
TXDevice,iPhoneXS
TXPower,12
RXDevice,iPhone8
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-58
0.001,Bluetooth,-58
0.029,Bluetooth,-62
0.030,Bluetooth,-63
0.063,Bluetooth,-60
0.064,Bluetooth,-63
0.100,Bluetooth,-55
0.101,Bluetooth,-54
0.134,Bluetooth,-58
0.135,Bluetooth,-59
0.168,Bluetooth,-61
0.169,Bluetooth,-61
0.280,Bluetooth,-61
0.281,Bluetooth,-61
0.315,Bluetooth,-55
0.316,Bluetooth,-53
0.355,Bluetooth,-58
0.356,Bluetooth,-58
0.391,Bluetooth,-61
0.392,Bluetooth,-61
0.425,Bluetooth,-60
0.425,Bluetooth,-61
0.525,Bluetooth,-60
0.527,Bluetooth,-59
0.560,Bluetooth,-54
0.561,Bluetooth,-54
0.626,Bluetooth,-59
0.627,Bluetooth,-58
0.664,Bluetooth,-60
0.666,Bluetooth,-59
0.701,Bluetooth,-54
0.702,Bluetooth,-55
0.733,Bluetooth,-59
0.734,Bluetooth,-60
0.771,Bluetooth,-60
0.773,Bluetooth,-60
0.806,Bluetooth,-55
0.876,Bluetooth,-59
0.877,Bluetooth,-57
0.912,Bluetooth,-54
0.913,Bluetooth,-54
0.950,Bluetooth,-57
0.951,Bluetooth,-57
0.989,Bluetooth,-58
0.990,Bluetooth,-58
1.024,Bluetooth,-57
1.025,Bluetooth,-58
1.061,Bluetooth,-54
1.062,Bluetooth,-53
1.103,Bluetooth,-57
1.104,Bluetooth,-57
1.236,Bluetooth,-58
1.237,Bluetooth,-58
1.268,Bluetooth,-58
1.306,Bluetooth,-52
1.307,Bluetooth,-53
1.335,Bluetooth,-58
1.336,Bluetooth,-58
1.369,Bluetooth,-58
1.370,Bluetooth,-58
1.433,Bluetooth,-57
1.434,Bluetooth,-58
1.466,Bluetooth,-57
1.467,Bluetooth,-59
1.504,Bluetooth,-58
1.506,Bluetooth,-57
1.615,Bluetooth,-59
1.616,Bluetooth,-58
1.726,Bluetooth,-57
1.727,Bluetooth,-57
1.797,Bluetooth,-56
1.798,Bluetooth,-56
1.828,Bluetooth,-58
1.829,Bluetooth,-58
1.859,Bluetooth,-58
1.860,Bluetooth,-58
1.893,Bluetooth,-54
1.894,Bluetooth,-54
1.927,Bluetooth,-56
1.963,Bluetooth,-59
1.964,Bluetooth,-57
2.069,Bluetooth,-59
2.070,Bluetooth,-58
2.110,Bluetooth,-54
2.111,Bluetooth,-52
2.151,Bluetooth,-56
2.152,Bluetooth,-56
2.188,Bluetooth,-59
2.189,Bluetooth,-59
2.231,Bluetooth,-52
2.232,Bluetooth,-52
2.266,Bluetooth,-53
2.267,Bluetooth,-53
2.306,Bluetooth,-55
2.307,Bluetooth,-56
2.342,Bluetooth,-59
2.343,Bluetooth,-59
2.380,Bluetooth,-54
2.381,Bluetooth,-53
2.411,Bluetooth,-55
2.412,Bluetooth,-54
2.442,Bluetooth,-59
2.443,Bluetooth,-58
2.478,Bluetooth,-54
2.479,Bluetooth,-53
2.577,Bluetooth,-59
2.711,Bluetooth,-53
2.712,Bluetooth,-53
2.812,Bluetooth,-58
2.813,Bluetooth,-58
2.849,Bluetooth,-54
2.850,Bluetooth,-53
2.921,Bluetooth,-59
2.922,Bluetooth,-59
2.953,Bluetooth,-54
2.954,Bluetooth,-55
3.064,Bluetooth,-59
3.065,Bluetooth,-59
3.177,Bluetooth,-58
3.178,Bluetooth,-58
3.251,Bluetooth,-56
3.252,Bluetooth,-57
3.286,Bluetooth,-59
3.287,Bluetooth,-57
3.323,Bluetooth,-53
3.354,Bluetooth,-56
3.355,Bluetooth,-57
3.417,Bluetooth,-58
3.418,Bluetooth,-59
3.457,Bluetooth,-52
3.458,Bluetooth,-53
3.491,Bluetooth,-56
3.492,Bluetooth,-57
3.561,Bluetooth,-53
3.562,Bluetooth,-53
3.687,Bluetooth,-54
3.688,Bluetooth,-53
3.791,Bluetooth,-54
3.792,Bluetooth,-54
3.828,Bluetooth,-56
3.829,Bluetooth,-58
3.905,Bluetooth,-61
3.906,Bluetooth,-62
3.941,Bluetooth,-54
3.942,Bluetooth,-54
3.971,Bluetooth,-55
3.972,Bluetooth,-56
27.869,Bluetooth,-74
27.870,Bluetooth,-74
27.975,Bluetooth,-75
27.976,Bluetooth,-74
28.014,Bluetooth,-76
28.015,Bluetooth,-75
28.046,Bluetooth,-68
28.047,Bluetooth,-67
28.077,Bluetooth,-74
28.078,Bluetooth,-75
28.112,Bluetooth,-75
28.177,Bluetooth,-66
28.178,Bluetooth,-66
28.213,Bluetooth,-77
28.214,Bluetooth,-77
28.247,Bluetooth,-76
28.288,Bluetooth,-66
28.289,Bluetooth,-66
28.423,Bluetooth,-67
28.424,Bluetooth,-66
28.458,Bluetooth,-76
28.460,Bluetooth,-76
28.495,Bluetooth,-77
28.533,Bluetooth,-66
28.534,Bluetooth,-67
28.570,Bluetooth,-75
28.571,Bluetooth,-75
28.604,Bluetooth,-76
28.643,Bluetooth,-67
28.671,Bluetooth,-76
28.672,Bluetooth,-75
28.710,Bluetooth,-75
28.745,Bluetooth,-74
28.816,Bluetooth,-73
28.818,Bluetooth,-73
28.856,Bluetooth,-74
28.889,Bluetooth,-66
28.891,Bluetooth,-66
28.921,Bluetooth,-72
28.923,Bluetooth,-72
28.995,Bluetooth,-66
28.996,Bluetooth,-67
29.068,Bluetooth,-70
29.104,Bluetooth,-72
29.142,Bluetooth,-67
29.172,Bluetooth,-70
29.205,Bluetooth,-73
29.338,Bluetooth,-73
29.339,Bluetooth,-73
29.370,Bluetooth,-68
29.371,Bluetooth,-69
29.398,Bluetooth,-69
29.399,Bluetooth,-70
29.431,Bluetooth,-73
29.432,Bluetooth,-73
29.467,Bluetooth,-73
29.468,Bluetooth,-74
29.536,Bluetooth,-68
29.537,Bluetooth,-68
29.576,Bluetooth,-71
29.577,Bluetooth,-70
29.636,Bluetooth,-68
29.637,Bluetooth,-68
29.742,Bluetooth,-69
29.743,Bluetooth,-68
29.775,Bluetooth,-67
29.776,Bluetooth,-67
29.855,Bluetooth,-69
29.856,Bluetooth,-69
29.929,Bluetooth,-73
29.930,Bluetooth,-74
30.007,Bluetooth,-67
30.040,Bluetooth,-73
30.042,Bluetooth,-73
30.071,Bluetooth,-69
30.073,Bluetooth,-69
30.106,Bluetooth,-69
30.107,Bluetooth,-69
30.141,Bluetooth,-68
30.142,Bluetooth,-68
30.174,Bluetooth,-72
30.175,Bluetooth,-73
30.210,Bluetooth,-69
30.211,Bluetooth,-69
30.240,Bluetooth,-69
30.241,Bluetooth,-69
30.275,Bluetooth,-72
30.312,Bluetooth,-68
30.314,Bluetooth,-68
30.381,Bluetooth,-68
30.382,Bluetooth,-68
30.490,Bluetooth,-68
30.491,Bluetooth,-68
30.525,Bluetooth,-74
30.563,Bluetooth,-69
30.565,Bluetooth,-69
30.604,Bluetooth,-69
30.605,Bluetooth,-68
30.741,Bluetooth,-67
30.742,Bluetooth,-68
30.780,Bluetooth,-80
30.781,Bluetooth,-79
30.814,Bluetooth,-69
30.815,Bluetooth,-69
30.855,Bluetooth,-68
30.856,Bluetooth,-68
30.883,Bluetooth,-73
30.884,Bluetooth,-75
30.919,Bluetooth,-69
30.920,Bluetooth,-68
30.951,Bluetooth,-69
30.952,Bluetooth,-68
31.120,Bluetooth,-73
31.121,Bluetooth,-74
31.154,Bluetooth,-68
31.155,Bluetooth,-69
31.255,Bluetooth,-72
31.256,Bluetooth,-74
31.325,Bluetooth,-69
31.327,Bluetooth,-68
31.362,Bluetooth,-73
31.438,Bluetooth,-69
31.439,Bluetooth,-68
31.514,Bluetooth,-69
31.515,Bluetooth,-69
31.544,Bluetooth,-69
31.545,Bluetooth,-70
31.583,Bluetooth,-68
31.584,Bluetooth,-68
31.618,Bluetooth,-74
31.690,Bluetooth,-68
31.691,Bluetooth,-68
31.727,Bluetooth,-74
31.766,Bluetooth,-68
31.767,Bluetooth,-68
31.796,Bluetooth,-68
31.797,Bluetooth,-68
31.835,Bluetooth,-73
60.166,Bluetooth,-58
60.168,Bluetooth,-59
60.201,Bluetooth,-58
60.202,Bluetooth,-60
60.230,Bluetooth,-58
60.231,Bluetooth,-59
60.266,Bluetooth,-64
60.267,Bluetooth,-64
60.371,Bluetooth,-63
60.372,Bluetooth,-64
60.402,Bluetooth,-60
60.403,Bluetooth,-59
60.443,Bluetooth,-59
60.444,Bluetooth,-60
60.475,Bluetooth,-63
60.476,Bluetooth,-63
60.505,Bluetooth,-63
60.506,Bluetooth,-63
60.539,Bluetooth,-59
60.540,Bluetooth,-59
60.654,Bluetooth,-59
60.656,Bluetooth,-60
60.693,Bluetooth,-60
60.695,Bluetooth,-60
60.722,Bluetooth,-62
60.724,Bluetooth,-63
60.756,Bluetooth,-60
60.757,Bluetooth,-60
60.794,Bluetooth,-60
60.795,Bluetooth,-61
60.967,Bluetooth,-62
61.001,Bluetooth,-59
61.003,Bluetooth,-60
61.032,Bluetooth,-60
61.033,Bluetooth,-60
61.062,Bluetooth,-59
61.064,Bluetooth,-60
61.091,Bluetooth,-63
61.092,Bluetooth,-62
61.129,Bluetooth,-60
61.130,Bluetooth,-60
61.166,Bluetooth,-59
61.167,Bluetooth,-60
61.201,Bluetooth,-62
61.202,Bluetooth,-62
61.237,Bluetooth,-59
61.238,Bluetooth,-59
61.278,Bluetooth,-59
61.337,Bluetooth,-63
61.339,Bluetooth,-63
61.373,Bluetooth,-60
61.374,Bluetooth,-59
61.444,Bluetooth,-62
61.445,Bluetooth,-62
61.482,Bluetooth,-59
61.483,Bluetooth,-59
61.573,Bluetooth,-62
61.575,Bluetooth,-62
61.606,Bluetooth,-58
61.607,Bluetooth,-58
61.644,Bluetooth,-59
61.646,Bluetooth,-61
61.742,Bluetooth,-59
61.743,Bluetooth,-59
61.773,Bluetooth,-59
61.774,Bluetooth,-60
61.803,Bluetooth,-62
61.805,Bluetooth,-64
61.843,Bluetooth,-59
61.844,Bluetooth,-60
61.879,Bluetooth,-58
62.024,Bluetooth,-59
62.025,Bluetooth,-59
62.053,Bluetooth,-63
62.054,Bluetooth,-64
62.092,Bluetooth,-59
62.093,Bluetooth,-59
62.125,Bluetooth,-60
62.126,Bluetooth,-59
62.200,Bluetooth,-60
62.232,Bluetooth,-59
62.233,Bluetooth,-59
62.261,Bluetooth,-58
62.262,Bluetooth,-59
62.292,Bluetooth,-62
62.293,Bluetooth,-63
62.323,Bluetooth,-59
62.324,Bluetooth,-60
62.361,Bluetooth,-59
62.362,Bluetooth,-58
62.394,Bluetooth,-63
62.395,Bluetooth,-63
62.429,Bluetooth,-63
62.430,Bluetooth,-63
62.462,Bluetooth,-59
62.463,Bluetooth,-60
62.496,Bluetooth,-58
62.497,Bluetooth,-58
62.675,Bluetooth,-60
62.676,Bluetooth,-60
62.777,Bluetooth,-60
62.779,Bluetooth,-60
62.810,Bluetooth,-59
62.811,Bluetooth,-60
62.887,Bluetooth,-65
62.926,Bluetooth,-60
62.927,Bluetooth,-60
62.964,Bluetooth,-58
62.964,Bluetooth,-57
62.995,Bluetooth,-65
62.995,Bluetooth,-64
63.029,Bluetooth,-60
63.030,Bluetooth,-60
63.062,Bluetooth,-60
63.063,Bluetooth,-61
63.097,Bluetooth,-56
63.130,Bluetooth,-65
63.130,Bluetooth,-64
63.161,Bluetooth,-60
63.161,Bluetooth,-59
63.193,Bluetooth,-58
63.194,Bluetooth,-57
63.256,Bluetooth,-63
63.256,Bluetooth,-63
63.292,Bluetooth,-60
63.293,Bluetooth,-60
63.329,Bluetooth,-57
63.331,Bluetooth,-58
63.395,Bluetooth,-59
63.397,Bluetooth,-59
63.427,Bluetooth,-60
63.428,Bluetooth,-61
63.496,Bluetooth,-64
63.497,Bluetooth,-63
63.574,Bluetooth,-59
63.576,Bluetooth,-59
63.680,Bluetooth,-59
63.681,Bluetooth,-59
63.748,Bluetooth,-59
63.749,Bluetooth,-60
63.778,Bluetooth,-60
63.779,Bluetooth,-61
63.856,Bluetooth,-63
63.858,Bluetooth,-64
63.895,Bluetooth,-59
63.896,Bluetooth,-60
64.009,Bluetooth,-60
64.010,Bluetooth,-60
64.051,Bluetooth,-59
64.052,Bluetooth,-59
64.080,Bluetooth,-59
64.081,Bluetooth,-60
92.898,Bluetooth,-73
92.899,Bluetooth,-73
92.929,Bluetooth,-54
92.930,Bluetooth,-54
93.035,Bluetooth,-55
93.036,Bluetooth,-54
93.076,Bluetooth,-55
93.077,Bluetooth,-55
93.145,Bluetooth,-73
93.146,Bluetooth,-73
93.175,Bluetooth,-55
93.177,Bluetooth,-54
93.217,Bluetooth,-55
93.218,Bluetooth,-57
93.245,Bluetooth,-70
93.247,Bluetooth,-71
93.277,Bluetooth,-55
93.278,Bluetooth,-56
93.355,Bluetooth,-70
93.356,Bluetooth,-71
93.392,Bluetooth,-54
93.393,Bluetooth,-53
93.433,Bluetooth,-56
93.434,Bluetooth,-56
93.498,Bluetooth,-66
93.499,Bluetooth,-66
93.571,Bluetooth,-54
93.572,Bluetooth,-57
93.604,Bluetooth,-68
93.605,Bluetooth,-69
93.739,Bluetooth,-68
93.740,Bluetooth,-70
93.802,Bluetooth,-55
93.804,Bluetooth,-55
93.831,Bluetooth,-70
93.865,Bluetooth,-68
93.867,Bluetooth,-69
93.900,Bluetooth,-54
93.901,Bluetooth,-54
93.938,Bluetooth,-56
93.968,Bluetooth,-68
94.068,Bluetooth,-66
94.069,Bluetooth,-67
94.098,Bluetooth,-67
94.099,Bluetooth,-68
94.174,Bluetooth,-56
94.176,Bluetooth,-55
94.203,Bluetooth,-66
94.204,Bluetooth,-68
94.278,Bluetooth,-55
94.280,Bluetooth,-55
94.313,Bluetooth,-67
94.314,Bluetooth,-67
94.344,Bluetooth,-68
94.346,Bluetooth,-67
94.376,Bluetooth,-55
94.377,Bluetooth,-54
94.408,Bluetooth,-55
94.409,Bluetooth,-56
94.441,Bluetooth,-67
94.442,Bluetooth,-66
94.519,Bluetooth,-57
94.520,Bluetooth,-56
94.556,Bluetooth,-76
94.557,Bluetooth,-75
94.618,Bluetooth,-54
94.619,Bluetooth,-56
94.686,Bluetooth,-67
94.687,Bluetooth,-68
94.725,Bluetooth,-55
94.727,Bluetooth,-56
94.770,Bluetooth,-55
94.771,Bluetooth,-56
94.801,Bluetooth,-62
94.802,Bluetooth,-62
