Distance,15.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhone11_Pro
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-64
0.001,Bluetooth,-63
0.030,Bluetooth,-61
0.032,Bluetooth,-60
0.067,Bluetooth,-60
0.068,Bluetooth,-59
0.101,Bluetooth,-64
0.102,Bluetooth,-64
0.130,Bluetooth,-60
0.131,Bluetooth,-60
0.194,Bluetooth,-59
0.196,Bluetooth,-60
0.228,Bluetooth,-62
0.229,Bluetooth,-62
0.257,Bluetooth,-59
0.259,Bluetooth,-59
0.291,Bluetooth,-58
0.322,Bluetooth,-58
0.322,Bluetooth,-58
0.353,Bluetooth,-61
0.354,Bluetooth,-61
0.386,Bluetooth,-58
0.387,Bluetooth,-58
0.422,Bluetooth,-58
0.423,Bluetooth,-58
0.455,Bluetooth,-62
0.456,Bluetooth,-62
0.516,Bluetooth,-58
0.517,Bluetooth,-58
0.549,Bluetooth,-58
0.551,Bluetooth,-57
0.587,Bluetooth,-60
0.587,Bluetooth,-60
0.614,Bluetooth,-58
0.615,Bluetooth,-57
0.681,Bluetooth,-57
0.682,Bluetooth,-57
0.745,Bluetooth,-62
0.746,Bluetooth,-61
0.776,Bluetooth,-58
0.777,Bluetooth,-58
0.809,Bluetooth,-57
0.810,Bluetooth,-57
0.902,Bluetooth,-59
0.903,Bluetooth,-58
0.932,Bluetooth,-57
0.933,Bluetooth,-57
0.964,Bluetooth,-62
0.965,Bluetooth,-63
1.029,Bluetooth,-58
1.030,Bluetooth,-60
1.058,Bluetooth,-58
1.060,Bluetooth,-56
1.093,Bluetooth,-61
1.095,Bluetooth,-61
1.129,Bluetooth,-57
1.130,Bluetooth,-58
1.194,Bluetooth,-57
1.196,Bluetooth,-57
1.259,Bluetooth,-58
1.261,Bluetooth,-57
1.291,Bluetooth,-57
1.293,Bluetooth,-57
1.386,Bluetooth,-58
1.387,Bluetooth,-58
1.418,Bluetooth,-56
1.419,Bluetooth,-56
1.450,Bluetooth,-63
1.451,Bluetooth,-63
1.512,Bluetooth,-57
1.513,Bluetooth,-58
1.545,Bluetooth,-57
1.546,Bluetooth,-57
1.579,Bluetooth,-60
1.579,Bluetooth,-60
1.606,Bluetooth,-58
1.607,Bluetooth,-58
1.739,Bluetooth,-56
1.739,Bluetooth,-57
1.769,Bluetooth,-57
1.770,Bluetooth,-56
1.834,Bluetooth,-60
1.835,Bluetooth,-60
1.866,Bluetooth,-57
1.867,Bluetooth,-58
1.895,Bluetooth,-57
1.896,Bluetooth,-57
1.928,Bluetooth,-61
1.930,Bluetooth,-62
2.019,Bluetooth,-58
2.021,Bluetooth,-58
2.051,Bluetooth,-57
2.147,Bluetooth,-58
2.148,Bluetooth,-57
2.182,Bluetooth,-60
2.183,Bluetooth,-60
2.217,Bluetooth,-63
2.218,Bluetooth,-63
2.247,Bluetooth,-58
2.249,Bluetooth,-59
2.280,Bluetooth,-58
2.281,Bluetooth,-58
2.312,Bluetooth,-59
2.313,Bluetooth,-59
2.346,Bluetooth,-62
2.347,Bluetooth,-62
2.375,Bluetooth,-57
2.376,Bluetooth,-57
2.436,Bluetooth,-59
2.438,Bluetooth,-59
2.467,Bluetooth,-59
2.469,Bluetooth,-60
2.501,Bluetooth,-58
2.502,Bluetooth,-57
2.531,Bluetooth,-58
2.533,Bluetooth,-58
2.596,Bluetooth,-60
2.597,Bluetooth,-61
2.630,Bluetooth,-59
2.630,Bluetooth,-59
2.659,Bluetooth,-58
2.660,Bluetooth,-58
2.758,Bluetooth,-58
2.760,Bluetooth,-57
2.791,Bluetooth,-59
2.792,Bluetooth,-59
2.826,Bluetooth,-62
2.827,Bluetooth,-61
2.854,Bluetooth,-57
2.855,Bluetooth,-59
2.919,Bluetooth,-61
2.920,Bluetooth,-61
2.949,Bluetooth,-62
2.951,Bluetooth,-62
2.981,Bluetooth,-59
2.982,Bluetooth,-59
3.012,Bluetooth,-62
3.013,Bluetooth,-64
3.076,Bluetooth,-62
3.077,Bluetooth,-64
3.109,Bluetooth,-61
3.110,Bluetooth,-62
3.141,Bluetooth,-61
