Distance,15.0
TXDevice,iPhone6s
TXPower,12
RXDevice,iPhone6s
TXCarry,pocket
RXCarry,hand
RXPose,standing
TXPose,standing
0.000,Bluetooth,-73
0.002,Bluetooth,-72
0.033,Bluetooth,127
0.066,Bluetooth,-72
0.068,Bluetooth,-72
0.095,Bluetooth,-74
0.096,Bluetooth,-73
0.125,Bluetooth,128
0.155,Bluetooth,-73
0.156,Bluetooth,-74
0.190,Bluetooth,126
0.220,Bluetooth,-73
0.221,Bluetooth,-75
0.250,Bluetooth,128
0.283,Bluetooth,127
0.316,Bluetooth,-72
0.317,Bluetooth,-74
0.350,Bluetooth,-75
0.351,Bluetooth,-75
0.378,Bluetooth,-74
0.379,Bluetooth,-75
0.414,Bluetooth,-74
0.415,Bluetooth,-75
0.445,Bluetooth,-75
0.446,Bluetooth,-76
0.480,Bluetooth,-75
0.481,Bluetooth,-74
0.509,Bluetooth,-75
0.509,Bluetooth,-75
0.539,Bluetooth,-74
0.540,Bluetooth,-74
0.574,Bluetooth,-75
0.575,Bluetooth,-75
0.634,Bluetooth,-75
0.635,Bluetooth,-74
0.664,Bluetooth,-72
0.666,Bluetooth,-74
0.698,Bluetooth,-74
0.699,Bluetooth,-74
0.729,Bluetooth,-75
0.729,Bluetooth,-75
0.762,Bluetooth,-74
0.763,Bluetooth,-74
0.794,Bluetooth,-73
0.795,Bluetooth,-73
0.826,Bluetooth,-76
0.826,Bluetooth,-75
0.858,Bluetooth,-76
0.859,Bluetooth,-75
0.888,Bluetooth,-74
0.889,Bluetooth,-73
0.918,Bluetooth,-74
0.919,Bluetooth,-75
0.952,Bluetooth,-76
0.953,Bluetooth,-76
0.986,Bluetooth,-76
0.988,Bluetooth,-75
1.014,Bluetooth,-74
1.016,Bluetooth,-74
1.049,Bluetooth,-76
1.051,Bluetooth,-76
1.113,Bluetooth,-74
1.114,Bluetooth,-75
1.148,Bluetooth,-73
1.150,Bluetooth,-74
1.183,Bluetooth,-76
1.185,Bluetooth,-76
1.214,Bluetooth,-74
1.215,Bluetooth,-75
1.244,Bluetooth,-74
1.245,Bluetooth,-74
1.274,Bluetooth,-73
1.275,Bluetooth,-74
1.305,Bluetooth,-75
1.306,Bluetooth,-76
1.336,Bluetooth,-75
1.337,Bluetooth,-75
1.371,Bluetooth,-74
1.372,Bluetooth,-73
1.405,Bluetooth,-75
1.405,Bluetooth,-74
1.439,Bluetooth,-75
1.441,Bluetooth,-75
1.599,Bluetooth,-76
1.601,Bluetooth,-76
1.632,Bluetooth,-73
1.633,Bluetooth,-74
1.694,Bluetooth,-74
1.695,Bluetooth,-76
1.788,Bluetooth,-75
1.789,Bluetooth,-75
1.818,Bluetooth,-75
1.819,Bluetooth,-76
1.853,Bluetooth,-73
1.855,Bluetooth,-74
1.885,Bluetooth,-75
1.886,Bluetooth,-75
1.919,Bluetooth,-74
1.920,Bluetooth,-75
1.949,Bluetooth,-75
1.951,Bluetooth,-75
1.980,Bluetooth,-72
1.981,Bluetooth,-73
2.015,Bluetooth,-75
2.019,Bluetooth,-74
2.046,Bluetooth,-76
