Distance,6.0
TXDevice,iPhoneXS
TXPower,12
RXDevice,iPhone8
TXCarry,pocket
RXCarry,pocket
RXPose,standing
TXPose,sitting
0.000,Bluetooth,-60
0.001,Bluetooth,-60
0.034,Bluetooth,-65
0.035,Bluetooth,-64
0.065,Bluetooth,-69
0.066,Bluetooth,-70
0.100,Bluetooth,-60
0.101,Bluetooth,-60
0.130,Bluetooth,-60
0.132,Bluetooth,-59
0.319,Bluetooth,-67
0.320,Bluetooth,-68
0.353,Bluetooth,-61
0.354,Bluetooth,-60
0.423,Bluetooth,-67
0.424,Bluetooth,-68
0.596,Bluetooth,-61
0.597,Bluetooth,-61
0.637,Bluetooth,-67
0.638,Bluetooth,-66
0.673,Bluetooth,-67
0.674,Bluetooth,-66
0.708,Bluetooth,-61
0.709,Bluetooth,-60
0.743,Bluetooth,-65
0.744,Bluetooth,-66
0.774,Bluetooth,-66
0.775,Bluetooth,-66
0.845,Bluetooth,-61
0.846,Bluetooth,-61
0.957,Bluetooth,-61
0.958,Bluetooth,-61
0.996,Bluetooth,-80
0.997,Bluetooth,-79
1.029,Bluetooth,-65
1.030,Bluetooth,-64
1.098,Bluetooth,-77
1.128,Bluetooth,-79
1.233,Bluetooth,-76
1.234,Bluetooth,-76
1.267,Bluetooth,-62
1.269,Bluetooth,-61
1.296,Bluetooth,-59
1.297,Bluetooth,-61
1.331,Bluetooth,-60
1.332,Bluetooth,-60
1.362,Bluetooth,-73
1.363,Bluetooth,-73
1.400,Bluetooth,-66
1.429,Bluetooth,-63
1.431,Bluetooth,-63
1.465,Bluetooth,-86
1.466,Bluetooth,-87
1.503,Bluetooth,-69
1.504,Bluetooth,-68
1.539,Bluetooth,-59
1.540,Bluetooth,-59
1.614,Bluetooth,-71
1.649,Bluetooth,-70
1.651,Bluetooth,-72
1.683,Bluetooth,-62
1.684,Bluetooth,-61
1.714,Bluetooth,-67
1.715,Bluetooth,-68
1.752,Bluetooth,-69
1.753,Bluetooth,-68
1.782,Bluetooth,-64
1.783,Bluetooth,-63
1.849,Bluetooth,-63
1.850,Bluetooth,-62
1.880,Bluetooth,-64
1.881,Bluetooth,-64
1.917,Bluetooth,-61
1.918,Bluetooth,-61
1.951,Bluetooth,-60
1.952,Bluetooth,-61
1.991,Bluetooth,-61
1.992,Bluetooth,-62
2.022,Bluetooth,-61
2.055,Bluetooth,-60
2.056,Bluetooth,-60
2.131,Bluetooth,-62
2.132,Bluetooth,-61
2.166,Bluetooth,-61
2.167,Bluetooth,-60
2.201,Bluetooth,-61
2.202,Bluetooth,-61
2.232,Bluetooth,-60
