Distance,10.0
TXDevice,iPhoneXS
TXPower,12
RXDevice,iPhone8
TXCarry,pocket
RXCarry,pocket
RXPose,standing
TXPose,sitting
0.000,Bluetooth,-62
0.037,Bluetooth,-70
0.039,Bluetooth,-68
0.071,Bluetooth,-67
0.134,Bluetooth,-69
0.204,Bluetooth,-53
0.205,Bluetooth,-55
0.276,Bluetooth,-61
0.277,Bluetooth,-62
0.316,Bluetooth,-59
0.317,Bluetooth,-58
0.349,Bluetooth,-58
0.350,Bluetooth,-59
0.379,Bluetooth,-66
0.413,Bluetooth,-60
0.414,Bluetooth,-61
0.447,Bluetooth,-66
0.448,Bluetooth,-67
0.483,Bluetooth,-65
0.520,Bluetooth,-57
0.522,Bluetooth,-57
0.564,Bluetooth,-68
0.565,Bluetooth,-68
0.659,Bluetooth,-58
0.660,Bluetooth,-60
0.752,Bluetooth,-68
0.753,Bluetooth,-68
0.791,Bluetooth,-60
0.792,Bluetooth,-60
0.826,Bluetooth,-73
0.827,Bluetooth,-74
0.859,Bluetooth,-68
0.860,Bluetooth,-69
0.896,Bluetooth,-60
0.897,Bluetooth,-61
0.929,Bluetooth,-70
0.930,Bluetooth,-70
0.962,Bluetooth,-66
0.964,Bluetooth,-67
0.993,Bluetooth,-65
0.994,Bluetooth,-65
1.026,Bluetooth,-64
1.027,Bluetooth,-64
1.065,Bluetooth,-66
1.066,Bluetooth,-66
1.130,Bluetooth,-66
1.131,Bluetooth,-65
1.268,Bluetooth,-66
1.270,Bluetooth,-67
1.301,Bluetooth,-64
1.303,Bluetooth,-64
1.339,Bluetooth,-69
1.375,Bluetooth,-67
1.376,Bluetooth,-68
1.409,Bluetooth,-63
1.409,Bluetooth,-64
1.438,Bluetooth,-71
1.439,Bluetooth,-71
1.474,Bluetooth,-70
1.479,Bluetooth,-71
1.515,Bluetooth,-60
1.516,Bluetooth,-62
1.546,Bluetooth,-61
1.547,Bluetooth,-61
1.585,Bluetooth,-71
1.656,Bluetooth,-62
1.657,Bluetooth,-61
1.690,Bluetooth,-71
1.692,Bluetooth,-70
1.766,Bluetooth,-61
1.828,Bluetooth,-71
1.829,Bluetooth,-71
1.869,Bluetooth,-73
1.935,Bluetooth,-72
1.936,Bluetooth,-71
1.974,Bluetooth,-74
2.082,Bluetooth,-74
2.153,Bluetooth,-62
2.155,Bluetooth,-62
2.186,Bluetooth,-71
2.220,Bluetooth,-73
2.221,Bluetooth,-73
2.258,Bluetooth,-62
2.259,Bluetooth,-62
2.292,Bluetooth,-72
2.293,Bluetooth,-72
2.455,Bluetooth,-73
2.494,Bluetooth,-62
2.495,Bluetooth,-62
2.526,Bluetooth,-71
2.527,Bluetooth,-71
2.565,Bluetooth,-73
2.599,Bluetooth,-62
2.600,Bluetooth,-62
2.629,Bluetooth,-62
2.630,Bluetooth,-62
2.703,Bluetooth,-71
2.830,Bluetooth,-70
2.870,Bluetooth,-62
2.871,Bluetooth,-62
2.903,Bluetooth,-72
3.041,Bluetooth,-72
3.179,Bluetooth,-71
3.214,Bluetooth,-60
3.215,Bluetooth,-62
3.251,Bluetooth,-74
3.397,Bluetooth,-71
3.398,Bluetooth,-73
3.437,Bluetooth,-65
3.438,Bluetooth,-65
3.471,Bluetooth,-63
3.472,Bluetooth,-62
3.503,Bluetooth,-73
3.504,Bluetooth,-75
3.544,Bluetooth,-70
3.545,Bluetooth,-70
3.579,Bluetooth,-62
3.580,Bluetooth,-61
3.688,Bluetooth,-61
3.690,Bluetooth,-61
3.786,Bluetooth,-68
3.788,Bluetooth,-69
3.822,Bluetooth,-62
3.824,Bluetooth,-61
3.858,Bluetooth,-74
3.858,Bluetooth,-74
3.892,Bluetooth,-69
3.893,Bluetooth,-68
3.970,Bluetooth,-75
79.761,Bluetooth,-65
79.762,Bluetooth,-65
79.798,Bluetooth,-70
79.799,Bluetooth,-71
79.836,Bluetooth,-60
79.837,Bluetooth,-60
79.915,Bluetooth,-71
79.916,Bluetooth,-71
79.950,Bluetooth,-71
79.951,Bluetooth,-70
79.980,Bluetooth,-60
80.045,Bluetooth,-69
80.046,Bluetooth,-72
80.114,Bluetooth,-65
80.115,Bluetooth,-65
80.145,Bluetooth,-70
80.146,Bluetooth,-70
80.181,Bluetooth,-71
80.182,Bluetooth,-69
80.214,Bluetooth,-61
80.215,Bluetooth,-60
80.250,Bluetooth,-65
80.252,Bluetooth,-65
80.281,Bluetooth,-69
80.317,Bluetooth,-60
80.319,Bluetooth,-61
80.357,Bluetooth,-66
80.358,Bluetooth,-65
80.456,Bluetooth,-59
80.457,Bluetooth,-60
80.489,Bluetooth,-65
80.490,Bluetooth,-65
80.528,Bluetooth,-68
80.529,Bluetooth,-71
80.557,Bluetooth,-59
80.558,Bluetooth,-60
80.589,Bluetooth,-60
80.590,Bluetooth,-61
80.624,Bluetooth,-65
80.625,Bluetooth,-66
80.656,Bluetooth,-70
80.657,Bluetooth,-69
80.688,Bluetooth,-60
80.759,Bluetooth,-70
80.760,Bluetooth,-70
80.837,Bluetooth,-64
80.839,Bluetooth,-66
80.867,Bluetooth,-65
80.869,Bluetooth,-65
80.909,Bluetooth,-69
