Distance,10.0
TXDevice,iPhoneXS
TXPower,12
RXDevice,iPhone8
TXCarry,pocket
RXCarry,hand
RXPose,standing
TXPose,sitting
0.000,Bluetooth,-59
0.002,Bluetooth,-58
0.037,Bluetooth,-61
0.067,Bluetooth,-55
0.068,Bluetooth,-53
0.139,Bluetooth,-59
0.140,Bluetooth,-60
0.214,Bluetooth,-54
0.215,Bluetooth,-54
0.243,Bluetooth,-60
0.244,Bluetooth,-60
0.280,Bluetooth,-61
0.281,Bluetooth,-62
0.315,Bluetooth,-54
0.316,Bluetooth,-54
0.347,Bluetooth,-60
0.348,Bluetooth,-59
0.382,Bluetooth,-61
0.383,Bluetooth,-62
0.459,Bluetooth,-54
0.460,Bluetooth,-53
0.526,Bluetooth,-61
0.527,Bluetooth,-62
0.597,Bluetooth,-59
0.598,Bluetooth,-59
0.630,Bluetooth,-61
0.631,Bluetooth,-61
0.662,Bluetooth,-54
0.663,Bluetooth,-54
0.734,Bluetooth,-59
0.736,Bluetooth,-59
0.766,Bluetooth,-61
0.767,Bluetooth,-63
0.803,Bluetooth,-54
0.804,Bluetooth,-53
0.834,Bluetooth,-58
0.835,Bluetooth,-59
0.899,Bluetooth,-62
0.900,Bluetooth,-61
0.939,Bluetooth,-54
0.940,Bluetooth,-54
0.977,Bluetooth,-58
0.978,Bluetooth,-58
1.014,Bluetooth,-61
1.056,Bluetooth,-54
1.057,Bluetooth,-54
1.088,Bluetooth,-58
1.089,Bluetooth,-57
1.129,Bluetooth,-61
1.130,Bluetooth,-62
1.198,Bluetooth,-58
1.239,Bluetooth,-61
1.240,Bluetooth,-61
1.273,Bluetooth,-54
1.273,Bluetooth,-54
1.311,Bluetooth,-58
1.312,Bluetooth,-58
1.350,Bluetooth,-61
1.352,Bluetooth,-62
1.457,Bluetooth,-58
1.557,Bluetooth,-59
1.588,Bluetooth,-62
1.589,Bluetooth,-63
1.693,Bluetooth,-59
1.694,Bluetooth,-59
1.762,Bluetooth,-54
1.763,Bluetooth,-54
1.798,Bluetooth,-61
1.800,Bluetooth,-60
1.835,Bluetooth,-63
1.836,Bluetooth,-63
1.904,Bluetooth,-60
1.905,Bluetooth,-61
1.938,Bluetooth,-60
1.939,Bluetooth,-59
1.979,Bluetooth,-63
1.980,Bluetooth,-63
2.056,Bluetooth,-60
2.057,Bluetooth,-60
2.098,Bluetooth,-62
2.099,Bluetooth,-62
2.166,Bluetooth,-59
2.167,Bluetooth,-59
2.240,Bluetooth,-55
2.346,Bluetooth,-54
2.347,Bluetooth,-54
2.382,Bluetooth,-60
2.383,Bluetooth,-59
2.414,Bluetooth,-59
2.414,Bluetooth,-59
2.444,Bluetooth,-62
2.445,Bluetooth,-62
2.479,Bluetooth,-55
2.480,Bluetooth,-54
2.509,Bluetooth,-59
2.510,Bluetooth,-59
2.548,Bluetooth,-60
2.550,Bluetooth,-61
2.588,Bluetooth,-54
2.589,Bluetooth,-55
2.620,Bluetooth,-54
2.621,Bluetooth,-54
2.689,Bluetooth,-61
2.691,Bluetooth,-62
2.721,Bluetooth,-54
2.722,Bluetooth,-55
2.792,Bluetooth,-61
2.793,Bluetooth,-61
2.825,Bluetooth,-53
2.827,Bluetooth,-54
2.857,Bluetooth,-54
2.858,Bluetooth,-54
2.985,Bluetooth,-58
2.986,Bluetooth,-58
3.017,Bluetooth,-58
3.018,Bluetooth,-58
3.053,Bluetooth,-61
3.054,Bluetooth,-61
3.119,Bluetooth,-57
