Distance,4.0
TXDevice,iPhone11
TXPower,8
RXDevice,iPhone11_Pro_max
TXCarry,hand
RXCarry,hand
RXPose,sitting
TXPose,sitting
0.043,Bluetooth,-48
0.044,Bluetooth,-48
0.080,Bluetooth,-47
0.081,Bluetooth,-48
0.121,Bluetooth,-48
0.157,Bluetooth,-49
0.158,Bluetooth,-49
0.229,Bluetooth,-49
0.229,Bluetooth,-48
0.266,Bluetooth,-48
0.268,Bluetooth,-48
0.373,Bluetooth,-48
0.374,Bluetooth,-48
0.404,Bluetooth,-48
0.405,Bluetooth,-48
0.480,Bluetooth,-48
0.480,Bluetooth,-49
0.552,Bluetooth,-48
0.553,Bluetooth,-48
0.586,Bluetooth,-47
0.586,Bluetooth,-48
0.625,Bluetooth,-48
0.627,Bluetooth,-48
0.665,Bluetooth,-48
0.666,Bluetooth,-48
0.705,Bluetooth,-48
0.706,Bluetooth,-47
0.913,Bluetooth,-48
0.914,Bluetooth,-48
0.949,Bluetooth,-48
0.950,Bluetooth,-48
0.982,Bluetooth,-47
0.983,Bluetooth,-48
1.021,Bluetooth,-46
1.134,Bluetooth,-48
1.136,Bluetooth,-47
1.172,Bluetooth,-48
1.173,Bluetooth,-48
1.203,Bluetooth,-47
1.204,Bluetooth,-48
1.272,Bluetooth,-48
1.272,Bluetooth,-49
1.452,Bluetooth,-48
1.453,Bluetooth,-48
1.486,Bluetooth,-48
1.486,Bluetooth,-48
1.521,Bluetooth,-47
1.522,Bluetooth,-48
1.562,Bluetooth,-47
1.564,Bluetooth,-48
1.599,Bluetooth,-48
1.601,Bluetooth,-48
1.633,Bluetooth,-48
1.707,Bluetooth,-48
1.708,Bluetooth,-48
1.742,Bluetooth,-48
1.743,Bluetooth,-48
1.773,Bluetooth,-49
1.810,Bluetooth,-49
1.811,Bluetooth,-49
1.850,Bluetooth,-48
1.851,Bluetooth,-48
1.889,Bluetooth,-48
1.889,Bluetooth,-48
1.925,Bluetooth,-48
1.956,Bluetooth,-48
1.957,Bluetooth,-48
1.994,Bluetooth,-48
1.995,Bluetooth,-48
2.072,Bluetooth,-49
2.072,Bluetooth,-49
2.101,Bluetooth,-47
2.103,Bluetooth,-48
2.141,Bluetooth,-48
2.142,Bluetooth,-48
2.170,Bluetooth,-48
2.171,Bluetooth,-48
2.201,Bluetooth,-48
2.202,Bluetooth,-47
2.383,Bluetooth,-49
2.384,Bluetooth,-48
2.449,Bluetooth,-48
2.449,Bluetooth,-48
2.479,Bluetooth,-48
2.480,Bluetooth,-48
2.509,Bluetooth,-50
2.685,Bluetooth,-48
2.686,Bluetooth,-47
2.715,Bluetooth,-47
2.715,Bluetooth,-47
2.758,Bluetooth,-50
2.759,Bluetooth,-48
2.894,Bluetooth,-48
2.895,Bluetooth,-49
