Distance,15.0
TXDevice,iPhone6s
TXPower,12
RXDevice,iPhone6s
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-74
0.001,Bluetooth,-74
0.030,Bluetooth,-76
0.031,Bluetooth,-76
0.059,Bluetooth,-77
0.060,Bluetooth,-78
0.090,Bluetooth,-73
0.091,Bluetooth,-73
0.120,Bluetooth,-72
0.121,Bluetooth,-72
0.151,Bluetooth,-76
0.152,Bluetooth,-77
0.181,Bluetooth,-76
0.183,Bluetooth,-77
0.215,Bluetooth,-71
0.216,Bluetooth,-73
0.247,Bluetooth,-75
0.248,Bluetooth,-77
0.277,Bluetooth,-75
0.278,Bluetooth,-76
0.309,Bluetooth,-76
0.311,Bluetooth,-76
0.340,Bluetooth,-72
0.341,Bluetooth,-72
0.375,Bluetooth,-74
0.376,Bluetooth,-73
0.406,Bluetooth,-77
0.408,Bluetooth,-77
0.436,Bluetooth,-77
0.440,Bluetooth,-77
0.468,Bluetooth,-72
0.469,Bluetooth,-72
0.503,Bluetooth,-76
0.504,Bluetooth,-75
0.531,Bluetooth,-75
0.533,Bluetooth,-76
0.563,Bluetooth,-71
0.564,Bluetooth,-72
0.599,Bluetooth,-72
0.600,Bluetooth,-72
0.630,Bluetooth,-74
0.631,Bluetooth,-73
0.663,Bluetooth,-76
0.664,Bluetooth,-76
0.695,Bluetooth,-71
0.696,Bluetooth,-72
0.725,Bluetooth,-74
0.727,Bluetooth,-75
0.756,Bluetooth,-74
0.758,Bluetooth,-73
0.786,Bluetooth,-76
0.787,Bluetooth,-76
0.822,Bluetooth,-72
0.825,Bluetooth,-71
0.857,Bluetooth,-75
0.858,Bluetooth,-74
0.890,Bluetooth,-76
0.891,Bluetooth,-77
0.920,Bluetooth,-72
0.922,Bluetooth,-72
0.951,Bluetooth,-71
0.952,Bluetooth,-71
0.983,Bluetooth,-74
0.984,Bluetooth,-74
1.015,Bluetooth,-77
1.016,Bluetooth,-77
1.047,Bluetooth,-72
1.048,Bluetooth,-71
1.077,Bluetooth,-72
1.078,Bluetooth,-72
1.108,Bluetooth,-74
1.110,Bluetooth,-74
1.136,Bluetooth,-75
1.137,Bluetooth,-76
1.170,Bluetooth,-71
1.171,Bluetooth,-73
1.203,Bluetooth,-75
1.204,Bluetooth,-75
1.233,Bluetooth,-75
1.234,Bluetooth,-74
1.261,Bluetooth,-77
1.262,Bluetooth,-77
1.293,Bluetooth,-71
1.294,Bluetooth,-72
1.325,Bluetooth,-75
1.327,Bluetooth,-76
1.356,Bluetooth,-75
1.358,Bluetooth,-76
1.385,Bluetooth,-76
1.386,Bluetooth,-77
1.417,Bluetooth,-72
1.418,Bluetooth,-74
1.450,Bluetooth,-75
1.451,Bluetooth,-76
1.482,Bluetooth,-77
1.483,Bluetooth,-77
1.513,Bluetooth,-76
1.514,Bluetooth,-77
1.546,Bluetooth,-73
1.547,Bluetooth,-71
1.580,Bluetooth,-76
1.581,Bluetooth,-76
1.614,Bluetooth,-77
1.615,Bluetooth,-78
1.647,Bluetooth,-71
1.648,Bluetooth,-73
1.679,Bluetooth,-74
1.680,Bluetooth,-73
1.709,Bluetooth,-75
1.711,Bluetooth,-76
1.741,Bluetooth,-77
1.742,Bluetooth,-77
1.771,Bluetooth,-73
1.772,Bluetooth,-73
1.804,Bluetooth,-76
1.806,Bluetooth,-76
1.838,Bluetooth,-76
1.840,Bluetooth,-75
1.869,Bluetooth,-77
1.870,Bluetooth,-77
1.903,Bluetooth,-73
1.904,Bluetooth,-73
1.937,Bluetooth,-75
1.938,Bluetooth,-74
1.965,Bluetooth,-77
1.966,Bluetooth,-77
1.998,Bluetooth,-77
1.999,Bluetooth,-76
2.028,Bluetooth,-72
2.029,Bluetooth,-73
2.062,Bluetooth,-73
2.063,Bluetooth,-74
