Distance,6.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhone11_Pro
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-54
0.001,Bluetooth,-53
0.035,Bluetooth,-53
0.037,Bluetooth,-53
0.073,Bluetooth,-54
0.141,Bluetooth,-54
0.142,Bluetooth,-53
0.248,Bluetooth,-53
0.249,Bluetooth,-52
0.284,Bluetooth,-50
0.286,Bluetooth,-51
0.325,Bluetooth,-55
0.327,Bluetooth,-54
0.360,Bluetooth,-56
0.425,Bluetooth,-54
0.463,Bluetooth,-57
0.465,Bluetooth,-57
0.499,Bluetooth,-63
0.502,Bluetooth,-64
0.539,Bluetooth,-52
0.542,Bluetooth,-52
0.649,Bluetooth,-53
0.684,Bluetooth,-61
0.687,Bluetooth,-62
0.826,Bluetooth,-65
0.828,Bluetooth,-65
0.858,Bluetooth,-51
0.860,Bluetooth,-51
0.895,Bluetooth,-53
0.896,Bluetooth,-53
0.972,Bluetooth,-66
1.012,Bluetooth,-65
1.014,Bluetooth,-64
1.046,Bluetooth,-52
1.048,Bluetooth,-52
1.124,Bluetooth,-51
1.126,Bluetooth,-51
1.160,Bluetooth,-57
1.161,Bluetooth,-57
1.193,Bluetooth,-65
1.229,Bluetooth,-51
1.230,Bluetooth,-52
1.335,Bluetooth,-51
1.337,Bluetooth,-51
1.375,Bluetooth,-56
1.415,Bluetooth,-62
1.417,Bluetooth,-63
1.487,Bluetooth,-55
1.489,Bluetooth,-56
1.522,Bluetooth,-61
1.524,Bluetooth,-61
1.552,Bluetooth,-55
1.658,Bluetooth,-60
1.660,Bluetooth,-59
1.760,Bluetooth,-54
1.762,Bluetooth,-54
1.799,Bluetooth,-56
1.802,Bluetooth,-56
1.867,Bluetooth,-56
1.937,Bluetooth,-52
1.939,Bluetooth,-53
1.968,Bluetooth,-56
1.970,Bluetooth,-57
2.000,Bluetooth,-56
2.003,Bluetooth,-56
2.143,Bluetooth,-56
2.144,Bluetooth,-57
2.183,Bluetooth,-52
2.185,Bluetooth,-52
2.251,Bluetooth,-57
2.253,Bluetooth,-55
2.286,Bluetooth,-51
2.288,Bluetooth,-51
2.390,Bluetooth,-54
2.391,Bluetooth,-55
2.419,Bluetooth,-51
2.421,Bluetooth,-51
2.449,Bluetooth,-51
2.488,Bluetooth,-55
2.491,Bluetooth,-55
2.549,Bluetooth,-53
2.551,Bluetooth,-52
2.688,Bluetooth,-58
2.690,Bluetooth,-57
2.728,Bluetooth,-55
2.730,Bluetooth,-55
2.762,Bluetooth,-52
2.795,Bluetooth,-50
2.797,Bluetooth,-50
2.832,Bluetooth,-57
2.834,Bluetooth,-58
2.867,Bluetooth,-52
2.869,Bluetooth,-51
3.049,Bluetooth,-56
3.082,Bluetooth,-52
3.084,Bluetooth,-53
3.119,Bluetooth,-54
3.121,Bluetooth,-54
3.158,Bluetooth,-57
3.160,Bluetooth,-57
3.189,Bluetooth,-56
3.191,Bluetooth,-56
3.220,Bluetooth,-56
3.222,Bluetooth,-55
3.293,Bluetooth,-54
3.295,Bluetooth,-55
3.398,Bluetooth,-58
3.400,Bluetooth,-58
3.436,Bluetooth,-50
3.439,Bluetooth,-51
3.512,Bluetooth,-62
3.514,Bluetooth,-63
3.539,Bluetooth,-50
3.542,Bluetooth,-50
3.649,Bluetooth,-58
3.684,Bluetooth,-58
3.686,Bluetooth,-57
3.819,Bluetooth,-59
3.889,Bluetooth,-47
3.891,Bluetooth,-47
3.918,Bluetooth,-47
3.920,Bluetooth,-47
3.950,Bluetooth,-48
3.984,Bluetooth,-58
3.986,Bluetooth,-57
134.405,Bluetooth,-50
134.407,Bluetooth,-50
134.439,Bluetooth,-49
134.442,Bluetooth,-49
134.480,Bluetooth,-55
134.482,Bluetooth,-54
134.516,Bluetooth,-49
134.518,Bluetooth,-49
134.552,Bluetooth,-49
134.554,Bluetooth,-50
134.584,Bluetooth,-49
