Distance,10.0
TXDevice,iPhone11_Pro
TXPower,7
RXDevice,iPhoneXR
TXCarry,hand
RXCarry,pocket
RXPose,standing
TXPose,sitting
0.010,Bluetooth,-52
0.012,Bluetooth,-52
0.042,Bluetooth,-55
0.044,Bluetooth,-56
0.080,Bluetooth,-65
0.082,Bluetooth,-66
0.118,Bluetooth,-54
0.119,Bluetooth,-53
0.150,Bluetooth,-55
0.151,Bluetooth,-55
0.263,Bluetooth,-52
0.264,Bluetooth,-51
0.333,Bluetooth,-62
0.334,Bluetooth,-64
0.364,Bluetooth,-52
0.365,Bluetooth,-52
0.405,Bluetooth,-54
0.465,Bluetooth,-54
0.467,Bluetooth,-53
0.537,Bluetooth,-50
0.539,Bluetooth,-51
0.575,Bluetooth,-54
0.576,Bluetooth,-55
0.613,Bluetooth,-63
0.614,Bluetooth,-62
0.643,Bluetooth,-53
0.645,Bluetooth,-52
0.690,Bluetooth,-54
0.691,Bluetooth,-54
0.722,Bluetooth,-61
0.724,Bluetooth,-63
0.750,Bluetooth,-51
0.751,Bluetooth,-52
0.783,Bluetooth,-52
0.784,Bluetooth,-52
0.818,Bluetooth,-54
0.820,Bluetooth,-54
0.893,Bluetooth,-52
0.895,Bluetooth,-54
0.931,Bluetooth,-55
0.932,Bluetooth,-56
0.972,Bluetooth,-70
0.974,Bluetooth,-70
1.009,Bluetooth,-57
1.011,Bluetooth,-57
1.041,Bluetooth,-57
1.042,Bluetooth,-58
1.073,Bluetooth,-67
1.075,Bluetooth,-68
1.140,Bluetooth,-53
1.142,Bluetooth,-55
1.171,Bluetooth,-55
1.173,Bluetooth,-55
1.207,Bluetooth,-67
1.208,Bluetooth,-67
1.239,Bluetooth,-60
1.303,Bluetooth,-58
1.304,Bluetooth,-57
1.341,Bluetooth,-70
1.343,Bluetooth,-70
1.375,Bluetooth,-71
1.377,Bluetooth,-69
1.410,Bluetooth,-59
1.411,Bluetooth,-59
1.443,Bluetooth,-60
1.445,Bluetooth,-60
1.474,Bluetooth,-59
1.476,Bluetooth,-59
1.509,Bluetooth,-60
1.511,Bluetooth,-60
1.545,Bluetooth,-59
1.547,Bluetooth,-58
1.580,Bluetooth,-61
1.581,Bluetooth,-61
1.610,Bluetooth,-65
1.611,Bluetooth,-65
1.640,Bluetooth,-72
1.642,Bluetooth,-73
1.679,Bluetooth,-59
1.680,Bluetooth,-59
1.745,Bluetooth,-62
1.746,Bluetooth,-62
1.783,Bluetooth,-65
1.784,Bluetooth,-65
1.820,Bluetooth,-61
1.821,Bluetooth,-61
1.848,Bluetooth,-67
1.849,Bluetooth,-65
1.879,Bluetooth,-65
1.880,Bluetooth,-65
1.912,Bluetooth,-61
1.914,Bluetooth,-62
1.948,Bluetooth,-67
1.950,Bluetooth,-66
1.981,Bluetooth,-61
1.982,Bluetooth,-62
2.013,Bluetooth,-68
2.014,Bluetooth,-68
2.048,Bluetooth,-63
2.050,Bluetooth,-62
2.084,Bluetooth,-62
2.086,Bluetooth,-61
2.124,Bluetooth,-71
2.126,Bluetooth,-71
2.161,Bluetooth,-65
2.163,Bluetooth,-65
2.190,Bluetooth,-63
2.192,Bluetooth,-64
2.225,Bluetooth,-62
2.226,Bluetooth,-60
2.257,Bluetooth,-63
2.258,Bluetooth,-64
2.287,Bluetooth,-64
2.289,Bluetooth,-64
2.318,Bluetooth,-60
2.320,Bluetooth,-60
2.357,Bluetooth,-65
2.358,Bluetooth,-65
2.393,Bluetooth,-72
2.395,Bluetooth,-72
2.461,Bluetooth,-70
2.462,Bluetooth,-70
2.537,Bluetooth,-80
2.539,Bluetooth,-81
2.573,Bluetooth,-60
2.574,Bluetooth,-61
