Distance,4.0
TXDevice,iPhone6s
TXPower,12
RXDevice,iPhone6s
TXCarry,pocket
RXCarry,hand
RXPose,standing
TXPose,standing
0.000,Bluetooth,-75
0.001,Bluetooth,-75
0.065,Bluetooth,-67
0.065,Bluetooth,-66
0.096,Bluetooth,-73
0.097,Bluetooth,-74
0.128,Bluetooth,-74
0.129,Bluetooth,-75
0.159,Bluetooth,-66
0.159,Bluetooth,-66
0.189,Bluetooth,-67
0.189,Bluetooth,-66
0.220,Bluetooth,-73
0.220,Bluetooth,-72
0.250,Bluetooth,-75
0.251,Bluetooth,-76
0.286,Bluetooth,-68
0.287,Bluetooth,-67
0.321,Bluetooth,-73
0.322,Bluetooth,-72
0.351,Bluetooth,-73
0.352,Bluetooth,-74
0.385,Bluetooth,-76
0.386,Bluetooth,-77
0.414,Bluetooth,-66
0.415,Bluetooth,-65
0.445,Bluetooth,-72
0.445,Bluetooth,-72
0.506,Bluetooth,-76
0.507,Bluetooth,-74
0.538,Bluetooth,-67
0.539,Bluetooth,-68
0.570,Bluetooth,-74
0.570,Bluetooth,-74
0.603,Bluetooth,-75
0.604,Bluetooth,-75
0.633,Bluetooth,-75
0.635,Bluetooth,-76
0.665,Bluetooth,-66
0.668,Bluetooth,-66
0.695,Bluetooth,-73
0.696,Bluetooth,-73
0.724,Bluetooth,-75
0.725,Bluetooth,-75
0.755,Bluetooth,-77
0.756,Bluetooth,-76
0.789,Bluetooth,-68
0.790,Bluetooth,-68
0.822,Bluetooth,-73
0.822,Bluetooth,-72
0.851,Bluetooth,-76
0.853,Bluetooth,-76
0.884,Bluetooth,-67
0.886,Bluetooth,-67
0.917,Bluetooth,126
0.950,Bluetooth,-72
0.951,Bluetooth,-72
0.977,Bluetooth,-76
0.978,Bluetooth,-76
1.014,Bluetooth,-66
1.016,Bluetooth,-66
1.043,Bluetooth,-74
1.044,Bluetooth,-72
1.108,Bluetooth,-77
1.109,Bluetooth,-77
1.141,Bluetooth,-66
1.142,Bluetooth,-67
1.173,Bluetooth,-74
1.174,Bluetooth,-73
1.203,Bluetooth,-77
1.204,Bluetooth,-77
1.236,Bluetooth,-68
1.239,Bluetooth,-67
1.271,Bluetooth,-69
1.272,Bluetooth,-67
1.303,Bluetooth,-74
1.305,Bluetooth,-74
1.333,Bluetooth,-76
1.333,Bluetooth,-79
1.359,Bluetooth,-68
1.359,Bluetooth,-67
1.425,Bluetooth,-74
1.425,Bluetooth,-74
1.454,Bluetooth,-78
1.455,Bluetooth,-78
1.486,Bluetooth,-68
1.486,Bluetooth,-68
1.518,Bluetooth,-75
1.518,Bluetooth,-74
1.582,Bluetooth,-79
1.582,Bluetooth,-79
1.614,Bluetooth,-69
1.615,Bluetooth,-70
1.643,Bluetooth,-75
1.643,Bluetooth,-76
1.703,Bluetooth,-80
1.704,Bluetooth,-80
1.766,Bluetooth,-78
1.766,Bluetooth,-78
1.826,Bluetooth,-78
1.826,Bluetooth,-79
1.856,Bluetooth,-69
1.856,Bluetooth,-69
1.891,Bluetooth,-78
1.891,Bluetooth,-78
1.919,Bluetooth,-79
1.920,Bluetooth,-80
1.950,Bluetooth,-78
1.950,Bluetooth,-78
1.980,Bluetooth,-69
1.980,Bluetooth,-69
2.011,Bluetooth,-78
2.011,Bluetooth,-76
2.039,Bluetooth,-77
2.040,Bluetooth,-79
2.075,Bluetooth,-71
2.076,Bluetooth,-69
2.105,Bluetooth,-70
2.105,Bluetooth,-68
2.139,Bluetooth,-77
2.140,Bluetooth,-76
2.170,Bluetooth,-78
2.170,Bluetooth,-79
2.202,Bluetooth,-69
2.203,Bluetooth,-69
2.233,Bluetooth,-69
2.233,Bluetooth,-69
2.265,Bluetooth,-77
2.265,Bluetooth,-77
2.296,Bluetooth,-78
2.297,Bluetooth,-79
2.326,Bluetooth,-69
2.327,Bluetooth,-70
2.362,Bluetooth,-78
2.364,Bluetooth,-76
2.427,Bluetooth,-79
2.428,Bluetooth,-78
2.461,Bluetooth,-68
2.461,Bluetooth,-68
2.495,Bluetooth,-77
2.496,Bluetooth,-75
2.525,Bluetooth,-78
2.525,Bluetooth,-80
2.558,Bluetooth,-68
2.558,Bluetooth,-70
2.589,Bluetooth,-69
2.589,Bluetooth,-69
2.620,Bluetooth,-78
2.620,Bluetooth,-76
2.652,Bluetooth,-77
2.652,Bluetooth,-78
2.684,Bluetooth,-70
2.684,Bluetooth,-69
2.717,Bluetooth,-76
2.718,Bluetooth,-75
2.748,Bluetooth,-77
2.749,Bluetooth,-76
2.781,Bluetooth,-78
2.782,Bluetooth,-78
2.812,Bluetooth,-69
2.813,Bluetooth,-69
2.843,Bluetooth,-78
2.844,Bluetooth,-75
2.907,Bluetooth,-79
2.908,Bluetooth,-80
2.936,Bluetooth,-69
2.937,Bluetooth,-70
2.967,Bluetooth,-76
2.968,Bluetooth,-75
3.028,Bluetooth,-78
3.030,Bluetooth,-78
3.059,Bluetooth,-68
3.060,Bluetooth,-68
3.093,Bluetooth,-76
3.094,Bluetooth,-75
3.123,Bluetooth,-78
3.124,Bluetooth,-78
3.185,Bluetooth,-69
3.186,Bluetooth,-69
3.216,Bluetooth,126
3.248,Bluetooth,-78
3.250,Bluetooth,-79
3.280,Bluetooth,-70
3.282,Bluetooth,-69
3.310,Bluetooth,-69
3.311,Bluetooth,-69
3.341,Bluetooth,-75
3.342,Bluetooth,-76
3.370,Bluetooth,-79
3.372,Bluetooth,-78
3.401,Bluetooth,-67
3.403,Bluetooth,-66
3.434,Bluetooth,127
3.465,Bluetooth,-78
3.466,Bluetooth,-76
3.497,Bluetooth,-78
3.499,Bluetooth,-78
3.527,Bluetooth,126
3.559,Bluetooth,-75
3.561,Bluetooth,-77
3.589,Bluetooth,127
3.619,Bluetooth,-79
3.620,Bluetooth,-78
3.650,Bluetooth,-69
3.652,Bluetooth,-67
3.683,Bluetooth,-76
3.684,Bluetooth,-75
3.711,Bluetooth,-77
3.712,Bluetooth,-76
3.806,Bluetooth,-75
3.807,Bluetooth,-75
3.838,Bluetooth,-75
3.839,Bluetooth,-76
3.899,Bluetooth,-66
3.901,Bluetooth,-66
3.962,Bluetooth,-74
3.965,Bluetooth,-74
91.516,Bluetooth,-67
91.517,Bluetooth,-69
91.583,Bluetooth,-67
91.584,Bluetooth,-68
91.619,Bluetooth,-66
91.621,Bluetooth,-65
91.650,Bluetooth,-67
91.650,Bluetooth,-68
91.679,Bluetooth,-67
91.680,Bluetooth,-68
91.712,Bluetooth,-64
91.713,Bluetooth,-66
91.742,Bluetooth,-63
91.743,Bluetooth,-64
91.774,Bluetooth,-69
91.775,Bluetooth,-70
91.805,Bluetooth,-67
91.806,Bluetooth,-68
91.833,Bluetooth,-65
91.835,Bluetooth,-65
91.863,Bluetooth,-65
91.864,Bluetooth,-63
91.896,Bluetooth,-69
91.897,Bluetooth,-69
91.926,Bluetooth,-67
91.927,Bluetooth,-69
91.958,Bluetooth,-66
91.958,Bluetooth,-64
91.994,Bluetooth,-69
91.995,Bluetooth,-69
92.024,Bluetooth,-68
92.025,Bluetooth,-69
92.058,Bluetooth,-68
92.059,Bluetooth,-68
92.092,Bluetooth,-64
92.093,Bluetooth,-64
92.126,Bluetooth,-68
92.127,Bluetooth,-69
92.157,Bluetooth,-67
92.159,Bluetooth,-68
92.190,Bluetooth,-64
92.191,Bluetooth,-64
92.225,Bluetooth,-66
92.226,Bluetooth,-65
92.260,Bluetooth,-69
92.262,Bluetooth,-69
92.292,Bluetooth,-67
92.293,Bluetooth,-68
92.326,Bluetooth,-66
92.327,Bluetooth,-64
92.361,Bluetooth,-68
92.361,Bluetooth,-69
92.417,Bluetooth,-67
92.419,Bluetooth,-68
92.449,Bluetooth,-64
92.450,Bluetooth,-63
92.480,Bluetooth,-69
92.481,Bluetooth,-69
92.511,Bluetooth,-67
92.512,Bluetooth,-69
92.545,Bluetooth,-68
92.546,Bluetooth,-69
92.579,Bluetooth,-66
92.580,Bluetooth,-64
92.613,Bluetooth,-70
92.613,Bluetooth,-69
92.645,Bluetooth,-67
92.646,Bluetooth,-68
92.677,Bluetooth,-65
92.678,Bluetooth,-66
92.712,Bluetooth,-69
92.713,Bluetooth,-69
92.742,Bluetooth,-69
92.743,Bluetooth,-69
92.772,Bluetooth,-66
92.773,Bluetooth,-68
92.803,Bluetooth,-65
92.804,Bluetooth,-65
92.838,Bluetooth,-69
92.839,Bluetooth,-69
92.897,Bluetooth,-68
92.898,Bluetooth,-70
92.926,Bluetooth,-64
92.927,Bluetooth,-65
92.961,Bluetooth,-69
92.962,Bluetooth,-70
92.990,Bluetooth,-67
92.992,Bluetooth,-68
93.022,Bluetooth,-67
93.023,Bluetooth,-69
93.053,Bluetooth,-64
93.055,Bluetooth,-65
93.085,Bluetooth,-70
93.088,Bluetooth,-69
93.119,Bluetooth,-66
93.121,Bluetooth,-69
93.152,Bluetooth,-65
93.155,Bluetooth,-65
93.183,Bluetooth,-64
93.184,Bluetooth,-65
93.215,Bluetooth,-69
93.216,Bluetooth,-69
93.248,Bluetooth,-66
93.250,Bluetooth,-67
93.278,Bluetooth,-65
93.278,Bluetooth,-64
93.344,Bluetooth,-69
93.345,Bluetooth,-69
93.377,Bluetooth,-66
93.378,Bluetooth,-68
93.408,Bluetooth,-65
93.409,Bluetooth,-63
93.441,Bluetooth,-70
93.443,Bluetooth,-69
93.470,Bluetooth,-67
93.472,Bluetooth,-69
93.502,Bluetooth,-66
93.504,Bluetooth,-66
93.533,Bluetooth,127
93.564,Bluetooth,-69
93.565,Bluetooth,-70
93.595,Bluetooth,127
93.630,Bluetooth,-64
93.631,Bluetooth,-65
93.660,Bluetooth,127
93.691,Bluetooth,-68
93.692,Bluetooth,-69
93.723,Bluetooth,127
93.753,Bluetooth,-64
93.755,Bluetooth,-64
93.783,Bluetooth,127
93.814,Bluetooth,-70
93.815,Bluetooth,-70
93.848,Bluetooth,127
93.883,Bluetooth,-64
93.885,Bluetooth,-64
93.915,Bluetooth,128
93.946,Bluetooth,-69
93.947,Bluetooth,-70
93.979,Bluetooth,127
94.010,Bluetooth,-66
94.011,Bluetooth,-66
94.042,Bluetooth,127
94.074,Bluetooth,-67
94.076,Bluetooth,-69
94.104,Bluetooth,-66
94.105,Bluetooth,-67
94.134,Bluetooth,-66
94.136,Bluetooth,-65
94.166,Bluetooth,-70
94.167,Bluetooth,-69
94.196,Bluetooth,-66
94.197,Bluetooth,-67
94.225,Bluetooth,-68
94.226,Bluetooth,-69
94.261,Bluetooth,-65
94.262,Bluetooth,-65
94.291,Bluetooth,-70
94.292,Bluetooth,-71
94.321,Bluetooth,-66
94.322,Bluetooth,-68
94.352,Bluetooth,-65
94.354,Bluetooth,-66
94.383,Bluetooth,-64
94.383,Bluetooth,-64
94.508,Bluetooth,-64
94.509,Bluetooth,-65
94.539,Bluetooth,-70
94.541,Bluetooth,-71
94.567,Bluetooth,-67
94.569,Bluetooth,-68
94.599,Bluetooth,-66
94.600,Bluetooth,-64
94.633,Bluetooth,-71
94.634,Bluetooth,-70
94.666,Bluetooth,-70
94.667,Bluetooth,-71
94.699,Bluetooth,-67
94.700,Bluetooth,-67
94.731,Bluetooth,-65
94.732,Bluetooth,-63
94.761,Bluetooth,-70
94.762,Bluetooth,-71
94.794,Bluetooth,-67
94.795,Bluetooth,-67
94.824,Bluetooth,-67
94.825,Bluetooth,-69
94.854,Bluetooth,-65
94.855,Bluetooth,-64
94.885,Bluetooth,-69
94.888,Bluetooth,-71
94.917,Bluetooth,-65
94.919,Bluetooth,-68
94.947,Bluetooth,-66
94.949,Bluetooth,-68
94.978,Bluetooth,-64
94.979,Bluetooth,-63
95.011,Bluetooth,-71
95.012,Bluetooth,-71
95.043,Bluetooth,-66
95.044,Bluetooth,-66
95.075,Bluetooth,-65
95.076,Bluetooth,-64
95.111,Bluetooth,-65
95.111,Bluetooth,-65
95.142,Bluetooth,-69
95.143,Bluetooth,-68
95.171,Bluetooth,-65
95.172,Bluetooth,-67
95.203,Bluetooth,-65
95.204,Bluetooth,-64
95.239,Bluetooth,-68
95.240,Bluetooth,-68
95.297,Bluetooth,-64
95.298,Bluetooth,-65
95.329,Bluetooth,-64
95.330,Bluetooth,-61
95.361,Bluetooth,-67
95.362,Bluetooth,-68
95.417,Bluetooth,-63
95.419,Bluetooth,-65
95.448,Bluetooth,-62
95.449,Bluetooth,-64
95.481,Bluetooth,-66
95.482,Bluetooth,-67
179.177,Bluetooth,-74
179.178,Bluetooth,-74
179.209,Bluetooth,-70
179.210,Bluetooth,-70
179.241,Bluetooth,-72
