Distance,6.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhoneXR
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-54
0.002,Bluetooth,-54
0.108,Bluetooth,-59
0.110,Bluetooth,-60
0.131,Bluetooth,-55
0.132,Bluetooth,-55
0.321,Bluetooth,-55
0.323,Bluetooth,-54
0.482,Bluetooth,-56
0.483,Bluetooth,-57
0.506,Bluetooth,-60
0.508,Bluetooth,-60
0.676,Bluetooth,-58
0.678,Bluetooth,-58
0.702,Bluetooth,-61
0.703,Bluetooth,-61
0.722,Bluetooth,-67
0.723,Bluetooth,-66
0.844,Bluetooth,-83
0.846,Bluetooth,-84
0.868,Bluetooth,-74
0.869,Bluetooth,-74
1.009,Bluetooth,-59
1.011,Bluetooth,-59
1.027,Bluetooth,-60
1.029,Bluetooth,-59
1.198,Bluetooth,-61
1.200,Bluetooth,-61
1.224,Bluetooth,-58
1.225,Bluetooth,-58
1.370,Bluetooth,-58
1.371,Bluetooth,-58
1.393,Bluetooth,-64
1.394,Bluetooth,-65
1.479,Bluetooth,-58
1.480,Bluetooth,-57
1.500,Bluetooth,-58
1.501,Bluetooth,-59
1.667,Bluetooth,-66
1.669,Bluetooth,-66
1.692,Bluetooth,-66
1.694,Bluetooth,-66
1.743,Bluetooth,-62
1.745,Bluetooth,-63
1.965,Bluetooth,-67
1.967,Bluetooth,-67
1.987,Bluetooth,-63
1.989,Bluetooth,-63
2.004,Bluetooth,-63
2.128,Bluetooth,-60
2.130,Bluetooth,-61
2.152,Bluetooth,-68
2.153,Bluetooth,-68
2.299,Bluetooth,-68
2.300,Bluetooth,-66
2.321,Bluetooth,-67
2.323,Bluetooth,-67
2.506,Bluetooth,-67
2.507,Bluetooth,-67
2.526,Bluetooth,-67
2.528,Bluetooth,-68
2.678,Bluetooth,-69
2.679,Bluetooth,-70
2.701,Bluetooth,-61
2.702,Bluetooth,-62
2.721,Bluetooth,-62
2.722,Bluetooth,-62
2.843,Bluetooth,-62
2.844,Bluetooth,-60
2.867,Bluetooth,-66
2.868,Bluetooth,-65
3.009,Bluetooth,-66
3.010,Bluetooth,-66
3.032,Bluetooth,-69
3.034,Bluetooth,-69
3.160,Bluetooth,-69
3.162,Bluetooth,-70
3.249,Bluetooth,-68
3.251,Bluetooth,-68
3.274,Bluetooth,-67
3.276,Bluetooth,-67
3.392,Bluetooth,-63
3.394,Bluetooth,-64
3.479,Bluetooth,-64
3.481,Bluetooth,-64
3.504,Bluetooth,-64
3.505,Bluetooth,-64
3.665,Bluetooth,-68
3.666,Bluetooth,-68
3.688,Bluetooth,-68
3.690,Bluetooth,-67
3.755,Bluetooth,-69
3.757,Bluetooth,-69
3.881,Bluetooth,-69
3.883,Bluetooth,-69
50.078,Bluetooth,-77
50.079,Bluetooth,-77
50.281,Bluetooth,-76
50.283,Bluetooth,-76
50.299,Bluetooth,-77
50.300,Bluetooth,-76
50.321,Bluetooth,-67
50.323,Bluetooth,-67
50.482,Bluetooth,-73
50.484,Bluetooth,-72
50.507,Bluetooth,-75
50.508,Bluetooth,-75
50.529,Bluetooth,-76
50.530,Bluetooth,-77
50.677,Bluetooth,-67
50.679,Bluetooth,-68
50.857,Bluetooth,-72
50.859,Bluetooth,-73
50.882,Bluetooth,-78
50.884,Bluetooth,-78
50.992,Bluetooth,-78
50.994,Bluetooth,-79
51.015,Bluetooth,-79
51.016,Bluetooth,-78
51.052,Bluetooth,-66
51.054,Bluetooth,-66
51.072,Bluetooth,-72
51.074,Bluetooth,-72
51.188,Bluetooth,-71
51.190,Bluetooth,-71
51.214,Bluetooth,-71
51.216,Bluetooth,-71
51.370,Bluetooth,-78
51.372,Bluetooth,-80
51.442,Bluetooth,-71
51.444,Bluetooth,-71
51.528,Bluetooth,-67
51.529,Bluetooth,-66
51.553,Bluetooth,-70
51.555,Bluetooth,-71
51.668,Bluetooth,-72
51.669,Bluetooth,-72
51.801,Bluetooth,-71
51.802,Bluetooth,-71
51.916,Bluetooth,-73
51.917,Bluetooth,-73
51.940,Bluetooth,-72
51.941,Bluetooth,-71
52.056,Bluetooth,-71
52.058,Bluetooth,-70
52.080,Bluetooth,-78
52.081,Bluetooth,-78
52.114,Bluetooth,-67
52.115,Bluetooth,-65
52.134,Bluetooth,-66
52.135,Bluetooth,-66
52.204,Bluetooth,-78
52.206,Bluetooth,-78
52.226,Bluetooth,-67
52.228,Bluetooth,-66
52.369,Bluetooth,-66
52.371,Bluetooth,-65
52.393,Bluetooth,-70
52.395,Bluetooth,-72
52.481,Bluetooth,-65
52.483,Bluetooth,-66
52.506,Bluetooth,-70
52.531,Bluetooth,-71
52.678,Bluetooth,-77
52.679,Bluetooth,-77
52.721,Bluetooth,-67
52.723,Bluetooth,-68
52.877,Bluetooth,-73
52.879,Bluetooth,-72
52.900,Bluetooth,-73
52.901,Bluetooth,-73
52.920,Bluetooth,-77
52.922,Bluetooth,-75
53.056,Bluetooth,-78
53.058,Bluetooth,-77
53.080,Bluetooth,-67
53.081,Bluetooth,-67
53.199,Bluetooth,-67
53.200,Bluetooth,-66
53.370,Bluetooth,-73
53.372,Bluetooth,-73
53.395,Bluetooth,-76
53.397,Bluetooth,-77
53.425,Bluetooth,-66
53.427,Bluetooth,-67
53.531,Bluetooth,-78
53.533,Bluetooth,-77
53.554,Bluetooth,-66
53.556,Bluetooth,-68
53.671,Bluetooth,-65
53.674,Bluetooth,-66
53.695,Bluetooth,-66
53.696,Bluetooth,-66
53.805,Bluetooth,-66
53.807,Bluetooth,-66
53.878,Bluetooth,-77
53.879,Bluetooth,-78
53.908,Bluetooth,-69
53.910,Bluetooth,-68
108.678,Bluetooth,-64
108.680,Bluetooth,-64
108.723,Bluetooth,-62
108.724,Bluetooth,-61
109.001,Bluetooth,-64
109.003,Bluetooth,-64
109.023,Bluetooth,-65
109.025,Bluetooth,-67
109.117,Bluetooth,-62
109.119,Bluetooth,-62
109.239,Bluetooth,-60
109.240,Bluetooth,-61
109.371,Bluetooth,-59
109.373,Bluetooth,-59
109.393,Bluetooth,-66
109.394,Bluetooth,-66
109.425,Bluetooth,-63
109.427,Bluetooth,-64
109.444,Bluetooth,-63
109.445,Bluetooth,-64
109.593,Bluetooth,-59
109.595,Bluetooth,-59
109.614,Bluetooth,-59
109.616,Bluetooth,-59
109.680,Bluetooth,-62
109.681,Bluetooth,-62
109.750,Bluetooth,-66
109.752,Bluetooth,-65
109.775,Bluetooth,-66
109.777,Bluetooth,-67
110.039,Bluetooth,-65
110.041,Bluetooth,-65
110.063,Bluetooth,-63
110.065,Bluetooth,-64
110.117,Bluetooth,-68
110.119,Bluetooth,-68
110.136,Bluetooth,-68
110.137,Bluetooth,-68
110.325,Bluetooth,-64
110.326,Bluetooth,-64
110.488,Bluetooth,-67
110.489,Bluetooth,-68
110.506,Bluetooth,-66
110.508,Bluetooth,-67
110.592,Bluetooth,-72
110.615,Bluetooth,-71
110.617,Bluetooth,-71
110.679,Bluetooth,-63
110.681,Bluetooth,-65
110.722,Bluetooth,-65
110.723,Bluetooth,-65
110.824,Bluetooth,-65
110.826,Bluetooth,-65
110.848,Bluetooth,-65
110.849,Bluetooth,-64
110.991,Bluetooth,-66
110.992,Bluetooth,-67
111.046,Bluetooth,-62
111.048,Bluetooth,-62
111.118,Bluetooth,-67
111.119,Bluetooth,-67
111.143,Bluetooth,-62
111.145,Bluetooth,-63
111.312,Bluetooth,-68
111.313,Bluetooth,-69
111.370,Bluetooth,-66
111.371,Bluetooth,-65
111.390,Bluetooth,-62
111.392,Bluetooth,-62
111.424,Bluetooth,-66
111.426,Bluetooth,-66
111.593,Bluetooth,-59
111.594,Bluetooth,-59
111.616,Bluetooth,-60
111.618,Bluetooth,-60
111.688,Bluetooth,-59
111.690,Bluetooth,-59
111.799,Bluetooth,-59
111.801,Bluetooth,-58
111.932,Bluetooth,-54
111.934,Bluetooth,-53
112.074,Bluetooth,-55
112.075,Bluetooth,-53
112.121,Bluetooth,-52
112.122,Bluetooth,-53
112.285,Bluetooth,-54
112.286,Bluetooth,-52
112.393,Bluetooth,-52
112.395,Bluetooth,-52
112.488,Bluetooth,-52
112.490,Bluetooth,-52
112.505,Bluetooth,-53
112.507,Bluetooth,-52
171.622,Bluetooth,-72
171.623,Bluetooth,-72
171.656,Bluetooth,-68
171.658,Bluetooth,-69
171.687,Bluetooth,-67
171.689,Bluetooth,-67
171.718,Bluetooth,-67
171.720,Bluetooth,-67
171.783,Bluetooth,-69
171.784,Bluetooth,-70
171.815,Bluetooth,-67
171.816,Bluetooth,-67
171.873,Bluetooth,-71
171.875,Bluetooth,-73
171.903,Bluetooth,-69
171.904,Bluetooth,-69
171.936,Bluetooth,-67
171.938,Bluetooth,-68
172.002,Bluetooth,-72
172.004,Bluetooth,-72
172.030,Bluetooth,-70
172.032,Bluetooth,-69
172.063,Bluetooth,-67
172.065,Bluetooth,-67
172.095,Bluetooth,-72
172.097,Bluetooth,-72
172.130,Bluetooth,-70
172.132,Bluetooth,-69
172.165,Bluetooth,-68
172.166,Bluetooth,-66
172.194,Bluetooth,-68
172.196,Bluetooth,-67
172.222,Bluetooth,-72
172.223,Bluetooth,-73
172.253,Bluetooth,-69
172.253,Bluetooth,-70
172.283,Bluetooth,-67
172.284,Bluetooth,-68
172.314,Bluetooth,-67
172.315,Bluetooth,-67
172.342,Bluetooth,-72
172.343,Bluetooth,-72
172.378,Bluetooth,-70
172.379,Bluetooth,-69
172.410,Bluetooth,-67
172.410,Bluetooth,-68
172.442,Bluetooth,-72
172.443,Bluetooth,-71
172.476,Bluetooth,-72
172.477,Bluetooth,-72
172.509,Bluetooth,-69
172.510,Bluetooth,-70
172.539,Bluetooth,-68
172.541,Bluetooth,-69
172.570,Bluetooth,-71
172.572,Bluetooth,-72
172.603,Bluetooth,-69
172.604,Bluetooth,-71
172.634,Bluetooth,-69
172.635,Bluetooth,-70
172.668,Bluetooth,-67
172.670,Bluetooth,-67
172.702,Bluetooth,-72
172.703,Bluetooth,-71
172.765,Bluetooth,-67
172.766,Bluetooth,-66
172.861,Bluetooth,-69
172.863,Bluetooth,-70
172.953,Bluetooth,-71
172.955,Bluetooth,-73
172.984,Bluetooth,-70
172.985,Bluetooth,-69
173.015,Bluetooth,-67
173.017,Bluetooth,-68
173.047,Bluetooth,-72
173.049,Bluetooth,-73
173.112,Bluetooth,-69
173.114,Bluetooth,-69
173.145,Bluetooth,-68
173.147,Bluetooth,-67
173.174,Bluetooth,-72
173.176,Bluetooth,-72
173.274,Bluetooth,-68
173.276,Bluetooth,-68
173.305,Bluetooth,-73
173.307,Bluetooth,-73
173.336,Bluetooth,-71
173.338,Bluetooth,-71
173.368,Bluetooth,-67
173.370,Bluetooth,-68
173.432,Bluetooth,-73
173.434,Bluetooth,-72
173.462,Bluetooth,-69
173.464,Bluetooth,-70
173.497,Bluetooth,-68
173.499,Bluetooth,-69
173.527,Bluetooth,-73
173.528,Bluetooth,-72
173.557,Bluetooth,-72
173.558,Bluetooth,-73
173.592,Bluetooth,-70
173.594,Bluetooth,-69
173.623,Bluetooth,-68
173.624,Bluetooth,-67
173.652,Bluetooth,-72
173.653,Bluetooth,-73
173.683,Bluetooth,-69
173.684,Bluetooth,-69
173.714,Bluetooth,-69
173.716,Bluetooth,-69
173.747,Bluetooth,-68
173.749,Bluetooth,-67
173.779,Bluetooth,-72
173.781,Bluetooth,-71
173.811,Bluetooth,-69
173.813,Bluetooth,-70
173.845,Bluetooth,-68
173.847,Bluetooth,-68
173.877,Bluetooth,-68
173.878,Bluetooth,-68
173.908,Bluetooth,-72
173.909,Bluetooth,-72
173.941,Bluetooth,-69
173.943,Bluetooth,-69
173.975,Bluetooth,-67
173.977,Bluetooth,-69
174.008,Bluetooth,-72
174.009,Bluetooth,-72
174.070,Bluetooth,-69
174.072,Bluetooth,-69
174.104,Bluetooth,-68
174.106,Bluetooth,-67
174.133,Bluetooth,-72
174.135,Bluetooth,-73
174.228,Bluetooth,-69
174.230,Bluetooth,-70
174.258,Bluetooth,-72
174.259,Bluetooth,-72
174.289,Bluetooth,-68
174.290,Bluetooth,-68
174.349,Bluetooth,-68
174.351,Bluetooth,-68
174.379,Bluetooth,-71
174.381,Bluetooth,-73
174.411,Bluetooth,-69
174.412,Bluetooth,-69
174.445,Bluetooth,-69
174.447,Bluetooth,-69
174.476,Bluetooth,-69
174.477,Bluetooth,-68
174.535,Bluetooth,-68
174.537,Bluetooth,-70
174.568,Bluetooth,-69
174.570,Bluetooth,-69
174.633,Bluetooth,-71
174.635,Bluetooth,-72
174.665,Bluetooth,-69
174.667,Bluetooth,-69
174.700,Bluetooth,-69
174.702,Bluetooth,-68
174.731,Bluetooth,-73
174.732,Bluetooth,-73
174.765,Bluetooth,-68
174.767,Bluetooth,-70
174.798,Bluetooth,-69
174.799,Bluetooth,-69
174.832,Bluetooth,-69
174.834,Bluetooth,-69
174.863,Bluetooth,-73
174.865,Bluetooth,-73
174.896,Bluetooth,-69
