Distance,6.0
TXDevice,iPhoneXS
TXPower,12
RXDevice,iPhone8
TXCarry,pocket
RXCarry,hand
RXPose,standing
TXPose,sitting
0.000,Bluetooth,-59
0.002,Bluetooth,-60
0.037,Bluetooth,-51
0.038,Bluetooth,-51
0.075,Bluetooth,-56
0.076,Bluetooth,-55
0.111,Bluetooth,-55
0.111,Bluetooth,-55
0.147,Bluetooth,-59
0.149,Bluetooth,-59
0.227,Bluetooth,-56
0.228,Bluetooth,-57
0.295,Bluetooth,-53
0.297,Bluetooth,-53
0.331,Bluetooth,-56
0.332,Bluetooth,-57
0.395,Bluetooth,-51
0.397,Bluetooth,-52
0.436,Bluetooth,-55
0.477,Bluetooth,-59
0.478,Bluetooth,-59
0.542,Bluetooth,-51
0.543,Bluetooth,-52
0.573,Bluetooth,-53
0.574,Bluetooth,-54
0.645,Bluetooth,-50
0.646,Bluetooth,-51
0.684,Bluetooth,-53
0.685,Bluetooth,-54
0.720,Bluetooth,-59
0.721,Bluetooth,-59
0.752,Bluetooth,-59
0.753,Bluetooth,-58
0.816,Bluetooth,-54
0.817,Bluetooth,-55
0.848,Bluetooth,-57
0.849,Bluetooth,-59
0.926,Bluetooth,-54
0.926,Bluetooth,-54
1.058,Bluetooth,-54
1.059,Bluetooth,-54
1.089,Bluetooth,-59
1.091,Bluetooth,-58
1.120,Bluetooth,-50
1.122,Bluetooth,-51
1.161,Bluetooth,-53
1.162,Bluetooth,-54
1.251,Bluetooth,-51
1.252,Bluetooth,-52
1.284,Bluetooth,-54
1.285,Bluetooth,-54
1.322,Bluetooth,-60
1.323,Bluetooth,-61
1.360,Bluetooth,-51
1.361,Bluetooth,-52
1.399,Bluetooth,-54
1.401,Bluetooth,-54
1.437,Bluetooth,-62
1.438,Bluetooth,-61
1.466,Bluetooth,-60
1.467,Bluetooth,-60
1.505,Bluetooth,-52
1.506,Bluetooth,-50
1.546,Bluetooth,-54
1.547,Bluetooth,-56
1.578,Bluetooth,-64
1.579,Bluetooth,-65
1.610,Bluetooth,-52
1.612,Bluetooth,-52
1.642,Bluetooth,-56
1.643,Bluetooth,-55
1.679,Bluetooth,-61
1.680,Bluetooth,-61
1.780,Bluetooth,-56
1.781,Bluetooth,-54
1.848,Bluetooth,-51
1.849,Bluetooth,-51
