Distance,15.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhone11_Pro
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-61
0.002,Bluetooth,-62
0.038,Bluetooth,-59
0.040,Bluetooth,-59
0.114,Bluetooth,-58
0.116,Bluetooth,-58
0.220,Bluetooth,-60
0.222,Bluetooth,-62
0.254,Bluetooth,-61
0.256,Bluetooth,-61
0.283,Bluetooth,-68
0.323,Bluetooth,-61
0.325,Bluetooth,-59
0.356,Bluetooth,-60
0.358,Bluetooth,-60
0.391,Bluetooth,-60
0.467,Bluetooth,-61
0.469,Bluetooth,-60
0.501,Bluetooth,-60
0.503,Bluetooth,-60
0.531,Bluetooth,-68
0.533,Bluetooth,-66
0.565,Bluetooth,-85
0.567,Bluetooth,-85
0.739,Bluetooth,-63
0.741,Bluetooth,-62
0.807,Bluetooth,-67
0.809,Bluetooth,-65
0.841,Bluetooth,-68
0.843,Bluetooth,-68
0.902,Bluetooth,-66
0.904,Bluetooth,-67
1.007,Bluetooth,-70
1.081,Bluetooth,-69
1.120,Bluetooth,-85
1.122,Bluetooth,-84
1.296,Bluetooth,-73
1.327,Bluetooth,-72
1.329,Bluetooth,-71
1.356,Bluetooth,-64
1.395,Bluetooth,-73
1.397,Bluetooth,-72
1.495,Bluetooth,-63
1.565,Bluetooth,-63
1.567,Bluetooth,-63
1.603,Bluetooth,-63
1.671,Bluetooth,-61
1.673,Bluetooth,-61
1.711,Bluetooth,-61
1.713,Bluetooth,-61
1.747,Bluetooth,-72
1.750,Bluetooth,-72
1.813,Bluetooth,-62
1.815,Bluetooth,-61
1.843,Bluetooth,-61
1.845,Bluetooth,-61
1.923,Bluetooth,-67
1.925,Bluetooth,-66
1.994,Bluetooth,-61
1.996,Bluetooth,-61
2.022,Bluetooth,-62
2.024,Bluetooth,-63
2.056,Bluetooth,-62
2.058,Bluetooth,-61
2.094,Bluetooth,-61
2.096,Bluetooth,-60
2.121,Bluetooth,-63
2.164,Bluetooth,-61
2.166,Bluetooth,-59
2.203,Bluetooth,-60
2.239,Bluetooth,-58
2.241,Bluetooth,-58
2.277,Bluetooth,-60
2.278,Bluetooth,-61
2.311,Bluetooth,-66
2.313,Bluetooth,-66
2.351,Bluetooth,-57
2.353,Bluetooth,-57
2.421,Bluetooth,-68
2.497,Bluetooth,-61
2.532,Bluetooth,-57
2.534,Bluetooth,-56
2.634,Bluetooth,-58
2.636,Bluetooth,-58
2.698,Bluetooth,-63
2.700,Bluetooth,-63
2.730,Bluetooth,-64
2.732,Bluetooth,-64
2.766,Bluetooth,-59
2.768,Bluetooth,-60
2.803,Bluetooth,-63
2.870,Bluetooth,-60
2.909,Bluetooth,-62
2.910,Bluetooth,-62
3.008,Bluetooth,-61
3.010,Bluetooth,-61
3.039,Bluetooth,-58
3.041,Bluetooth,-59
3.068,Bluetooth,-60
3.070,Bluetooth,-61
3.107,Bluetooth,-62
3.138,Bluetooth,-61
3.140,Bluetooth,-62
3.174,Bluetooth,-63
3.175,Bluetooth,-63
3.235,Bluetooth,-62
3.237,Bluetooth,-62
3.343,Bluetooth,-58
